1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,,"$2,800",Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,800'}]",2268 Sunflower Ct,"Upland, CA 91786",,https://www.apartments.com/2268-sunflower-ct-upland-ca/8k9t141/,"1,973","1,973 Sq Ft",Upland,,Condos,CA
,"$1,950",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]",41805 Preston Trail,"Palm Desert, CA 92211",,https://www.apartments.com/41805-preston-trail-palm-desert-ca-unit-22-21/5y8wrfn/,"1,091","1,091 Sq Ft",Palm Desert,,Condos,CA
,"$3,500",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",46 Corniche Dr,"Dana Point, CA 92629",,https://www.apartments.com/46-corniche-dr-dana-point-ca-unit-f/t6ldmp8/,"1,165","1,165 Sq Ft",Dana Point,,Condos,CA
,,"$2,000",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,000'}]",837 Silver Fir Rd,"Walnut, CA 91789",,https://www.apartments.com/837-silver-fir-rd-walnut-ca-unit-11/lw4498d/,"1,136","1,136 Sq Ft",Walnut,,Condos,CA
,,"$3,500",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]",55285 Tanglewood,"La Quinta, CA 92253",,https://www.apartments.com/55285-tanglewood-la-quinta-ca/pfq7rxr/,"1,525","1,525 Sq Ft",La Quinta,,Condos,CA
,,"$7,800",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$7,800'}]",76088 Impatiens Cir,"Palm Desert, CA 92211",,https://www.apartments.com/76088-impatiens-cir-palm-desert-ca/gzp3x7y/,"1,678","1,678 Sq Ft",Palm Desert,,Condos,CA
,,"$2,300",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,300'}]",2509 Moon Dust Dr,"Chino Hills, CA 91709",,https://www.apartments.com/2509-moon-dust-dr-chino-hills-ca-unit-a/q74lz4z/,"1,392","1,392 Sq Ft",Chino Hills,,Condos,CA
,,"$3,100",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]",1164 Epic,"Irvine, CA 92618",,https://www.apartments.com/1164-epic-irvine-ca/v8g1c0f/,"1,555","1,555 Sq Ft",Irvine,,Condos,CA
,,"$3,100",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]",28 Brindisi St,"Mission Viejo, CA 92692",,https://www.apartments.com/28-brindisi-st-mission-viejo-ca/jbg0jx5/,"1,538","1,538 Sq Ft",Mission Viejo,,Condos,CA
,,,"$10,000",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$10,000'}]",34403 Street of the Green Lantern,"Dana Point, CA 92629",,https://www.apartments.com/34403-street-of-the-green-lantern-dana-point-ca-unit-2/ser6vg6/,"3,074","3,074 Sq Ft",Dana Point,,Condos,CA
