1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,,"$6,317",,Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$6,317'}]",228 Peter Pan Rd,"Carmel-by-the-Sea, CA 93923",,https://www.apartments.com/228-peter-pan-rd-carmel-by-the-sea-ca/pqk4phv/,"4,318","4,318 Sq Ft",Carmel-by-the-Sea,,Houses,CA
,,,,"$10,000",Available Now,4½ BAs,"[{'bedroom_type': '4+ Beds', 'price': '$10,000'}]",62 Corona Rd,"Carmel-by-the-Sea, CA 93923",,https://www.apartments.com/62-corona-rd-carmel-by-the-sea-ca/wt7f3gh/,"4,645","4,645 Sq Ft",Carmel-by-the-Sea,,Houses,CA
,,"$3,995",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,995'}]",16334 E Garrison Dr,"Marina, CA 93933",,https://www.apartments.com/16334-e-garrison-dr-marina-ca/qzjzypx/,"1,865","1,865 Sq Ft",Marina,,Houses,CA
,,,,"$5,795",Available Now,3 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$5,795'}]",948 Fort Baker Dr,"Cupertino, CA 95014",,https://www.apartments.com/948-fort-baker-dr-cupertino-ca/nqn7rkn/,"2,847","2,847 Sq Ft",Cupertino,,Houses,CA
,,"$3,800",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]",1882 Camino Pablo,"Moraga, CA 94556",,https://www.apartments.com/1882-camino-pablo-moraga-ca/qm6vqmw/,"1,504","1,504 Sq Ft",Moraga,,Houses,CA
,,"$1,600",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,600'}]",10974 Sparrow Rd,"Hesperia, CA 92344",,https://www.apartments.com/10974-sparrow-rd-hesperia-ca/1nde2y6/,"1,344","1,344 Sq Ft",Hesperia,,Houses,CA
,"$1,600",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,600'}]",2081 Mt Mahogany Rd,"Wrightwood, CA 92397",,https://www.apartments.com/2081-mt-mahogany-rd-wrightwood-ca/h9x5s12/,,,Wrightwood,,Houses,CA
"$1,250",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,250'}]",1673 Lewis St,"Kingsburg, CA 93631",,https://www.apartments.com/1673-lewis-st-kingsburg-ca/9th6cd4/,"1,100","1,100 Sq Ft",Kingsburg,,Houses,CA
,,"$1,900",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,900'}]",821 Oriole Rd,"Wrightwood, CA 92397",,https://www.apartments.com/821-oriole-rd-wrightwood-ca/lfertgg/,,,Wrightwood,,Houses,CA
,,"$1,600",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,600'}]",5806 Victorville St,"Wrightwood, CA 92397",,https://www.apartments.com/5806-victorville-st-wrightwood-ca/3mt9xwg/,,,Wrightwood,,Houses,CA
,,,"$2,200",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,200'}]",2874 Whitmore Ave,"Clovis, CA 93619",,https://www.apartments.com/2874-whitmore-ave-clovis-ca/fh5k1vt/,"2,428","2,428 Sq Ft",Clovis,,Houses,CA
,,"$1,595",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,595'}]",26461 Corona Dr,"Helendale, CA 92342",,https://www.apartments.com/26461-corona-dr-helendale-ca/k32sfmc/,,,Helendale,,Houses,CA
,,"$1,650",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,650'}]",14192 Decatur Dr,"Magalia, CA 95954",,https://www.apartments.com/14192-decatur-dr-magalia-ca/sqm0196/,"1,455","1,455 Sq Ft",Magalia,,Houses,CA
,,,"$3,200",,Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,200'}]",7181 Almandine Way,"Jurupa Valley, CA 92509",,https://www.apartments.com/7181-almandine-way-jurupa-valley-ca/e2qqy1p/,"2,959","2,959 Sq Ft",Jurupa Valley,,Houses,CA
,"$1,700",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]",8019 Kenton Ct,"Highland, CA 92346",,https://www.apartments.com/8019-kenton-ct-highland-ca/q1tyzvw/,966,966 Sq Ft,Highland,,Houses,CA
,"$1,700",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]",5512 Riviera Ave,"Banning, CA 92220",,https://www.apartments.com/5512-riviera-ave-banning-ca/6ttcyzt/,"1,456","1,456 Sq Ft",Banning,,Houses,CA
,,,,"$2,900",Available Now,3 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$2,900'}]",32953 Caminito Lorca,"Temecula, CA 92592",,https://www.apartments.com/32953-caminito-lorca-temecula-ca/r968pl1/,"2,916","2,916 Sq Ft",Temecula,,Houses,CA
,,,"$2,500",,Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,500'}]",22 Aurora Ln,"Copperopolis, CA 95228",,https://www.apartments.com/22-aurora-ln-copperopolis-ca/xyq3yxm/,"3,000","3,000 Sq Ft",Copperopolis,,Houses,CA
,,"$1,550",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,550'}]",18203 Deer Hollow Rd,"Hidden Valley Lake, CA 95467",,https://www.apartments.com/18203-deer-hollow-rd-hidden-valley-lake-ca/wn0fj8h/,"1,350","1,350 Sq Ft",Hidden Valley Lake,,Houses,CA
,,"$2,150",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,150'}]",36756 Pomerol Loop,"Winchester, CA 92596",,https://www.apartments.com/36756-pomerol-loop-winchester-ca/qdde8tw/,"1,702","1,702 Sq Ft",Winchester,,Houses,CA
