1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$4,500",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",Los Angeles,"Los Angeles, CA 90064",12 Month Lease,https://www.apartments.com/2340-fox-hills-dr-los-angeles-ca-unit-ph2/5y3ddpp/,"1,701","1,701 Sq Ft",CA,,Condos,90064
,"$5,000",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]",Santa Monica,"3003 2nd St, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/3003-2nd-st-santa-monica-ca-unit-2/33sv92d/,"1,050","1,050 Sq Ft",CA,,Condos,90405
"$1,950",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,950'}]",Manhattan Beach,"Manhattan Beach, CA 90266",12 Month Lease,https://www.apartments.com/1505-crest-dr-manhattan-beach-ca-unit-1505/psfe7jr/,400,400 Sq Ft,CA,,Condos,90266
"$3,000",,,,,Jun 12,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]",Santa Clara,"Santa Clara, CA 95051",12 Month Lease,https://www.apartments.com/1720-halford-ave-santa-clara-ca-unit-133/jdpd416/,700,700 Sq Ft,CA,,Condos,95051
,"$4,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",Los Angeles,"Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/6400-pacific-ave-los-angeles-ca-unit-314/5n79mfm/,"1,117","1,117 Sq Ft",CA,,Condos,90293
,"$5,500",,,,May 4,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]",San Francisco,"San Francisco, CA 94158",12 Month Lease,https://www.apartments.com/435-china-basin-st-san-francisco-ca-unit-623/ky98x8c/,"1,100","1,100 Sq Ft",CA,,Condos,94158
"$2,599",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,599'}]",San Francisco,"San Francisco, CA 94103",1 Month Lease,https://www.apartments.com/1655-mission-st-san-francisco-ca-unit-1129/lbm3b9d/,"1,200","1,200 Sq Ft",CA,,Condos,94103
,"$2,000",,,,Apr 10,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",San Diego,"San Diego, CA 92119",12 Month Lease,https://www.apartments.com/6930-hyde-park-dr-san-diego-ca-unit-205/vtbz6bg/,"1,016","1,016 Sq Ft",CA,,Condos,92119
,"$2,500",,,,Apr 15,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",Palm Springs,"Palm Springs, CA 92264",6 Month Lease,https://www.apartments.com/505-s-farrell-dr-palm-springs-ca-unit-p95/wz10h5l/,"1,175","1,175 Sq Ft",CA,,Condos,92264
"$1,975",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,975'}]",Dana Point,"Dana Point, CA 92629",12 Month Lease,https://www.apartments.com/25611-quail-run-dana-point-ca-unit-70/j67c9t5/,650,650 Sq Ft,CA,,Condos,92629
,,"$6,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",Santa Cruz,"Santa Cruz, CA 95062",12 Month Lease,https://www.apartments.com/1148-e-cliff-dr-santa-cruz-ca-unit-a/mz2egek/,"2,500","2,500 Sq Ft",CA,,Condos,95062
"$6,250",,,,,Apr 15,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$6,250'}]",Los Angeles,"660 Rose Ave, Los Angeles, CA 90291",12 Month Lease,https://www.apartments.com/660-rose-ave-los-angeles-ca-unit-5/99r6nl7/,"1,700","1,700 Sq Ft",CA,,Condos,90291
,"$3,750",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]",Redondo Beach,"Redondo Beach, CA 90277",12 Month Lease,https://www.apartments.com/565-esplanade-redondo-beach-ca-unit-403/sb4smq4/,"1,008","1,008 Sq Ft",CA,,Condos,90277
,"$2,650",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]",Santa Cruz,"Santa Cruz, CA 95062",12 Month Lease,https://www.apartments.com/755-14th-ave-santa-cruz-ca-unit-710/kg4fes8/,800,800 Sq Ft,CA,,Condos,95062
,"$3,800",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,800'}]",Aptos,"Aptos, CA 95003",12 Month Lease,https://www.apartments.com/154-aptos-village-way-aptos-ca-unit-2/wchtlxj/,"1,457","1,457 Sq Ft",CA,,Condos,95003
