Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,3,UnionCity,"2622 Central Ct, Union City, CA 94587",Single Family,https://www.zillow.com/homedetails/2622-Central-Ct-Union-City-CA-94587/24994454_zpid/,House for sale,"6,342 sqft",6342.0,"$765,000","1,382",CA,2622 Central Ct,1975,"$755,357",$554,94587
3,4,Roseville,"2266 Ivy Bridge Dr, Roseville, CA 95747",Single Family,https://www.zillow.com/homedetails/2266-Ivy-Bridge-Dr-Roseville-CA-95747/68564014_zpid/,House for sale,"5,331 sqft",5331.0,"$459,000","2,118",CA,2266 Ivy Bridge Dr,2007,"$454,720",$217,95747
3,4,Anaheim,"236 S Calle Diaz, Anaheim, CA 92807",Single Family,https://www.zillow.com/homedetails/236-S-Calle-Diaz-Anaheim-CA-92807/25414835_zpid/,House for sale,"5,797 sqft",5797.0,"$785,000","2,358",CA,236 S Calle Diaz,1974,"$785,005",$333,92807
2,3,Orangevale,"6949 Walnut Ave, Orangevale, CA 95662",Single Family,https://www.zillow.com/homedetails/6949-Walnut-Ave-Orangevale-CA-95662/25986704_zpid/,House for sale,0.4 acres,17424.0,"$346,000",988,CA,6949 Walnut Ave,1956,"$340,846",$350,95662
2,3,Orinda,"163 Moraga Way, Orinda, CA 94563",Single Family,https://www.zillow.com/homedetails/163-Moraga-Way-Orinda-CA-94563/18477890_zpid/,House for sale,0.53 acres,23086.800000000003,"$890,000","1,610",CA,163 Moraga Way,1948,"$941,835",$553,94563
7,7,LosAngeles,"10778 Chalon Rd, Los Angeles, CA 90077",Single Family,https://www.zillow.com/homedetails/10778-Chalon-Rd-Los-Angeles-CA-90077/20526741_zpid/,House for sale,1.6 acres,69696.0,"$35,000,000","11,200",CA,10778 Chalon Rd,1927,"$31,457,221","$3,125",90077
2,4,BuenaPark,"7912 Poinsettia Dr, Buena Park, CA 90620",Single Family,https://www.zillow.com/homedetails/7912-Poinsettia-Dr-Buena-Park-CA-90620/25150346_zpid/,House for sale,"6,599 sqft",6599.0,"$589,900","1,552",CA,7912 Poinsettia Dr,1958,"$589,945",$380,90620
1,2,NorthHollywood,"5629 Whitnall Hwy, North Hollywood, CA 91601",Single Family,https://www.zillow.com/homedetails/5629-Whitnall-Hwy-North-Hollywood-CA-91601/20040729_zpid/,House for sale,"2,500 sqft",2500.0,"$525,000",798,CA,5629 Whitnall Hwy,1954,"$535,916",$658,91601
2,2,Fairfax,"53 Madrone Rd, Fairfax, CA 94930",Single Family,https://www.zillow.com/homedetails/53-Madrone-Rd-Fairfax-CA-94930/19238175_zpid/,House for sale,"4,356 sqft",4356.0,"$599,000","1,161",CA,53 Madrone Rd,1952,None,$516,94930
5,7,Oakland,"1076 59th St, Oakland, CA 94608",Single Family,https://www.zillow.com/homedetails/1076-59th-St-Oakland-CA-94608/24754854_zpid/,House for sale,0.35 acres,15245.999999999998,"$2,800,000","5,356",CA,1076 59th St,1885,"$3,013,610",$523,94608
