1 Bed,2 Beds,3 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
"$3,000 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]",Los Angeles,"6400 Crescent Park E, Los Angeles, CA 90094",12 Month Lease,https://www.apartments.com/6400-crescent-park-e-los-angeles-ca-unit-21/m9xe4sl/,800,800 Sq Ft,CA,,Condos,90094
"$2,998 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,998'}]",Los Angeles,"6400 Crescent Park E, Los Angeles, CA 90094",12 Month Lease,https://www.apartments.com/6400-crescent-park-e-los-angeles-ca-unit-1/nek1rkp/,790,790 Sq Ft,CA,,Condos,90094
,"$2,500 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",Los Angeles,"15215 W Magnolia Blvd, Los Angeles, CA 91403",12 Month Lease,https://www.apartments.com/15215-w-magnolia-blvd-los-angeles-ca-unit-111/m2lsy9j/,"1,058","1,058 Sq Ft",CA,,Condos,91403
,"$3,000 ",,1-Nov,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]",Rancho Palos Verdes,"1827 Caddington Dr, Rancho Palos Verdes, CA 90275",12 Month Lease,https://www.apartments.com/1827-caddington-dr-rancho-palos-verdes-ca-unit-28/y1hq57v/,"1,337","1,337 Sq Ft",CA,,Condos,90275
,"$3,300 ",,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]",Los Angeles,"910 S Bedford St, Los Angeles, CA 90035",12 Month Lease,https://www.apartments.com/910-s-bedford-st-los-angeles-ca-unit-000/vt12n6d/,"1,200","1,200 Sq Ft",CA,,Condos,90035
"$2,600 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,600'}]",West Hollywood,"1203 N Sweetzer Ave, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/1203-n-sweetzer-ave-west-hollywood-ca-unit-118/frfr72v/,900,900 Sq Ft,CA,,Condos,90069
,,,1-Nov,1 BA,"[{'bedroom_type': 'Studio', 'price': '$1,025'}]",Los Angeles,"3703 S Bentley Ave, Los Angeles, CA 90034",6 Month Lease,https://www.apartments.com/3703-s-bentley-ave-los-angeles-ca-unit-b/nd5pk9m/,275,275 Sq Ft,CA,"$1,025 ",Condos,90034
,"$5,995 ",,1-Nov,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,995'}]",Marina del Rey,"13700 Marina Pointe Dr, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13700-marina-pointe-dr-marina-del-rey-ca-unit-1820/91qpez7/,"1,567","1,567 Sq Ft",CA,,Condos,90292
,,"$3,450 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,450'}]",Los Angeles,"6145 Whitsett Ave, Los Angeles, CA 91606",12 Month Lease,https://www.apartments.com/6145-whitsett-ave-los-angeles-ca-unit-2/lz6gkxg/,"1,443","1,443 Sq Ft",CA,,Condos,91606
,"$2,500 ",,9-Nov,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",Culver City,"4919 Indian Wood Rd, Culver City, CA 90230",12 Month Lease,https://www.apartments.com/4919-indian-wood-rd-culver-city-ca-unit-496/hfkl4m3/,852,852 Sq Ft,CA,,Condos,90230
,,"$8,500 ",1-Nov,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$8,500'}]",Manhattan Beach,"4216 Highland Ave, Manhattan Beach, CA 90266",12 Month Lease,https://www.apartments.com/4216-highland-ave-manhattan-beach-ca-unit-d/p1wxkbs/,"1,800","1,800 Sq Ft",CA,,Condos,90266
,"$2,300 ",,7-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",Dana Point,"33852 Del Obispo St, Dana Point, CA 92629",12 Month Lease,https://www.apartments.com/33852-del-obispo-st-dana-point-ca-unit-67/yhrfbpv/,895,895 Sq Ft,CA,,Condos,92629
"$1,300 ",,,1-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,300'}]",Los Angeles,"747 Micheltorena St, Los Angeles, CA 90026",12 Month Lease,https://www.apartments.com/747-micheltorena-st-los-angeles-ca-unit-d/jb71dy7/,200,200 Sq Ft,CA,,Condos,90026
,"$2,895 ",,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,895'}]",Los Angeles,"11730 Mayfield Ave, Los Angeles, CA 90049",6 Month Lease,https://www.apartments.com/11730-mayfield-ave-los-angeles-ca-unit-201/1txxe36/,"1,200","1,200 Sq Ft",CA,,Condos,90049
"$3,199 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,199'}]",West Hollywood,"8535 N W Knoll Dr, West Hollywood, CA 90069",1 Month Lease,https://www.apartments.com/8535-n-w-knoll-dr-west-hollywood-ca-unit-106/qphzh4x/,900,900 Sq Ft,CA,,Condos,90069
,,"$3,595 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,595'}]",Torrance,"3919 W 242nd St, Torrance, CA 90505",12 Month Lease,https://www.apartments.com/3919-w-242nd-st-torrance-ca-unit-b/fzwx2ct/,"1,594","1,594 Sq Ft",CA,,Condos,90505
