1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$3,900 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,900'}]",Los Angeles,"8180 Manitoba St, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/8180-manitoba-st-los-angeles-ca-unit-243/c7nd0pd/,"1,301","1,301 Sq Ft",CA,,Condos,90293
"$2,000 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]",Los Angeles,"215 W 7th St, Los Angeles, CA 90014",12 Month Lease,https://www.apartments.com/215-w-7th-st-los-angeles-ca-unit-1110/kv3r9qc/,650,650 Sq Ft,CA,,Condos,90014
,"$3,500 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",Pasadena,"1000 S Orange Grove Blvd, Pasadena, CA 91105",12 Month Lease,https://www.apartments.com/1000-s-orange-grove-blvd-pasadena-ca-unit-6/qn0c7zy/,"1,645","1,645 Sq Ft",CA,,Condos,91105
,"$3,200 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]",Los Angeles,"700 S Ardmore Ave, Los Angeles, CA 90005",12 Month Lease,https://www.apartments.com/700-s-ardmore-ave-los-angeles-ca-unit-404/vt4vt1e/,"1,350","1,350 Sq Ft",CA,,Condos,90005
,"$3,600 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]",Los Angeles,"121 S Hope St, Los Angeles, CA 90012",12 Month Lease,https://www.apartments.com/121-s-hope-st-los-angeles-ca-unit-109/re8e192/,"1,449","1,449 Sq Ft",CA,,Condos,90012
,"$3,999 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,999'}]",Marina del Rey,"13320 Beach Ave, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13320-beach-ave-marina-del-rey-ca-unit-207/tnydr59/,"1,230","1,230 Sq Ft",CA,,Condos,90292
,,"$6,950 ",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,950'}]",West Hollywood,"950 N Orange Grove Ave, West Hollywood, CA 90046",6 Month Lease,https://www.apartments.com/950-n-orange-grove-ave-west-hollywood-ca-unit-5/k5y4n09/,"2,070","2,070 Sq Ft",CA,,Condos,90046
,,"$3,650 ",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,650'}]",Burbank,"540 E Angeleno Ave, Burbank, CA 91501",12 Month Lease,https://www.apartments.com/540-e-angeleno-ave-burbank-ca-unit-102/t0n8w2c/,"1,650","1,650 Sq Ft",CA,,Condos,91501
,"$3,400 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,400'}]",West Hollywood,"970 Palm Ave, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/970-palm-ave-west-hollywood-ca-unit-206/yr6d67t/,906,906 Sq Ft,CA,,Condos,90069
,"$8,100 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$8,100'}]",West Hollywood,"649 Huntley Dr, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/649-huntley-dr-west-hollywood-ca-unit-a/fm9drjr/,"1,900","1,900 Sq Ft",CA,,Condos,90069
