1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$5,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]",Los Angeles,"8842 Hollywood Blvd, Los Angeles, CA 90069",12 Month Lease,https://www.apartments.com/8842-hollywood-blvd-los-angeles-ca/3bw4y2g/,"1,408","1,408 Sq Ft",CA,Houses,90069
,,,"$3,750",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,750'}]",Los Angeles,"23009 Cohasset St, Los Angeles, CA 91307",12 Month Lease,https://www.apartments.com/23009-cohasset-st-los-angeles-ca/rrwqfz1/,"1,820","1,820 Sq Ft",CA,Houses,91307
,,"$4,600",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,600'}]",Los Angeles,"6813 Wish Ave, Los Angeles, CA 91406",12 Month Lease,https://www.apartments.com/6813-wish-ave-los-angeles-ca/p4ebf9t/,"2,500","2,500 Sq Ft",CA,Houses,91406
,"$4,250",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$4,250'}]",Venice,"32 23rd Ave, Venice, CA 90291",12 Month Lease,https://www.apartments.com/32-23rd-ave-venice-ca/192kbw6/,900,900 Sq Ft,CA,Houses,90291
,,"$3,995",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,995'}]",Los Angeles,"5333 Babcock Ave, Los Angeles, CA 91607",12 Month Lease,https://www.apartments.com/5333-babcock-ave-los-angeles-ca/qmq41jy/,"1,411","1,411 Sq Ft",CA,Houses,91607
"$3,550",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,550'}]",Los Angeles,"664 San Juan Ave, Los Angeles, CA 90291",12 Month Lease,https://www.apartments.com/664-san-juan-ave-los-angeles-ca/0scl3f0/,480,480 Sq Ft,CA,Houses,90291
,,"$7,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$7,500'}]",Los Angeles,"601 S Sweetzer Ave, Los Angeles, CA 90048",3 Month Lease,https://www.apartments.com/601-s-sweetzer-ave-los-angeles-ca/t16lz9c/,"2,000","2,000 Sq Ft",CA,Houses,90048
,,,,"$22,000",Available Now,6 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$22,000'}]",Los Angeles,"20 Toluca Estates Dr, Los Angeles, CA 91602",,https://www.apartments.com/20-toluca-estates-dr-los-angeles-ca/073c271/,"5,476","5,476 Sq Ft",CA,Houses,91602
,,"$2,650",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,650'}]",Los Angeles,"7322 Wilbur Ave, Los Angeles, CA 91335",12 Month Lease,https://www.apartments.com/7322-wilbur-ave-los-angeles-ca/cxnk52f/,"1,155","1,155 Sq Ft",CA,Houses,91335
"$1,900",,,,,Nov 1,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}]",West Hollywood,"1115 N Curson Ave, West Hollywood, CA 90046",12 Month Lease,https://www.apartments.com/1115-n-curson-ave-west-hollywood-ca/mqb0t6j/,650,650 Sq Ft,CA,Houses,90046
"$2,150",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,150'}]",Los Angeles,"6929 Cozycroft Ave, Los Angeles, CA 91306",12 Month Lease,https://www.apartments.com/6929-cozycroft-ave-los-angeles-ca/35bfmxf/,510,510 Sq Ft,CA,Houses,91306
,,,"$5,450",,Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,450'}]",Los Angeles,"3683 Longview Valley Rd, Los Angeles, CA 91423",12 Month Lease,https://www.apartments.com/3683-longview-valley-rd-los-angeles-ca/z241vpz/,"1,850","1,850 Sq Ft",CA,Houses,91423
,"$2,750",,,,Nov 1,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]",Los Angeles,"12026 Califa St, Los Angeles, CA 91607",6 Month Lease,https://www.apartments.com/12026-califa-st-los-angeles-ca/qtqnjew/,"1,000","1,000 Sq Ft",CA,Houses,91607
,,"$5,250",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,250'}]",Los Angeles,"420 Redlands St, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/420-redlands-st-los-angeles-ca/9611y04/,"1,752","1,752 Sq Ft",CA,Houses,90293
,,,"$4,000",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,000'}]",Rancho Palos Verdes,"28918 Moro Bay Dr, Rancho Palos Verdes, CA 90275",,https://www.apartments.com/28918-moro-bay-dr-rancho-palos-verdes-ca/jmvv0m6/,,,CA,Houses,90275
,,,"$4,999",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,999'}]",Redondo Beach,"2320 Marshallfield Ln, Redondo Beach, CA 90278",12 Month Lease,https://www.apartments.com/2320-marshallfield-ln-redondo-beach-ca/e3f48jp/,"2,500","2,500 Sq Ft",CA,Houses,90278
,,"$8,400",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$8,400'}]",Manhattan Beach,"613 N Valley Dr, Manhattan Beach, CA 90266",12 Month Lease,https://www.apartments.com/613-n-valley-dr-manhattan-beach-ca/mefvb3k/,"2,000","2,000 Sq Ft",CA,Houses,90266
,,"$7,300",,,Dec 1,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$7,300'}]",Los Angeles,"17219 Avenida de la Herradura, Los Angeles, CA 90272",12 Month Lease,https://www.apartments.com/17219-avenida-de-la-herradura-los-angeles-ca/p11f4fs/,"2,200","2,200 Sq Ft",CA,Houses,90272
"$2,395",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,395'}]",Hermosa Beach,"731 30th St, Hermosa Beach, CA 90254",12 Month Lease,https://www.apartments.com/731-30th-st-hermosa-beach-ca/6bcygft/,600,600 Sq Ft,CA,Houses,90254
,,"$3,400",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,400'}]",Los Angeles,"9937 Comanche Ave, Los Angeles, CA 91311",,https://www.apartments.com/9937-comanche-ave-los-angeles-ca/gdnkd6w/,"1,500","1,500 Sq Ft",CA,Houses,91311
,,"$3,995",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,995'}]",Los Angeles,"23426 Burbank Blvd, Los Angeles, CA 91367",,https://www.apartments.com/23426-burbank-blvd-los-angeles-ca/pwr40sr/,"1,927","1,927 Sq Ft",CA,Houses,91367
,,,"$4,400",,Available Now,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,400'}]",Los Angeles,"21557 Iglesia Dr, Los Angeles, CA 91364",12 Month Lease,https://www.apartments.com/21557-iglesia-dr-los-angeles-ca/p80pd1t/,"2,180","2,180 Sq Ft",CA,Houses,91364
,,"$2,850",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,850'}]",Los Angeles,"19813 Saticoy St, Los Angeles, CA 91306",12 Month Lease,https://www.apartments.com/19813-saticoy-st-los-angeles-ca/1kzz166/,"1,984","1,984 Sq Ft",CA,Houses,91306
,,,"$2,500",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,500'}]",Covina,"1258 Albertson Ave, Covina, CA 91722",12 Month Lease,https://www.apartments.com/1258-albertson-ave-covina-ca/9t9r9p5/,"1,544","1,544 Sq Ft",CA,Houses,91722
,,"$3,400",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,400'}]",Torrance,"1017 Fonthill Ave, Torrance, CA 90503",12 Month Lease,https://www.apartments.com/1017-fonthill-ave-torrance-ca/wnwtfzl/,"1,137","1,137 Sq Ft",CA,Houses,90503
