1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
"$2,400 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,995'}, {'bedroom_type': '1 Bed', 'price': '$2,400'}, {'bedroom_type': '2 Beds', 'price': None}, {'bedroom_type': '3 Beds', 'price': None}]",Los Angeles,"222 S Main St, Los Angeles, CA 90012",STOA,https://www.apartments.com/stoa-los-angeles-ca/np0cwsp/,CA,"$1,995 ",Apartment,90012
"$1,865 ","$2,474 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,714'}, {'bedroom_type': '1 Bed', 'price': '$1,865'}, {'bedroom_type': '2 Beds', 'price': '$2,474'}]",San Diego,"699 14th St, San Diego, CA 92101",Market Street Village,https://www.apartments.com/market-street-village-san-diego-ca/z2fxxfx/,CA,"$1,714 ",Apartment,92101
"$2,329 ","$2,751 ","$3,586 ",,"[{'bedroom_type': '1 Bed', 'price': '$2,329'}, {'bedroom_type': '2 Beds', 'price': '$2,751'}, {'bedroom_type': '3 Beds', 'price': '$3,586'}]",Fremont,"1001 Beethoven Cmn, Fremont, CA 94538",Alborada,https://www.apartments.com/alborada-fremont-ca/16jd746/,CA,,Apartment,94538
"$1,575 ","$1,950 ","$2,150 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,575'}, {'bedroom_type': '2 Beds', 'price': '$1,950'}, {'bedroom_type': '3 Beds', 'price': '$2,150'}]",Riverside,"5253 El Cerrito Dr, Riverside, CA 92507",Canyon Crest Views Apartments,https://www.apartments.com/canyon-crest-views-apartments-riverside-ca/75vfhqw/,CA,,Apartment,92507
"$1,712 ","$1,953 ","$2,220 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,712'}, {'bedroom_type': '2 Beds', 'price': '$1,953'}, {'bedroom_type': '3 Beds', 'price': '$2,220'}]",San Diego,"1100 Dennery Rd, San Diego, CA 92154",Casoleil,https://www.apartments.com/casoleil-san-diego-ca/vye0t0g/,CA,,Apartment,92154
"$2,400 ","$4,205 ",,,"[{'bedroom_type': 'Studio', 'price': None}, {'bedroom_type': '1 Bed', 'price': '$2,400'}, {'bedroom_type': '2 Beds', 'price': '$4,205'}]",Los Angeles,"888 S Hope St, Los Angeles, CA 90017",888 at Grand Hope Park,https://www.apartments.com/888-at-grand-hope-park-los-angeles-ca/237rms9/,CA,,Apartment,90017
"$1,670 ","$1,790 ","$2,345 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,670'}, {'bedroom_type': '2 Beds', 'price': '$1,790'}, {'bedroom_type': '3 Beds', 'price': '$2,345'}]",Anaheim,"2045 S Haster St, Anaheim, CA 92802",Pacific Palms,https://www.apartments.com/pacific-palms-anaheim-ca/dk2swnl/,CA,,Apartment,92802
"$1,755 ","$2,305 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,755'}, {'bedroom_type': '2 Beds', 'price': '$2,305'}]",Anaheim Hills,"8201 E Blackwillow Cir, Anaheim Hills, CA 92808",Sycamore Canyon Apartments,https://www.apartments.com/sycamore-canyon-apartments-anaheim-hills-ca/jm9xqs4/,CA,,Apartment,92808
"$1,788 ","$2,270 ","$2,585 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,788'}, {'bedroom_type': '2 Beds', 'price': '$2,270'}, {'bedroom_type': '3 Beds', 'price': '$2,585'}]",Chula Vista,"825 E Palomar St, Chula Vista, CA 91911",Missions at Sunbow Apartments,https://www.apartments.com/missions-at-sunbow-apartments-chula-vista-ca/bwmx1t9/,CA,,Apartment,91911
"$1,899 ","$2,499 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,875'}, {'bedroom_type': '1 Bed', 'price': '$1,899'}, {'bedroom_type': '2 Beds', 'price': '$2,499'}]",Los Angeles,"550 N Figueroa St, Los Angeles, CA 90012",The Orsini,https://www.apartments.com/the-orsini-los-angeles-ca/y1q1mqv/,CA,"$1,875 ",Apartment,90012
,"$2,250 ",,,"[{'bedroom_type': '1 Bed', 'price': None}, {'bedroom_type': '2 Beds', 'price': '$2,250'}]",Fullerton,"140 W Hill Ave, Fullerton, CA 92832",Portico Villas Apartments,https://www.apartments.com/portico-villas-apartments-fullerton-ca/lkgqd0g/,CA,,Apartment,92832
"$1,595 ","$1,795 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}, {'bedroom_type': '2 Beds', 'price': '$1,795'}, {'bedroom_type': '3 Beds', 'price': None}]",Roseville,"1601 Vineyard Rd, Roseville, CA 95747",VINEYARD GATE APARTMENTS,https://www.apartments.com/vineyard-gate-apartments-roseville-ca/0pxqle0/,CA,,Apartment,95747
"$1,419 ","$1,489 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,419'}, {'bedroom_type': '2 Beds', 'price': '$1,489'}]",Corona,"650 Ebbcreek Dr, Corona, CA 92880",Avana Springs,https://www.apartments.com/avana-springs-corona-ca/8lg12d0/,CA,,Apartment,92880
"$2,235 ","$2,660 ","$3,350 ",,"[{'bedroom_type': 'Studio', 'price': None}, {'bedroom_type': '1 Bed', 'price': '$2,235'}, {'bedroom_type': '2 Beds', 'price': '$2,660'}, {'bedroom_type': '3 Beds', 'price': '$3,350'}]",Hercules,"1375 Sycamore Ave, Hercules, CA 94547",Aventine,https://www.apartments.com/aventine-hercules-ca/6dws4qr/,CA,,Apartment,94547
"$1,650 ","$2,320 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,610'}, {'bedroom_type': '1 Bed', 'price': '$1,650'}, {'bedroom_type': '2 Beds', 'price': '$2,320'}]",Riverside,"3411 Grande Vista Pky, Riverside, CA 92503",Metro Gateway,https://www.apartments.com/metro-gateway-riverside-ca/6024rjv/,CA,"$1,610 ",Apartment,92503
"$3,060 ","$3,821 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,731'}, {'bedroom_type': '1 Bed', 'price': '$3,060'}, {'bedroom_type': '2 Beds', 'price': '$3,821'}]",San Jose,"415 E Taylor St, San Jose, CA 95112",Cannery Park by Windsor,https://www.apartments.com/cannery-park-by-windsor-san-jose-ca/43ekybk/,CA,"$2,731 ",Apartment,95112
"$1,691 ","$1,945 ","$2,445 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,691'}, {'bedroom_type': '2 Beds', 'price': '$1,945'}, {'bedroom_type': '3 Beds', 'price': '$2,445'}]",Lakewood,"12350 Del Amo Blvd, Lakewood, CA 90715",Vicino,https://www.apartments.com/vicino-lakewood-ca/dkq7dmh/,CA,,Apartment,90715
"$2,160 ","$2,755 ","$3,716 ",,"[{'bedroom_type': 'Studio', 'price': '$2,116'}, {'bedroom_type': '1 Bed', 'price': '$2,160'}, {'bedroom_type': '2 Beds', 'price': '$2,755'}, {'bedroom_type': '3 Beds', 'price': '$3,716'}]",San Diego,"8725 Ariva Ct, San Diego, CA 92123",Vive on the Park,https://www.apartments.com/vive-on-the-park-san-diego-ca/8xv3c70/,CA,"$2,116 ",Apartment,92123
"$1,875 ","$2,199 ","$3,037 ",,"[{'bedroom_type': 'Studio', 'price': '$1,779'}, {'bedroom_type': '1 Bed', 'price': '$1,875'}, {'bedroom_type': '2 Beds', 'price': '$2,199'}, {'bedroom_type': '3 Beds', 'price': '$3,037'}]",San Marcos,"250 North City Dr, San Marcos, CA 92078",Block C,https://www.apartments.com/block-c-san-marcos-ca/s0qcbm4/,CA,"$1,779 ",Apartment,92078
"$3,002 ","$3,967 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,765'}, {'bedroom_type': '1 Bed', 'price': '$3,002'}, {'bedroom_type': '2 Beds', 'price': '$3,967'}]",San Jose,"98 N 1st St, San Jose, CA 95113",The James Apartments,https://www.apartments.com/the-james-apartments-san-jose-ca/pyd13kv/,CA,"$2,765 ",Apartment,95113
,,,,"[{'bedroom_type': 'Studio', 'price': '$1,995'}]",North Hollywood,"11525 Chandler Blvd, North Hollywood, CA 91601",Art Set,https://www.apartments.com/art-set-north-hollywood-ca/r3f1hr0/,CA,"$1,995 ",Apartment,91601
"$2,805 ","$3,575 ","$4,825 ",,"[{'bedroom_type': '1 Bed', 'price': '$2,805'}, {'bedroom_type': '2 Beds', 'price': '$3,575'}, {'bedroom_type': '3 Beds', 'price': '$4,825'}]",San Jose,"183 Balbach St, San Jose, CA 95110",AURA,https://www.apartments.com/aura-san-jose-ca/xdc78hn/,CA,,Apartment,95110
