1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$3,400",,,Nov 16,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,400'}]",San Ramon,"San Ramon, CA 94582",,https://www.apartments.com/6332-byron-ln-san-ramon-ca/307dbqg/,"1,980","1,980 Sq Ft",CA,Townhomes,94582
"$3,600",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,600'}]",Los Angeles,"Los Angeles, CA 90068",12 Month Lease,https://www.apartments.com/6331-longview-ave-los-angeles-ca/znvlbhy/,608,608 Sq Ft,CA,Townhomes,90068
"$2,395",,,,,Available Now,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$2,395'}]",San Diego,"San Diego, CA 92109",,https://www.apartments.com/2004-balboa-ave-san-diego-ca/0c3m9f2/,750,750 Sq Ft,CA,Townhomes,92109
"$1,995",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}]",San Diego,"San Diego, CA 92109",,https://www.apartments.com/2002-balboa-ave-san-diego-ca/7ym9mkz/,550,550 Sq Ft,CA,Townhomes,92109
,,"$3,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]",Irvine,"Irvine, CA 92618",,https://www.apartments.com/309-magnet-irvine-ca/7pg384y/,"2,015","2,015 Sq Ft",CA,Townhomes,92618
,,"$2,945",,,Nov 1,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,945'}]",Escondido,"Escondido, CA 92026",,https://www.apartments.com/917-w-lincoln-ave-escondido-ca/t7spxq9/,"1,326","1,326 Sq Ft",CA,Townhomes,92026
,"$3,200",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]",San Jose,"San Jose, CA 95136",12 Month Lease,https://www.apartments.com/469-tower-hill-ave-san-jose-ca/6dee11v/,"1,370","1,370 Sq Ft",CA,Townhomes,95136
,"$2,800",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Irvine,"Irvine, CA 92618",12 Month Lease,https://www.apartments.com/231-native-spring-irvine-ca/v4zqccf/,"1,354","1,354 Sq Ft",CA,Townhomes,92618
,"$2,500",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",Glendale,"Glendale, CA 91205",,https://www.apartments.com/1327-windsor-rd-glendale-ca/39xbtlf/,"1,250","1,250 Sq Ft",CA,Townhomes,91205
,"$2,300",,,,Dec 6,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",Santa Clarita,"Santa Clarita, CA 91350",12 Month Lease,https://www.apartments.com/19436-laroda-ln-santa-clarita-ca/1ph34s7/,"1,404","1,404 Sq Ft",CA,Townhomes,91350
,"$2,400",,,,Nov 15,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",Sonoma,"Sonoma, CA 95476",12 Month Lease,https://www.apartments.com/183-vineyard-cir-sonoma-ca/16g7566/,"1,320","1,320 Sq Ft",CA,Townhomes,95476
,,"$5,200",,,Dec 1,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]",Los Angeles,"Los Angeles, CA 90004",12 Month Lease,https://www.apartments.com/201-n-irving-blvd-los-angeles-ca/xztvpvq/,"1,600","1,600 Sq Ft",CA,Townhomes,90004
,,"$6,500",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",Los Angeles,"Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/6501-vista-del-mar-los-angeles-ca/7wlr52y/,"2,120","2,120 Sq Ft",CA,Townhomes,90293
,"$2,595",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,595'}]",San Jose,"San Jose, CA 95135",12 Month Lease,https://www.apartments.com/5101-cribari-pl-san-jose-ca/lxyz3rg/,"1,223","1,223 Sq Ft",CA,Townhomes,95135
,"$2,000",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",Sacramento,"Sacramento, CA 95811",12 Month Lease,https://www.apartments.com/1500-q-st-sacramento-ca/zg2htfz/,875,875 Sq Ft,CA,Townhomes,95811
,,,"$4,300",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,300'}]",Tustin,"Tustin, CA 92782",12 Month Lease,https://www.apartments.com/758-clark-way-tustin-ca/x8by62m/,"1,850","1,850 Sq Ft",CA,Townhomes,92782
,,"$5,250",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,250'}]",Los Gatos,"Los Gatos, CA 95030",12 Month Lease,https://www.apartments.com/18400-overlook-rd-los-gatos-ca/1wftzr4/,"1,916","1,916 Sq Ft",CA,Townhomes,95030
,,"$3,295",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,295'}]",Los Angeles,"Los Angeles, CA 91601",12 Month Lease,https://www.apartments.com/5330-satsuma-ave-los-angeles-ca/l1c073f/,"1,100","1,100 Sq Ft",CA,Townhomes,91601
