Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
5,5,Encinitas,"328 La Veta Ave, Encinitas, CA 92024",null,Multi Family,https://www.zillow.com/homedetails/328-La-Veta-Ave-Encinitas-CA-92024/2080577689_zpid/,Apartment for sale,null,null,No Data,"$2,500,000",null,--,CA,328 La Veta Ave,1959,null,No Data,92024
4,5,LosAngeles,"1832 E 108th St, Los Angeles, CA 90059",null,Multi Family,https://www.zillow.com/homedetails/1832-E-108th-St-Los-Angeles-CA-90059/20969275_zpid/,Apartment for sale,null,null,6 spaces,"$550,000","$2,450/mo","1,500",CA,1832 E 108th St,1949,"$550,019",$367,90059
--,Studio,CastroValley,"4920 Jensen Rd, Castro Valley, CA 94552",null,Multi Family,https://www.zillow.com/homedetails/4920-Jensen-Rd-Castro-Valley-CA-94552/299077200_zpid/,Apartment for sale,null,null,Detached Garage,"$7,000,000",null,"7,082",CA,4920 Jensen Rd,1957,null,$988,94552
--,Studio,Modesto,"3001 Quail Hollow Dr, Modesto, CA 95356",None,Multi Family,https://www.zillow.com/homedetails/3001-Quail-Hollow-Dr-Modesto-CA-95356/300256685_zpid/,Apartment for sale,null,null,2 spaces,"$350,000","$1,509/mo","1,920",CA,3001 Quail Hollow Dr,1976,"$350,001",$182,95356
--,Studio,Guerneville,"16648 Armstrong Woods Rd, Guerneville, CA 95446",null,Multi Family,https://www.zillow.com/homedetails/16648-Armstrong-Woods-Rd-Guerneville-CA-95446/300261973_zpid/,Apartment for sale,null,null,No Data,"$592,000",null,--,CA,16648 Armstrong Woods Rd,No Data,null,No Data,95446
4,8,ImperialBeach,"1484-1490 15th St, Imperial Beach, CA 91932",null,Multi Family,https://www.zillow.com/homedetails/1484-1490-15th-St-Imperial-Beach-CA-91932/2080326387_zpid/,Apartment for sale,null,null,No Data,"$1,133,000",null,--,CA,1484-1490 15th St,1967,null,No Data,91932
4,4,Paramount,"8212 Gardendale St #A, Paramount, CA 90723",None,Multi Family,https://www.zillow.com/homedetails/8212-Gardendale-St-A-Paramount-CA-90723/21056068_zpid/,Apartment for sale,null,null,4 spaces,"$710,000","$2,450/mo","1,716",CA,8212 Gardendale St #A,1987,"$710,078",$414,90723
2,4,LemonGrove,"2830-32 Massachusetts Ave, Lemon Grove, CA 91945",null,Multi Family,https://www.zillow.com/homedetails/2830-32-Massachusetts-Ave-Lemon-Grove-CA-91945/17015865_zpid/,Apartment for sale,null,null,No Data,"$599,000","$2,400/mo","1,960",CA,2830-32 Massachusetts Ave,1976,"$599,138",$306,91945
2,4,SanDiego,"3636-3638 44th St, San Diego, CA 92105",None,Multi Family,https://www.zillow.com/homedetails/3636-3638-44th-St-San-Diego-CA-92105/2080401733_zpid/,Apartment for sale,null,null,No Data,"$599,000",null,"1,250",CA,3636-3638 44th St,1930,null,$479,92105
8,8,Hesperia,"14070 Juniper St, Hesperia, CA 92345",null,Multi Family,https://www.zillow.com/homedetails/14070-Juniper-St-Hesperia-CA-92345/17437493_zpid/,Apartment for sale,null,null,12 spaces,"$597,000","$1,200/mo","4,216",CA,14070 Juniper St,1984,"$578,024",$142,92345
