Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,SanDiego,"9971 Scripps Westview Way UNIT 20, San Diego, CA 92131",$343/month,Condo,https://www.zillow.com/homedetails/9971-Scripps-Westview-Way-UNIT-20-San-Diego-CA-92131/16822187_zpid/,For sale by owner,null,null,2 spaces,"$429,000","$2,195/mo","1,086",CA,9971 Scripps Westview Way UNIT 20,1989,"$442,459",$395,92131
1,1,LongBeach,"5530 Ackerfield Ave UNIT 305, Long Beach, CA 90805",$220/month,Condo,https://www.zillow.com/homedetails/5530-Ackerfield-Ave-UNIT-305-Long-Beach-CA-90805/69814565_zpid/,Condo for sale,null,null,1 space,"$199,999","$1,625/mo",641,CA,5530 Ackerfield Ave UNIT 305,1969,"$199,996",$312,90805
2,2,Hawthorne,"5405 W 149th Pl UNIT 7, Hawthorne, CA 90250",$262/month,Condo,https://www.zillow.com/homedetails/5405-W-149th-Pl-UNIT-7-Hawthorne-CA-90250/72655268_zpid/,Condo for sale,null,null,2 spaces,"$749,000","$2,650/mo","1,000",CA,5405 W 149th Pl UNIT 7,2007,"$749,903",$749,90250
2,2,SantaMonica,"201 Ocean Ave UNIT 401P, Santa Monica, CA 90402","$1,464/month",Condo,https://www.zillow.com/homedetails/201-Ocean-Ave-UNIT-401P-Santa-Monica-CA-90402/20486944_zpid/,Condo for sale,null,null,No Data,"$1,100,000","$6,185/mo","1,235",CA,201 Ocean Ave UNIT 401P,1745,"$1,116,681",$891,90402
2,2,Encino,"17914 Magnolia Blvd, Encino, CA 91316",No Data,Condo,https://www.zillow.com/homedetails/17914-Magnolia-Blvd-Encino-CA-91316/2097602780_zpid/,Condo for sale,null,null,Attached Garage,"$439,000",null,"1,096",CA,17914 Magnolia Blvd,1981,null,$401,91316
2,2,DiscoveryBay,"(undisclosed Address), Discovery Bay, CA 94505",$298/month,Condo,https://www.zillow.com/homedetails/(undisclosed-Address)-Discovery-Bay-CA-94505/2080276171_zpid/,Condo for sale,null,null,2 spaces,"$425,000",null,"1,354",CA,(undisclosed Address),1984,null,$314,94505
2,2,LaQuinta,"54998 Oak Tree #A22, La Quinta, CA 92253",$592/month,Condo,https://www.zillow.com/homedetails/54998-Oak-Tree-A22-La-Quinta-CA-92253/18154937_zpid/,Condo for sale,null,null,2 spaces,"$299,000","$2,750/mo","1,330",CA,54998 Oak Tree #A22,1985,"$291,647",$225,92253
3,2,DalyCity,"160 Tree View Dr, Daly City, CA 94014",$430/month,Condo,https://www.zillow.com/homedetails/160-Tree-View-Dr-Daly-City-CA-94014/2080566590_zpid/,Condo for sale,null,null,No Data,"$949,000",null,"1,487",CA,160 Tree View Dr,1985,null,$638,94014
2,2,SanDiego,"4408 Delta St APT 20, San Diego, CA 92113",$187/month,Condo,https://www.zillow.com/homedetails/4408-Delta-St-APT-20-San-Diego-CA-92113/17093049_zpid/,Condo for sale,null,null,1 space,"$284,900","$2,000/mo","1,056",CA,4408 Delta St APT 20,1981,"$288,101",$270,92113
2,2,SanDiego,"3262 Ashford St UNIT B, San Diego, CA 92111",$367/month,Condo,https://www.zillow.com/homedetails/3262-Ashford-St-UNIT-B-San-Diego-CA-92111/16929664_zpid/,Condo for sale,null,null,1 space,"$359,900","$1,995/mo",916,CA,3262 Ashford St UNIT B,1975,"$359,902",$393,92111
