City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,5 Beds
Sunnyvale,Townhomes,CA,94087,"[{'bedroom_type': '2 Beds', 'price': '$2,75'}]","Sunnyvale, CA 94087",https://www.apartments.com/1481-falcon-ct-sunnyvale-ca/k6znxj9/,1 BA,810 Sq Ft,810,12 Month Lease,Available Now,,"$2,75",,,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","12026 Wilshire Blvd, Los Angeles, CA 90025",https://www.apartments.com/12026-wilshire-blvd-los-angeles-ca/gzp8dwx/,2½ BAs,"1,900 Sq Ft","1,900",,Available Now,"$4,00",,,,
Irvine,Townhomes,CA,92614,"[{'bedroom_type': '3 Beds', 'price': '$2,92'}]","Irvine, CA 92614",https://www.apartments.com/52-timber-run-irvine-ca/7hx3zwx/,2 BAs,"1,114 Sq Ft","1,114",,Available Now,"$2,92",,,,
Los Gatos,Townhomes,CA,95032,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","Los Gatos, CA 95032",https://www.apartments.com/160-belwood-ct-los-gatos-ca/x23jl0p/,1½ BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,"$2,99",,,
Los Angeles,Townhomes,CA,90044,"[{'bedroom_type': '3 Beds', 'price': '$2,65'}]","Los Angeles, CA 90044",https://www.apartments.com/524-w-82nd-st-los-angeles-ca/vslsx6f/,1 BA,826 Sq Ft,826,12 Month Lease,Available Now,"$2,65",,,,
Los Angeles,Townhomes,CA,90045,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Los Angeles, CA 90045",https://www.apartments.com/5400-thornburn-st-los-angeles-ca/vqjl3tg/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,"$2,20",,,
Richmond,Townhomes,CA,94801,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","Richmond, CA 94801",https://www.apartments.com/610-golden-gate-ave-richmond-ca/5pwhslq/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$3,00",,,
Los Angeles,Townhomes,CA,90048,"[{'bedroom_type': '2 Beds', 'price': '$3,35'}]","Los Angeles, CA 90048",https://www.apartments.com/6503-drexel-ave-los-angeles-ca/zqe6p0x/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$3,35",,,
Union City,Townhomes,CA,94587,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","Union City, CA 94587",https://www.apartments.com/4405-bel-estos-way-union-city-ca/ns1fgpp/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,35",,,
Camarillo,Townhomes,CA,93010,"[{'bedroom_type': '2 Beds', 'price': '$2,45'}]","Camarillo, CA 93010",https://www.apartments.com/1151-via-montoya-via-camarillo-ca/2j6l9r8/,2 BAs,"1,111 Sq Ft","1,111",12 Month Lease,Available Now,,"$2,45",,,
Lafayette,Townhomes,CA,94549,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","Lafayette, CA 94549",https://www.apartments.com/3658-chestnut-st-lafayette-ca/x3dv0vm/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Nov 1,,"$2,95",,,
Los Angeles,Townhomes,CA,90024,"[{'bedroom_type': '1 Bed', 'price': '$3,30'}]","Los Angeles, CA 90024",https://www.apartments.com/939-hilgard-ave-los-angeles-ca/2rw69y8/,1 BA,859 Sq Ft,859,12 Month Lease,Available Now,,,,"$3,30",
