City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,Studio,2 – 3 Beds,Studio – 2 Beds,1 – 2 Beds
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$3,48'}]","2910 Montana Ave, Santa Monica, CA 90403",https://www.apartments.com/2910-montana-ave-santa-monica-ca-unit-a/33ynxvg/,1 BA,870 Sq Ft,870,12 Month Lease,Oct 10,"$3,48",,,,,,
Los Angeles,Condos,CA,90025,"[{'bedroom_type': '1 Bed', 'price': '$2,05'}]","1256 Brockton Ave, Los Angeles, CA 90025",https://www.apartments.com/1256-brockton-ave-los-angeles-ca/c1f864e/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$2,05",,,,,
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","1047 Ocean Park Blvd, Santa Monica, CA 90405",https://www.apartments.com/1047-ocean-park-blvd-santa-monica-ca/nzjydjm/,1 BA,"1,200 Sq Ft","1,200",6 Month Lease,Oct 10,"$2,95",,,,,,
Los Angeles,Condos,CA,90064,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","Los Angeles, CA 90064",https://www.apartments.com/2852-sawtelle-blvd-los-angeles-ca-unit-29/efbgp7p/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,70",,,,,,
Los Angeles,Condos,CA,90028,"[{'bedroom_type': '1 Bed', 'price': '$1,69'}]","Los Angeles, CA 90028",https://www.apartments.com/1311-n-orange-dr-los-angeles-ca/3dsngwg/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,"$1,69",,,,,
Los Angeles,Condos,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","Los Angeles, CA 90019",https://www.apartments.com/5852-s-san-vicente-blvd-los-angeles-ca-unit-0/swl6vy4/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,"$4,50",,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': 'Studio', 'price': '$1,79'}]","Los Angeles, CA 90035",https://www.apartments.com/1065-s-sherbourne-dr-los-angeles-ca/f1hscrs/,1 BA,500 Sq Ft,500,12 Month Lease,Oct 12,,,,"$1,79",,,
Glendale,Condos,CA,91206,"[{'bedroom_type': '1 Bed', 'price': '$1,49'}]","Glendale, CA 91206",https://www.apartments.com/1019-e-california-ave-glendale-ca/flef5ev/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,"$1,49",,,,,
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$4,20'}]","Santa Monica, CA 90405",https://www.apartments.com/2017-oak-st-santa-monica-ca/pcmvwqr/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Nov 1,"$4,20",,,,,,
Los Angeles,Condos,CA,90006,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","Los Angeles, CA 90006",https://www.apartments.com/3010-james-m-wood-blvd-los-angeles-ca/0ypzwf2/,1 BA,674 Sq Ft,674,12 Month Lease,Available Now,,"$1,65",,,,,
Los Angeles,Condos,CA,90014,"[{'bedroom_type': 'Studio', 'price': '$2,40'}]","Los Angeles, CA 90014",https://www.apartments.com/215-w-7th-st-los-angeles-ca-unit-906/cqv37cg/,1 BA,730 Sq Ft,730,12 Month Lease,Nov 1,,,,"$2,40",,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '1 Bed', 'price': '$2,20'}]","848 5th St, Santa Monica, CA 90403",https://www.apartments.com/848-5th-st-santa-monica-ca/89hlen3/,1 BA,750 Sq Ft,750,,Available Now,,"$2,20",,,,,
Inglewood,Condos,CA,90302,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","Inglewood, CA 90302",https://www.apartments.com/811-centinela-ave-inglewood-ca/nm4gpvm/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$1,65",,,,,
Los Angeles,Condos,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","Los Angeles, CA 90291",https://www.apartments.com/32-thornton-ave-los-angeles-ca/ds88prl/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$3,60",,,,,,
Los Angeles,Condos,CA,90038,"[{'bedroom_type': '1 Bed', 'price': '$2,37'}]","Los Angeles, CA 90038",https://www.apartments.com/6677-santa-monica-blvd-los-angeles-ca/whrmbrj/,1 BA,762 Sq Ft,762,,Available Now,,"$2,37",,,,,
San Diego,Condos,CA,92127,"[{'bedroom_type': '2 Beds', 'price': '$2,69'}]","San Diego, CA 92127",https://www.apartments.com/11203-paseo-montanoso-san-diego-ca/r3bhtb3/,2 BAs,969 Sq Ft,969,,Oct 25,"$2,69",,,,,,
San Diego,Condos,CA,92101,"[{'bedroom_type': '1 Bed', 'price': '$3,12'}]","San Diego, CA 92101",https://www.apartments.com/372-fourth-ave-san-diego-ca/dms2pqj/,1 BA,632 Sq Ft,632,,Oct 18,,"$3,12",,,,,
San Jose,Condos,CA,95125,"[{'bedroom_type': '2 Beds', 'price': '$3,90'}]","San Jose, CA 95125",https://www.apartments.com/1785-almaden-rd-san-jose-ca/1p0q7x4/,2 BAs,"1,145 Sq Ft","1,145",,Oct 18,"$3,90",,,,,,
Los Angeles,Condos,CA,90016,"[{'bedroom_type': '2 Beds', 'price': '$1,69'}]","Los Angeles, CA 90016",https://www.apartments.com/5016-w-washington-blvd-los-angeles-ca/vl1nyje/,1 BA,101 Sq Ft,101,12 Month Lease,Available Now,"$1,69",,,,,,
Los Angeles,Condos,CA,90027,"[{'bedroom_type': '2 Beds', 'price': '$2,15'}]","Los Angeles, CA 90027",https://www.apartments.com/1752-winona-blvd-los-angeles-ca/5vzc22m/,2 BAs,100 Sq Ft,100,12 Month Lease,Available Now,"$2,15",,,,,,
Culver City,Condos,CA,90232,"[{'bedroom_type': '2 Beds', 'price': '$3,49'}]","Culver City, CA 90232",https://www.apartments.com/9042-carson-st-culver-city-ca/dj0tfzj/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$3,49",,,,,,
Los Angeles,Condos,CA,90026,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","Los Angeles, CA 90026",https://www.apartments.com/1908-clinton-st-los-angeles-ca/rscwz42/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,"$2,10",,,,,,
Los Angeles,Condos,CA,90019,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","Los Angeles, CA 90019",https://www.apartments.com/1003-s-sierra-bonita-ave-los-angeles-ca/5y2dg8n/,1 BA,920 Sq Ft,920,12 Month Lease,Available Now,,"$1,70",,,,,
Los Angeles,Condos,CA,90026,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","Los Angeles, CA 90026",https://www.apartments.com/2728-hyans-st-los-angeles-ca/pecctdt/,1 BA,700 Sq Ft,700,12 Month Lease,Oct 15,"$2,25",,,,,,
Beverly Hills,Condos,CA,90212,"[{'bedroom_type': '2 Beds', 'price': '$3,70'}]","Beverly Hills, CA 90212",https://www.apartments.com/456-smithwood-dr-beverly-hills-ca-unit-15/sn22wp4/,2 BAs,942 Sq Ft,942,12 Month Lease,Available Now,"$3,70",,,,,,
San Francisco,Condos,CA,94110,"[{'bedroom_type': '1 Bed', 'price': '$2,40'}]","San Francisco, CA 94110",https://www.apartments.com/513-capp-st-san-francisco-ca/ll6rjqg/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,"$2,40",,,,,
Los Angeles,Condos,CA,90036,"[{'bedroom_type': '2 Beds', 'price': '$2,39'}]","Los Angeles, CA 90036",https://www.apartments.com/731-s-detroit-st-los-angeles-ca/qqq3hqy/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,39",,,,,,
Beverly Hills,Condos,CA,90211,"[{'bedroom_type': '2 Beds', 'price': '$2,57'}]","Beverly Hills, CA 90211",https://www.apartments.com/133-n-gale-dr-beverly-hills-ca/y1bq14r/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,57",,,,,,
San Francisco,Condos,CA,94110,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","San Francisco, CA 94110",https://www.apartments.com/3380-24th-st-san-francisco-ca/eq99t6q/,2 BAs,850 Sq Ft,850,12 Month Lease,Available Now,"$2,95",,,,,,
