City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,Studio,3 Beds
Mountain View,Condos,CA,94043,"[{'bedroom_type': '3 Beds', 'price': '$4,10'}]","Mountain View, CA 94043",https://www.apartments.com/620-willowgate-st-mountain-view-ca-unit-4/efrvbyn/,2½ BAs,"1,690 Sq Ft","1,690",12 Month Lease,Available Now,,,,,"$4,10"
Costa Mesa,Condos,CA,92627,"[{'bedroom_type': '3 Beds', 'price': '$3,95'}]","Costa Mesa, CA 92627",https://www.apartments.com/1741-tustin-ave-costa-mesa-ca-unit-8a/2ez4t7b/,2 BAs,"1,334 Sq Ft","1,334",12 Month Lease,Nov 7,,,,,"$3,95"
Buena Park,Condos,CA,90621,"[{'bedroom_type': '2 Beds', 'price': '$1,75'}]","Buena Park, CA 90621",https://www.apartments.com/7701-franklin-st-buena-park-ca/ldm269f/,1 BA,768 Sq Ft,768,12 Month Lease,Available Now,"$1,75",,,,
Sherman Oaks,Condos,CA,91403,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","Sherman Oaks, CA 91403",https://www.apartments.com/15325-magnolia-blvd-sherman-oaks-ca-unit-101/cv3x4tf/,2 BAs,"1,340 Sq Ft","1,340",12 Month Lease,Available Now,"$2,30",,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$5,10'}]","Santa Monica, CA 90403",https://www.apartments.com/101-california-ave-santa-monica-ca-unit-807/v5e8vgg/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$5,10",,,,
Calabasas,Condos,CA,91302,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","Calabasas, CA 91302",https://www.apartments.com/4714-park-granada-calabasas-ca-unit-201/r23qf22/,2 BAs,"1,000 Sq Ft","1,000",9 Month Lease,Available Now,"$2,25",,,,
Irvine,Condos,CA,92603,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","Irvine, CA 92603",https://www.apartments.com/67-duet-irvine-ca/wlj2enj/,2 BAs,"1,311 Sq Ft","1,311",12 Month Lease,Available Now,"$2,95",,,,
Fremont,Condos,CA,94539,"[{'bedroom_type': '1 Bed', 'price': '$2,10'}]","Fremont, CA 94539",https://www.apartments.com/279-hackamore-cmn-fremont-ca-unit-118/rt6mx90/,1 BA,689 Sq Ft,689,12 Month Lease,Available Now,,,"$2,10",,
Chula Vista,Condos,CA,91910,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","Chula Vista, CA 91910",https://www.apartments.com/44-madison-ave-chula-vista-ca/e06vjgp/,1 BA,700 Sq Ft,700,1 Month Lease,Available Now,"$1,80",,,,
Anaheim,Condos,CA,92806,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Anaheim, CA 92806",https://www.apartments.com/430-n-beth-st-anaheim-ca-unit-a/mecly4j/,1 BA,"1,022 Sq Ft","1,022",12 Month Lease,Available Now,"$2,20",,,,
Concord,Condos,CA,94521,"[{'bedroom_type': '3 Beds', 'price': '$2,95'}]","Concord, CA 94521",https://www.apartments.com/1085-kenwal-rd-concord-ca-unit-main-house/5gw425m/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,,,,"$2,95"
Oakland,Condos,CA,94606,"[{'bedroom_type': '1 Bed', 'price': '$1,69'}]","Oakland, CA 94606",https://www.apartments.com/1643-6th-ave-oakland-ca/my2j5ck/,1 BA,10 Sq Ft,10,12 Month Lease,Available Now,,,"$1,69",,
San Francisco,Condos,CA,94118,"[{'bedroom_type': '1 Bed', 'price': '$1,60'}]","San Francisco, CA 94118",https://www.apartments.com/719-spruce-st-san-francisco-ca/hcl92r3/,1 BA,520 Sq Ft,520,12 Month Lease,Available Now,,,"$1,60",,
San Mateo,Condos,CA,94403,"[{'bedroom_type': '1 Bed', 'price': '$2,58'}]","San Mateo, CA 94403",https://www.apartments.com/4333-beresford-st-san-mateo-ca/h32w761/,2 BAs,850 Sq Ft,850,12 Month Lease,Available Now,,,"$2,58",,
Malibu,Condos,CA,90265,"[{'bedroom_type': '2 Beds', 'price': '$4,70'}]","Malibu, CA 90265",https://www.apartments.com/18111-coastline-dr-malibu-ca-unit-2/5b6lf8n/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$4,70",,,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$3,40'}]","Los Angeles, CA 90024",https://www.apartments.com/10944-strathmore-dr-los-angeles-ca/l3ngqed/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$3,40",,,,
Mill Valley,Condos,CA,94941,"[{'bedroom_type': '1 Bed', 'price': '$2,40'}]","Mill Valley, CA 94941",https://www.apartments.com/332-richardson-dr-mill-valley-ca/eryg01q/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,"$2,40",,
Glendale,Condos,CA,91206,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","Glendale, CA 91206",https://www.apartments.com/121-olive-st-glendale-ca/6tlters/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,25",,,,
Bakersfield,Condos,CA,93305,"[{'bedroom_type': '2 Beds', 'price': '$1,10'}]","Bakersfield, CA 93305",https://www.apartments.com/610-columbus-st-bakersfield-ca/ektn5gq/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,10",,,,
San Clemente,Condos,CA,92672,"[{'bedroom_type': 'Studio', 'price': '$2,75'}]","San Clemente, CA 92672",https://www.apartments.com/208-avenida-de-la-grulla-san-clemente-ca-unit-b/3mhddqe/,1 BA,400 Sq Ft,400,1 Month Lease,Nov 28,,,,"$2,75",
Bonita,Condos,CA,91902,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","Bonita, CA 91902",https://www.apartments.com/5939-san-miguel-rd-bonita-ca/mgq4rfk/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,00",,,,
San Francisco,Condos,CA,94124,"[{'bedroom_type': '2 Beds', 'price': '$3,70'}]","San Francisco, CA 94124",https://www.apartments.com/52-innes-ct-san-francisco-ca-unit-212/5mfektm/,2 BAs,"1,060 Sq Ft","1,060",12 Month Lease,Oct 5,"$3,70",,,,
Oakland,Condos,CA,94619,"[{'bedroom_type': 'Studio', 'price': '$1,50'}]","Oakland, CA 94619",https://www.apartments.com/5218-camden-st-oakland-ca/8w7mx22/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,"$1,50",
Los Angeles,Condos,CA,91042,"[{'bedroom_type': '2 Beds', 'price': '$2,05'}]","Los Angeles, CA 91042",https://www.apartments.com/10210-hillhaven-ave-los-angeles-ca/l939c5f/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,05",,,,
Torrance,Condos,CA,90505,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","3854 W 242nd St, Torrance, CA 90505",https://www.apartments.com/3854-w-242nd-st-torrance-ca/t3ksqhb/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,40",,,,
San Diego,Condos,CA,92102,"[{'bedroom_type': 'Studio', 'price': '$2,10'}]","San Diego, CA 92102",https://www.apartments.com/3270-cedar-st-san-diego-ca/n27zp9q/,1 BA,600 Sq Ft,600,1 Month Lease,Available Now,,,,"$2,10",
Daly City,Condos,CA,94015,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","Daly City, CA 94015",https://www.apartments.com/223-morton-dr-daly-city-ca/rgztvx1/,1 BA,550 Sq Ft,550,6 Month Lease,Available Now,,,"$2,00",,
Los Angeles,Condos,CA,90061,"[{'bedroom_type': '4 Beds', 'price': '$2,10'}]","Los Angeles, CA 90061",https://www.apartments.com/312-w-120th-st-los-angeles-ca/99hfsx6/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,10",,,
Los Angeles,Condos,CA,90002,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","Los Angeles, CA 90002",https://www.apartments.com/8903-beach-st-los-angeles-ca/x0lv1zn/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,,,"$2,40"
Newport Beach,Condos,CA,92663,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","Newport Beach, CA 92663",https://www.apartments.com/122-24th-st-newport-beach-ca-unit-a/kzqtqq8/,2 BAs,"2,800 Sq Ft","2,800",9 Month Lease,Oct 5,,,,,"$5,00"
Huntington Beach,Condos,CA,92648,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","Huntington Beach, CA 92648",https://www.apartments.com/200-pacific-coast-hwy-huntington-beach-ca-unit-328/xy1p1dn/,2½ BAs,"1,428 Sq Ft","1,428",12 Month Lease,Available Now,,,,,"$4,50"
San Luis Obispo,Condos,CA,93405,"[{'bedroom_type': '2 Beds', 'price': '$2,39'}]","San Luis Obispo, CA 93405",https://www.apartments.com/1527-royal-way-san-luis-obispo-ca-unit-1/btn67vc/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,39",,,,
Laguna Beach,Condos,CA,92651,"[{'bedroom_type': '2 Beds', 'price': '$8,00'}]","Laguna Beach, CA 92651",https://www.apartments.com/31423-coast-hwy-laguna-beach-ca-unit-66/6rmlt5s/,2 BAs,"1,579 Sq Ft","1,579",12 Month Lease,Available Now,"$8,00",,,,
