Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													1 Bed
															–
3 Beds											","
Studio																	–
4 Beds													","
2 																	–
5 Beds													","
Studio																	–
3 Beds													","
3 Beds													","
													Studio
											","
													Studio
															–
2 Beds											","
													Studio
															–
3 Beds											","
													1 Bed
															–
2 Beds											"
The Highlander,Sunnyvale,Apartment,CA,94086,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}, {'bedroom_type': '2 Beds', 'price': '$2,535'}]","620 Iris Ave, Sunnyvale, CA 94086",https://www.apartments.com/the-highlander-sunnyvale-ca/r2kd9b0/,,"$2,000","$2,535",,,,,,,,,,,
Purl,San Diego,Apartment,CA,92108,"[{'bedroom_type': 'Studio', 'price': '$2,155'}, {'bedroom_type': '1 Bed', 'price': '$2,345'}, {'bedroom_type': '2 Beds', 'price': '$2,855'}, {'bedroom_type': '3 Beds', 'price': '$3,620'}]","7901 Civita Blvd, San Diego, CA 92108",https://www.apartments.com/purl-san-diego-ca/m0e37fl/,"$2,155","$2,345","$2,855","$3,620",,,,,,,,,,
Pacific Woods Apartment Homes,Santa Ana,Apartment,CA,92704,"[{'bedroom_type': '1 Bed', 'price': '$1,640'}, {'bedroom_type': '2 Beds', 'price': '$1,910'}]","16350 S Harbor Blvd, Santa Ana, CA 92704",https://www.apartments.com/pacific-woods-apartment-homes-santa-ana-ca/67dk7ps/,,"$1,640","$1,910",,,,,,,,,,,
Anton Menlo,Menlo Park,Apartment,CA,94025,"[{'bedroom_type': 'Studio', 'price': '$2,100'}, {'bedroom_type': '1 Bed', 'price': '$2,394'}, {'bedroom_type': '2 Beds', 'price': '$3,300'}, {'bedroom_type': '3 Beds', 'price': '$4,700'}]","3639 Haven Ave, Menlo Park, CA 94025",https://www.apartments.com/anton-menlo-menlo-park-ca/77hv89w/,"$2,100","$2,394","$3,300","$4,700",,,,,,,,,,
Madison Newport,Costa Mesa,Apartment,CA,92627,"[{'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$2,325'}, {'bedroom_type': '3 Beds', 'price': '$3,050'}]","2345 Newport Blvd, Costa Mesa, CA 92627",https://www.apartments.com/madison-newport-costa-mesa-ca/mdcd9tk/,,"$1,895","$2,325","$3,050",,,,,,,,,,
Lakeshore Apartments,Antioch,Apartment,CA,94509,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}, {'bedroom_type': '2 Beds', 'price': '$1,770'}, {'bedroom_type': '3 Beds', 'price': '$2,480'}]","600 Wilbur Ave, Antioch, CA 94509",https://www.apartments.com/lakeshore-apartments-antioch-ca/q0k2l8y/,,"$1,700","$1,770","$2,480",,,,,,,,,,
Panorama Tower,Van Nuys,Apartment,CA,91402,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","8155 Van Nuys Blvd, Van Nuys, CA 91402",https://www.apartments.com/panorama-tower-van-nuys-ca/q4ckk5w/,,,,,,,,,,,,,,
Eleanor Apartments,Sacramento,Apartment,CA,95814,"[{'bedroom_type': 'Studio', 'price': '$1,699'}, {'bedroom_type': '1 Bed', 'price': '$1,839'}, {'bedroom_type': '2 Beds', 'price': '$2,890'}]","501 16th St, Sacramento, CA 95814",https://www.apartments.com/eleanor-apartments-sacramento-ca/l06dstf/,"$1,699","$1,839","$2,890",,,,,,,,,,,
The Hills,San Diego,Apartment,CA,92129,"[{'bedroom_type': '2 Beds', 'price': '$1,853'}, {'bedroom_type': '3 Beds', 'price': '$2,223'}]","15095 Via Hondonada, San Diego, CA 92129",https://www.apartments.com/the-hills-san-diego-ca/llzmp1g/,,,"$1,853","$2,223",,,,,,,,,,
888 on Main,Santa Ana,Apartment,CA,92701,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","888 N Main St, Santa Ana, CA 92701",https://www.apartments.com/888-on-main-santa-ana-ca/5hwyyjn/,,,,,,,,,,,,,,
Coliseum Connections,Oakland,Apartment,CA,94621,"[{'bedroom_type': '1 Bed', 'price': '$2,150'}, {'bedroom_type': '2 Beds', 'price': '$2,370'}]","805 N 71st Ave, Oakland, CA 94621",https://www.apartments.com/coliseum-connections-oakland-ca/1n0krn4/,,"$2,150","$2,370",,,,,,,,,,,
Cherrywood Apartments,San Jose,Apartment,CA,95118,"[{'bedroom_type': 'Studio', 'price': '$1,875'}, {'bedroom_type': '1 Bed', 'price': '$1,975'}, {'bedroom_type': '2 Beds', 'price': '$2,455'}, {'bedroom_type': '3 Beds', 'price': '$3,195'}]","4951 Cherry Ave, San Jose, CA 95118",https://www.apartments.com/cherrywood-apartments-san-jose-ca/bbnek58/,"$1,875","$1,975","$2,455","$3,195",,,,,,,,,,
The Logan at 51st,Oakland,Apartment,CA,94609,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","5110 Telegraph Ave, Oakland, CA 94609",https://www.apartments.com/the-logan-at-51st-oakland-ca/hpjj7b3/,,,,,,,,,,,,,,
Four Seasons Apartments,Walnut Creek,Apartment,CA,94596,"[{'bedroom_type': 'Studio', 'price': '$1,695'}, {'bedroom_type': '1 Bed', 'price': '$1,780'}, {'bedroom_type': '2 Beds', 'price': '$2,095'}]","1357 Creekside Dr, Walnut Creek, CA 94596",https://www.apartments.com/four-seasons-apartments-walnut-creek-ca/q5rlysy/,"$1,695","$1,780","$2,095",,,,,,,,,,,
The Core Natomas,Sacramento,Apartment,CA,95833,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","2745 Orchard Ln, Sacramento, CA 95833",https://www.apartments.com/the-core-natomas-sacramento-ca/tsb4xy9/,,,,,,,,,,,,,,
Anton Aspire,Milpitas,Apartment,CA,95035,"[{'bedroom_type': 'Studio', 'price': '$2,275'}, {'bedroom_type': '1 Bed', 'price': '$2,435'}, {'bedroom_type': '2 Beds', 'price': '$2,995'}]","1828 S Milpitas Blvd, Milpitas, CA 95035",https://www.apartments.com/anton-aspire-milpitas-ca/ptmtmtt/,"$2,275","$2,435","$2,995",,,,,,,,,,,
Crystal Springs Terrace,San Bruno,Apartment,CA,94066,"[{'bedroom_type': 'Studio', 'price': '$2,095'}, {'bedroom_type': '1 Bed', 'price': '$2,295'}, {'bedroom_type': '2 Beds', 'price': '$2,995'}]","2000 Crystal Springs Rd, San Bruno, CA 94066",https://www.apartments.com/crystal-springs-terrace-san-bruno-ca/6m9hdtr/,"$2,095","$2,295","$2,995",,,,,,,,,,,
Tara Hill Apartments,Anaheim,Apartment,CA,92801,"[{'bedroom_type': '2 Beds', 'price': '$1,895'}, {'bedroom_type': '3 Beds', 'price': '$2,200'}]","2130 W Crescent Ave, Anaheim, CA 92801",https://www.apartments.com/tara-hill-apartments-anaheim-ca/hb1pn81/,,,"$1,895","$2,200",,,,,,,,,,
Broadstone Axis,Oakland,Apartment,CA,94611,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","2820-2855 Broadway, Oakland, CA 94611",https://www.apartments.com/broadstone-axis-oakland-ca/7t0de3y/,,,,,,,,,,,,,,
Palm Gate Apartments,South Gate,Apartment,CA,90280,"[{'bedroom_type': 'Studio', 'price': '$1,290'}, {'bedroom_type': '1 Bed', 'price': '$1,490'}, {'bedroom_type': '2 Beds', 'price': '$1,645'}, {'bedroom_type': '3 Beds', 'price': '$1,895'}]","10800 Wright Rd, South Gate, CA 90280",https://www.apartments.com/palm-gate-apartments-south-gate-ca/mb5djkk/,"$1,290","$1,490","$1,645","$1,895",,,,,,,,,,
