Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													1 Bed
															–
2 Beds											","
													1 Bed
															–
3 Beds											"
AMLI Lex on Orange,Glendale,Apartment,CA,91203,"[{'bedroom_type': 'Studio', 'price': '$1,978'}, {'bedroom_type': '1 Bed', 'price': '$2,139'}, {'bedroom_type': '2 Beds', 'price': '$2,915'}]","321 N Orange St, Glendale, CA 91203",https://www.apartments.com/amli-lex-on-orange-glendale-ca/geg65mw/,"$1,978","$2,139","$2,915",,,,
Vineyard Village,Rancho Cucamonga,Apartment,CA,91730,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}, {'bedroom_type': '2 Beds', 'price': '$1,700'}]","8950 Arrow Route Rt, Rancho Cucamonga, CA 91730",https://www.apartments.com/vineyard-village-rancho-cucamonga-ca/pe78q7s/,,"$1,600","$1,700",,,,
Parklands Apartments,Ventura,Apartment,CA,93004,"[{'bedroom_type': '1 Bed', 'price': '$2,175'}, {'bedroom_type': '2 Beds', 'price': '$2,425'}, {'bedroom_type': '3 Beds', 'price': '$3,195'}]","10896 Telegraph Rd, Ventura, CA 93004",https://www.apartments.com/parklands-apartments-ventura-ca/4e1ys7k/,,"$2,175","$2,425","$3,195",,,
Waterbend Apartments,San Francisco,Apartment,CA,94124,"[{'bedroom_type': '1 Bed', 'price': '$1,920'}, {'bedroom_type': '2 Beds', 'price': '$2,955'}]","5880 3rd St, San Francisco, CA 94124",https://www.apartments.com/waterbend-apartments-san-francisco-ca/l7w7epd/,,"$1,920","$2,955",,,,
The CORE at Sycamore Highlands,Riverside,Apartment,CA,92507,"[{'bedroom_type': '1 Bed', 'price': '$1,845'}, {'bedroom_type': '2 Beds', 'price': '$2,097'}, {'bedroom_type': '3 Beds', 'price': ''}]","5946 Sycamore Canyon Blvd, Riverside, CA 92507",https://www.apartments.com/the-core-at-sycamore-highlands-riverside-ca/4h70kmj/,,"$1,845","$2,097",,,,
Park Bonita,Bonita,Apartment,CA,91902,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$2,155'}]","3511-3549 Valley Rd, Bonita, CA 91902",https://www.apartments.com/park-bonita-bonita-ca/yx7nyqv/,,,"$2,155",,,,
Willow Creek,Poway,Apartment,CA,92064,"[{'bedroom_type': '1 Bed', 'price': '$1,828'}, {'bedroom_type': '2 Beds', 'price': '$2,150'}]","13546 Hilleary Pl, Poway, CA 92064",https://www.apartments.com/willow-creek-poway-ca/xtr6eeq/,,"$1,828","$2,150",,,,
Domain Apartments,San Diego,Apartment,CA,92123,"[{'bedroom_type': 'Studio', 'price': '$1,937'}, {'bedroom_type': '1 Bed', 'price': '$1,846'}, {'bedroom_type': '2 Beds', 'price': '$2,291'}]","8798 Spectrum Center Blvd, San Diego, CA 92123",https://www.apartments.com/domain-apartments-san-diego-ca/m2hvg0h/,"$1,937","$1,846","$2,291",,,,
LA Plaza,Los Angeles,Apartment,CA,90013,"[{'bedroom_type': 'Studio', 'price': '$1,700'}, {'bedroom_type': '1 Bed', 'price': '$2,075'}, {'bedroom_type': '2 Beds', 'price': '$2,825'}, {'bedroom_type': '3 Beds', 'price': '$4,050'}]","555 N Spring St, Los Angeles, CA 90013",https://www.apartments.com/la-plaza-los-angeles-ca/qkn2sxy/,"$1,700","$2,075","$2,825","$4,050",,,
Hollister Village,Goleta,Apartment,CA,93117,"[{'bedroom_type': '1 Bed', 'price': '$2,675'}, {'bedroom_type': '2 Beds', 'price': '$2,945'}, {'bedroom_type': '3 Beds', 'price': '$3,760'}]","100 Baldwin Dr, Goleta, CA 93117",https://www.apartments.com/hollister-village-goleta-ca/k02030c/,,"$2,675","$2,945","$3,760",,,
The Mason Flats,Pleasanton,Apartment,CA,94566,"[{'bedroom_type': '1 Bed', 'price': '$2,290'}, {'bedroom_type': '2 Beds', 'price': '$2,879'}, {'bedroom_type': '3 Beds', 'price': '$4,434'}]","1605 Lexington Ln, Pleasanton, CA 94566",https://www.apartments.com/the-mason-flats-pleasanton-ca/b449r98/,,"$2,290","$2,879","$4,434",,,
Ashton San Francisco Apartments,San Francisco,Apartment,CA,94134,"[{'bedroom_type': 'Studio', 'price': '$3,039'}, {'bedroom_type': '1 Bed', 'price': '$2,090'}, {'bedroom_type': '2 Beds', 'price': '$3,633'}]","301 Executive Park Blvd, San Francisco, CA 94134",https://www.apartments.com/ashton-san-francisco-apartments-san-francisco-ca/0pvmdb0/,"$3,039","$2,090","$3,633",,,,
Torrey Pines Apartment Homes,West Covina,Apartment,CA,91790,"[{'bedroom_type': '2 Beds', 'price': '$1,775'}]","851 S Sunset Ave, West Covina, CA 91790",https://www.apartments.com/torrey-pines-apartment-homes-west-covina-ca/qn94fky/,,,"$1,775",,,,
Mira Vista Hills,Antioch,Apartment,CA,94509,"[{'bedroom_type': '1 Bed', 'price': '$1,952'}, {'bedroom_type': '2 Beds', 'price': '$1,814'}]","2201 San Jose Dr, Antioch, CA 94509",https://www.apartments.com/mira-vista-hills-antioch-ca/3hr5bmg/,,"$1,952","$1,814",,,,
Koll Center,San Diego,Apartment,CA,92101,"[{'bedroom_type': 'Studio', 'price': '$1,449'}, {'bedroom_type': '1 Bed', 'price': '$1,659'}, {'bedroom_type': '2 Beds', 'price': '$2,085'}]","505 W Broadway, San Diego, CA 92101",https://www.apartments.com/koll-center-san-diego-ca/39shbyg/,"$1,449","$1,659","$2,085",,,,
Homecoming At Creekside,Sacramento,Apartment,CA,95835,"[{'bedroom_type': '1 Bed', 'price': '$1,897'}, {'bedroom_type': '2 Beds', 'price': '$2,240'}, {'bedroom_type': '3 Beds', 'price': '$2,619'}]","4800 Kokomo Dr, Sacramento, CA 95835",https://www.apartments.com/homecoming-at-creekside-sacramento-ca/kf9qhjc/,,"$1,897","$2,240","$2,619",,,
