City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,4+ Beds,1 Bed,Studio
3532 San Leandro St,Townhomes,Oakland,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,997'}]","Oakland, CA 94601",https://www.apartments.com/3532-san-leandro-st-oakland-ca/6w3k02v/,1 BA,"1,001 Sq Ft","1,001",,Available Now,,,,,"$1,997",
1345 Elm St,Townhomes,El Cerrito,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","El Cerrito, CA 94530",https://www.apartments.com/1345-elm-st-el-cerrito-ca/mwr2hlk/,1 BA,"1,040 Sq Ft","1,040",,Available Now,"$3,000",,,,,
Westminster,Townhomes,CA,92683,"[{'bedroom_type': '3 Beds', 'price': '$2,99'}]","Westminster, CA 92683",https://www.apartments.com/14165-windjammer-ln-westminster-ca/wjvrmcl/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Nov 15,,"$2,99",,,,
Whittier,Townhomes,CA,90601,"[{'bedroom_type': '3 Beds', 'price': '$2,60'}]","Whittier, CA 90601",https://www.apartments.com/13063-cam-del-oro-whittier-ca/q4j7s7y/,1½ BAs,"1,435 Sq Ft","1,435",12 Month Lease,Available Now,,"$2,60",,,,
Oakland,Townhomes,CA,94606,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","Oakland, CA 94606",https://www.apartments.com/277-wayne-ave-oakland-ca/mfgszdj/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$3,00",,,,,
41543 Jupiter Hills Ct,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,945'}]","Palm Desert, CA 92211",https://www.apartments.com/41543-jupiter-hills-ct-palm-desert-ca/cnb3l3f/,3 BAs,"1,337 Sq Ft","1,337",,Available Now,"$2,945",,,,,
41742 Jupiter Hills Ct,Townhomes,Palm Desert,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,945'}]","Palm Desert, CA 92211",https://www.apartments.com/41742-jupiter-hills-ct-palm-desert-ca/n9sx7cn/,3 BAs,938 Sq Ft,938,,Available Now,,,,,"$2,945",
18225 Coastline Dr,Townhomes,Malibu,CA,"[{'bedroom_type': '4 Beds', 'price': '$10,995'}]","Malibu, CA 90265",https://www.apartments.com/18225-coastline-dr-malibu-ca/m1fp86h/,4 BAs,"2,550 Sq Ft","2,550",,Available Now,,,"$10,995",,,
22725 Lakeway Dr,Townhomes,Diamond Bar,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]","Diamond Bar, CA 91765",https://www.apartments.com/22725-lakeway-dr-diamond-bar-ca/hfh3wc2/,2 BAs,912 Sq Ft,912,,Available Now,"$1,950",,,,,
6453 Zuma View Pl,Townhomes,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$6,000'}]","Malibu, CA 90265",https://www.apartments.com/6453-zuma-view-pl-malibu-ca/c3xls0d/,3 BAs,"2,072 Sq Ft","2,072",,Available Now,,"$6,000",,,,
6477 Zuma View Pl,Townhomes,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$6,495'}]","Malibu, CA 90265",https://www.apartments.com/6477-zuma-view-pl-malibu-ca/fx6dqnr/,3 BAs,"1,914 Sq Ft","1,914",,Available Now,,"$6,495",,,,
6477 Kanan Dume Rd,Townhomes,Malibu,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]","Malibu, CA 90265",https://www.apartments.com/6477-kanan-dume-rd-malibu-ca/rhzbfh3/,2 BAs,"1,118 Sq Ft","1,118",,Available Now,"$3,750",,,,,
5605 Compton Ave,Townhomes,Los Angeles,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,699'}]","Los Angeles, CA 90011",https://www.apartments.com/5605-compton-ave-los-angeles-ca/812zdz0/,2 BAs,"3,344 Sq Ft","3,344",,Available Now,,,"$2,699",,,
3229 Rambla Pacifico St,Townhomes,Malibu,CA,"[{'bedroom_type': '4+ Beds', 'price': '$85,000'}]","Malibu, CA 90265",https://www.apartments.com/3229-rambla-pacifico-st-malibu-ca/4f3svdh/,10 BAs,"8,272 Sq Ft","8,272",,Available Now,,,,"$85,000",,
18487 Del Bonita St,Townhomes,Rowland Heights,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,250'}]","Rowland Heights, CA 91748",https://www.apartments.com/18487-del-bonita-st-rowland-heights-ca/sd54154/,1 BA,365 Sq Ft,365,12 Month Lease,Available Now,,,,,"$1,250",
9788 Caminito Bolsa,Townhomes,San Diego,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","San Diego, CA 92129",https://www.apartments.com/9788-caminito-bolsa-san-diego-ca/kytxyxb/,1½ BAs,"1,215 Sq Ft","1,215",,Available Now,,"$2,500",,,,
San Diego,Townhomes,CA,92121,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","San Diego, CA 92121",https://www.apartments.com/10266-wateridge-cir-san-diego-ca/0v39gn1/,2½ BAs,"1,148 Sq Ft","1,148",12 Month Lease,Oct 5,"$2,35",,,,,
San Francisco,Townhomes,CA,94131,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","San Francisco, CA 94131",https://www.apartments.com/112-gold-mine-dr-san-francisco-ca/7p36q0x/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,,,"$2,00",
Los Angeles,Townhomes,CA,90033,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","Los Angeles, CA 90033",https://www.apartments.com/1560-ricardo-st-los-angeles-ca/84lp261/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$3,00",,,,
Pleasanton,Townhomes,CA,94566,"[{'bedroom_type': '4 Beds', 'price': '$2,99'}]","Pleasanton, CA 94566",https://www.apartments.com/522-saint-thomas-way-pleasanton-ca/ew6sz9p/,2½ BAs,"1,611 Sq Ft","1,611",12 Month Lease,Available Now,,,"$2,99",,,
Glendale,Townhomes,CA,91205,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","411 Lincoln Ave, Glendale, CA 91205",https://www.apartments.com/411-lincoln-ave-glendale-ca/k1r94wb/,2 BAs,900 Sq Ft,900,12 Month Lease,Available Now,"$2,40",,,,,
Los Gatos,Townhomes,CA,95032,"[{'bedroom_type': '3 Beds', 'price': '$3,85'}]","Los Gatos, CA 95032",https://www.apartments.com/16130-loretta-ln-los-gatos-ca/vqxyy5d/,2½ BAs,"1,350 Sq Ft","1,350",12 Month Lease,Oct 9,,"$3,85",,,,
Pasadena,Townhomes,CA,91107,"[{'bedroom_type': '3 Beds', 'price': '$3,89'}]","315 S Sierra Madre Blvd, Pasadena, CA 91107",https://www.apartments.com/315-s-sierra-madre-blvd-pasadena-ca/eqmdpvp/,3 BAs,"1,504 Sq Ft","1,504",,Available Now,,"$3,89",,,,
Los Angeles,Townhomes,CA,90033,"[{'bedroom_type': '4 Beds', 'price': '$2,85'}]","1434 Ricardo St, Los Angeles, CA 90033",https://www.apartments.com/1434-ricardo-st-los-angeles-ca/c4f56sd/,3 BAs,"1,562 Sq Ft","1,562",12 Month Lease,Available Now,,,"$2,85",,,
Valencia,Townhomes,CA,91354,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","Valencia, CA 91354",https://www.apartments.com/28204-canterbury-ct-valencia-ca/gp90k0y/,1 BA,"1,332 Sq Ft","1,332",12 Month Lease,Nov 1,"$2,35",,,,,
Sherman Oaks,Townhomes,CA,91423,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","4412 Ventura Canyon Ave, Sherman Oaks, CA 91423",https://www.apartments.com/4412-ventura-canyon-ave-sherman-oaks-ca/2vwwmf9/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,30",,,,,
Milpitas,Townhomes,CA,95035,"[{'bedroom_type': '2 Beds', 'price': '$3,10'}]","Milpitas, CA 95035",https://www.apartments.com/920-rain-dance-milpitas-ca/6wl6d2t/,2½ BAs,"1,353 Sq Ft","1,353",,Available Now,"$3,10",,,,,
Santa Clara,Townhomes,CA,95050,"[{'bedroom_type': '3 Beds', 'price': '$3,24'}]","Santa Clara, CA 95050",https://www.apartments.com/2469-michele-jean-way-santa-clara-ca/dqc094l/,2 BAs,"1,475 Sq Ft","1,475",12 Month Lease,Available Now,,"$3,24",,,,
Santa Barbara,Townhomes,CA,93110,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","Santa Barbara, CA 93110",https://www.apartments.com/4756-camino-del-rey-santa-barbara-ca/7gqr3yw/,2 BAs,"1,333 Sq Ft","1,333",12 Month Lease,Available Now,"$3,00",,,,,
Azusa,Townhomes,CA,91702,"[{'bedroom_type': '3 Beds', 'price': '$2,29'}]","Azusa, CA 91702",https://www.apartments.com/836-n-angeleno-ave-azusa-ca/2xhlsn9/,2 BAs,750 Sq Ft,750,12 Month Lease,Available Now,,"$2,29",,,,
Beverly Hills,Townhomes,CA,90212,"[{'bedroom_type': '3 Beds', 'price': '$5,50'}]","443 Bedford S Dr, Beverly Hills, CA 90212",https://www.apartments.com/443-bedford-s-dr-beverly-hills-ca/wxw7x7k/,4 BAs,"2,300 Sq Ft","2,300",12 Month Lease,Available Now,,"$5,50",,,,
North Hollywood,Townhomes,CA,91606,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","12420 Lemay St, North Hollywood, CA 91606",https://www.apartments.com/12420-lemay-st-north-hollywood-ca/j7cp154/,3 BAs,"1,147 Sq Ft","1,147",1 Month Lease,Available Now,,"$4,00",,,,
San Jose,Townhomes,CA,95136,"[{'bedroom_type': '2 Beds', 'price': '$2,75'}]","San Jose, CA 95136",https://www.apartments.com/130-baroni-ave-san-jose-ca/9m9g0j4/,2½ BAs,"1,340 Sq Ft","1,340",12 Month Lease,Available Now,"$2,75",,,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '3 Beds', 'price': '$3,89'}]","Mountain View, CA 94043",https://www.apartments.com/370-flower-ln-mountain-view-ca/82y0h41/,2½ BAs,"1,390 Sq Ft","1,390",12 Month Lease,Available Now,,"$3,89",,,,
Mountain View,Townhomes,CA,94041,"[{'bedroom_type': '3 Beds', 'price': '$4,35'}]","Mountain View, CA 94041",https://www.apartments.com/120-azalea-dr-mountain-view-ca/1mlpp27/,2½ BAs,"1,844 Sq Ft","1,844",12 Month Lease,Available Now,,"$4,35",,,,
San Jose,Townhomes,CA,95131,"[{'bedroom_type': '3 Beds', 'price': '$3,25'}]","San Jose, CA 95131",https://www.apartments.com/1285-laveille-ct-san-jose-ca/le2q8yf/,2½ BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,"$3,25",,,,
San Francisco,Townhomes,CA,94114,"[{'bedroom_type': '2 Beds', 'price': '$4,19'}]","San Francisco, CA 94114",https://www.apartments.com/3-worth-st-san-francisco-ca/71he96z/,1 BA,"1,217 Sq Ft","1,217",12 Month Lease,Available Now,"$4,19",,,,,
Petaluma,Townhomes,CA,94952,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","Petaluma, CA 94952",https://www.apartments.com/274-douglas-st-petaluma-ca/phme0pt/,1 BA,650 Sq Ft,650,6 Month Lease,Available Now,,,,,"$1,70",
Manhattan Beach,Townhomes,CA,90266,"[{'bedroom_type': '3 Beds', 'price': '$8,90'}]","84 Manhattan Ave, Manhattan Beach, CA 90266",https://www.apartments.com/84-manhattan-ave-manhattan-beach-ca/dxwxbll/,3 BAs,"2,200 Sq Ft","2,200",1 Month Lease,Available Now,,"$8,90",,,,
Berkeley,Townhomes,CA,94703,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","Berkeley, CA 94703",https://www.apartments.com/2708-mcgee-ave-berkeley-ca/cwwpc6g/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,30",,,,,
Orange,Townhomes,CA,92869,"[{'bedroom_type': '2 Beds', 'price': '$3,25'}]","Orange, CA 92869",https://www.apartments.com/4736-e-washington-ave-orange-ca/t1dw53b/,2 BAs,"1,340 Sq Ft","1,340",12 Month Lease,Available Now,"$3,25",,,,,
San Jose,Townhomes,CA,95134,"[{'bedroom_type': '2 Beds', 'price': '$2,90'}]","San Jose, CA 95134",https://www.apartments.com/430-navaro-pl-san-jose-ca/gefnmhy/,1½ BAs,"1,134 Sq Ft","1,134",12 Month Lease,Available Now,"$2,90",,,,,
Westlake Village,Townhomes,CA,91361,"[{'bedroom_type': '3 Beds', 'price': '$6,00'}]","Westlake Village, CA 91361",https://www.apartments.com/1218-s-westlake-blvd-westlake-village-ca/lsl3jte/,3 BAs,"1,818 Sq Ft","1,818",12 Month Lease,Available Now,,"$6,00",,,,
Chula Vista,Townhomes,CA,91915,"[{'bedroom_type': '3 Beds', 'price': '$2,94'}]","Chula Vista, CA 91915",https://www.apartments.com/1610-phoenix-ct-chula-vista-ca/k0p5669/,2½ BAs,"1,636 Sq Ft","1,636",6 Month Lease,Available Now,,"$2,94",,,,
Cupertino,Townhomes,CA,95014,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","Cupertino, CA 95014",https://www.apartments.com/11482-garden-terrace-dr-cupertino-ca/4p1z2jk/,2½ BAs,"1,591 Sq Ft","1,591",12 Month Lease,Available Now,,"$3,80",,,,
Huntington Beach,Townhomes,CA,92648,"[{'bedroom_type': '2 Beds', 'price': '$3,45'}]","Huntington Beach, CA 92648",https://www.apartments.com/205-hartford-ave-huntington-beach-ca/0edwsz0/,2½ BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,"$3,45",,,,,
Redwood City,Townhomes,CA,94061,"[{'bedroom_type': '2 Beds', 'price': '$3,30'}]","Redwood City, CA 94061",https://www.apartments.com/1539-redwood-ave-redwood-city-ca/wbx42hl/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$3,30",,,,,
Monrovia,Townhomes,CA,91016,"[{'bedroom_type': '2 Beds', 'price': '$2,15'}]","Monrovia, CA 91016",https://www.apartments.com/229-n-mountain-ave-monrovia-ca/bqk7clb/,1½ BAs,980 Sq Ft,980,6 Month Lease,Available Now,"$2,15",,,,,
San Carlos,Townhomes,CA,94070,"[{'bedroom_type': '2 Beds', 'price': '$4,10'}]","San Carlos, CA 94070",https://www.apartments.com/539-elm-st-san-carlos-ca/f263f8s/,2½ BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,"$4,10",,,,,
Laguna Beach,Townhomes,CA,92651,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","Laguna Beach, CA 92651",https://www.apartments.com/107-cedar-way-laguna-beach-ca/gsyey8y/,2 BAs,"1,000 Sq Ft","1,000",,Available Now,"$2,99",,,,,
