City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,Studio,2 Beds,3 Beds,5 Beds,4 Beds
Oakland,Condos,CA,94603,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","Oakland, CA 94603",https://www.apartments.com/10920-apricot-st-oakland-ca/zmngf4w/,1 BA,590 Sq Ft,590,12 Month Lease,Available Now,"$1,70",,,,,
Los Angeles,Condos,CA,91605,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","Los Angeles, CA 91605",https://www.apartments.com/6810-simpson-ave-los-angeles-ca/kbw4jc8/,3 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,,"$3,50",,
Sausalito,Condos,CA,94965,"[{'bedroom_type': '2 Beds', 'price': '$9,90'}]","Sausalito, CA 94965",https://www.apartments.com/100-south-st-sausalito-ca-unit-309/kntfgp8/,2 BAs,"1,330 Sq Ft","1,330",12 Month Lease,Dec 6,,,"$9,90",,,
Palm Springs,Condos,CA,92264,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Palm Springs, CA 92264",https://www.apartments.com/505-s-farrell-dr-palm-springs-ca-unit-p95/wz10h5l/,2 BAs,"1,175 Sq Ft","1,175",6 Month Lease,Available Now,,,"$2,50",,,
Sausalito,Condos,CA,94965,"[{'bedroom_type': '2 Beds', 'price': '$9,99'}]","Sausalito, CA 94965",https://www.apartments.com/100-south-st-sausalito-ca-unit-309/w0vb5rj/,2 BAs,"1,330 Sq Ft","1,330",3 Month Lease,Available Now,,,"$9,99",,,
Millbrae,Condos,CA,94030,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","Millbrae, CA 94030",https://www.apartments.com/990-magnolia-ave-millbrae-ca/tfv49f9/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$2,80",,,
La Verne,Condos,CA,91750,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","La Verne, CA 91750",https://www.apartments.com/4545-ramona-ave-la-verne-ca-unit-2/9wpshe6/,1 BA,616 Sq Ft,616,12 Month Lease,Available Now,"$1,65",,,,,
Petaluma,Condos,CA,94952,"[{'bedroom_type': '1 Bed', 'price': '$1,80'}]","Petaluma, CA 94952",https://www.apartments.com/720-petaluma-blvd-s-petaluma-ca-unit-14/s8617t6/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$1,80",,,,,
Lawndale,Condos,CA,90260,"[{'bedroom_type': '1 Bed', 'price': '$2,49'}]","Lawndale, CA 90260",https://www.apartments.com/4575-w-173rd-st-lawndale-ca/p0nrb4t/,1 BA,450 Sq Ft,450,1 Month Lease,Feb 26,"$2,49",,,,,
Lompoc,Condos,CA,93436,"[{'bedroom_type': '1 Bed', 'price': '$1,35'}]","Lompoc, CA 93436",https://www.apartments.com/2226-tularosa-ln-lompoc-ca/fj3p6ls/,1 BA,600 Sq Ft,600,6 Month Lease,Available Now,"$1,35",,,,,
Anaheim,Condos,CA,92801,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","Anaheim, CA 92801",https://www.apartments.com/412-n-valley-st-anaheim-ca/7djzm7w/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$1,99",,,
Santa Barbara,Condos,CA,93101,"[{'bedroom_type': '1 Bed', 'price': '$3,95'}]","Santa Barbara, CA 93101",https://www.apartments.com/127-bath-st-santa-barbara-ca-unit-c3/k9qmt8b/,1 BA,575 Sq Ft,575,12 Month Lease,Dec 21,"$3,95",,,,,
Whittier,Condos,CA,90602,"[{'bedroom_type': '2 Beds', 'price': '$1,79'}]","Whittier, CA 90602",https://www.apartments.com/13242-cullen-st-whittier-ca/yyr8w1s/,1 BA,850 Sq Ft,850,6 Month Lease,Available Now,,,"$1,79",,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","Los Angeles, CA 90024",https://www.apartments.com/671-landfair-ave-los-angeles-ca/nt5em7p/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,"$2,60",,,
Oceanside,Condos,CA,92057,"[{'bedroom_type': '2 Beds', 'price': '$1,78'}]","Oceanside, CA 92057",https://www.apartments.com/510-calle-montecito-oceanside-ca-unit-56/n0fs3hp/,2 BAs,856 Sq Ft,856,3 Month Lease,Available Now,,,"$1,78",,,
El Cajon,Condos,CA,92020,"[{'bedroom_type': '2 Beds', 'price': '$1,70'}]","El Cajon, CA 92020",https://www.apartments.com/1314-cuyamaca-st-el-cajon-ca/xyevsgq/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$1,70",,,
Burlingame,Condos,CA,94010,"[{'bedroom_type': '1 Bed', 'price': '$2,39'}]","Burlingame, CA 94010",https://www.apartments.com/500-el-camino-real-burlingame-ca/4qhvwgj/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$2,39",,,,,
San Francisco,Condos,CA,94134,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","San Francisco, CA 94134",https://www.apartments.com/120-leland-ave-san-francisco-ca/mes09dh/,1 BA,"99,999 Sq Ft","99,999",12 Month Lease,Available Now,,,"$2,95",,,
San Jose,Condos,CA,95124,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","San Jose, CA 95124",https://www.apartments.com/2116-curtner-ave-san-jose-ca/ej61b7q/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,,"$2,50",,,
Los Angeles,Condos,CA,91303,"[{'bedroom_type': '1 Bed', 'price': '$1,45'}]","Los Angeles, CA 91303",https://www.apartments.com/6835-de-soto-ave-los-angeles-ca/jy57vp6/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,45",,,,,
San Diego,Condos,CA,92111,"[{'bedroom_type': '2 Beds', 'price': '$1,75'}]","San Diego, CA 92111",https://www.apartments.com/4122-mt-alifan-dr-san-diego-ca-unit-a/qx7x5jw/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$1,75",,,
Richmond,Condos,CA,94804,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","Richmond, CA 94804",https://www.apartments.com/565-hayes-st-richmond-ca/k7b0699/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,,"$2,85",,,
Lake Forest,Condos,CA,92630,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","Lake Forest, CA 92630",https://www.apartments.com/22874-bonita-ln-lake-forest-ca-unit-22874/e9zc59n/,1½ BAs,"1,020 Sq Ft","1,020",1 Month Lease,Available Now,,,"$2,25",,,
Bakersfield,Condos,CA,93308,"[{'bedroom_type': '2 Beds', 'price': '$1,00'}]","Bakersfield, CA 93308",https://www.apartments.com/6524-mohawk-st-bakersfield-ca/pve0l7s/,1 BA,700 Sq Ft,700,6 Month Lease,Available Now,,,"$1,00",,,
Bloomington,Condos,CA,92316,"[{'bedroom_type': '1 Bed', 'price': '$1,39'}]","Bloomington, CA 92316",https://www.apartments.com/9891-cedar-ave-bloomington-ca/579qd6m/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,39",,,,,
