City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,2 Beds,3 Beds,1 Bed,Studio,5 Beds,1 – 3 Beds,6 Beds
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '1 Bed', 'price': '$2,65'}]","Los Angeles, CA 90019",https://www.apartments.com/1247-s-tremaine-ave-los-angeles-ca/qgh10lx/,1 BA,"1,000 Sq Ft","1,000",1 Month Lease,Available Now,,,,"$2,65",,,,
San Jose,Houses,CA,95116,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","San Jose, CA 95116",https://www.apartments.com/710-banff-st-san-jose-ca/n7k2lxm/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,50",,,,,,
Palo Alto,Houses,CA,94306,"[{'bedroom_type': '3 Beds', 'price': '$4,80'}]","Palo Alto, CA 94306",https://www.apartments.com/2080-yale-st-palo-alto-ca/273j1e9/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$4,80",,,,,
Los Angeles,Houses,CA,90032,"[{'bedroom_type': '2 Beds', 'price': '$2,69'}]","Los Angeles, CA 90032",https://www.apartments.com/2373-belleglade-ave-los-angeles-ca/l0rtnpg/,1 BA,"1,060 Sq Ft","1,060",12 Month Lease,Nov 1,,"$2,69",,,,,,
Sherwood Forest,Houses,CA,91325,"[{'bedroom_type': '1 Bed', 'price': '$2,05'}]","Sherwood Forest, CA 91325",https://www.apartments.com/8835-paso-robles-ave-sherwood-forest-ca/xd640em/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,"$2,05",,,,
Idyllwild-Pine Cove,Houses,CA,92549,"[{'bedroom_type': '2 Beds', 'price': '$1,37'}]","Idyllwild-Pine Cove, CA 92549",https://www.apartments.com/24855-marion-ridge-dr-idyllwild-pine-cove-ca/bfpw4e8/,2 BAs,"1,064 Sq Ft","1,064",12 Month Lease,Available Now,,"$1,37",,,,,,
Beverly Hills,Houses,CA,90212,"[{'bedroom_type': '3 Beds', 'price': '$8,50'}]","Beverly Hills, CA 90212",https://www.apartments.com/204-s-maple-dr-beverly-hills-ca/wyb2llk/,2 BAs,"2,300 Sq Ft","2,300",12 Month Lease,Available Now,,,"$8,50",,,,,
Sylmar,Houses,CA,91342,"[{'bedroom_type': '3 Beds', 'price': '$2,65'}]","Sylmar, CA 91342",https://www.apartments.com/13336-bombay-st-sylmar-ca/q1k1nyx/,2 BAs,"1,208 Sq Ft","1,208",12 Month Lease,Available Now,,,"$2,65",,,,,
Culver City,Houses,CA,90232,"[{'bedroom_type': '1 Bed', 'price': '$1,80'}]","Culver City, CA 90232",https://www.apartments.com/3828-bentley-ave-culver-city-ca/slpppk6/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,"$1,80",,,,
Santa Monica,Houses,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$4,00'}]","1915 Arizona Ave, Santa Monica, CA 90404",https://www.apartments.com/1915-arizona-ave-santa-monica-ca/ygwxtxr/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$4,00",,,,,,
Los Angeles,Houses,CA,91342,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","Los Angeles, CA 91342",https://www.apartments.com/15167-cobalt-st-los-angeles-ca/fe519vs/,2 BAs,"1,750 Sq Ft","1,750",12 Month Lease,Available Now,,,"$3,50",,,,,
Redondo Beach,Houses,CA,90278,"[{'bedroom_type': '3 Beds', 'price': '$3,70'}]","2222 Curtis Ave, Redondo Beach, CA 90278",https://www.apartments.com/2222-curtis-ave-redondo-beach-ca/dyyq2hl/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Oct 5,,,"$3,70",,,,,
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '3 Beds', 'price': '$4,05'}]","Los Angeles, CA 90046",https://www.apartments.com/712-n-fuller-ave-los-angeles-ca/qrq4d0z/,2 BAs,950 Sq Ft,950,12 Month Lease,Available Now,,,"$4,05",,,,,
Redondo Beach,Houses,CA,90278,"[{'bedroom_type': '3 Beds', 'price': '$4,80'}]","Redondo Beach, CA 90278",https://www.apartments.com/1732-carlson-ln-redondo-beach-ca/hk42083/,2½ BAs,"1,956 Sq Ft","1,956",,Oct 5,,,"$4,80",,,,,
Los Angeles,Houses,CA,90063,"[{'bedroom_type': '3 Beds', 'price': '$2,95'}]","4138 Blanchard St, Los Angeles, CA 90063",https://www.apartments.com/4138-blanchard-st-los-angeles-ca/vtny4qd/,2½ BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,"$2,95",,,,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","2664 Loosmore St, Los Angeles, CA 90065",https://www.apartments.com/2664-loosmore-st-los-angeles-ca/24yfkr9/,1 BA,816 Sq Ft,816,12 Month Lease,Available Now,,"$2,70",,,,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$5,80'}]","Venice, CA 90291",https://www.apartments.com/334-rennie-ave-venice-ca/egyt89m/,2 BAs,988 Sq Ft,988,12 Month Lease,Available Now,,"$5,80",,,,,,
Santa Monica,Houses,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$6,00'}]","1257 19th St, Santa Monica, CA 90404",https://www.apartments.com/1257-19th-st-santa-monica-ca/3thd5le/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$6,00",,,,,,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '3 Beds', 'price': '$6,50'}]","2424 Detour Dr, Los Angeles, CA 90068",https://www.apartments.com/2424-detour-dr-los-angeles-ca/ff3g6lv/,2 BAs,"1,530 Sq Ft","1,530",6 Month Lease,Available Now,,,"$6,50",,,,,
