Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Zillow_price/sqft,House_website
,"$714,999","31 Glenhurst #18, Irvine, CA 92604",31 Glenhurst #18,Irvine,CA,92604,3,3,"1,399",No Data,null,Townhouse,1979,"Garage, Garage - Attached, Covered",$422/mo,"$675,961",$511,https://www.zillow.com/homedetails/31-Glenhurst-18-Irvine-CA-92604/25725543_zpid/
,"$425,000","16 Willowcrest Ln, Pomona, CA 91766",16 Willowcrest Ln,Pomona,CA,91766,3,3,"1,265",1.51 Acres,65775.6,Townhouse,1984,"Carport, Covered",$318/mo,"$432,203",$336,https://www.zillow.com/homedetails/16-Willowcrest-Ln-Pomona-CA-91766/21667331_zpid/
,"$780,000","817 Estancia Ter #15, San Lorenzo, CA 94580",817 Estancia Ter #15,SanLorenzo,CA,94580,4,3,"1,764","1,555 sqft",1555.0,Townhouse,2020,Garage - Attached,$235/mo,"$805,999",$442,https://www.zillow.com/homedetails/817-Estancia-Ter-15-San-Lorenzo-CA-94580/2076795205_zpid/
,"$315,000","3005 Courtside Dr, Diamond Springs, CA 95619",3005 Courtside Dr,DiamondSprings,CA,95619,"Studio,",--,"1,231","1,742 sqft",1742.0,Townhouse,2004,"Garage - Attached, Covered",$127/mo,"$318,281",$256,https://www.zillow.com/homedetails/3005-Courtside-Dr-Diamond-Springs-CA-95619/63129863_zpid/
,"$599,000","5477 Nestle Ave UNIT 20, Los Angeles, CA 91356",5477 Nestle Ave UNIT 20,LosAngeles,CA,91356,3,3,"1,754",1.56 Acres,67953.6,Townhouse,1965,"Garage - Attached, Covered",$499/mo,"$599,082",$342,https://www.zillow.com/homedetails/5477-Nestle-Ave-UNIT-20-Los-Angeles-CA-91356/19937401_zpid/
,"$600,900","11791 Carraige Ln, Whittier, CA 90602",11791 Carraige Ln,Whittier,CA,90602,3,4,"1,626","1,001 sqft",1001.0,Townhouse,2020,"Garage - Attached, Covered",$231/mo,"$600,903",$370,https://www.zillow.com/homedetails/11791-Carraige-Ln-Whittier-CA-90602/2077501865_zpid/
,"$516,990+","Residence 4 WLH Plan, Meadow Park",Residence 4 WLH Plan,MeadowPark,null,null,3,3,"1,618",No Data,null,Townhouse,2020,Covered,null,null,$320,https://www.zillow.com/community/meadow-park/2081115674_zpid/
,"$425,000","3512 Dameron Pl, Antioch, CA 94509",3512 Dameron Pl,Antioch,CA,94509,3,3,"1,528","1,346 sqft",1346.0,Townhouse,1984,"Garage, Garage - Attached, Covered",$329/mo,"$425,004",$278,https://www.zillow.com/homedetails/3512-Dameron-Pl-Antioch-CA-94509/18313222_zpid/
,"$265,000","101 Rockwood Dr, Grass Valley, CA 95945",101 Rockwood Dr,GrassValley,CA,95945,2,2,"1,253","1,306 sqft",1306.0,Townhouse,1975,"Carport, Covered",$429/mo,"$265,759",$211,https://www.zillow.com/homedetails/101-Rockwood-Dr-Grass-Valley-CA-95945/19429210_zpid/
,"$459,000","460 Heatherglen Ln, San Dimas, CA 91773",460 Heatherglen Ln,SanDimas,CA,91773,3,2,"1,076","1,920 sqft",1920.0,Townhouse,1978,"Garage, Garage - Attached, Covered",$330/mo,"$474,827",$427,https://www.zillow.com/homedetails/460-Heatherglen-Ln-San-Dimas-CA-91773/21649605_zpid/
