Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
House for sale,"$130,000","51916 Ella Ave, Cabazon, CA 92230",51916 Ella Ave ,Cabazon,CA,92230,33.900005,-116.75554,"1,620","7,840 sqft",7840.0,Single Family,2005,No Data,null,$80,"$127,955","$1,475/mo",https://www.zillow.com/homedetails/51916-Ella-Ave-Cabazon-CA-92230/79484049_zpid/
Foreclosure,"$559,900","11831 Rexford Rd, Garden Grove, CA 92840",11831 Rexford Rd ,Garden Grove,CA,92840,33.782649,-117.926331,"1,158","7,287 sqft",7287.0,Single Family,1954,6 spaces,None,$484,"$559,904","$2,850/mo",https://www.zillow.com/homedetails/11831-Rexford-Rd-Garden-Grove-CA-92840/25174449_zpid/
House for sale,"$589,900","28105 Castillo Ln, Valencia, CA 91354",28105 Castillo Ln ,Valencia,CA,91354,34.458131,-118.546476,"1,423",0.85 acres,37026.0,Single Family,1999,2 spaces,$41/month,$415,"$593,425","$2,895/mo",https://www.zillow.com/homedetails/28105-Castillo-Ln-Valencia-CA-91354/20194639_zpid/
New construction,"$25,000,000","1 Promontory Poin, Palm Springs, CA 92262",1 Promontory Poin ,Palm Springs,CA,92262,33.8278,-116.550917,"10,000",31 acres,1350360.0,Single Family,No Data,Attached Garage,null,"$2,500",null,null,https://www.zillow.com/homedetails/1-Promontory-Poin-Palm-Springs-CA-92262/2078974199_zpid/
House for sale,"$3,195,000","Carmelo 2 Ne Of 8th, Carmel By The Sea, CA 93921", Carmelo 2 NE of 8th ,Carmel By The Sea,CA,93921,36.552883,-121.926688,"1,498","3,998 sqft",3998.0,Single Family,1953,No Data,null,"$2,133","$3,116,882","$8,648/mo",https://www.zillow.com/homedetails/Carmelo-2-Ne-Of-8th-Carmel-By-The-Sea-CA-93921/2096747696_zpid/
House for sale,"$365,000","8245 Palmerson Dr, Antelope, CA 95843",8245 Palmerson Dr ,Antelope,CA,95843,38.719826,-121.358965,"1,575","6,534 sqft",6534.0,Single Family,1990,2 spaces,None,$232,"$371,936","$2,100/mo",https://www.zillow.com/homedetails/8245-Palmerson-Dr-Antelope-CA-95843/25966204_zpid/
House for sale,"$419,000","36566 Calle Esperanza, Cathedral City, CA 92234",36566 Calle Esperanza ,Cathedral City,CA,92234,33.781147,-116.446987,"1,483","4,356 sqft",4356.0,Single Family,2005,4 spaces,$195/month,$283,"$406,366","$2,500/mo",https://www.zillow.com/homedetails/36566-Calle-Esperanza-Cathedral-City-CA-92234/61292876_zpid/
House for sale,"$799,000","3719 Hegan Ln, Chico, CA 95928",3719 Hegan Ln ,Chico,CA,95928,39.680307,-121.854351,"3,600",1.5 acres,65340.0,Single Family,1982,2 spaces,None,$222,"$757,067","$3,051/mo",https://www.zillow.com/homedetails/3719-Hegan-Ln-Chico-CA-95928/18237598_zpid/
House for sale,"$650,000","5653 Willow Ave, Rosamond, CA 93560",5653 Willow Ave ,Rosamond,CA,93560,34.842775,-118.231843,"2,346",5.01 acres,218235.6,Single Family,1991,2 spaces,null,$277,"$649,868","$2,104/mo",https://www.zillow.com/homedetails/5653-Willow-Ave-Rosamond-CA-93560/18995225_zpid/
House for sale,"$300,000","14221 Olive St, Hesperia, CA 92345",14221 Olive St ,Hesperia,CA,92345,34.421079,-117.35283,"1,906","5,336 sqft",5336.0,Single Family,2006,2 spaces,null,$157,"$302,286","$1,650/mo",https://www.zillow.com/homedetails/14221-Olive-St-Hesperia-CA-92345/79559199_zpid/
