Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Apartment for sale,"$179,000","5668 Daisy Ave, Twentynine Palms, CA 92277",5668 Daisy Ave ,Twentynine Palms,CA,92277,34.150321,-116.097546,"1,600",null,null,Multi Family,1960,4 spaces,None,$112,"$180,445",$900/mo,https://www.zillow.com/homedetails/5668-Daisy-Ave-Twentynine-Palms-CA-92277/17501798_zpid/
Apartment for sale,"$899,900","6011 La Prada St, Los Angeles, CA 90042",6011 La Prada St ,Los Angeles,CA,90042,34.124949,-118.189249,"2,039",null,null,Multi Family,1939,2 spaces,null,$441,"$899,993","$2,500/mo",https://www.zillow.com/homedetails/6011-La-Prada-St-Los-Angeles-CA-90042/20771439_zpid/
Apartment for sale,"$1,995,000","316 Moraga St, San Francisco, CA 94122",316 Moraga St ,San Francisco,CA,94122,37.756811,-122.46626,"3,675",null,null,Multi Family,1905,Attached Garage,null,$543,null,null,https://www.zillow.com/homedetails/316-Moraga-St-San-Francisco-CA-94122/2078891899_zpid/
Apartment for sale,"$449,999","729 Sunset Ave, Modesto, CA 95351",729 Sunset Ave ,Modesto,CA,95351,37.619785,-121.002922,"1,120",null,null,Multi Family,2004,Off street,null,$402,"$448,914","$1,550/mo",https://www.zillow.com/homedetails/729-Sunset-Ave-Modesto-CA-95351/299741537_zpid/
Apartment for sale,"$449,000","1121 N Anaheim Blvd, Anaheim, CA 92801",1121 N Anaheim Blvd ,Anaheim,CA,92801,33.848863,-117.920018,"2,000",null,null,Multi Family,1925,No Data,None,$224,null,null,https://www.zillow.com/homedetails/1121-N-Anaheim-Blvd-Anaheim-CA-92801/2079054163_zpid/
Apartment for sale,"$649,900","4200 E Addington Dr, Anaheim, CA 92807",4200 E Addington Dr ,Anaheim,CA,92807,33.845736,-117.826628,"1,240",null,null,Multi Family,1970,2 spaces,None,$524,"$649,901","$3,100/mo",https://www.zillow.com/homedetails/4200-E-Addington-Dr-Anaheim-CA-92807/25409293_zpid/
Apartment for sale,"$365,000","15093 Joy St, Lake Elsinore, CA 92530",15093 Joy St ,Lake Elsinore,CA,92530,33.683598,-117.377693,"2,124",null,null,Multi Family,1976,3 spaces,null,$172,null,null,https://www.zillow.com/homedetails/15093-Joy-St-Lake-Elsinore-CA-92530/2079016069_zpid/
Apartment for sale,"$499,000","6682 Bancroft Ave, Oakland, CA 94605",6682 Bancroft Ave ,Oakland,CA,94605,37.769684,-122.180774,"3,973",null,null,Multi Family,1925,2 spaces,null,$126,null,null,https://www.zillow.com/homedetails/6682-Bancroft-Ave-Oakland-CA-94605/2081693401_zpid/
Apartment for sale,"$234,900","1201 Nancy St, Barstow, CA 92311",1201 Nancy St ,Barstow,CA,92311,34.894833,-117.041172,"2,108",null,null,Multi Family,1952,1 space,None,$111,"$234,901","$1,175/mo",https://www.zillow.com/homedetails/1201-Nancy-St-Barstow-CA-92311/17273341_zpid/
Apartment for sale,"$569,900","522 N 12th St, Santa Paula, CA 93060",522 N 12th St ,Santa Paula,CA,93060,34.362714,-119.059634,"2,382",null,null,Multi Family,1961,2 spaces,null,$239,"$552,228","$2,725/mo",https://www.zillow.com/homedetails/522-N-12th-St-Santa-Paula-CA-93060/16342691_zpid/
