Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Condo for sale,"$292,900","2191 San Luis St, Los Banos, CA 93635",2191 San Luis St ,Los Banos,CA,93635,37.061389,-120.821092,"1,067",null,null,Condo,1992,2 spaces,None,$275,"$290,261","$1,600/mo",https://www.zillow.com/homedetails/2191-San-Luis-St-Los-Banos-CA-93635/19195451_zpid/
Condo for sale,"$145,000","1850 Merced Ave, Merced, CA 95341",1850 Merced Ave ,Merced,CA,95341,37.291369,-120.455101,"1,004",null,null,Condo,1989,1 space,$275/month,$144,"$140,488","$1,255/mo",https://www.zillow.com/homedetails/1850-Merced-Ave-Merced-CA-95341/19174859_zpid/
Condo for sale,"$510,000","11244 Portobelo Dr, San Diego, CA 92124",11244 Portobelo Dr ,San Diego,CA,92124,32.84259,-117.083901,"1,090",null,null,Condo,1991,2 spaces,$294/month,$468,"$491,998","$2,300/mo",https://www.zillow.com/homedetails/11244-Portobelo-Dr-San-Diego-CA-92124/16873840_zpid/
Condo for sale,"$395,000","55324 Oak Tree # A1, La Quinta, CA 92253",55324 Oak Tree # A1,La Quinta,CA,92253,33.647938,-116.265283,"1,627",null,null,Condo,1985,2 spaces,$625/month,$243,"$385,098","$4,000/mo",https://www.zillow.com/homedetails/55324-Oak-Tree-A1-La-Quinta-CA-92253/18155701_zpid/
Condo for sale,"$299,950","5837 Morgan Pl Apt 83, Stockton, CA 95219",5837 Morgan Pl Apt 83,Stockton,CA,95219,37.998047,-121.354255,"1,363",null,null,Condo,1989,2 spaces,$475/month,$220,null,null,https://www.zillow.com/homedetails/5837-Morgan-Pl-APT-83-Stockton-CA-95219/2079371405_zpid/
Condo for sale,"$719,000","500 W Harbor Dr Unit 623, San Diego, CA 92101",500 W Harbor Dr Unit 623,San Diego,CA,92101,32.711002,-117.166344,"1,072",null,null,Condo,1994,1 space,$878/month,$671,"$713,404","$3,005/mo",https://www.zillow.com/homedetails/500-W-Harbor-Dr-UNIT-623-San-Diego-CA-92101/54052926_zpid/
Condo for sale,"$1,895,000","514 Church St, San Francisco, CA 94114",514 Church St ,San Francisco,CA,94114,37.762558,-122.428713,"1,815",null,null,Condo,1900,No Data,$350/month,"$1,044","$1,817,258","$5,400/mo",https://www.zillow.com/homedetails/514-Church-St-San-Francisco-CA-94114/89239215_zpid/
Condo for sale,"$366,000","358 S Miraleste Dr Unit 337, Los Angeles, CA 90732",358 S Miraleste Dr Unit 337,Los angeles,CA,90732,33.741167,-118.315569,"1,142",null,null,Condo,1971,No Data,$415/month,$320,"$366,000","$2,300/mo",https://www.zillow.com/homedetails/358-S-Miraleste-Dr-UNIT-337-Los-Angeles-CA-90732/21351771_zpid/
Condo for sale,"$315,000","5460 White Oak Ave Unit A214, Encino, CA 91316",5460 White Oak Ave Unit A214,Encino,CA,91316,34.169819,-118.517294,990,null,null,Condo,1971,2 spaces,$529/month,$318,"$312,292","$2,450/mo",https://www.zillow.com/homedetails/5460-White-Oak-Ave-UNIT-A214-Encino-CA-91316/2127440119_zpid/
Condo for sale,"$345,000","2045 S Ramitas Way, Palm Springs, CA 92264",2045 S Ramitas Way ,Palm Springs,CA,92264,33.795328,-116.54415,"1,694",null,null,Condo,1979,1 space,$540/month,$204,"$333,870","$2,011/mo",https://www.zillow.com/homedetails/2045-S-Ramitas-Way-Palm-Springs-CA-92264/17743573_zpid/
Condo for sale,"$350,000","1325 Brentwood Cir Unit A, Corona, CA 92882",1325 Brentwood Cir Unit A,Corona,CA,92882,33.863478,-117.59756,"1,439",null,null,Condo,1981,2 spaces,$450/month,$243,"$350,000","$2,195/mo",https://www.zillow.com/homedetails/1325-Brentwood-Cir-UNIT-A-Corona-CA-92882/17774662_zpid/
Condo for sale,"$759,000","935 Main St Apt 104, El Segundo, CA 90245",935 Main St Apt 104,El Segundo,CA,90245,33.929982,-118.416316,"1,329",null,null,Condo,1981,2 spaces,$430/month,$571,"$759,000","$3,450/mo",https://www.zillow.com/homedetails/935-Main-St-APT-104-El-Segundo-CA-90245/20392848_zpid/
Condo for sale,"$699,000","3672 Hughes Ave Apt 2, Los Angeles, CA 90034",3672 Hughes Ave Apt 2,Los Angeles,CA,90034,34.026018,-118.400608,"1,210",null,null,Condo,1972,3 spaces,$375/month,$578,"$699,030","$3,395/mo",https://www.zillow.com/homedetails/3672-Hughes-Ave-APT-2-Los-Angeles-CA-90034/20496307_zpid/
