Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,House_type,House_website
Apartment for sale,"$2,300,000","427 Iris Ave, Corona Del Mar, CA 92625",427 Iris Ave,CoronaDelMar,CA,92625,4,3,"2,300",Multi Family,https://www.zillow.com/homedetails/427-Iris-Ave-Corona-Del-Mar-CA-92625/25498265_zpid/
Apartment for sale,"$159,998","6606 Paola Ave, Bakersfield, CA 93306",6606 Paola Ave,Bakersfield,CA,93306,2,2,"1,546",Multi Family,https://www.zillow.com/homedetails/6606-Paola-Ave-Bakersfield-CA-93306/18931267_zpid/
Apartment for sale,"$895,000","1226 Cota Ave, Torrance, CA 90501",1226 Cota Ave,Torrance,CA,90501,4,2,"1,904",Multi Family,https://www.zillow.com/homedetails/1226-Cota-Ave-Torrance-CA-90501/21269963_zpid/
Apartment for sale,"$475,000","1253 W 65th St, Los Angeles, CA 90044",1253 W 65th St,LosAngeles,CA,90044,3,2,"1,708",Multi Family,https://www.zillow.com/homedetails/1253-W-65th-St-Los-Angeles-CA-90044/20934475_zpid/
Apartment for sale,"$469,000","13319 Avenue H, Yucaipa, CA 92399",13319 Avenue H,Yucaipa,CA,92399,5,3,"2,600",Multi Family,https://www.zillow.com/homedetails/13319-Avenue-H-Yucaipa-CA-92399/17397483_zpid/
Apartment for sale,"$435,000","26351 Baseline St, Highland, CA 92346",26351 Baseline St,Highland,CA,92346,6,4,"2,999",Multi Family,https://www.zillow.com/homedetails/26351-Baseline-St-Highland-CA-92346/68964285_zpid/
Apartment for sale,"$600,000","12806 13th St, Yucaipa, CA 92399",12806 13th St,Yucaipa,CA,92399,6,3,"2,560",Multi Family,https://www.zillow.com/homedetails/12806-13th-St-Yucaipa-CA-92399/17378873_zpid/
Apartment for sale,"$1,000,000","3733 Chamoune Ave, San Diego, CA 92105",3733 Chamoune Ave,SanDiego,CA,92105,6,8,"1,742",Multi Family,https://www.zillow.com/homedetails/3733-Chamoune-Ave-San-Diego-CA-92105/295356469_zpid/
For sale by owner,"$399,000","694-980 Gold Run Rd, Susanville, CA 96130",694-980 Gold Run Rd,Susanville,CA,96130,3,3,"1,897",Multi Family,https://www.zillow.com/homedetails/694-980-Gold-Run-Rd-Susanville-CA-96130/19108899_zpid/
Apartment for sale,"$549,900","1358 E 59th Pl, Los Angeles, CA 90001",1358 E 59th Pl,LosAngeles,CA,90001,5,2,"1,672",Multi Family,https://www.zillow.com/homedetails/1358-E-59th-Pl-Los-Angeles-CA-90001/20931121_zpid/
Apartment for sale,"$1,299,000","3239 E Wilton St #1-4, Long Beach, CA 90804",3239 E Wilton St #1-4,LongBeach,CA,90804,5,5,"2,510",Multi Family,https://www.zillow.com/homedetails/3239-E-Wilton-St-1-4-Long-Beach-CA-90804/2078861569_zpid/
Apartment for sale,"$365,000","15093 Joy St, Lake Elsinore, CA 92530",15093 Joy St,LakeElsinore,CA,92530,5,2,"2,124",Multi Family,https://www.zillow.com/homedetails/15093-Joy-St-Lake-Elsinore-CA-92530/2079016069_zpid/
Apartment for sale,"$3,850,000","944-948 Vallejo St, San Francisco, CA 94133",944-948 Vallejo St,SanFrancisco,CA,94133,5,4,"2,794",Multi Family,https://www.zillow.com/homedetails/944-948-Vallejo-St-San-Francisco-CA-94133/2078865901_zpid/
Apartment for sale,"$549,900","4440 Crocker St, Los Angeles, CA 90011",4440 Crocker St,LosAngeles,CA,90011,4,2,"1,359",Multi Family,https://www.zillow.com/homedetails/4440-Crocker-St-Los-Angeles-CA-90011/20616882_zpid/
Apartment for sale,"$499,900","924 W 151st St, Compton, CA 90220",924 W 151st St,Compton,CA,90220,4,2,"1,514",Multi Family,https://www.zillow.com/homedetails/924-W-151st-St-Compton-CA-90220/21005597_zpid/
Apartment for sale,"$699,900","7505 Mount Vernon St, Lemon Grove, CA 91945",7505 Mount Vernon St,LemonGrove,CA,91945,6,4,--,Multi Family,https://www.zillow.com/homedetails/7505-Mount-Vernon-St-Lemon-Grove-CA-91945/2083473661_zpid/
Apartment for sale,"$185,000","7509 Utah Trl, Twentynine Palms, CA 92277",7509 Utah Trl,TwentyninePalms,CA,92277,4,4,"1,995",Multi Family,https://www.zillow.com/homedetails/7509-Utah-Trl-Twentynine-Palms-CA-92277/17495263_zpid/
Apartment for sale,"$2,850,000","12006 Runnymede St, North Hollywood, CA 91605",12006 Runnymede St,NorthHollywood,CA,91605,26,15,"10,280",Multi Family,https://www.zillow.com/homedetails/12006-Runnymede-St-North-Hollywood-CA-91605/2078859279_zpid/
Apartment for sale,"$539,000","8709 Mango Ave, Fontana, CA 92335",8709 Mango Ave,Fontana,CA,92335,6,2,"2,268",Multi Family,https://www.zillow.com/homedetails/8709-Mango-Ave-Fontana-CA-92335/17280677_zpid/
Apartment for sale,"$750,000","2027 W 31st St, Los Angeles, CA 90018",2027 W 31st St,LosAngeles,CA,90018,4,4,"1,713",Multi Family,https://www.zillow.com/homedetails/2027-W-31st-St-Los-Angeles-CA-90018/20591680_zpid/
Apartment for sale,"$1,780,000","1113 Colorado Ave, Turlock, CA 95380",1113 Colorado Ave,Turlock,CA,95380,24,--,"1,200",Multi Family,https://www.zillow.com/homedetails/1113-Colorado-Ave-Turlock-CA-95380/2099871743_zpid/
For sale by owner,"$525,000","32737 Maverick Dr, Springville, CA 93265",32737 Maverick Dr,Springville,CA,93265,5,3,"2,600",Multi Family,https://www.zillow.com/homedetails/32737-Maverick-Dr-Springville-CA-93265/16298396_zpid/
Apartment for sale,"$850,000","240 W Oliver St, San Pedro, CA 90731",240 W Oliver St,SanPedro,CA,90731,5,5,"2,464",Multi Family,https://www.zillow.com/homedetails/240-W-Oliver-St-San-Pedro-CA-90731/250343806_zpid/
Apartment for sale,"$549,900","3145-47 Ronald Ct, Spring Valley, CA 91977",3145-47 Ronald Ct,SpringValley,CA,91977,5,3,"2,184",Multi Family,https://www.zillow.com/homedetails/3145-47-Ronald-Ct-Spring-Valley-CA-91977/17044287_zpid/
Apartment for sale,"$998,000","2320 10th St, Berkeley, CA 94710",2320 10th St,Berkeley,CA,94710,5,3,"2,509",Multi Family,https://www.zillow.com/homedetails/2320-10th-St-Berkeley-CA-94710/24835714_zpid/
Apartment for sale,"$599,999","958 Cleveland Ave LOT 960, Santa Rosa, CA 95401",958 Cleveland Ave LOT 960,SantaRosa,CA,95401,4,2,"1,804",Multi Family,https://www.zillow.com/homedetails/958-Cleveland-Ave-LOT-960-Santa-Rosa-CA-95401/2078933562_zpid/
Apartment for sale,"$205,000","49850 Visnaga Ave, Morongo Valley, CA 92256",49850 Visnaga Ave,MorongoValley,CA,92256,4,4,"1,904",Multi Family,https://www.zillow.com/homedetails/49850-Visnaga-Ave-Morongo-Valley-CA-92256/17489007_zpid/
Apartment for sale,"$1,899,000","714 Fernleaf Ave, Corona Del Mar, CA 92625",714 Fernleaf Ave,CoronaDelMar,CA,92625,5,4,"2,172",Multi Family,https://www.zillow.com/homedetails/714-Fernleaf-Ave-Corona-Del-Mar-CA-92625/2088266551_zpid/
Apartment for sale,"$849,000","2296 Euclid Ave, Long Beach, CA 90815",2296 Euclid Ave,LongBeach,CA,90815,4,2,"1,596",Multi Family,https://www.zillow.com/homedetails/2296-Euclid-Ave-Long-Beach-CA-90815/21200317_zpid/
Apartment for sale,"$499,000","1308 El Corral Ln, San Marcos, CA 92078",1308 El Corral Ln,SanMarcos,CA,92078,2,2,"1,307",Multi Family,https://www.zillow.com/homedetails/1308-El-Corral-Ln-San-Marcos-CA-92078/16674263_zpid/
Apartment for sale,"$595,000","3721 Maple Ave, Los Angeles, CA 90011",3721 Maple Ave,LosAngeles,CA,90011,4,2,"1,660",Multi Family,https://www.zillow.com/homedetails/3721-Maple-Ave-Los-Angeles-CA-90011/2078867466_zpid/
