City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio
Los Angeles,Condos,CA,90034,"[{'bedroom_type': 'Studio', 'price': '$1,475'}]","3284 Veteran Ave, Los Angeles, CA 90034",https://www.apartments.com/3284-veteran-ave-los-angeles-ca/lw3jc8e/,1 BA,1 Sq Ft,1,12 Month Lease,Available Now,,,,"$1,475"
Los Angeles,Condos,CA,90027,"[{'bedroom_type': '2 Beds', 'price': '$2,795'}]","1806 N Berendo St, Los Angeles, CA 90027",https://www.apartments.com/1806-n-berendo-st-los-angeles-ca/sq16ps6/,2 BAs,950 Sq Ft,950,12 Month Lease,Aug 1,,,"$2,795",
Los Angeles,Condos,CA,90293,"[{'bedroom_type': '1 Bed', 'price': '$2,700'}]","Los Angeles, CA 90293",https://www.apartments.com/8500-falmouth-ave-los-angeles-ca-unit-3302/x4stktm/,1 BA,700 Sq Ft,700,12 Month Lease,Aug 8,"$2,700",,,
Los Angeles,Condos,CA,90038,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}]","1201 Seward St, Los Angeles, CA 90038",https://www.apartments.com/1201-seward-st-los-angeles-ca/zym0zcw/,1 BA,660 Sq Ft,660,12 Month Lease,Available Now,"$1,600",,,
Santa Monica,Condos,CA,90401,"[{'bedroom_type': '2 Beds', 'price': '$2,895'}]","1527 11th St, Santa Monica, CA 90401",https://www.apartments.com/1527-11th-st-santa-monica-ca/z4xdr0y/,2 BAs,950 Sq Ft,950,12 Month Lease,Available Now,,,"$2,895",
Beverly Hills,Condos,CA,90212,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","436 S Oakhurst Dr, Beverly Hills, CA 90212",https://www.apartments.com/436-s-oakhurst-dr-beverly-hills-ca/ky0qv79/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Aug 1,,,"$2,850",
Venice,Condos,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$2,650'}]","43 23rd Ave, Venice, CA 90291",https://www.apartments.com/43-23rd-ave-venice-ca/yv6rcls/,1 BA,1 Sq Ft,1,12 Month Lease,Aug 1,"$2,650",,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '2 Beds', 'price': '$2,795'}]","Los Angeles, CA 90035",https://www.apartments.com/1234-s-alfred-st-los-angeles-ca/jsg0fl5/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,"$2,795",
Los Angeles,Condos,CA,90034,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]","3675 Vinton Ave, Los Angeles, CA 90034",https://www.apartments.com/3675-vinton-ave-los-angeles-ca/x0b1m0n/,1 BA,725 Sq Ft,725,12 Month Lease,Available Now,"$1,850",,,
Los Angeles,Condos,CA,90034,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]","3743 Westwood Blvd, Los Angeles, CA 90034",https://www.apartments.com/3743-westwood-blvd-los-angeles-ca/ev5l03n/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,"$2,950",,
San Francisco,Condos,CA,94114,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]","San Francisco, CA 94114",https://www.apartments.com/467-jersey-st-san-francisco-ca/hnkp2g3/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Aug 1,,,"$4,200",
Los Angeles,Condos,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$2,995'}]","Los Angeles, CA 90046",https://www.apartments.com/1406-n-martel-ave-los-angeles-ca/6sfs75t/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$2,995",
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$5,350'}]","Santa Monica, CA 90403",https://www.apartments.com/932-7th-st-santa-monica-ca/v3xmcfg/,2 BAs,"1,040 Sq Ft","1,040",12 Month Lease,Available Now,,,"$5,350",
