City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,3 Beds,2 Beds,1 Bed,Studio,4+ Beds
43530 Vía Badalona,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","Palm Desert, CA 92211",https://www.apartments.com/43530-via-badalona-palm-desert-ca/wsjkz4l/,2 BAs,"1,536 Sq Ft","1,536",,Available Now,,,"$2,100",,,
5107 Panama Ave,Townhomes,Richmond,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,450'}]","Richmond, CA 94804",https://www.apartments.com/5107-panama-ave-richmond-ca/elrsnym/,1 BA,518 Sq Ft,518,,Available Now,,,,"$1,450",,
2665 31st St,Townhomes,Santa Monica,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Santa Monica, CA 90405",https://www.apartments.com/2665-31st-st-santa-monica-ca/s7l1x36/,1 BA,,,,Available Now,,,"$2,500",,,
43530 Vía Badalona,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","Palm Desert, CA 92211",https://www.apartments.com/43530-via-badalona-palm-desert-ca/wsjkz4l/,2 BAs,"1,536 Sq Ft","1,536",,Available Now,,,"$2,100",,,
5107 Panama Ave,Townhomes,Richmond,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,450'}]","Richmond, CA 94804",https://www.apartments.com/5107-panama-ave-richmond-ca/elrsnym/,1 BA,518 Sq Ft,518,,Available Now,,,,"$1,450",,
2665 31st St,Townhomes,Santa Monica,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Santa Monica, CA 90405",https://www.apartments.com/2665-31st-st-santa-monica-ca/s7l1x36/,1 BA,,,,Available Now,,,"$2,500",,,
52430 Hawthorn Ct,Townhomes,La Quinta,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","La Quinta, CA 92253",https://www.apartments.com/52430-hawthorn-ct-la-quinta-ca/veb55hf/,2 BAs,"1,100 Sq Ft","1,100",,Available Now,,,"$2,500",,,
52414 Hawthorn Ct,Townhomes,La Quinta,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","La Quinta, CA 92253",https://www.apartments.com/52414-hawthorn-ct-la-quinta-ca/88zdr33/,1 BA,"1,494 Sq Ft","1,494",,Available Now,,"$2,500",,,,
Huntington Beach,Townhomes,CA,92646,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","Huntington Beach, CA 92646",https://www.apartments.com/9602-pettswood-dr-huntington-beach-ca/1lwpsf4/,2½ BAs,"1,174 Sq Ft","1,174",12 Month Lease,Available Now,,,"$2,750",,,
Malibu,Townhomes,CA,90265,"[{'bedroom_type': '3 Beds', 'price': '$5,900'}]","Malibu, CA 90265",https://www.apartments.com/6471-zuma-view-pl-malibu-ca/s7mczl4/,3 BAs,"2,049 Sq Ft","2,049",12 Month Lease,Available Now,,"$5,900",,,,
257 View St,Townhomes,Mountain View,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,600'}]","Mountain View, CA 94041",https://www.apartments.com/257-view-st-mountain-view-ca/4cqwzvh/,2½ BAs,"1,418 Sq Ft","1,418",,Available Now,,,"$5,600",,,
2570 Calle Abedul,Townhomes,Thousand Oaks,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","Thousand Oaks, CA 91360",https://www.apartments.com/2570-calle-abedul-thousand-oaks-ca/rn14gr2/,3 BAs,,,,Jul 3,,,"$3,000",,,
75 Front St,Townhomes,Santa Cruz,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,750'}]","Santa Cruz, CA 95060",https://www.apartments.com/75-front-st-santa-cruz-ca/xnwhn0q/,2 BAs,"1,116 Sq Ft","1,116",,Available Now,"$4,750",,,,,
564 Cambrian Way,Townhomes,Danville,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,150'}]","Danville, CA 94526",https://www.apartments.com/564-cambrian-way-danville-ca/9fh2636/,2 BAs,"1,539 Sq Ft","1,539",,Aug 1,,"$4,150",,,,
1963 E 38th St,Townhomes,Oakland,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","Oakland, CA 94602",https://www.apartments.com/1963-e-38th-st-oakland-ca/jb90py7/,1½ BAs,"1,050 Sq Ft","1,050",,Available Now,,,"$3,000",,,
719 Jasmine Ave,Townhomes,Newport Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","Newport Beach, CA 92625",https://www.apartments.com/719-jasmine-ave-newport-beach-ca/t9476j8/,2 BAs,"1,200 Sq Ft","1,200",,Jul 3,,,"$4,500",,,
351 Shady Glen Rd,Townhomes,Walnut Creek,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,300'}]","Walnut Creek, CA 94596",https://www.apartments.com/351-shady-glen-rd-walnut-creek-ca/e4dq2tp/,1 BA,600 Sq Ft,600,,Available Now,,,,"$2,300",,
7708 Hillmont Dr,Townhomes,Oakland,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]","Oakland, CA 94605",https://www.apartments.com/7708-hillmont-dr-oakland-ca/d0j1v0j/,1 BA,630 Sq Ft,630,,Available Now,,,,"$2,000",,
602 Marguerite Ave,Townhomes,Corona del Mar,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,875'}]","Corona del Mar, CA 92625",https://www.apartments.com/602-marguerite-ave-corona-del-mar-ca/8746251/,3 BAs,"1,516 Sq Ft","1,516",,Available Now,,"$3,875",,,,
2016 Alberta Ave,Townhomes,Los Angeles,CA,"[{'bedroom_type': '1 Bed', 'price': '$3,995'}]","Los Angeles, CA 90291",https://www.apartments.com/2016-alberta-ave-los-angeles-ca/pn1n51t/,1 BA,,,,Available Now,,,,"$3,995",,
6216 Tapia Dr,Townhomes,Malibu,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,800'}]","Malibu, CA 90265",https://www.apartments.com/6216-tapia-dr-malibu-ca/zn4tekw/,2 BAs,,,,Available Now,,,"$3,800",,,
28240 Rey De Copas Ln,Townhomes,Malibu,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,100'}]","Malibu, CA 90265",https://www.apartments.com/28240-rey-de-copas-ln-malibu-ca/93shvz6/,3 BAs,,,,Available Now,,,"$4,100",,,
1014 N La Jolla Ave,Townhomes,West Hollywood,CA,"[{'bedroom_type': '2 Beds', 'price': '$6,000'}]","West Hollywood, CA 90046",https://www.apartments.com/1014-n-la-jolla-ave-west-hollywood-ca/qp9kfwx/,2 BAs,,,,Available Now,,,"$6,000",,,
133 S Crescent Dr,Townhomes,Beverly Hills,CA,"[{'bedroom_type': 'Studio', 'price': '$2,095'}]","Beverly Hills, CA 90212",https://www.apartments.com/133-s-crescent-dr-beverly-hills-ca/1hyq6f4/,1 BA,,,,Available Now,,,,,"$2,095",
1700 Palisades Dr,Townhomes,Los Angeles,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,800'}]","Los Angeles, CA 90272",https://www.apartments.com/1700-palisades-dr-los-angeles-ca/ghk1y9z/,3 BAs,,,,Available Now,,,"$4,800",,,
23901 Civic Center Way,Townhomes,Malibu,CA,"[{'bedroom_type': '4 Beds', 'price': '$6,500'}]","Malibu, CA 90265",https://www.apartments.com/23901-civic-center-way-malibu-ca/92pnef6/,2 BAs,,,,Available Now,"$6,500",,,,,
6471 Zuma View Pl,Townhomes,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,900'}]","Malibu, CA 90265",https://www.apartments.com/6471-zuma-view-pl-malibu-ca/58ws03n/,3 BAs,,,,Available Now,,"$5,900",,,,
25 S Grand Ave,Townhomes,Pasadena,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,950'}]","Pasadena, CA 91105",https://www.apartments.com/25-s-grand-ave-pasadena-ca/bytdz98/,3 BAs,,,,Available Now,,,"$5,950",,,
25 S Grand Ave,Townhomes,Pasadena,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,950'}]","Pasadena, CA 91105",https://www.apartments.com/25-s-grand-ave-pasadena-ca/bytdz98/,3 BAs,,,,Available Now,,,"$5,950",,,
10820 S Western Ave,Townhomes,Los Angeles,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,965'}]","Los Angeles, CA 90047",https://www.apartments.com/10820-s-western-ave-los-angeles-ca/jx3q7r4/,1 BA,,,,Available Now,,,"$1,965",,,
6515 Dume Dr,Townhomes,Malibu,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,800'}]","Malibu, CA 90265",https://www.apartments.com/6515-dume-dr-malibu-ca/ps08dwr/,3 BAs,,,,Available Now,,,"$5,800",,,
420 San Pedro St,Townhomes,Los Angeles,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,950'}]","Los Angeles, CA 90013",https://www.apartments.com/420-san-pedro-st-los-angeles-ca/swyw685/,1 BA,,,,Available Now,,,,"$2,950",,
137 S Crescent Dr,Townhomes,Beverly Hills,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,395'}]","Beverly Hills, CA 90212",https://www.apartments.com/137-s-crescent-dr-beverly-hills-ca/665brtr/,1 BA,,,,Available Now,,,,"$2,395",,
21154 Hillside Dr,Townhomes,Topanga,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,900'}]","Topanga, CA 90290",https://www.apartments.com/21154-hillside-dr-topanga-ca/4qdh10l/,2 BAs,,,,Available Now,,"$5,900",,,,
17251 Palisades Cir,Townhomes,Los Angeles,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]","Los Angeles, CA 90272",https://www.apartments.com/17251-palisades-cir-los-angeles-ca/39vzy1g/,3 BAs,,,,Available Now,,,"$5,500",,,
6364 Smoketree Ave,Townhomes,Twentynine Palms,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,000'}]","Twentynine Palms, CA 92277",https://www.apartments.com/6364-smoketree-ave-twentynine-palms-ca/8wtzdq1/,1 BA,"2,212 Sq Ft","2,212",,Available Now,,"$1,000",,,,
3303 E Grant Ave,Townhomes,Fresno,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,295'}]","Fresno, CA 93702",https://www.apartments.com/3303-e-grant-ave-fresno-ca/7p9scmz/,2 BAs,"1,400 Sq Ft","1,400",,Available Now,,"$1,295",,,,
1326 Galleon Way,Townhomes,San Luis Obispo,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]","San Luis Obispo, CA 93405",https://www.apartments.com/1326-galleon-way-san-luis-obispo-ca/se67rm6/,2 BAs,"1,010 Sq Ft","1,010",,Available Now,,,"$2,450",,,
1485 Forest Glen Dr,Townhomes,Hacienda Heights,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,095'}]","Hacienda Heights, CA 91745",https://www.apartments.com/1485-forest-glen-dr-hacienda-heights-ca/jxdb8b6/,2 BAs,980 Sq Ft,980,,Available Now,,,"$2,095",,,
18841 Smokewood Cir,Townhomes,Huntington Beach,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,750'}]","Huntington Beach, CA 92646",https://www.apartments.com/18841-smokewood-cir-huntington-beach-ca/30ycmtg/,2 BAs,"1,750 Sq Ft","1,750",,Available Now,,"$2,750",,,,
6454 Palm View Ave,Townhomes,Twentynine Palms,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,000'}]","Twentynine Palms, CA 92277",https://www.apartments.com/6454-palm-view-ave-twentynine-palms-ca/1zr6874/,2 BAs,"1,100 Sq Ft","1,100",,Available Now,,"$1,000",,,,
1277 Hillcrest Dr,Townhomes,Laguna Beach,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,100'}]","Laguna Beach, CA 92651",https://www.apartments.com/1277-hillcrest-dr-laguna-beach-ca/rqr50c2/,2 BAs,"1,600 Sq Ft","1,600",,Available Now,,"$5,100",,,,
2414 Plaza De Vista,Townhomes,Fullerton,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,950'}]","Fullerton, CA 92833",https://www.apartments.com/2414-plaza-de-vista-fullerton-ca/33d4deg/,3 BAs,"2,000 Sq Ft","2,000",,Available Now,"$2,950",,,,,
6628 National Park Dr,Townhomes,Twentynine Palms,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,195'}]","Twentynine Palms, CA 92277",https://www.apartments.com/6628-national-park-dr-twentynine-palms-ca/c15dfvf/,1 BA,900 Sq Ft,900,,Available Now,,,,"$1,195",,
6628 National Park Dr,Townhomes,Twentynine Palms,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,545'}]","Twentynine Palms, CA 92277",https://www.apartments.com/6628-national-park-dr-twentynine-palms-ca/hh7dgy2/,1 BA,900 Sq Ft,900,,Available Now,,,,"$1,545",,
1201 Buena Vista,Townhomes,San Clemente,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,975'}]","San Clemente, CA 92672",https://www.apartments.com/1201-buena-vista-san-clemente-ca/98qp8l7/,2 BAs,"1,400 Sq Ft","1,400",,Available Now,,,"$2,975",,,
322 Miraleste Dr,Townhomes,Los Angeles,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","Los Angeles, CA 90732",https://www.apartments.com/322-miraleste-dr-los-angeles-ca/ne57n3q/,2 BAs,"1,143 Sq Ft","1,143",,Available Now,,,"$2,100",,,
