Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												1 Bed
														–
3 Beds										","
												1 Bed
														–
2 Beds										"
INDIGO APARTMENTS,Antelope,Apartment,CA,95843,"[{'bedroom_type': '1 Bed', 'price': '$1,445'}, {'bedroom_type': '2 Beds', 'price': '$1,580'}]","7740 Watt Ave, Antelope, CA 95843",https://www.apartments.com/indigo-apartments-antelope-ca/t0jx7x8/,,"$1,445 ","$1,580 ",,,,
San Marco Villas,Pittsburg,Apartment,CA,94565,"[{'bedroom_type': '1 Bed', 'price': '$1,949'}, {'bedroom_type': '2 Beds', 'price': '$2,349'}, {'bedroom_type': '3 Beds', 'price': ''}]","2000 Villa Dr, Pittsburg, CA 94565",https://www.apartments.com/san-marco-villas-pittsburg-ca/4qxw2vj/,,"$1,949 ","$2,349 ",,,,
Talaria,Burbank,Apartment,CA,91505,"[{'bedroom_type': '1 Bed', 'price': '$3,105'}, {'bedroom_type': '2 Beds', 'price': '$4,175'}, {'bedroom_type': '3 Beds', 'price': '$5,205'}]","3425 W Olive Ave, Burbank, CA 91505",https://www.apartments.com/talaria-burbank-ca/yex8pqr/,,"$3,105 ","$4,175 ","$5,205 ",,,
Sycamore Canyons,Riverside,Apartment,CA,92507,"[{'bedroom_type': '1 Bed', 'price': '$1,592'}, {'bedroom_type': '2 Beds', 'price': '$1,817'}, {'bedroom_type': '3 Beds', 'price': '$2,334'}]","600 Central Ave, Riverside, CA 92507",https://www.apartments.com/sycamore-canyons-riverside-ca/5cf019p/,,"$1,592 ","$1,817 ","$2,334 ",,,
Apex on the River,Sacramento,Apartment,CA,95826,"[{'bedroom_type': '1 Bed', 'price': '$1,119'}, {'bedroom_type': '2 Beds', 'price': '$1,399'}]","8719 Woodman Way, Sacramento, CA 95826",https://www.apartments.com/apex-on-the-river-sacramento-ca/bk02c3b/,,"$1,119 ","$1,399 ",,,,
THE MURPHY | IRVINE,Irvine,Apartment,CA,92606,"[{'bedroom_type': '1 Bed', 'price': '$2,360'}, {'bedroom_type': '2 Beds', 'price': '$2,990'}]","16101 Murphy Ave, Irvine, CA 92606",https://www.apartments.com/the-murphy-irvine-irvine-ca/v68nxtf/,,"$2,360 ","$2,990 ",,,,
707 Leahy,Redwood City,Apartment,CA,94061,"[{'bedroom_type': 'Studio', 'price': '$2,615'}, {'bedroom_type': '1 Bed', 'price': '$2,865'}, {'bedroom_type': '2 Beds', 'price': '$3,730'}]","707 Leahy St, Redwood City, CA 94061",https://www.apartments.com/707-leahy-redwood-city-ca/r0x45w3/,"$2,615 ","$2,865 ","$3,730 ",,,,
Modera Hollywood,Los Angeles,Apartment,CA,90028,"[{'bedroom_type': 'Studio', 'price': '$2,495'}, {'bedroom_type': '1 Bed', 'price': '$2,860'}, {'bedroom_type': '2 Beds', 'price': '$3,490'}, {'bedroom_type': '3 Beds', 'price': '$5,670'}]","6775 Selma Ave, Los Angeles, CA 90028",https://www.apartments.com/modera-hollywood-los-angeles-ca/zmm3ydz/,"$2,495 ","$2,860 ","$3,490 ","$5,670 ",,,
Del Oro on Broadway,Chula Vista,Apartment,CA,91911,"[{'bedroom_type': '1 Bed', 'price': '$1,695'}, {'bedroom_type': '2 Beds', 'price': '$2,095'}]","986 Broadway, Chula Vista, CA 91911",https://www.apartments.com/del-oro-on-broadway-chula-vista-ca/p7qc1lr/,,"$1,695 ","$2,095 ",,,,
AMLI Park Broadway,Long Beach,Apartment,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$2,140'}, {'bedroom_type': '1 Bed', 'price': '$2,570'}, {'bedroom_type': '2 Beds', 'price': '$3,350'}]","245 W Broadway, Long Beach, CA 90802",https://www.apartments.com/amli-park-broadway-long-beach-ca/qdvqpvx/,"$2,140 ","$2,570 ","$3,350 ",,,,
AMLI Park Broadway,Long Beach,Apartment,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$2,140'}, {'bedroom_type': '1 Bed', 'price': '$2,570'}, {'bedroom_type': '2 Beds', 'price': '$3,350'}]","245 W Broadway, Long Beach, CA 90802",https://www.apartments.com/amli-park-broadway-long-beach-ca/qdvqpvx/,"$2,140 ","$2,570 ","$3,350 ",,,,
Horizon,Santa Ana,Apartment,CA,92705,"[{'bedroom_type': 'Studio', 'price': '$1,616'}, {'bedroom_type': '1 Bed', 'price': '$1,715'}, {'bedroom_type': '2 Beds', 'price': '$2,250'}]","2414 N Tustin Ave, Santa Ana, CA 92705",https://www.apartments.com/horizon-santa-ana-ca/9432hh5/,"$1,616 ","$1,715 ","$2,250 ",,,,
Hanover Northgate,Oakland,Apartment,CA,94612,"[{'bedroom_type': 'Studio', 'price': '$2,262'}, {'bedroom_type': '1 Bed', 'price': '$2,677'}, {'bedroom_type': '2 Beds', 'price': '$3,309'}, {'bedroom_type': '3 Beds', 'price': '$5,276'}]","2450 Valdez St, Oakland, CA 94612",https://www.apartments.com/hanover-northgate-oakland-ca/67v1f2r/,"$2,262 ","$2,677 ","$3,309 ","$5,276 ",,,
5012 Apartments,Culver City,Apartment,CA,90230,"[{'bedroom_type': '1 Bed', 'price': '$2,695'}, {'bedroom_type': '2 Beds', 'price': '$3,350'}]","5012 S Slauson Ave, Culver City, CA 90230",https://www.apartments.com/5012-apartments-culver-city-ca/pt1m8ev/,,"$2,695 ","$3,350 ",,,,
Amelia,Oakland,Apartment,CA,94609,"[{'bedroom_type': '1 Bed', 'price': '$2,815'}, {'bedroom_type': '2 Beds', 'price': '$3,150'}]","411 29th St, Oakland, CA 94609",https://www.apartments.com/amelia-oakland-ca/rnfzrx3/,,"$2,815 ","$3,150 ",,,,
Brookhurst Place,Garden Grove,Apartment,CA,92840,"[{'bedroom_type': '2 Beds', 'price': '$2,410'}]","12801 Brookhurst St, Garden Grove, CA 92840",https://www.apartments.com/brookhurst-place-garden-grove-ca/xfhzfjq/,,,"$2,410 ",,,,
LidoApartments.com,Los Angeles,Apartment,CA,90006,"[{'bedroom_type': '1 Bed', 'price': '$2,195'}]","1039 S Hobart Blvd, Los Angeles, CA 90006",https://www.apartments.com/lidoapartmentscom-los-angeles-ca/ww151nl/,,"$2,195 ",,,,,
LidoApartments.com,Los Angeles,Apartment,CA,90004,"[{'bedroom_type': '2 Beds', 'price': '$2,895'}, {'bedroom_type': '3 Beds', 'price': '$3,750'}]","4847 Oakwood Ave, Los Angeles, CA 90004",https://www.apartments.com/lidoapartmentscom-los-angeles-ca/9nkznr5/,,,"$2,895 ","$3,750 ",,,
38 North,Santa Rosa,Apartment,CA,95404,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}, {'bedroom_type': '2 Beds', 'price': '$2,525'}]","1020 Kawana Springs Rd, Santa Rosa, CA 95404",https://www.apartments.com/38-north-santa-rosa-ca/f92dres/,,"$2,250 ","$2,525 ",,,,
Strada 1200,Vacaville,Apartment,CA,95687,"[{'bedroom_type': 'Studio', 'price': '$1,870'}, {'bedroom_type': '1 Bed', 'price': '$2,150'}, {'bedroom_type': '2 Beds', 'price': '$2,485'}, {'bedroom_type': '3 Beds', 'price': '$2,850'}]","1200 Allison Dr, Vacaville, CA 95687",https://www.apartments.com/strada-1200-vacaville-ca/dhddx3h/,"$1,870 ","$2,150 ","$2,485 ","$2,850 ",,,
Palazzo West,Los Angeles,Apartment,CA,90036,"[{'bedroom_type': '1 Bed', 'price': '$2,595'}, {'bedroom_type': '2 Beds', 'price': '$3,492'}, {'bedroom_type': '3 Beds', 'price': '$6,450'}]","6220 W 3rd St, Los Angeles, CA 90036",https://www.apartments.com/palazzo-west-los-angeles-ca/lcvb9pg/,,"$2,595 ","$3,492 ","$6,450 ",,,
Modera San Pedro Square,San Jose,Apartment,CA,95110,"[{'bedroom_type': '1 Bed', 'price': '$2,575'}, {'bedroom_type': '2 Beds', 'price': '$3,275'}]","28 N Almaden Ave, San Jose, CA 95110",https://www.apartments.com/modera-san-pedro-square-san-jose-ca/5m60lvp/,,"$2,575 ","$3,275 ",,,,
La Jolla International Gardens,San Diego,Apartment,CA,92122,"[{'bedroom_type': '1 Bed', 'price': '$1,845'}, {'bedroom_type': '2 Beds', 'price': '$2,138'}]","3417 Lebon Dr, San Diego, CA 92122",https://www.apartments.com/la-jolla-international-gardens-san-diego-ca/jfps2s6/,,"$1,845 ","$2,138 ",,,,
Cambridge House,Davis,Apartment,CA,95618,"[{'bedroom_type': '1 Bed', 'price': '$1,000'}, {'bedroom_type': '2 Beds', 'price': '$1,695'}]","619 Pole Line Rd, Davis, CA 95618",https://www.apartments.com/cambridge-house-davis-ca/0f4xxg2/,,"$1,000 ","$1,695 ",,,,
The Highlander,Sunnyvale,Apartment,CA,94086,"[{'bedroom_type': '1 Bed', 'price': '$2,395'}, {'bedroom_type': '2 Beds', 'price': '$2,535'}, {'bedroom_type': '3 Beds', 'price': '$3,200'}]","620 Iris Ave, Sunnyvale, CA 94086",https://www.apartments.com/the-highlander-sunnyvale-ca/r2kd9b0/,,"$2,395 ","$2,535 ","$3,200 ",,,
The Hills,San Diego,Apartment,CA,92129,"[{'bedroom_type': '2 Beds', 'price': '$1,871'}, {'bedroom_type': '3 Beds', 'price': '$2,191'}]","15095 Via Hondonada, San Diego, CA 92129",https://www.apartments.com/the-hills-san-diego-ca/llzmp1g/,,,"$1,871 ","$2,191 ",,,
Loft2015,San Diego,Apartment,CA,92110,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]","2015 Hancock St, San Diego, CA 92110",https://www.apartments.com/loft2015-san-diego-ca/z5thh3w/,,,"$2,250 ",,,,
The Core Natomas,Sacramento,Apartment,CA,95833,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","2745 Orchard Ln, Sacramento, CA 95833",https://www.apartments.com/the-core-natomas-sacramento-ca/tsb4xy9/,,,,,,,
Alira,Sacramento,Apartment,CA,95834,"[{'bedroom_type': 'Studio', 'price': '$1,630'}, {'bedroom_type': '1 Bed', 'price': '$1,659'}, {'bedroom_type': '2 Beds', 'price': '$2,037'}, {'bedroom_type': '3 Beds', 'price': '$2,501'}]","4100 Innovator Dr, Sacramento, CA 95834",https://www.apartments.com/alira-sacramento-ca/m28q0dk/,"$1,630 ","$1,659 ","$2,037 ","$2,501 ",,,
Vue At The Lake,Sacramento,Apartment,CA,95831,"[{'bedroom_type': '1 Bed', 'price': '$1,499'}, {'bedroom_type': '2 Beds', 'price': '$1,610'}, {'bedroom_type': '3 Beds', 'price': '$1,925'}]","407 Florin Rd, Sacramento, CA 95831",https://www.apartments.com/vue-at-the-lake-sacramento-ca/6p7nffs/,,"$1,499 ","$1,610 ","$1,925 ",,,
G8 by CLG,Marina Del Rey,Apartment,CA,90292,"[{'bedroom_type': 'Studio', 'price': '$2,550'}, {'bedroom_type': '1 Bed', 'price': '$2,749'}, {'bedroom_type': '2 Beds', 'price': '$3,645'}]","13448 Beach Ave, Marina Del Rey, CA 90292",https://www.apartments.com/g8-by-clg-marina-del-rey-ca/9cp0475/,"$2,550 ","$2,749 ","$3,645 ",,,,
The Press at Midtown Quarter,Sacramento,Apartment,CA,95811,"[{'bedroom_type': 'Studio', 'price': '$1,680'}, {'bedroom_type': '1 Bed', 'price': '$2,095'}, {'bedroom_type': '2 Beds', 'price': '$2,910'}, {'bedroom_type': '3 Beds', 'price': '$4,515'}]","1714 21st St, Sacramento, CA 95811",https://www.apartments.com/the-press-at-midtown-quarter-sacramento-ca/8k68em0/,"$1,680 ","$2,095 ","$2,910 ","$4,515 ",,,
The Durant,Berkeley,Apartment,CA,94704,"[{'bedroom_type': 'Studio', 'price': '$3,300'}, {'bedroom_type': '2 Beds', 'price': '$6,850'}]","2631 Durant Ave, Berkeley, CA 94704",https://www.apartments.com/the-durant-berkeley-ca/00cs0t2/,"$3,300 ",,"$6,850 ",,,,
Costa Verde Village,San Diego,Apartment,CA,92122,"[{'bedroom_type': 'Studio', 'price': '$1,725'}, {'bedroom_type': '1 Bed', 'price': '$1,950'}, {'bedroom_type': '2 Beds', 'price': '$2,350'}, {'bedroom_type': '3 Beds', 'price': '$3,350'}]","8720 Costa Verde Blvd, San Diego, CA 92122",https://www.apartments.com/costa-verde-village-san-diego-ca/q2krkky/,"$1,725 ","$1,950 ","$2,350 ","$3,350 ",,,
Casa Mira View,San Diego,Apartment,CA,92126,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}, {'bedroom_type': '2 Beds', 'price': '$2,275'}, {'bedroom_type': '3 Beds', 'price': '$2,975'}]","9800 Mira Lee Way, San Diego, CA 92126",https://www.apartments.com/casa-mira-view-san-diego-ca/yn9q6jt/,,"$1,900 ","$2,275 ","$2,975 ",,,
Crystal Springs Terrace,San Bruno,Apartment,CA,94066,"[{'bedroom_type': 'Studio', 'price': '$2,320'}, {'bedroom_type': '1 Bed', 'price': '$2,395'}, {'bedroom_type': '2 Beds', 'price': '$3,395'}]","2000 Crystal Springs Rd, San Bruno, CA 94066",https://www.apartments.com/crystal-springs-terrace-san-bruno-ca/6m9hdtr/,"$2,320 ","$2,395 ","$3,395 ",,,,
Shores - NOW TOURING,Marina del Rey,Apartment,CA,90292,"[{'bedroom_type': '1 Bed', 'price': '$2,795'}, {'bedroom_type': '2 Beds', 'price': '$3,495'}]","4201 Via Marina, Marina del Rey, CA 90292",https://www.apartments.com/shores-now-touring-marina-del-rey-ca/wklt13k/,,"$2,795 ","$3,495 ",,,,
The Lucky,Los Angeles,Apartment,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$3,795'}, {'bedroom_type': '3 Beds', 'price': '$5,995'}]","12821 Washington Blvd, Los Angeles, CA 90066",https://www.apartments.com/the-lucky-los-angeles-ca/ne884hn/,,,"$3,795 ","$5,995 ",,,
Panorama Tower,Van Nuys,Apartment,CA,91402,"[{'bedroom_type': 'Studio', 'price': '$1,700'}, {'bedroom_type': '1 Bed', 'price': '$1,900'}, {'bedroom_type': '2 Beds', 'price': '$2,200'}]","8155 Van Nuys Blvd, Van Nuys, CA 91402",https://www.apartments.com/panorama-tower-van-nuys-ca/q4ckk5w/,"$1,700 ","$1,900 ","$2,200 ",,,,
HWH Luxury Living,Los Angeles,Apartment,CA,90013,"[{'bedroom_type': 'Studio', 'price': '$2,164'}, {'bedroom_type': '1 Bed', 'price': '$2,408'}, {'bedroom_type': '2 Beds', 'price': '$3,596'}, {'bedroom_type': '3 Beds', 'price': '$5,315'}]","354 S Spring St, Los Angeles, CA 90013",https://www.apartments.com/hwh-luxury-living-los-angeles-ca/qp5npbz/,"$2,164 ","$2,408 ","$3,596 ","$5,315 ",,,
The Woods,San Jose,Apartment,CA,95136,"[{'bedroom_type': 'Studio', 'price': '$1,845'}, {'bedroom_type': '1 Bed', 'price': '$1,955'}, {'bedroom_type': '2 Beds', 'price': '$2,445'}, {'bedroom_type': '3 Beds', 'price': '$2,955'}]","4300 The Woods Dr, San Jose, CA 95136",https://www.apartments.com/the-woods-san-jose-ca/75d8npw/,"$1,845 ","$1,955 ","$2,445 ","$2,955 ",,,
Anton Aspire,Milpitas,Apartment,CA,95035,"[{'bedroom_type': '1 Bed', 'price': '$2,695'}, {'bedroom_type': '2 Beds', 'price': '$3,345'}]","1828 S Milpitas Blvd, Milpitas, CA 95035",https://www.apartments.com/anton-aspire-milpitas-ca/ptmtmtt/,,"$2,695 ","$3,345 ",,,,
The Crossings at Redlands,Redlands,Apartment,CA,92374,"[{'bedroom_type': 'Studio', 'price': '$1,450'}, {'bedroom_type': '1 Bed', 'price': '$1,715'}, {'bedroom_type': '2 Beds', 'price': '$2,085'}]","26000 W Lugonia Ave, Redlands, CA 92374",https://www.apartments.com/the-crossings-at-redlands-redlands-ca/zl42wsx/,"$1,450 ","$1,715 ","$2,085 ",,,,
105 Doheny,Los Angeles,Apartment,CA,90048,"[{'bedroom_type': '1 Bed', 'price': '$4,500'}, {'bedroom_type': '2 Beds', 'price': '$6,800'}]","105 S Doheny Dr, Los Angeles, CA 90048",https://www.apartments.com/105-doheny-los-angeles-ca/3msf6ff/,,"$4,500 ","$6,800 ",,,,
La Scala Apartments,San Diego,Apartment,CA,92122,"[{'bedroom_type': 'Studio', 'price': '$1,770'}, {'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$2,183'}]","3845 Nobel Dr, San Diego, CA 92122",https://www.apartments.com/la-scala-apartments-san-diego-ca/gpbynnw/,"$1,770 ","$1,895 ","$2,183 ",,,,
Baker Block,Costa Mesa,Apartment,CA,92626,"[{'bedroom_type': 'Studio', 'price': '$1,975'}, {'bedroom_type': '1 Bed', 'price': '$2,250'}, {'bedroom_type': '2 Beds', 'price': '$2,600'}, {'bedroom_type': '3 Beds', 'price': '$3,700'}]","125 Baker St E, Costa Mesa, CA 92626",https://www.apartments.com/baker-block-costa-mesa-ca/dzhd6jk/,"$1,975 ","$2,250 ","$2,600 ","$3,700 ",,,
Tara Hill Apartments,Anaheim,Apartment,CA,92801,"[{'bedroom_type': '2 Beds', 'price': '$1,895'}, {'bedroom_type': '3 Beds', 'price': '$2,200'}]","2130 W Crescent Ave, Anaheim, CA 92801",https://www.apartments.com/tara-hill-apartments-anaheim-ca/hb1pn81/,,,"$1,895 ","$2,200 ",,,
Chelsea Santa Monica - TOURING NOW,Santa Monica,Apartment,CA,90401,"[{'bedroom_type': 'Studio', 'price': '$2,800'}, {'bedroom_type': '1 Bed', 'price': '$4,500'}, {'bedroom_type': '2 Beds', 'price': '$7,300'}]","1318 2nd St, Santa Monica, CA 90401",https://www.apartments.com/chelsea-santa-monica-touring-now-santa-monica-ca/0hwpxz1/,"$2,800 ","$4,500 ","$7,300 ",,,,
Four Seasons Apartments,Walnut Creek,Apartment,CA,94596,"[{'bedroom_type': 'Studio', 'price': '$1,745'}, {'bedroom_type': '1 Bed', 'price': '$1,830'}, {'bedroom_type': '2 Beds', 'price': '$2,145'}]","1357 Creekside Dr, Walnut Creek, CA 94596",https://www.apartments.com/four-seasons-apartments-walnut-creek-ca/q5rlysy/,"$1,745 ","$1,830 ","$2,145 ",,,,
Lakeshore Apartments,Antioch,Apartment,CA,94509,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}, {'bedroom_type': '2 Beds', 'price': '$1,770'}, {'bedroom_type': '3 Beds', 'price': '$2,480'}]","600 Wilbur Ave, Antioch, CA 94509",https://www.apartments.com/lakeshore-apartments-antioch-ca/q0k2l8y/,,"$1,700 ","$1,770 ","$2,480 ",,,
Cherrywood Apartments,San Jose,Apartment,CA,95118,"[{'bedroom_type': 'Studio', 'price': '$1,895'}, {'bedroom_type': '1 Bed', 'price': '$2,025'}, {'bedroom_type': '2 Beds', 'price': '$2,495'}, {'bedroom_type': '3 Beds', 'price': '$3,215'}]","4951 Cherry Ave, San Jose, CA 95118",https://www.apartments.com/cherrywood-apartments-san-jose-ca/bbnek58/,"$1,895 ","$2,025 ","$2,495 ","$3,215 ",,,
Anton Menlo,Menlo Park,Apartment,CA,94025,"[{'bedroom_type': 'Studio', 'price': '$3,150'}, {'bedroom_type': '1 Bed', 'price': '$3,295'}, {'bedroom_type': '2 Beds', 'price': '$4,250'}, {'bedroom_type': '3 Beds', 'price': '$5,555'}]","3639 Haven Ave, Menlo Park, CA 94025",https://www.apartments.com/anton-menlo-menlo-park-ca/77hv89w/,"$3,150 ","$3,295 ","$4,250 ","$5,555 ",,,
Coliseum Connections,Oakland,Apartment,CA,94621,"[{'bedroom_type': '1 Bed', 'price': '$2,150'}, {'bedroom_type': '2 Beds', 'price': '$2,370'}]","805 N 71st Ave, Oakland, CA 94621",https://www.apartments.com/coliseum-connections-oakland-ca/1n0krn4/,,"$2,150 ","$2,370 ",,,,
Anton Ladera,Mountain View,Apartment,CA,94040,"[{'bedroom_type': 'Studio', 'price': '$3,375'}, {'bedroom_type': '1 Bed', 'price': '$3,860'}, {'bedroom_type': '2 Beds', 'price': '$5,512'}]","394 Ortega Ave, Mountain View, CA 94040",https://www.apartments.com/anton-ladera-mountain-view-ca/fjs69kv/,"$3,375 ","$3,860 ","$5,512 ",,,,
Palm Gate Apartments,South Gate,Apartment,CA,90280,"[{'bedroom_type': 'Studio', 'price': '$1,290'}, {'bedroom_type': '1 Bed', 'price': '$1,490'}, {'bedroom_type': '2 Beds', 'price': '$1,645'}, {'bedroom_type': '3 Beds', 'price': '$1,895'}]","10800 Wright Rd, South Gate, CA 90280",https://www.apartments.com/palm-gate-apartments-south-gate-ca/mb5djkk/,"$1,290 ","$1,490 ","$1,645 ","$1,895 ",,,
Berkeley Central,Berkeley,Apartment,CA,94704,"[{'bedroom_type': 'Studio', 'price': '$2,840'}, {'bedroom_type': '1 Bed', 'price': '$3,045'}, {'bedroom_type': '2 Beds', 'price': '$4,410'}]","2055 Center St, Berkeley, CA 94704",https://www.apartments.com/berkeley-central-berkeley-ca/6bjeyls/,"$2,840 ","$3,045 ","$4,410 ",,,,
RIVER TERRACE,Sacramento,Apartment,CA,95833,"[{'bedroom_type': '1 Bed', 'price': '$1,220'}, {'bedroom_type': '2 Beds', 'price': '$1,380'}]","2593 Millcreek Dr, Sacramento, CA 95833",https://www.apartments.com/river-terrace-sacramento-ca/2bfezg8/,,"$1,220 ","$1,380 ",,,,
Arroyo Villa Apts,Thousand Oaks,Apartment,CA,91320,"[{'bedroom_type': '1 Bed', 'price': '$1,970'}, {'bedroom_type': '2 Beds', 'price': '$2,293'}, {'bedroom_type': '3 Beds', 'price': ''}]","1600 Rancho Conejo Blvd, Thousand Oaks, CA 91320",https://www.apartments.com/arroyo-villa-apts-thousand-oaks-ca/9yll6j7/,,"$1,970 ","$2,293 ",,,,
Rush River Apartments,Sacramento,Apartment,CA,95831,"[{'bedroom_type': '1 Bed', 'price': '$1,703'}, {'bedroom_type': '2 Beds', 'price': '$1,833'}]","7556 Rush River Dr, Sacramento, CA 95831",https://www.apartments.com/rush-river-apartments-sacramento-ca/qfj25vx/,,"$1,703 ","$1,833 ",,,,
Willow Creek,Poway,Apartment,CA,92064,"[{'bedroom_type': '1 Bed', 'price': '$1,853'}, {'bedroom_type': '2 Beds', 'price': '$2,134'}]","13546 Hilleary Pl, Poway, CA 92064",https://www.apartments.com/willow-creek-poway-ca/xtr6eeq/,,"$1,853 ","$2,134 ",,,,
Chadron Apts,Hawthorne,Apartment,CA,90250,"[{'bedroom_type': '1 Bed', 'price': '$1,668'}, {'bedroom_type': '2 Beds', 'price': '$1,968'}]","13622 Chadron Ave, Hawthorne, CA 90250",https://www.apartments.com/chadron-apts-hawthorne-ca/pxm7l0t/,,"$1,668 ","$1,968 ",,,,
River Ranch Townhomes & Apartments,Santa Clarita,Apartment,CA,91387,"[{'bedroom_type': '1 Bed', 'price': '$1,661'}, {'bedroom_type': '2 Beds', 'price': '$1,936'}, {'bedroom_type': '3 Beds', 'price': '$2,387'}]","18005 W Annes Cir, Santa Clarita, CA 91387",https://www.apartments.com/river-ranch-townhomes-apartments-santa-clarita-ca/gp59qyy/,,"$1,661 ","$1,936 ","$2,387 ",,,
Topaz,Los Angeles,Apartment,CA,90013,"[{'bedroom_type': 'Studio', 'price': '$1,875'}, {'bedroom_type': '1 Bed', 'price': '$2,255'}, {'bedroom_type': '2 Beds', 'price': '$3,045'}, {'bedroom_type': '3 Beds', 'price': '$4,010'}]","550 S Main St, Los Angeles, CA 90013",https://www.apartments.com/topaz-los-angeles-ca/be62jc9/,"$1,875 ","$2,255 ","$3,045 ","$4,010 ",,,
Windridge,Laguna Niguel,Apartment,CA,92677,"[{'bedroom_type': '2 Beds', 'price': '$2,186'}, {'bedroom_type': '3 Beds', 'price': '$2,595'}]","24922 Hidden Hills Rd, Laguna Niguel, CA 92677",https://www.apartments.com/windridge-laguna-niguel-ca/38f85gg/,,,"$2,186 ","$2,595 ",,,
Vineyard Village,Rancho Cucamonga,Apartment,CA,91730,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}, {'bedroom_type': '2 Beds', 'price': '$1,700'}]","8950 Arrow Route Rt, Rancho Cucamonga, CA 91730",https://www.apartments.com/vineyard-village-rancho-cucamonga-ca/pe78q7s/,,"$1,600 ","$1,700 ",,,,
Dolphin Marina Apartments,Marina Del Rey,Apartment,CA,90292,"[{'bedroom_type': 'Studio', 'price': '$2,548'}, {'bedroom_type': '1 Bed', 'price': '$2,722'}, {'bedroom_type': '2 Beds', 'price': '$3,531'}, {'bedroom_type': '3 Beds', 'price': '$4,773'}]","13900 Panay Way, Marina Del Rey, CA 90292",https://www.apartments.com/dolphin-marina-apartments-marina-del-rey-ca/f4753vv/,"$2,548 ","$2,722 ","$3,531 ","$4,773 ",,,
Park West,Los Angeles,Apartment,CA,90045,"[{'bedroom_type': 'Studio', 'price': '$1,678'}, {'bedroom_type': '1 Bed', 'price': '$1,789'}, {'bedroom_type': '2 Beds', 'price': ''}]","9400 La Tijera Blvd, Los Angeles, CA 90045",https://www.apartments.com/park-west-los-angeles-ca/r9jynd2/,"$1,678 ","$1,789 ",,,,,
CitySouth,San Mateo,Apartment,CA,94403,"[{'bedroom_type': '1 Bed', 'price': '$2,583'}, {'bedroom_type': '2 Beds', 'price': '$3,475'}, {'bedroom_type': '3 Beds', 'price': ''}]","3055 La Selva Ln, San Mateo, CA 94403",https://www.apartments.com/citysouth-san-mateo-ca/nlphw5q/,,"$2,583 ","$3,475 ",,,,
Allure,Orange,Apartment,CA,92868,"[{'bedroom_type': 'Studio', 'price': '$1,910'}, {'bedroom_type': '1 Bed', 'price': '$1,840'}, {'bedroom_type': '2 Beds', 'price': '$2,577'}]","3099 W Chapman Ave, Orange, CA 92868",https://www.apartments.com/allure-orange-ca/0w52hs1/,"$1,910 ","$1,840 ","$2,577 ",,,,
The Hills,Orangevale,Apartment,CA,95662,"[{'bedroom_type': '1 Bed', 'price': '$1,235'}, {'bedroom_type': '2 Beds', 'price': '$1,550'}]","9201 Madison Ave, Orangevale, CA 95662",https://www.apartments.com/the-hills-orangevale-ca/1n2ss77/,,"$1,235 ","$1,550 ",,,,
IMT Pleasanton,Pleasanton,Apartment,CA,94588,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$2,520'}]","3992 Stoneridge Dr, Pleasanton, CA 94588",https://www.apartments.com/imt-pleasanton-pleasanton-ca/bltdbkc/,,,"$2,520 ",,,,
Creekside Alta Loma,Rancho Cucamonga,Apartment,CA,91737,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}, {'bedroom_type': '2 Beds', 'price': '$2,006'}, {'bedroom_type': '3 Beds', 'price': '$2,576'}]","10757 Lemon Ave, Rancho Cucamonga, CA 91737",https://www.apartments.com/creekside-alta-loma-rancho-cucamonga-ca/22dm7cb/,,"$1,650 ","$2,006 ","$2,576 ",,,
Deerwood,San Diego,Apartment,CA,92127,"[{'bedroom_type': '2 Beds', 'price': '$2,212'}, {'bedroom_type': '3 Beds', 'price': '$2,781'}]","15640 Bernardo Center Dr, San Diego, CA 92127",https://www.apartments.com/deerwood-san-diego-ca/j05xxh5/,,,"$2,212 ","$2,781 ",,,
River Oaks,Oceanside,Apartment,CA,92057,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}, {'bedroom_type': '2 Beds', 'price': '$1,815'}]","3880 San Ramon Dr, Oceanside, CA 92057",https://www.apartments.com/river-oaks-oceanside-ca/szpnd37/,,"$1,700 ","$1,815 ",,,,
