Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												Studio
														–
2 Beds										","
												1 Bed
														–
3 Beds										","
												3 Beds
										"
Waterbend Apartments,San Francisco,Apartment,CA,94124,"[{'bedroom_type': '1 Bed', 'price': '$2,370'}, {'bedroom_type': '2 Beds', 'price': '$3,330'}]","5880 3rd St, San Francisco, CA 94124",https://www.apartments.com/waterbend-apartments-san-francisco-ca/l7w7epd/,,"$2,370","$3,330",,,,,
Cadence,Hayward,Apartment,CA,94544,"[{'bedroom_type': '1 Bed', 'price': '$2,269'}, {'bedroom_type': '2 Beds', 'price': '$2,602'}]","28850 Dixon St, Hayward, CA 94544",https://www.apartments.com/cadence-hayward-ca/lwhqrze/,,"$2,269","$2,602",,,,,
300 Railway,Campbell,Apartment,CA,95008,"[{'bedroom_type': 'Studio', 'price': '$2,875'}, {'bedroom_type': '1 Bed', 'price': '$2,800'}, {'bedroom_type': '2 Beds', 'price': '$3,945'}]","300 Railway Ave, Campbell, CA 95008",https://www.apartments.com/300-railway-campbell-ca/bj6kr9b/,"$2,875","$2,800","$3,945",,,,,
Alta Waverly,Oakland,Apartment,CA,94612,"[{'bedroom_type': 'Studio', 'price': '$2,735'}, {'bedroom_type': '1 Bed', 'price': '$3,475'}, {'bedroom_type': '2 Beds', 'price': '$4,325'}]","2302 Valdez St, Oakland, CA 94612",https://www.apartments.com/alta-waverly-oakland-ca/qhn9g7w/,"$2,735","$3,475","$4,325",,,,,
777 Broadway,Oakland,Apartment,CA,94607,"[{'bedroom_type': '1 Bed', 'price': '$2,415'}, {'bedroom_type': '2 Beds', 'price': '$3,164'}]","777 Broadway, Oakland, CA 94607",https://www.apartments.com/777-broadway-oakland-ca/rfcdjq1/,,"$2,415","$3,164",,,,,
7403,Los Angeles,Apartment,CA,90045,"[{'bedroom_type': 'Studio', 'price': '$2,099'}, {'bedroom_type': '1 Bed', 'price': '$2,575'}, {'bedroom_type': '2 Beds', 'price': '$3,550'}]","7403 La Tijera Blvd, Los Angeles, CA 90045",https://www.apartments.com/7403-los-angeles-ca/77xr18z/,"$2,099","$2,575","$3,550",,,,,
Cannery Park by Windsor,San Jose,Apartment,CA,95112,"[{'bedroom_type': 'Studio', 'price': '$2,245'}, {'bedroom_type': '1 Bed', 'price': '$2,685'}, {'bedroom_type': '2 Beds', 'price': '$2,890'}]","415 E Taylor St, San Jose, CA 95112",https://www.apartments.com/cannery-park-by-windsor-san-jose-ca/43ekybk/,"$2,245","$2,685","$2,890",,,,,
Alexan Bahay,Los Angeles,Apartment,CA,90026,"[{'bedroom_type': 'Studio', 'price': '$1,780'}, {'bedroom_type': '1 Bed', 'price': '$2,345'}, {'bedroom_type': '2 Beds', 'price': '$3,310'}]","330 N Westlake Ave, Los Angeles, CA 90026",https://www.apartments.com/alexan-bahay-los-angeles-ca/7jfxnrx/,"$1,780","$2,345","$3,310",,,,,
2300 Wilshire,Santa Monica,Apartment,CA,90403,"[{'bedroom_type': '1 Bed', 'price': '$4,495'}, {'bedroom_type': '2 Beds', 'price': '$5,730'}]","2300 Wilshire Blvd, Santa Monica, CA 90403",https://www.apartments.com/2300-wilshire-santa-monica-ca/n60jpqp/,,"$4,495","$5,730",,,,,
Enclave Otay Ranch,Chula Vista,Apartment,CA,91913,"[{'bedroom_type': '1 Bed', 'price': '$1,931'}, {'bedroom_type': '2 Beds', 'price': '$2,573'}, {'bedroom_type': '3 Beds', 'price': '$3,226'}]","1625 Santa Venetia St, Chula Vista, CA 91913",https://www.apartments.com/enclave-otay-ranch-chula-vista-ca/lgy03re/,,"$1,931","$2,573","$3,226",,,,
