City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,Studio,3 Beds,4 Beds
San Ramon,Condos,CA,94583,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","San Ramon, CA 94583",https://www.apartments.com/225-reflections-dr-san-ramon-ca-unit-16/yjqsq3r/,2 BAs,960 Sq Ft,960,12 Month Lease,Available Now,"$2,400",,,,
Malibu,Condos,CA,90265,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]","3554 Decker Canyon Rd, Malibu, CA 90265",https://www.apartments.com/3554-decker-canyon-rd-malibu-ca/lj8zwjd/,1 BA,500 Sq Ft,500,6 Month Lease,Available Now,,"$2,000",,,
Paso Robles,Condos,CA,93446,"[{'bedroom_type': '2 Beds', 'price': '$1,500'}]","Paso Robles, CA 93446",https://www.apartments.com/3408-spring-st-paso-robles-ca/p5mdvrv/,1 BA,860 Sq Ft,860,12 Month Lease,Available Now,"$1,500",,,,
Pasadena,Condos,CA,91106,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","61 N Meridith Ave, Pasadena, CA 91106",https://www.apartments.com/61-n-meridith-ave-pasadena-ca/r0mhxd0/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,"$1,750",,,
San Pablo,Condos,CA,94806,"[{'bedroom_type': '2 Beds', 'price': '$1,800'}]","San Pablo, CA 94806",https://www.apartments.com/5269-riverside-ave-san-pablo-ca/w0882yh/,1 BA,770 Sq Ft,770,12 Month Lease,Available Now,"$1,800",,,,
Los Angeles,Condos,CA,91367,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","5500 Owensmouth Ave, Los Angeles, CA 91367",https://www.apartments.com/5500-owensmouth-ave-los-angeles-ca-unit-117/ckzfzrf/,2 BAs,900 Sq Ft,900,12 Month Lease,Jul 15,"$2,500",,,,
San Jose,Condos,CA,95128,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]","San Jose, CA 95128",https://www.apartments.com/333-santana-row-san-jose-ca-unit-241/w9n6kmj/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$4,200",,,,
San Mateo,Condos,CA,94403,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","San Mateo, CA 94403",https://www.apartments.com/3311-los-prados-st-san-mateo-ca/ry03eb3/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,"$2,800",,,,
Long Beach,Condos,CA,90810,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]","Long Beach, CA 90810",https://www.apartments.com/3428-adriatic-ave-long-beach-ca/he5y011/,1 BA,1 Sq Ft,1,12 Month Lease,Available Now,,"$1,700",,,
Los Angeles,Condos,CA,90045,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]","Los Angeles, CA 90045",https://www.apartments.com/8722-reading-ave-los-angeles-ca/m5vr1bj/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,"$2,300",,,,
