City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,3 Beds,4+ Beds
San Mateo,Houses,CA,94403,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","San Mateo, CA 94403",https://www.apartments.com/325-landfair-ave-san-mateo-ca/xmv1x3p/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$4,500",,,,
Laguna Niguel,Houses,CA,92677,"[{'bedroom_type': '4 Beds', 'price': '$6,500'}]","2 Argos, Laguna Niguel, CA 92677",https://www.apartments.com/2-argos-laguna-niguel-ca/5mrsx9p/,5 BAs,"3,650 Sq Ft","3,650",24 Month Lease,Aug 1,,"$6,500",,,
Palm Desert,Houses,CA,92211,"[{'bedroom_type': '4 Beds', 'price': '$9,000'}]","Palm Desert, CA 92211",https://www.apartments.com/350-crest-lake-dr-palm-desert-ca/wrhvlnh/,4 BAs,"4,150 Sq Ft","4,150",12 Month Lease,Available Now,,"$9,000",,,
Palm Desert,Houses,CA,92211,"[{'bedroom_type': '4 Beds', 'price': '$9,000'}]","Palm Desert, CA 92211",https://www.apartments.com/350-crest-lake-dr-palm-desert-ca/wrhvlnh/,4 BAs,"4,150 Sq Ft","4,150",12 Month Lease,Available Now,,"$9,000",,,
Los Angeles,Houses,CA,90077,"[{'bedroom_type': '4 Beds', 'price': '$4,900'}]","1815 N Beverly Glen Blvd, Los Angeles, CA 90077",https://www.apartments.com/1815-n-beverly-glen-blvd-los-angeles-ca/ffmp46s/,3 BAs,"3,000 Sq Ft","3,000",12 Month Lease,Available Now,,"$4,900",,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$7,000'}]","2323 Grand Canal, Los Angeles, CA 90291",https://www.apartments.com/2323-grand-canal-los-angeles-ca/1p4j006/,1 BA,900 Sq Ft,900,,Available Now,,,"$7,000",,
Los Angeles,Houses,CA,90272,"[{'bedroom_type': '4 Beds', 'price': '$9,000'}]","16655 Marquez Ter, Los Angeles, CA 90272",https://www.apartments.com/16655-marquez-ter-los-angeles-ca/t330jkb/,4 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$9,000",,,
Los Angeles,Houses,CA,90043,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","4548 W 62nd St, Los Angeles, CA 90043",https://www.apartments.com/4548-w-62nd-st-los-angeles-ca/wxch6tj/,2 BAs,"1,465 Sq Ft","1,465",,Jul 5,"$2,850",,,,
Riverside,Houses,CA,92507,"[{'bedroom_type': '3 Beds', 'price': '$2,200'}]","Riverside, CA 92507",https://www.apartments.com/1839-spring-garden-st-riverside-ca/m6d6r1h/,1 BA,"1,363 Sq Ft","1,363",12 Month Lease,Available Now,,,,"$2,200",
Culver City,Houses,CA,90230,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","Culver City, CA 90230",https://www.apartments.com/4831-imlay-ave-culver-city-ca/5j0nzmp/,2 BAs,"1,340 Sq Ft","1,340",12 Month Lease,Available Now,,,,"$4,500",
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$3,495'}]","Los Angeles, CA 90034",https://www.apartments.com/3310-s-durango-ave-los-angeles-ca/c4f59xf/,1½ BAs,"1,000 Sq Ft","1,000",6 Month Lease,Aug 8,"$3,495",,,,
Los Angeles,Houses,CA,90042,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Los Angeles, CA 90042",https://www.apartments.com/5019-coringa-dr-los-angeles-ca/44rw3sl/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,500",,,,
Los Angeles,Houses,CA,90069,"[{'bedroom_type': '3 Beds', 'price': '$8,800'}]","Los Angeles, CA 90069",https://www.apartments.com/8975-shoreham-dr-los-angeles-ca/h7739x1/,3 BAs,"2,200 Sq Ft","2,200",12 Month Lease,Aug 1,,,,"$8,800",
Stockton,Houses,CA,95206,"[{'bedroom_type': '4 Beds', 'price': '$2,250'}]","Stockton, CA 95206",https://www.apartments.com/4060-mist-trail-dr-stockton-ca/nc4t2sn/,2 BAs,"1,820 Sq Ft","1,820",12 Month Lease,Available Now,,"$2,250",,,
Gardena,Houses,CA,90249,"[{'bedroom_type': '3 Beds', 'price': '$3,600'}]","Gardena, CA 90249",https://www.apartments.com/16027-arcturus-ave-gardena-ca/rb3hl11/,2 BAs,"1,230 Sq Ft","1,230",12 Month Lease,Available Now,,,,"$3,600",
San Jose,Houses,CA,95130,"[{'bedroom_type': '4 Beds', 'price': '$3,990'}]","San Jose, CA 95130",https://www.apartments.com/1535-clarita-ave-san-jose-ca/e79zf2n/,2 BAs,"1,900 Sq Ft","1,900",12 Month Lease,Jul 16,,"$3,990",,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '4 Beds', 'price': '$6,100'}]","Los Angeles, CA 90066",https://www.apartments.com/3133-colby-ave-los-angeles-ca/cesnx1e/,2½ BAs,"2,279 Sq Ft","2,279",12 Month Lease,Jul 15,,"$6,100",,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$2,275'}]","Los Angeles, CA 90291",https://www.apartments.com/1225-elm-st-los-angeles-ca/lpgj4he/,1 BA,600 Sq Ft,600,,Aug 1,,,"$2,275",,
Stockton,Houses,CA,95219,"[{'bedroom_type': '4+ Beds', 'price': '$2,800'}]","Stockton, CA 95219",https://www.apartments.com/6529-brook-hollow-cir-stockton-ca/v33rfxe/,3½ BAs,"3,300 Sq Ft","3,300",12 Month Lease,Available Now,,,,,"$2,800"
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '3 Beds', 'price': '$7,900'}]","Santa Monica, CA 90405",https://www.apartments.com/2650-4th-st-santa-monica-ca/6bhj05t/,3 BAs,"1,300 Sq Ft","1,300",,Aug 1,,,,"$7,900",
Los Angeles,Houses,CA,91316,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","Los Angeles, CA 91316",https://www.apartments.com/17944-collins-st-los-angeles-ca/zvs4mbw/,1 BA,"1,602 Sq Ft","1,602",12 Month Lease,Aug 15,,,,"$2,600",
Los Angeles,Houses,CA,91401,"[{'bedroom_type': '3 Beds', 'price': '$4,550'}]","Los Angeles, CA 91401",https://www.apartments.com/5840-allott-ave-los-angeles-ca/pme6rpt/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Aug 1,,,,"$4,550",
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$4,600'}]","Los Angeles, CA 90034",https://www.apartments.com/3676-kelton-ave-los-angeles-ca/tvfy569/,1 BA,"1,100 Sq Ft","1,100",,Available Now,"$4,600",,,,
Los Angeles,Houses,CA,90028,"[{'bedroom_type': '2 Beds', 'price': '$5,999'}]","Los Angeles, CA 90028",https://www.apartments.com/6718-fountain-ave-los-angeles-ca/89kkcp1/,2 BAs,"1,000 Sq Ft","1,000",6 Month Lease,Available Now,"$5,999",,,,
Glendale,Houses,CA,91201,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}]","1321 Elm Ave, Glendale, CA 91201",https://www.apartments.com/1321-elm-ave-glendale-ca/vvqnlqe/,1 BA,800 Sq Ft,800,24 Month Lease,Oct 1,,,"$1,900",,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '2 Beds', 'price': '$3,995'}]","1244 Hauser Blvd, Los Angeles, CA 90019",https://www.apartments.com/1244-hauser-blvd-los-angeles-ca/3zftfpe/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Jul 11,"$3,995",,,,
Inglewood,Houses,CA,90304,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","5026 W 111th Pl, Inglewood, CA 90304",https://www.apartments.com/5026-w-111th-pl-inglewood-ca/4bkrfrj/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,"$3,000",
Indio,Houses,CA,92201,"[{'bedroom_type': '1 Bed', 'price': '$950'}]","81433 Avenida Esmeralda, Indio, CA 92201",https://www.apartments.com/81433-avenida-esmeralda-indio-ca/ncweqwq/,1 BA,400 Sq Ft,400,6 Month Lease,Available Now,,,$950,,
Los Angeles,Houses,CA,90004,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}]","339 Hobart N Blvd, Los Angeles, CA 90004",https://www.apartments.com/339-hobart-n-blvd-los-angeles-ca/lz8s4fd/,1 BA,400 Sq Ft,400,,Available Now,,,"$1,800",,
Los Angeles,Houses,CA,90077,"[{'bedroom_type': '1 Bed', 'price': '$3,800'}]","10323 Viretta Ln, Los Angeles, CA 90077",https://www.apartments.com/10323-viretta-ln-los-angeles-ca/stt0j46/,1 BA,820 Sq Ft,820,12 Month Lease,Available Now,,,"$3,800",,
Corona,Houses,CA,92882,"[{'bedroom_type': '3 Beds', 'price': '$2,200'}]","Corona, CA 92882",https://www.apartments.com/312-n-garfield-ave-corona-ca/72cp65y/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,,"$2,200",
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Los Angeles, CA 90016",https://www.apartments.com/2935-s-sycamore-ave-los-angeles-ca/gqzyfrx/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,500",,,,
