City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,3 Beds,4+ Beds
Redwood City,Houses,CA,94062,"[{'bedroom_type': '1 Bed', 'price': '$2,600'}]","Redwood City, CA 94062",https://www.apartments.com/5-fulton-st-redwood-city-ca/j9gt114/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,"$2,600",,
San Diego,Houses,CA,92106,"[{'bedroom_type': '4 Beds', 'price': '$9,400'}]","1233 Shafter St, San Diego, CA 92106",https://www.apartments.com/1233-shafter-st-san-diego-ca/5kdksnn/,3½ BAs,"4,265 Sq Ft","4,265",12 Month Lease,Aug 5,,"$9,400",,,
Los Angeles,Houses,CA,90064,"[{'bedroom_type': '1 Bed', 'price': '$1,100'}]","Los Angeles, CA 90064",https://www.apartments.com/11821-ayres-ave-los-angeles-ca/gw69kfy/,1 BA,300 Sq Ft,300,6 Month Lease,Available Now,,,"$1,100",,
Los Angeles,Houses,CA,91607,"[{'bedroom_type': '1 Bed', 'price': '$2,650'}]","4638 Seratt Pl, Los Angeles, CA 91607",https://www.apartments.com/4638-seratt-pl-los-angeles-ca/lk1ncrd/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,"$2,650",,
Los Angeles,Houses,CA,91356,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","Los Angeles, CA 91356",https://www.apartments.com/5033-nestle-ave-los-angeles-ca/q9pjv4w/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,"$3,000",
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '3 Beds', 'price': '$3,195'}]","6136 Cahuenga Blvd, Los Angeles, CA 91606",https://www.apartments.com/6136-cahuenga-blvd-los-angeles-ca/qzhkx8x/,2 BAs,"1,295 Sq Ft","1,295",12 Month Lease,Available Now,,,,"$3,195",
San Diego,Houses,CA,92102,"[{'bedroom_type': '2 Beds', 'price': '$2,899'}]","San Diego, CA 92102",https://www.apartments.com/3268-cedar-st-san-diego-ca/zzpy1kz/,1 BA,750 Sq Ft,750,12 Month Lease,Oct 1,"$2,899",,,,
Altadena,Houses,CA,91001,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","3125 Fair Oaks Ave, Altadena, CA 91001",https://www.apartments.com/3125-fair-oaks-ave-altadena-ca/pdwwzlt/,1 BA,600 Sq Ft,600,,Available Now,,,"$1,750",,
Los Angeles,Houses,CA,90064,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","2813 Granville Ave, Los Angeles, CA 90064",https://www.apartments.com/2813-granville-ave-los-angeles-ca/f5j88nt/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$4,500",,,,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '1 Bed', 'price': '$3,400'}]","422 Bay St, Santa Monica, CA 90405",https://www.apartments.com/422-bay-st-santa-monica-ca/335w53f/,2 BAs,800 Sq Ft,800,6 Month Lease,Jul 10,,,"$3,400",,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '1 Bed', 'price': '$2,550'}]","Santa Monica, CA 90405",https://www.apartments.com/1704-hill-st-santa-monica-ca/wkpl4th/,1 BA,400 Sq Ft,400,6 Month Lease,Available Now,,,"$2,550",,
Millbrae,Houses,CA,94030,"[{'bedroom_type': '3 Beds', 'price': '$5,100'}]","Millbrae, CA 94030",https://www.apartments.com/527-santa-florita-ave-millbrae-ca/krnww59/,2 BAs,"1,680 Sq Ft","1,680",,Available Now,,,,"$5,100",
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '4 Beds', 'price': '$6,000'}]","Manhattan Beach, CA 90266",https://www.apartments.com/2202-pacific-ave-manhattan-beach-ca/s1s77b5/,2½ BAs,"1,800 Sq Ft","1,800",12 Month Lease,Jul 6,,"$6,000",,,
Pasadena,Houses,CA,91107,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]","54 S Berkeley Ave, Pasadena, CA 91107",https://www.apartments.com/54-s-berkeley-ave-pasadena-ca/4tme5vl/,1 BA,"1,300 Sq Ft","1,300",,Available Now,"$2,950",,,,
Oakland,Houses,CA,94606,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","Oakland, CA 94606",https://www.apartments.com/2528-21st-ave-oakland-ca/xeqbs2p/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,800",,,,
Los Angeles,Houses,CA,90049,"[{'bedroom_type': '4 Beds', 'price': '$9,000'}]","12303 Dorothy St, Los Angeles, CA 90049",https://www.apartments.com/12303-dorothy-st-los-angeles-ca/yglj5cs/,4½ BAs,"2,300 Sq Ft","2,300",,Available Now,,"$9,000",,,
San Jose,Houses,CA,95136,"[{'bedroom_type': '4 Beds', 'price': '$4,250'}]","San Jose, CA 95136",https://www.apartments.com/621-gaundabert-ln-san-jose-ca/gtdsntx/,3 BAs,"2,950 Sq Ft","2,950",12 Month Lease,Available Now,,"$4,250",,,
Hermosa Beach,Houses,CA,90254,"[{'bedroom_type': '1 Bed', 'price': '$2,950'}]","Hermosa Beach, CA 90254",https://www.apartments.com/358-28th-st-hermosa-beach-ca/0xykfm1/,2 BAs,"1,200 Sq Ft","1,200",,Available Now,,,"$2,950",,
Inglewood,Houses,CA,90303,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","10931 Wilkie Ave, Inglewood, CA 90303",https://www.apartments.com/10931-wilkie-ave-inglewood-ca/9cyb3v5/,1½ BAs,"1,277 Sq Ft","1,277",12 Month Lease,Oct 1,,,,"$3,000",
Fremont,Houses,CA,94539,"[{'bedroom_type': '4 Beds', 'price': '$4,500'}]","Fremont, CA 94539",https://www.apartments.com/1942-mento-dr-fremont-ca/mr036mj/,2 BAs,"1,700 Sq Ft","1,700",,Available Now,,"$4,500",,,
Los Angeles,Houses,CA,90026,"[{'bedroom_type': '1 Bed', 'price': '$2,995'}]","Los Angeles, CA 90026",https://www.apartments.com/817-waterloo-st-los-angeles-ca/71hdwrx/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,"$2,995",,
Burbank,Houses,CA,91504,"[{'bedroom_type': '4 Beds', 'price': '$4,000'}]","Burbank, CA 91504",https://www.apartments.com/2403-n-lamer-st-burbank-ca/wnbtpgh/,2 BAs,"1,800 Sq Ft","1,800",,Available Now,,"$4,000",,,
Venice,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","342 4th Ave, Venice, CA 90291",https://www.apartments.com/342-4th-ave-venice-ca/bxhz4mb/,1 BA,775 Sq Ft,775,12 Month Lease,Available Now,"$3,500",,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$4,300'}]","1301 Cabrillo Ave, Venice, CA 90291",https://www.apartments.com/1301-cabrillo-ave-venice-ca/hkdpyt2/,1 BA,"1,066 Sq Ft","1,066",12 Month Lease,Jul 10,,,"$4,300",,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '3 Beds', 'price': '$9,000'}]","6174 Mulholland Hwy, Los Angeles, CA 90068",https://www.apartments.com/6174-mulholland-hwy-los-angeles-ca/y956g2t/,3 BAs,"2,400 Sq Ft","2,400",,Available Now,,,,"$9,000",
Los Angeles,Houses,CA,91403,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]","3508 Woodcliff Rd, Los Angeles, CA 91403",https://www.apartments.com/3508-woodcliff-rd-los-angeles-ca/zkxl47x/,2 BAs,"2,156 Sq Ft","2,156",,Available Now,,,,"$5,200",
