City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,4 Beds,4+ Beds
Gardena,Houses,CA,90247,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]","Gardena, CA 90247",https://www.apartments.com/817-w-134th-st-gardena-ca/40h9v6j/,2 BAs,975 Sq Ft,975,12 Month Lease,Available Now,,,"$2,800",,
Culver City,Houses,CA,90232,"[{'bedroom_type': '3 Beds', 'price': '$4,750'}]","Culver City, CA 90232",https://www.apartments.com/3313-cattaraugus-ave-culver-city-ca/6eed6er/,1½ BAs,"1,080 Sq Ft","1,080",,Aug 1,,,"$4,750",,
Los Angeles,Houses,CA,90024,"[{'bedroom_type': '3 Beds', 'price': '$5,850'}]","Los Angeles, CA 90024",https://www.apartments.com/10533-eastborne-ave-los-angeles-ca/8rp4jf1/,2 BAs,"1,950 Sq Ft","1,950",,Available Now,,,"$5,850",,
San Diego,Houses,CA,92106,"[{'bedroom_type': '1 Bed', 'price': '$1,499'}]","San Diego, CA 92106",https://www.apartments.com/3312-avenida-de-portugal-san-diego-ca/e7zespp/,1 BA,800 Sq Ft,800,,Available Now,,"$1,499",,,
Los Angeles,Houses,CA,90049,"[{'bedroom_type': '3 Beds', 'price': '$9,000'}]","16561 Park Lane Dr, Los Angeles, CA 90049",https://www.apartments.com/16561-park-lane-dr-los-angeles-ca/23ykbmb/,3 BAs,"3,597 Sq Ft","3,597",12 Month Lease,Available Now,,,"$9,000",,
Sacramento,Houses,CA,95818,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Sacramento, CA 95818",https://www.apartments.com/402-tailoff-ln-sacramento-ca/6y4ecfv/,2½ BAs,"1,042 Sq Ft","1,042",,Available Now,"$2,500",,,,
Los Angeles,Houses,CA,91345,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]","Los Angeles, CA 91345",https://www.apartments.com/10557-sepulveda-blvd-los-angeles-ca/qe60ghy/,2 BAs,"1,250 Sq Ft","1,250",,Available Now,,,"$2,900",,
Union City,Houses,CA,94587,"[{'bedroom_type': '4 Beds', 'price': '$4,800'}]","Union City, CA 94587",https://www.apartments.com/32554-monterey-ct-union-city-ca/w7jnjmk/,3 BAs,"2,828 Sq Ft","2,828",12 Month Lease,Available Now,,,,"$4,800",
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","1213 Palms Blvd, Los Angeles, CA 90291",https://www.apartments.com/1213-palms-blvd-los-angeles-ca/mwxcwpj/,1 BA,525 Sq Ft,525,12 Month Lease,Available Now,"$2,800",,,,
San Jose,Houses,CA,95112,"[{'bedroom_type': '4+ Beds', 'price': '$4,000'}]","San Jose, CA 95112",https://www.apartments.com/662-s-10th-st-san-jose-ca/smcsk26/,3 BAs,"1,200 Sq Ft","1,200",,Available Now,,,,,"$4,000"
