City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,4 Beds,4+ Beds
Oakland,Houses,CA,94621,"[{'bedroom_type': '1 Bed', 'price': '$1,675'}]","Oakland, CA 94621",https://www.apartments.com/7815-olive-st-oakland-ca/hlvz5g2/,1 BA,300 Sq Ft,300,,Available Now,,"$1,675",,,
Livermore,Houses,CA,94551,"[{'bedroom_type': '3 Beds', 'price': '$4,350'}]","Livermore, CA 94551",https://www.apartments.com/5829-edelweiss-way-livermore-ca/r5ty433/,3 BAs,"2,271 Sq Ft","2,271",,Available Now,,,"$4,350",,
Culver City,Houses,CA,90230,"[{'bedroom_type': '3 Beds', 'price': '$3,900'}]","Culver City, CA 90230",https://www.apartments.com/11148-culver-blvd-culver-city-ca/t34gzj9/,1 BA,"1,161 Sq Ft","1,161",12 Month Lease,Available Now,,,"$3,900",,
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]","Los Angeles, CA 90045",https://www.apartments.com/6207-w-74th-st-los-angeles-ca/p6gnwxv/,1½ BAs,"1,546 Sq Ft","1,546",12 Month Lease,Available Now,,,"$4,200",,
Livermore,Houses,CA,94551,"[{'bedroom_type': '3 Beds', 'price': '$4,350'}]","Livermore, CA 94551",https://www.apartments.com/5829-edelweiss-way-livermore-ca/r5ty433/,3 BAs,"2,271 Sq Ft","2,271",,Available Now,,,"$4,350",,
Culver City,Houses,CA,90230,"[{'bedroom_type': '3 Beds', 'price': '$3,900'}]","Culver City, CA 90230",https://www.apartments.com/11148-culver-blvd-culver-city-ca/t34gzj9/,1 BA,"1,161 Sq Ft","1,161",12 Month Lease,Available Now,,,"$3,900",,
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]","Los Angeles, CA 90045",https://www.apartments.com/6207-w-74th-st-los-angeles-ca/p6gnwxv/,1½ BAs,"1,546 Sq Ft","1,546",12 Month Lease,Available Now,,,"$4,200",,
Santa Monica,Houses,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]","1531 16th St, Santa Monica, CA 90404",https://www.apartments.com/1531-16th-st-santa-monica-ca/lps5g3d/,1 BA,800 Sq Ft,800,2 Month Lease,Available Now,"$2,650",,,,
Los Angeles,Houses,CA,91423,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","Los Angeles, CA 91423",https://www.apartments.com/4180-sunnyslope-ave-los-angeles-ca/e988ggm/,1 BA,900 Sq Ft,900,,Available Now,"$2,750",,,,
Los Angeles,Houses,CA,90048,"[{'bedroom_type': '3 Beds', 'price': '$9,900'}]","Los Angeles, CA 90048",https://www.apartments.com/455-s-hamel-rd-los-angeles-ca/63chvtt/,3 BAs,400 Sq Ft,400,,Aug 1,,,"$9,900",,
