City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,3 Beds,4+ Beds,2 Beds,1 Bed,Studio
Paso Robles,Houses,CA,93446,"[{'bedroom_type': '3 Beds', 'price': '$2,200'}]","Paso Robles, CA 93446",https://www.apartments.com/530-peachy-ct-paso-robles-ca/g93xpnw/,2 BAs,"1,550 Sq Ft","1,550",12 Month Lease,Aug 1,,"$2,200",,,,
Templeton,Houses,CA,93465,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Templeton, CA 93465",https://www.apartments.com/52-sunnyside-dr-templeton-ca/p62dycs/,2 BAs,"2,200 Sq Ft","2,200",12 Month Lease,Jul 15,,"$2,500",,,,
Modesto,Houses,CA,95355,"[{'bedroom_type': '3 Beds', 'price': '$1,850'}]","Modesto, CA 95355",https://www.apartments.com/4312-e-orangeburg-ave-modesto-ca/z4jpc4w/,2 BAs,"1,575 Sq Ft","1,575",12 Month Lease,Available Now,,"$1,850",,,,
Yucca Valley,Houses,CA,92284,"[{'bedroom_type': '1 Bed', 'price': '$900'}]","Yucca Valley, CA 92284",https://www.apartments.com/7036-scarvan-rd-yucca-valley-ca/p6mel5r/,1 BA,624 Sq Ft,624,12 Month Lease,Available Now,,,,,$900,
Fresno,Houses,CA,93730,"[{'bedroom_type': '3 Beds', 'price': '$1,650'}]","Fresno, CA 93730",https://www.apartments.com/10266-sierra-vista-n-ave-fresno-ca/gj0nvpy/,2 BAs,"1,458 Sq Ft","1,458",12 Month Lease,Available Now,,"$1,650",,,,
Desert Hot Springs,Houses,CA,92241,"[{'bedroom_type': '1 Bed', 'price': '$900'}]","Desert Hot Springs, CA 92241",https://www.apartments.com/74711-dillon-rd-desert-hot-springs-ca/gn9q2ww/,1 BA,400 Sq Ft,400,6 Month Lease,Available Now,,,,,$900,
Morgan Hill,Houses,CA,95037,"[{'bedroom_type': '4+ Beds', 'price': '$4,800'}]","Morgan Hill, CA 95037",https://www.apartments.com/1600-seville-dr-morgan-hill-ca/lvpdeef/,3 BAs,"3,000 Sq Ft","3,000",12 Month Lease,Available Now,,,"$4,800",,,
Los Angeles,Houses,CA,90059,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]","11815 Compton Ave, Los Angeles, CA 90059",https://www.apartments.com/11815-compton-ave-los-angeles-ca/l6spxwf/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,,"$2,000",,
Alameda,Houses,CA,94502,"[{'bedroom_type': '3 Beds', 'price': '$4,800'}]","Alameda, CA 94502",https://www.apartments.com/427-indian-bay-alameda-ca/vflx7kf/,2½ BAs,"1,691 Sq Ft","1,691",12 Month Lease,Available Now,,"$4,800",,,,
Rohnert Park,Houses,CA,94928,"[{'bedroom_type': '4+ Beds', 'price': '$4,300'}]","Rohnert Park, CA 94928",https://www.apartments.com/7680-blair-ave-rohnert-park-ca/y3y72tt/,4 BAs,"2,640 Sq Ft","2,640",12 Month Lease,Aug 1,,,"$4,300",,,
Lafayette,Houses,CA,94549,"[{'bedroom_type': '4 Beds', 'price': '$5,415'}]","Lafayette, CA 94549",https://www.apartments.com/3359-mildred-ln-lafayette-ca/lmv14tg/,3 BAs,"2,109 Sq Ft","2,109",12 Month Lease,Available Now,"$5,415",,,,,
Stanton,Houses,CA,90680,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]","Stanton, CA 90680",https://www.apartments.com/10231-lotus-ct-stanton-ca/kmvg688/,2½ BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,"$3,000",,,,,
Idyllwild-Pine Cove,Houses,CA,92549,"[{'bedroom_type': '2 Beds', 'price': '$1,375'}]","Idyllwild-Pine Cove, CA 92549",https://www.apartments.com/24855-marion-ridge-dr-idyllwild-pine-cove-ca/bfpw4e8/,2 BAs,"1,064 Sq Ft","1,064",,Available Now,,,,"$1,375",,
Los Angeles,Houses,CA,91405,"[{'bedroom_type': '4 Beds', 'price': '$4,200'}]","14722 Marie Ln, Los Angeles, CA 91405",https://www.apartments.com/14722-marie-ln-los-angeles-ca/02j2jj3/,3½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,"$4,200",,,,,
Alameda,Houses,CA,94502,"[{'bedroom_type': '3 Beds', 'price': '$5,300'}]","Alameda, CA 94502",https://www.apartments.com/68-vista-rd-alameda-ca/zwr3rey/,2½ BAs,"1,836 Sq Ft","1,836",11 Month Lease,Available Now,,"$5,300",,,,
Redwood City,Houses,CA,94062,"[{'bedroom_type': '3 Beds', 'price': '$4,800'}]","Redwood City, CA 94062",https://www.apartments.com/3571-altamont-way-redwood-city-ca/bvz8ke8/,2 BAs,"1,670 Sq Ft","1,670",12 Month Lease,Available Now,,"$4,800",,,,
Oroville,Houses,CA,95966,"[{'bedroom_type': '4 Beds', 'price': '$1,700'}]","Oroville, CA 95966",https://www.apartments.com/38-naranja-ave-oroville-ca/lpbe6rg/,2 BAs,"1,800 Sq Ft","1,800",,Available Now,"$1,700",,,,,
Novato,Houses,CA,94945,"[{'bedroom_type': '4 Beds', 'price': '$3,700'}]","Novato, CA 94945",https://www.apartments.com/385-san-marin-dr-novato-ca/6e5hx0r/,2 BAs,"1,971 Sq Ft","1,971",,Available Now,"$3,700",,,,,
Lake Arrowhead,Houses,CA,92352,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]","Lake Arrowhead, CA 92352",https://www.apartments.com/736-brentwood-dr-lake-arrowhead-ca/vkec8ke/,2 BAs,"1,396 Sq Ft","1,396",6 Month Lease,Available Now,,"$2,400",,,,
Oroville,Houses,CA,95966,"[{'bedroom_type': '3 Beds', 'price': '$1,000'}]","Oroville, CA 95966",https://www.apartments.com/3250-spencer-ave-oroville-ca/9ypn3f4/,1 BA,860 Sq Ft,860,,Available Now,,"$1,000",,,,
Elk Grove,Houses,CA,95758,"[{'bedroom_type': '3 Beds', 'price': '$2,995'}]","Elk Grove, CA 95758",https://www.apartments.com/5104-laguna-woods-dr-elk-grove-ca/h12lc50/,3 BAs,"3,045 Sq Ft","3,045",12 Month Lease,Available Now,,"$2,995",,,,
Templeton,Houses,CA,93465,"[{'bedroom_type': '4 Beds', 'price': '$2,575'}]","Templeton, CA 93465",https://www.apartments.com/1150-megan-ct-templeton-ca/2726gd9/,2½ BAs,"2,450 Sq Ft","2,450",36 Month Lease,Jul 15,"$2,575",,,,,
Stockton,Houses,CA,95207,"[{'bedroom_type': '2 Beds', 'price': '$1,605'}]","Stockton, CA 95207",https://www.apartments.com/2656-michaelangelo-dr-stockton-ca/yx6rmnt/,2 BAs,"1,195 Sq Ft","1,195",1 Month Lease,Available Now,,,,"$1,605",,
Pleasanton,Houses,CA,94566,"[{'bedroom_type': '3 Beds', 'price': '$4,900'}]","Pleasanton, CA 94566",https://www.apartments.com/1433-freeman-ln-pleasanton-ca/z4mfksx/,3½ BAs,"3,100 Sq Ft","3,100",12 Month Lease,Available Now,,"$4,900",,,,
Fairfield,Houses,CA,94534,"[{'bedroom_type': '3 Beds', 'price': '$2,899'}]","Fairfield, CA 94534",https://www.apartments.com/568-barbaresco-ct-fairfield-ca/tn84eb8/,2½ BAs,"2,008 Sq Ft","2,008",,Available Now,,"$2,899",,,,
Victorville,Houses,CA,92395,"[{'bedroom_type': '4 Beds', 'price': '$2,300'}]","Victorville, CA 92395",https://www.apartments.com/13515-anchor-dr-victorville-ca/fvzsyfr/,3 BAs,"2,083 Sq Ft","2,083",,Available Now,"$2,300",,,,,
