City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,Studio,1 Bed,4 Beds
San Francisco,Condos,CA,94109,"[{'bedroom_type': '4 Beds', 'price': '$5,490'}]","San Francisco, CA 94109",https://www.apartments.com/622-leavenworth-st-san-francisco-ca/be427b8/,1 BA,"1,500 Sq Ft","1,500",3 Month Lease,Available Now,,,,,"$5,490"
Santa Monica,Condos,CA,90402,"[{'bedroom_type': '3 Beds', 'price': '$7,800'}]","316 San Vicente Blvd, Santa Monica, CA 90402",https://www.apartments.com/316-san-vicente-blvd-santa-monica-ca/rgpbn43/,2 BAs,"1,450 Sq Ft","1,450",1 Month Lease,Available Now,"$7,800",,,,
San Diego,Condos,CA,92037,"[{'bedroom_type': '2 Beds', 'price': '$2,990'}]","San Diego, CA 92037",https://www.apartments.com/8860-villa-la-jolla-dr-san-diego-ca/j605mg5/,2 BAs,"1,080 Sq Ft","1,080",12 Month Lease,Available Now,,"$2,990",,,
San Francisco,Condos,CA,94131,"[{'bedroom_type': '2 Beds', 'price': '$4,550'}]","San Francisco, CA 94131",https://www.apartments.com/801-burnett-ave-san-francisco-ca/tf4qg39/,1½ BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,"$4,550",,,
Los Angeles,Condos,CA,91356,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]","Los Angeles, CA 91356",https://www.apartments.com/18433-hatteras-st-los-angeles-ca-unit-606/0rzvx61/,2½ BAs,"1,411 Sq Ft","1,411",12 Month Lease,Available Now,,"$2,900",,,
Torrance,Condos,CA,90502,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Torrance, CA 90502",https://www.apartments.com/23234-sesame-st-torrance-ca-unit-a/0k2ycw3/,1½ BAs,"1,078 Sq Ft","1,078",12 Month Lease,Available Now,"$2,500",,,,
Malibu,Condos,CA,90265,"[{'bedroom_type': '1 Bed', 'price': '$2,350'}]","Malibu, CA 90265",https://www.apartments.com/2033-corral-canyon-rd-malibu-ca/qwcnfgw/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,,"$2,350",
Palo Alto,Condos,CA,94301,"[{'bedroom_type': '1 Bed', 'price': '$3,700'}]","Palo Alto, CA 94301",https://www.apartments.com/715-everett-ave-palo-alto-ca/ddkgn2j/,1 BA,486 Sq Ft,486,12 Month Lease,Available Now,,,,"$3,700",
Belmont,Condos,CA,94002,"[{'bedroom_type': '1 Bed', 'price': '$2,495'}]","Belmont, CA 94002",https://www.apartments.com/7-garden-ct-belmont-ca/0ll48w0/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,,"$2,495",
Glendale,Condos,CA,91202,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]","244 W Fairview Ave, Glendale, CA 91202",https://www.apartments.com/244-w-fairview-ave-glendale-ca/bjsct1c/,2 BAs,750 Sq Ft,750,12 Month Lease,Available Now,,"$2,250",,,
San Rafael,Condos,CA,94903,"[{'bedroom_type': '1 Bed', 'price': '$2,300'}]","San Rafael, CA 94903",https://www.apartments.com/251-channing-way-san-rafael-ca/ktyp9q8/,1 BA,704 Sq Ft,704,12 Month Lease,Jul 15,,,,"$2,300",
Whittier,Condos,CA,90601,"[{'bedroom_type': '1 Bed', 'price': '$1,395'}]","Whittier, CA 90601",https://www.apartments.com/6742-whittier-ave-whittier-ca/bl8p339/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,,"$1,395",
San Diego,Condos,CA,92037,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]","San Diego, CA 92037",https://www.apartments.com/7757-eads-ave-san-diego-ca/ypw0zkr/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$4,000",,,
Long Beach,Condos,CA,90803,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","Long Beach, CA 90803",https://www.apartments.com/206-nieto-ave-long-beach-ca/ss3s8h6/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$2,800",,,
La Crescenta-Montrose,Condos,CA,91020,"[{'bedroom_type': 'Studio', 'price': '$2,000'}]","La Crescenta-Montrose, CA 91020",https://www.apartments.com/2313-montrose-ave-la-crescenta-montrose-ca/74p4mjx/,1 BA,600 Sq Ft,600,1 Month Lease,Available Now,,,"$2,000",,
La Crescenta-Montrose,Condos,CA,91020,"[{'bedroom_type': '2 Beds', 'price': '$2,095'}]","La Crescenta-Montrose, CA 91020",https://www.apartments.com/2313-montrose-ave-la-crescenta-montrose-ca/qzxh0cy/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Jul 7,,"$2,095",,,
Monterey Park,Condos,CA,91754,"[{'bedroom_type': '1 Bed', 'price': '$1,495'}]","Monterey Park, CA 91754",https://www.apartments.com/360-s-garfield-ave-monterey-park-ca/kf1m9m8/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,,"$1,495",
Los Angeles,Condos,CA,90041,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","2384 Yosemite Dr, Los Angeles, CA 90041",https://www.apartments.com/2384-yosemite-dr-los-angeles-ca/dxf86rj/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Aug 1,,"$2,500",,,
Los Angeles,Condos,CA,90061,"[{'bedroom_type': '4 Beds', 'price': '$2,500'}]","Los Angeles, CA 90061",https://www.apartments.com/312-w-120th-st-los-angeles-ca/99hfsx6/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,,,"$2,500"
Emeryville,Condos,CA,94608,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","Emeryville, CA 94608",https://www.apartments.com/6363-christie-ave-emeryville-ca-unit-2825/742mwyw/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,"$4,500",,,
