City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,4 Beds,4+ Beds
San Diego,Townhomes,CA,92109,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]","San Diego, CA 92109",https://www.apartments.com/820-island-ct-san-diego-ca/7qwg54x/,2 BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,"$4,200",,,
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '1 Bed', 'price': '$2,635'}]","848 17th St, Santa Monica, CA 90403",https://www.apartments.com/848-17th-st-santa-monica-ca/ms9jhjj/,1 BA,400 Sq Ft,400,1 Month Lease,Aug 7,"$2,635",,,,
Los Angeles,Townhomes,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","Los Angeles, CA 90024",https://www.apartments.com/1222-selby-ave-los-angeles-ca/7nzw78x/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$3,300",,
Venice,Townhomes,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$2,450'}]","109 Paloma Ave, Venice, CA 90291",https://www.apartments.com/109-paloma-ave-venice-ca/kqq1jmb/,1 BA,,,,Available Now,"$2,450",,,,
Los Angeles,Townhomes,CA,91401,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]","Los Angeles, CA 91401",https://www.apartments.com/13412-burbank-blvd-los-angeles-ca/wypwc5k/,2½ BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,,"$2,950",,
San Jose,Townhomes,CA,95123,"[{'bedroom_type': '3 Beds', 'price': '$3,600'}]","San Jose, CA 95123",https://www.apartments.com/318-flinder-pl-san-jose-ca/stzpyn4/,3½ BAs,"1,531 Sq Ft","1,531",12 Month Lease,Aug 10,,"$3,600",,,
Hermosa Beach,Townhomes,CA,90254,"[{'bedroom_type': '2 Beds', 'price': '$4,950'}]","100 Monterey Blvd, Hermosa Beach, CA 90254",https://www.apartments.com/100-monterey-blvd-hermosa-beach-ca/lm2tdcd/,2½ BAs,"1,355 Sq Ft","1,355",12 Month Lease,Available Now,,,"$4,950",,
San Marcos,Townhomes,CA,92078,"[{'bedroom_type': '2 Beds', 'price': '$1,975'}]","San Marcos, CA 92078",https://www.apartments.com/553-almond-rd-san-marcos-ca/pxf8m1t/,2½ BAs,879 Sq Ft,879,12 Month Lease,Available Now,,,"$1,975",,
Los Angeles,Townhomes,CA,91403,"[{'bedroom_type': '3 Beds', 'price': '$3,750'}]","15237 W Magnolia Blvd, Los Angeles, CA 91403",https://www.apartments.com/15237-w-magnolia-blvd-los-angeles-ca/tdltkh9/,3 BAs,"1,800 Sq Ft","1,800",24 Month Lease,Jul 15,,"$3,750",,,
Santa Monica,Townhomes,CA,90404,"[{'bedroom_type': '1 Bed', 'price': '$2,650'}]","Santa Monica, CA 90404",https://www.apartments.com/3124-broadway-santa-monica-ca/f1sy0yv/,1 BA,515 Sq Ft,515,12 Month Lease,Available Now,"$2,650",,,,
Los Angeles,Townhomes,CA,91042,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]","Los Angeles, CA 91042",https://www.apartments.com/10047-samoa-ave-los-angeles-ca/k4nymc8/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,"$2,250",,
Los Angeles,Townhomes,CA,91602,"[{'bedroom_type': '2 Beds', 'price': '$2,595'}]","11565 Riverside Dr, Los Angeles, CA 91602",https://www.apartments.com/11565-riverside-dr-los-angeles-ca/jbll876/,2 BAs,950 Sq Ft,950,12 Month Lease,Jul 5,,,"$2,595",,
Carson,Townhomes,CA,90746,"[{'bedroom_type': '2 Beds', 'price': '$2,195'}]","Carson, CA 90746",https://www.apartments.com/849-e-victoria-st-carson-ca/zy2vs2y/,1½ BAs,"1,150 Sq Ft","1,150",12 Month Lease,Available Now,,,"$2,195",,
Encinitas,Townhomes,CA,92024,"[{'bedroom_type': '3 Beds', 'price': '$4,350'}]","Encinitas, CA 92024",https://www.apartments.com/1206-n-coast-hwy-encinitas-ca/6jb46cr/,3 BAs,"1,925 Sq Ft","1,925",,Available Now,,"$4,350",,,
Sacramento,Townhomes,CA,95827,"[{'bedroom_type': '3 Beds', 'price': '$1,750'}]","Sacramento, CA 95827",https://www.apartments.com/10136-ellenwood-ave-sacramento-ca/vlr8b7d/,2½ BAs,"1,418 Sq Ft","1,418",12 Month Lease,Available Now,,"$1,750",,,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '3 Beds', 'price': '$5,250'}]","Los Angeles, CA 90025",https://www.apartments.com/1957-barry-ave-los-angeles-ca/243mhx9/,3 BAs,"1,635 Sq Ft","1,635",12 Month Lease,Aug 1,,"$5,250",,,
Los Angeles,Townhomes,CA,90026,"[{'bedroom_type': '4 Beds', 'price': '$3,800'}]","529 N Benton Way, Los Angeles, CA 90026",https://www.apartments.com/529-n-benton-way-los-angeles-ca/8hdqle0/,3 BAs,"1,600 Sq Ft","1,600",,Available Now,,,,"$3,800",
Morgan Hill,Townhomes,CA,95037,"[{'bedroom_type': '4 Beds', 'price': '$4,450'}]","Morgan Hill, CA 95037",https://www.apartments.com/275-valencia-ave-morgan-hill-ca/v39xlpg/,3½ BAs,"2,194 Sq Ft","2,194",12 Month Lease,Aug 1,,,,"$4,450",
Riverside,Townhomes,CA,92505,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Riverside, CA 92505",https://www.apartments.com/11547-magnolia-ave-riverside-ca/4gm796h/,2½ BAs,"1,346 Sq Ft","1,346",12 Month Lease,Available Now,,,"$1,900",,
