Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,1 Bed,2 Beds,3 Beds,Studio,4 Beds,4+ Beds,"
												1 Bed
														–
2 Beds										","
												1 Bed
										","
												Studio
														–
2 Beds										","
												2 Beds
										","
Studio												","
4 Beds												","
												1 Bed
														–
3 Beds										","
2 																–
4 Beds												"
Sunset Ridge Apartments,Lancaster,Apartment,CA,93534,"[{'bedroom_type': '1 Bed', 'price': '$1,350'}, {'bedroom_type': '2 Beds', 'price': '$1,410'}, {'bedroom_type': '3 Beds', 'price': '$1,566'}]","43436 16th St W, Lancaster, CA 93534",https://www.apartments.com/sunset-ridge-apartments-lancaster-ca/jhpsfm6/,"$1,350 ","$1,410 ","$1,566 ",,,,,,,,,,,
Andalusia Luxury Apartments - WAITLIST,Victorville,Apartment,CA,92395,"[{'bedroom_type': '2 Beds', 'price': '$960'}, {'bedroom_type': '3 Beds', 'price': '$1,250'}]","13520 3rd Ave, Victorville, CA 92395",https://www.apartments.com/andalusia-luxury-apartments-waitlist-victorville-ca/nbgqe9n/,,$960 ,"$1,250 ",,,,,,,,,,,
Stonebrier Apartments,Stockton,Apartment,CA,95210,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}, {'bedroom_type': '2 Beds', 'price': '$2,000'}]","4770 West Ln, Stockton, CA 95210",https://www.apartments.com/stonebrier-apartments-stockton-ca/ef7fq0m/,"$1,500 ","$2,000 ",,,,,,,,,,,,
Seaport Homes Luxury Homes & Townhouses,San Pedro,Apartment,CA,90732,"[{'bedroom_type': '1 Bed', 'price': '$2,050'}, {'bedroom_type': '2 Beds', 'price': '$2,475'}, {'bedroom_type': '3 Beds', 'price': '$3,400'}]","28000 S Western Ave, San Pedro, CA 90732",https://www.apartments.com/seaport-homes-luxury-homes-townhouses-san-pedro-ca/wskx2xl/,"$2,050 ","$2,475 ","$3,400 ",,,,,,,,,,,
Mustang Village,San Luis Obispo,Apartment,CA,93405,"[{'bedroom_type': '\r\nStudio\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$1,284'}, {'bedroom_type': '\r\n4 Beds\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$999'}]","1 Mustang Dr, San Luis Obispo, CA 93405",https://www.apartments.com/mustang-village-san-luis-obispo-ca/w3myfmh/,,,,"$1,284 ",$999 ,,,,,,,,,
The Post on Nord,Chico,Apartment,CA,95926,"[{'bedroom_type': 'Studio', 'price': '$1,386'}, {'bedroom_type': '1 Bed', 'price': '$1,628'}, {'bedroom_type': '2 Beds', 'price': '$655'}, {'bedroom_type': '3 Beds', 'price': '$713'}, {'bedroom_type': '4+ Beds', 'price': '$633'}]","1200 Nord Ave, Chico, CA 95926",https://www.apartments.com/the-post-on-nord-chico-ca/6wx5v8r/,"$1,628 ",$655 ,$713 ,"$1,386 ",,$633 ,,,,,,,,
Portola Meadows,Livermore,Apartment,CA,94551,"[{'bedroom_type': '1 Bed', 'price': '$2,065'}, {'bedroom_type': '2 Beds', 'price': '$2,430'}]","1160 Portola Meadows Rd, Livermore, CA 94551",https://www.apartments.com/portola-meadows-livermore-ca/cl1sw8e/,"$2,065 ","$2,430 ",,,,,,,,,,,,
Reflections Apartment Homes,Fresno,Apartment,CA,93722,"[{'bedroom_type': '1 Bed', 'price': '$1,005'}, {'bedroom_type': '2 Beds', 'price': '$1,145'}]","5350 N Brawley Ave, Fresno, CA 93722",https://www.apartments.com/reflections-apartment-homes-fresno-ca/5b9w72p/,"$1,005 ","$1,145 ",,,,,,,,,,,,
Sycamore Village,Tracy,Apartment,CA,95376,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}, {'bedroom_type': '2 Beds', 'price': '$1,740'}, {'bedroom_type': '3 Beds', 'price': '$2,240'}]","400 W Central Ave, Tracy, CA 95376",https://www.apartments.com/sycamore-village-tracy-ca/d8j19kl/,"$1,600 ","$1,740 ","$2,240 ",,,,,,,,,,,
Pine Ridge,Modesto,Apartment,CA,95351,"[{'bedroom_type': '2 Beds', 'price': '$1,255'}]","1301 Richland Ave, Modesto, CA 95351",https://www.apartments.com/pine-ridge-modesto-ca/b6mnzc8/,,"$1,255 ",,,,,,,,,,,,
Bel Air Apartments,Concord,Apartment,CA,94521,"[{'bedroom_type': '1 Bed', 'price': '$1,845'}, {'bedroom_type': '2 Beds', 'price': '$2,240'}]","1490 Bel Air Dr, Concord, CA 94521",https://www.apartments.com/bel-air-apartments-concord-ca/s1ffcj5/,"$1,845 ","$2,240 ",,,,,,,,,,,,
Strada Apartments,Orange,Apartment,CA,92868,"[{'bedroom_type': 'Studio', 'price': '$1,471'}, {'bedroom_type': '1 Bed', 'price': '$1,656'}, {'bedroom_type': '2 Beds', 'price': '$2,006'}]","175 N Feldner Rd, Orange, CA 92868",https://www.apartments.com/strada-apartments-orange-ca/x9168vq/,"$1,656 ","$2,006 ",,"$1,471 ",,,,,,,,,,
Windscape,Fresno,Apartment,CA,93711,"[{'bedroom_type': '1 Bed', 'price': '$995'}, {'bedroom_type': '2 Beds', 'price': '$1,165'}]","373 W Nees Ave, Fresno, CA 93711",https://www.apartments.com/windscape-fresno-ca/f79btmt/,$995 ,"$1,165 ",,,,,,,,,,,,
Oasis Townhome Apartments,Loma Linda,Apartment,CA,92354,"[{'bedroom_type': '2 Beds', 'price': '$1,715'}, {'bedroom_type': '3 Beds', 'price': '$2,053'}]","25590 Prospect Ave, Loma Linda, CA 92354",https://www.apartments.com/oasis-townhome-apartments-loma-linda-ca/xfnsepq/,,"$1,715 ","$2,053 ",,,,,,,,,,,
The Parc,Vacaville,Apartment,CA,95687,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}, {'bedroom_type': '2 Beds', 'price': '$1,840'}]","555 Elmira Rd, Vacaville, CA 95687",https://www.apartments.com/the-parc-vacaville-ca/143xlc7/,"$1,750 ","$1,840 ",,,,,,,,,,,,
Villa Napoli Apartments,Chula Vista,Apartment,CA,91911,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","566 Naples St, Chula Vista, CA 91911",https://www.apartments.com/villa-napoli-apartments-chula-vista-ca/1txk097/,,,,,,,,,,,,,,
Glen Oaks Apartments,Anaheim,Apartment,CA,92801,"[{'bedroom_type': '1 Bed', 'price': '$1,625'}, {'bedroom_type': '2 Beds', 'price': '$1,850'}]","2000 W Glenoaks Ave, Anaheim, CA 92801",https://www.apartments.com/glen-oaks-apartments-anaheim-ca/rnx4b00/,"$1,625 ","$1,850 ",,,,,,,,,,,,
Scotia Apartments,San Jose,Apartment,CA,95125,"[{'bedroom_type': '1 Bed', 'price': '$2,800'}, {'bedroom_type': '2 Beds', 'price': '$2,800'}]","1785 Almaden Rd, San Jose, CA 95125",https://www.apartments.com/scotia-apartments-san-jose-ca/b44x7bb/,"$2,800 ","$2,800 ",,,,,,,,,,,,
Club Torrey Pines,San Diego,Apartment,CA,92130,"[{'bedroom_type': '1 Bed', 'price': '$1,989'}, {'bedroom_type': '2 Beds', 'price': '$2,441'}]","12646 Torrey Bluff Dr, San Diego, CA 92130",https://www.apartments.com/club-torrey-pines-san-diego-ca/sdjnx85/,"$1,989 ","$2,441 ",,,,,,,,,,,,
The Eleven Hundred Apartments,Sacramento,Apartment,CA,95825,"[{'bedroom_type': 'Studio', 'price': '$1,150'}, {'bedroom_type': '1 Bed', 'price': '$1,275'}, {'bedroom_type': '2 Beds', 'price': '$1,340'}, {'bedroom_type': '3 Beds', 'price': '$1,820'}, {'bedroom_type': '4 Beds', 'price': '$2,000'}]","1100 Howe Ave, Sacramento, CA 95825",https://www.apartments.com/the-eleven-hundred-apartments-sacramento-ca/llwhlgg/,"$1,275 ","$1,340 ","$1,820 ","$1,150 ","$2,000 ",,,,,,,,,
Atrium Garden Studios,San Jose,Apartment,CA,95112,"[{'bedroom_type': 'Studio', 'price': '$1,300'}]","1536 Kerley Dr, San Jose, CA 95112",https://www.apartments.com/atrium-garden-studios-san-jose-ca/vpbngfe/,,,,"$1,300 ",,,,,,,,,,
Altura,Petaluma,Apartment,CA,94954,"[{'bedroom_type': '1 Bed', 'price': '$2,170'}, {'bedroom_type': '2 Beds', 'price': '$4,318'}]","1113 Baywood Dr, Petaluma, CA 94954",https://www.apartments.com/altura-petaluma-ca/7nd9c9w/,"$2,170 ","$4,318 ",,,,,,,,,,,,
Dover Park Apartments,Fairfield,Apartment,CA,94533,"[{'bedroom_type': '1 Bed', 'price': '$1,395'}, {'bedroom_type': '2 Beds', 'price': '$1,557'}]","713 E Travis Blvd, Fairfield, CA 94533",https://www.apartments.com/dover-park-apartments-fairfield-ca/bm6j3m8/,"$1,395 ","$1,557 ",,,,,,,,,,,,
Aspire Apartments,Tracy,Apartment,CA,95304,"[{'bedroom_type': '1 Bed', 'price': '$1,825'}, {'bedroom_type': '2 Beds', 'price': '$2,050'}, {'bedroom_type': '3 Beds', 'price': '$2,775'}]","2725 Pavillion Pkwy, Tracy, CA 95304",https://www.apartments.com/aspire-apartments-tracy-ca/l940xjf/,"$1,825 ","$2,050 ","$2,775 ",,,,,,,,,,,
Hillcrest View,Antioch,Apartment,CA,94531,"[{'bedroom_type': '2 Beds', 'price': '$2,075'}]","3001 Kodiak St, Antioch, CA 94531",https://www.apartments.com/hillcrest-view-antioch-ca/kdzmhh8/,,"$2,075 ",,,,,,,,,,,,
Boardwalk Luxury Apartments,Bakersfield,Apartment,CA,93313,"[{'bedroom_type': '2 Beds', 'price': '$1,475'}, {'bedroom_type': '3 Beds', 'price': '$1,600'}]","5201 Gasol Ct, Bakersfield, CA 93313",https://www.apartments.com/boardwalk-luxury-apartments-bakersfield-ca/t7q000c/,,"$1,475 ","$1,600 ",,,,,,,,,,,
Somerset Village,Paramount,Apartment,CA,90723,"[{'bedroom_type': '1 Bed', 'price': '$1,345'}, {'bedroom_type': '2 Beds', 'price': '$1,645'}]","8635 Somerset Blvd, Paramount, CA 90723",https://www.apartments.com/somerset-village-paramount-ca/lsj5ldg/,"$1,345 ","$1,645 ",,,,,,,,,,,,
Greenridge Apartments,Sacramento,Apartment,CA,95824,"[{'bedroom_type': '1 Bed', 'price': '$1,140'}]","5351 47th Ave, Sacramento, CA 95824",https://www.apartments.com/greenridge-apartments-sacramento-ca/y078b3r/,"$1,140 ",,,,,,,,,,,,,
Aventine at Aliso Viejo,Aliso Viejo,Apartment,CA,92656,"[{'bedroom_type': '1 Bed', 'price': '$1,830'}, {'bedroom_type': '2 Beds', 'price': '$2,005'}]","22501 Chase, Aliso Viejo, CA 92656",https://www.apartments.com/aventine-at-aliso-viejo-aliso-viejo-ca/bn8hef8/,"$1,830 ","$2,005 ",,,,,,,,,,,,
Pacific Landing Luxury Apartments,Murrieta,Apartment,CA,92563,"[{'bedroom_type': '1 Bed', 'price': '$1,628'}, {'bedroom_type': '2 Beds', 'price': '$2,152'}, {'bedroom_type': '3 Beds', 'price': '$2,470'}]","36125 Creighton Ave, Murrieta, CA 92563",https://www.apartments.com/pacific-landing-luxury-apartments-murrieta-ca/x2s80hn/,"$1,628 ","$2,152 ","$2,470 ",,,,,,,,,,,
Castellino At Laguna West,Elk Grove,Apartment,CA,95758,"[{'bedroom_type': '1 Bed', 'price': '$1,585'}, {'bedroom_type': '2 Beds', 'price': '$1,780'}, {'bedroom_type': '3 Beds', 'price': '$1,925'}]","3300 Renwick Ave, Elk Grove, CA 95758",https://www.apartments.com/castellino-at-laguna-west-elk-grove-ca/p2nms7r/,"$1,585 ","$1,780 ","$1,925 ",,,,,,,,,,,
