Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,1 Bed,2 Beds,3 Beds,Studio,4 Beds,4+ Beds,"
												1 Bed
														–
2 Beds										","
												1 Bed
										","
												Studio
														–
2 Beds										","
												2 Beds
										","
Studio												","
4 Beds												","
												1 Bed
														–
3 Beds										","
2 																–
4 Beds												"
UCE,Fullerton,Apartment,CA,92831,"[{'bedroom_type': '1 Bed', 'price': '$1,550'}, {'bedroom_type': '2 Beds', 'price': '$2,100'}]","600 Langsdorf Dr, Fullerton, CA 92831",https://www.apartments.com/uce-fullerton-ca/kl874g8/,"$1,550 ","$2,100 ",,,,,,,,,,,,
Sierra Heights,Rancho Cucamonga,Apartment,CA,91737,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$2,668'}]","10801 Lemon Ave, Rancho Cucamonga, CA 91737",https://www.apartments.com/sierra-heights-rancho-cucamonga-ca/0dx3h43/,,,"$2,668 ",,,,,,,,,,,
Tempo at Riverpark,Oxnard,Apartment,CA,93036,"[{'bedroom_type': '1 Bed', 'price': '$1,955'}, {'bedroom_type': '2 Beds', 'price': '$2,399'}, {'bedroom_type': '3 Beds', 'price': '$3,199'}]","450 Forest Park Blvd, Oxnard, CA 93036",https://www.apartments.com/tempo-at-riverpark-oxnard-ca/c7xhslf/,"$1,955 ","$2,399 ","$3,199 ",,,,,,,,,,,
Luxe 1801,Alhambra,Apartment,CA,91803,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,900'}, {'bedroom_type': '2 Beds', 'price': '$2,400'}, {'bedroom_type': '3 Beds', 'price': '$2,695'}]","1801 Garvey Ave, Alhambra, CA 91803",https://www.apartments.com/luxe-1801-alhambra-ca/rdny3q2/,"$1,900 ","$2,400 ","$2,695 ",,,,,,,,,,,
Broadstone Apartment Homes,San Bernardino,Apartment,CA,92407,"[{'bedroom_type': '1 Bed', 'price': '$1,435'}, {'bedroom_type': '2 Beds', 'price': '$1,515'}]","1930 W College Ave, San Bernardino, CA 92407",https://www.apartments.com/broadstone-apartment-homes-san-bernardino-ca/y13r95r/,"$1,435 ","$1,515 ",,,,,,,,,,,,
Hazel Park - SPECIAL 2 MONTHS FREE!!!*,Sherman Oaks,Apartment,CA,91423,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","5008 Hazeltine Ave, Sherman Oaks, CA 91423",https://www.apartments.com/hazel-park-special-2-months-free-sherman-oaks-ca/4bfhfgh/,,"$2,850 ",,,,,,,,,,,,
Urbana,Chula Vista,Apartment,CA,91910,"[{'bedroom_type': '1 Bed', 'price': '$1,886'}, {'bedroom_type': '2 Beds', 'price': '$2,373'}]","393 H St, Chula Vista, CA 91910",https://www.apartments.com/urbana-chula-vista-ca/dv287nk/,"$1,886 ","$2,373 ",,,,,,,,,,,,
The Courtyards & Tierra Palms,Norwalk,Apartment,CA,90650,"[{'bedroom_type': '1 Bed', 'price': '$1,645'}, {'bedroom_type': '2 Beds', 'price': '$1,950'}, {'bedroom_type': '3 Beds', 'price': '$2,350'}]","12301-12401 Studebaker Rd, Norwalk, CA 90650",https://www.apartments.com/the-courtyards-tierra-palms-norwalk-ca/5fg7evp/,"$1,645 ","$1,950 ","$2,350 ",,,,,,,,,,,
Lakewood Manor,Lakewood,Apartment,CA,90712,"[{'bedroom_type': 'Studio', 'price': '$1,505'}, {'bedroom_type': '1 Bed', 'price': '$1,625'}, {'bedroom_type': '2 Beds', 'price': '$1,930'}, {'bedroom_type': '3 Beds', 'price': '$2,360'}]","4907 1/4 Hayter Ave, Lakewood, CA 90712",https://www.apartments.com/lakewood-manor-lakewood-ca/1sbhf27/,"$1,625 ","$1,930 ","$2,360 ","$1,505 ",,,,,,,,,,
Villa Serrano,Anaheim,Apartment,CA,92804,"[{'bedroom_type': '1 Bed', 'price': '$1,665'}, {'bedroom_type': '2 Beds', 'price': '$1,950'}, {'bedroom_type': '3 Beds', 'price': '$2,330'}]","201 S Magnolia Ave, Anaheim, CA 92804",https://www.apartments.com/villa-serrano-anaheim-ca/ckfkr5g/,"$1,665 ","$1,950 ","$2,330 ",,,,,,,,,,,
Glenbrook Apartments,Cupertino,Apartment,CA,95014,"[{'bedroom_type': '1 Bed', 'price': '$2,495'}, {'bedroom_type': '2 Beds', 'price': '$3,245'}, {'bedroom_type': '3 Beds', 'price': '$4,195'}]","10100 Mary Ave, Cupertino, CA 95014",https://www.apartments.com/glenbrook-apartments-cupertino-ca/e3bpmzq/,"$2,495 ","$3,245 ","$4,195 ",,,,,,,,,,,
Solterra EcoLuxury Apartments,San Diego,Apartment,CA,92131,"[{'bedroom_type': '1 Bed', 'price': '$2,195'}, {'bedroom_type': '2 Beds', 'price': '$2,495'}]","9865-9895 Erma Rd, San Diego, CA 92131",https://www.apartments.com/solterra-ecoluxury-apartments-san-diego-ca/e7y8vqm/,"$2,195 ","$2,495 ",,,,,,,,,,,,
Oak Park Apartment Homes,Oak Park,Apartment,CA,91377,"[{'bedroom_type': '1 Bed', 'price': '$2,030'}, {'bedroom_type': '2 Beds', 'price': '$2,354'}]","5325 Oak Park Ln, Oak Park, CA 91377",https://www.apartments.com/oak-park-apartment-homes-oak-park-ca/npt3jnp/,"$2,030 ","$2,354 ",,,,,,,,,,,,
Northpark,Burlingame,Apartment,CA,94010,"[{'bedroom_type': 'Studio', 'price': '$2,151'}, {'bedroom_type': '1 Bed', 'price': '$2,319'}, {'bedroom_type': '2 Beds', 'price': '$2,949'}]","1080 Carolan Ave, Burlingame, CA 94010",https://www.apartments.com/northpark-burlingame-ca/q9tdbex/,"$2,319 ","$2,949 ",,"$2,151 ",,,,,,,,,,
Promenade at Town Center,Valencia,Apartment,CA,91355,"[{'bedroom_type': '1 Bed', 'price': '$1,860'}, {'bedroom_type': '2 Beds', 'price': '$2,120'}, {'bedroom_type': '3 Beds', 'price': '$2,975'}]","24905 Magic Mountain Pky, Valencia, CA 91355",https://www.apartments.com/promenade-at-town-center-valencia-ca/g7tyh1y/,"$1,860 ","$2,120 ","$2,975 ",,,,,,,,,,,
Sonterra at Foothill Ranch,Foothill Ranch,Apartment,CA,92610,"[{'bedroom_type': '1 Bed', 'price': '$1,949'}, {'bedroom_type': '2 Beds', 'price': '$2,151'}, {'bedroom_type': '3 Beds', 'price': '$3,042'}]","26322 Towne Centre Dr, Foothill Ranch, CA 92610",https://www.apartments.com/sonterra-at-foothill-ranch-foothill-ranch-ca/4mjkn7l/,"$1,949 ","$2,151 ","$3,042 ",,,,,,,,,,,
Riva Terra Apartments at Redwood Shores,Redwood City,Apartment,CA,94065,"[{'bedroom_type': '1 Bed', 'price': '$2,717'}, {'bedroom_type': '2 Beds', 'price': '$2,932'}]","850 Davit Ln, Redwood City, CA 94065",https://www.apartments.com/riva-terra-apartments-at-redwood-shores-redwood-city-ca/zqcdrtw/,"$2,717 ","$2,932 ",,,,,,,,,,,,
The Lex,San Jose,Apartment,CA,95123,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,255'}, {'bedroom_type': '2 Beds', 'price': '$2,765'}]","5560 Lexington Ave, San Jose, CA 95123",https://www.apartments.com/the-lex-san-jose-ca/f72t6dt/,"$2,255 ","$2,765 ",,,,,,,,,,,,
Huxley,Redwood City,Apartment,CA,94063,"[{'bedroom_type': 'Studio', 'price': '$2,790'}, {'bedroom_type': '1 Bed', 'price': '$3,175'}, {'bedroom_type': '2 Beds', 'price': '$3,925'}]","1355 El Camino Real, Redwood City, CA 94063",https://www.apartments.com/huxley-redwood-city-ca/37lp2nd/,"$3,175 ","$3,925 ",,"$2,790 ",,,,,,,,,,
Del Mar Ridge,San Diego,Apartment,CA,92130,"[{'bedroom_type': '1 Bed', 'price': '$2,121'}, {'bedroom_type': '2 Beds', 'price': '$2,488'}, {'bedroom_type': '3 Beds', 'price': '$2,822'}]","12629 El Camino Real, San Diego, CA 92130",https://www.apartments.com/del-mar-ridge-san-diego-ca/sgg5z45/,"$2,121 ","$2,488 ","$2,822 ",,,,,,,,,,,
Hampshire Place,Los Angeles,Apartment,CA,90020,"[{'bedroom_type': 'Studio', 'price': '$1,609'}, {'bedroom_type': '1 Bed', 'price': '$1,751'}, {'bedroom_type': '2 Beds', 'price': '$2,368'}]","501 S New Hampshire Ave, Los Angeles, CA 90020",https://www.apartments.com/hampshire-place-los-angeles-ca/dr58z7k/,"$1,751 ","$2,368 ",,"$1,609 ",,,,,,,,,,
The Oaks,Santa Clarita,Apartment,CA,91387,"[{'bedroom_type': '1 Bed', 'price': '$1,880'}, {'bedroom_type': '2 Beds', 'price': '$2,355'}, {'bedroom_type': '3 Beds', 'price': '$2,765'}]","27105 Silver Oak Ln, Santa Clarita, CA 91387",https://www.apartments.com/the-oaks-santa-clarita-ca/j3qt204/,"$1,880 ","$2,355 ","$2,765 ",,,,,,,,,,,
Teresina,Chula Vista,Apartment,CA,91913,"[{'bedroom_type': '1 Bed', 'price': '$1,861'}, {'bedroom_type': '2 Beds', 'price': '$2,119'}, {'bedroom_type': '3 Beds', 'price': '$2,595'}]","1250-1251 Santa Cora Ave, Chula Vista, CA 91913",https://www.apartments.com/teresina-chula-vista-ca/87p2jf2/,"$1,861 ","$2,119 ","$2,595 ",,,,,,,,,,,
Vista Del Lago,Mission Viejo,Apartment,CA,92692,"[{'bedroom_type': '1 Bed', 'price': '$1,928'}, {'bedroom_type': '2 Beds', 'price': '$2,168'}]","21622 Marguerite Pky, Mission Viejo, CA 92692",https://www.apartments.com/vista-del-lago-mission-viejo-ca/5735v6p/,"$1,928 ","$2,168 ",,,,,,,,,,,,
Palo Alto Plaza Apartments,Mountain View,Apartment,CA,94040,"[{'bedroom_type': 'Studio', 'price': '$2,495'}, {'bedroom_type': '1 Bed', 'price': '$2,895'}, {'bedroom_type': '2 Beds', 'price': '$3,495'}]","521-541 Del Medio Ave, Mountain View, CA 94040",https://www.apartments.com/palo-alto-plaza-apartments-mountain-view-ca/d13wckh/,"$2,895 ","$3,495 ",,"$2,495 ",,,,,,,,,,
Hanover Mission Valley,San Diego,Apartment,CA,92120,"[{'bedroom_type': 'Studio', 'price': '$1,850'}, {'bedroom_type': '1 Bed', 'price': '$1,932'}, {'bedroom_type': '2 Beds', 'price': '$2,451'}, {'bedroom_type': '3 Beds', 'price': '$3,359'}]","6161 Fairmont Ave, San Diego, CA 92120",https://www.apartments.com/hanover-mission-valley-san-diego-ca/m7xn84k/,"$1,932 ","$2,451 ","$3,359 ","$1,850 ",,,,,,,,,,
Park View Apartment Homes,Thousand Oaks,Apartment,CA,91362,"[{'bedroom_type': 'Studio', 'price': '$1,875'}, {'bedroom_type': '1 Bed', 'price': '$2,300'}, {'bedroom_type': '2 Beds', 'price': '$2,550'}]","256-268 Erbes Rd, Thousand Oaks, CA 91362",https://www.apartments.com/park-view-apartment-homes-thousand-oaks-ca/s18f6b4/,"$2,300 ","$2,550 ",,"$1,875 ",,,,,,,,,,
210 Third Lofts,Long Beach,Apartment,CA,90802,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,795'}]","225 Long Beach Blvd, Long Beach, CA 90802",https://www.apartments.com/210-third-lofts-long-beach-ca/4xx1zfk/,"$1,995 ","$2,795 ",,,,,,,,,,,,
Crescent Heights Luxury Apartment Homes,Murrieta,Apartment,CA,92562,"[{'bedroom_type': 'Studio', 'price': '$1,375'}, {'bedroom_type': '1 Bed', 'price': '$1,425'}, {'bedroom_type': '2 Beds', 'price': '$1,595'}, {'bedroom_type': '3 Beds', 'price': '$1,975'}]","40800 Sunflower Rd, Murrieta, CA 92562",https://www.apartments.com/crescent-heights-luxury-apartment-homes-murrieta-ca/b2j8sp9/,"$1,425 ","$1,595 ","$1,975 ","$1,375 ",,,,,,,,,,
Riverstone Apartments,Sacramento,Apartment,CA,95831,"[{'bedroom_type': '1 Bed', 'price': '$1,425'}, {'bedroom_type': '2 Beds', 'price': '$1,490'}]","7459 Rush River Dr, Sacramento, CA 95831",https://www.apartments.com/riverstone-apartments-sacramento-ca/45zbdch/,"$1,425 ","$1,490 ",,,,,,,,,,,,
Monterey Pines Apartments,Loma Linda,Apartment,CA,92354,"[{'bedroom_type': '1 Bed', 'price': '$1,444'}, {'bedroom_type': '2 Beds', 'price': '$1,654'}]","25701 Van Leuven Ave, Loma Linda, CA 92354",https://www.apartments.com/monterey-pines-apartments-loma-linda-ca/yfgsxpt/,"$1,444 ","$1,654 ",,,,,,,,,,,,
The Palms on University,Riverside,Apartment,CA,92507,"[{'bedroom_type': '2 Beds', 'price': '$999'}, {'bedroom_type': '4 Beds', 'price': '$829'}]","1400 University Ave, Riverside, CA 92507",https://www.apartments.com/the-palms-on-university-riverside-ca/4bdkrrj/,,$999 ,,,$829 ,,,,,,,,,
Allegria,Roseville,Apartment,CA,95747,"[{'bedroom_type': '1 Bed', 'price': '$1,466'}, {'bedroom_type': '2 Beds', 'price': '$1,748'}, {'bedroom_type': '3 Beds', 'price': '$1,906'}]","5 Marcia Way, Roseville, CA 95747",https://www.apartments.com/allegria-roseville-ca/gb43qsz/,"$1,466 ","$1,748 ","$1,906 ",,,,,,,,,,,
Paseo Villas Apartments,Manteca,Apartment,CA,95337,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}, {'bedroom_type': '2 Beds', 'price': '$1,820'}, {'bedroom_type': '3 Beds', 'price': '$2,150'}]","801 E Atherton Dr, Manteca, CA 95337",https://www.apartments.com/paseo-villas-apartments-manteca-ca/phbf13t/,"$1,650 ","$1,820 ","$2,150 ",,,,,,,,,,,
Alborada,Fremont,Apartment,CA,94538,"[{'bedroom_type': '1 Bed', 'price': '$2,296'}, {'bedroom_type': '2 Beds', 'price': '$2,761'}, {'bedroom_type': '3 Beds', 'price': '$3,574'}]","1001 Beethoven Cmn, Fremont, CA 94538",https://www.apartments.com/alborada-fremont-ca/16jd746/,"$2,296 ","$2,761 ","$3,574 ",,,,,,,,,,,
Canyon Oaks Luxury Apartments,Santa Rosa,Apartment,CA,95403,"[{'bedroom_type': '1 Bed', 'price': '$2,295'}, {'bedroom_type': '2 Beds', 'price': '$2,495'}, {'bedroom_type': '3 Beds', 'price': '$2,995'}]","4627 Thomas Lake Harris Dr, Santa Rosa, CA 95403",https://www.apartments.com/canyon-oaks-luxury-apartments-santa-rosa-ca/yemp96r/,"$2,295 ","$2,495 ","$2,995 ",,,,,,,,,,,
Oak Creek Apartments,Palo Alto,Apartment,CA,94304,"[{'bedroom_type': 'Studio', 'price': '$2,795'}, {'bedroom_type': '1 Bed', 'price': '$2,950'}, {'bedroom_type': '2 Beds', 'price': '$3,995'}]","1600 Sand Hill Rd, Palo Alto, CA 94304",https://www.apartments.com/oak-creek-apartments-palo-alto-ca/62r59sr/,"$2,950 ","$3,995 ",,"$2,795 ",,,,,,,,,,
The Villas at Camino Bernardo,San Diego,Apartment,CA,92127,"[{'bedroom_type': '1 Bed', 'price': '$2,020'}, {'bedroom_type': '2 Beds', 'price': '$2,250'}]","11203 Paseo Montanoso, San Diego, CA 92127",https://www.apartments.com/the-villas-at-camino-bernardo-san-diego-ca/l3rfxfg/,"$2,020 ","$2,250 ",,,,,,,,,,,,
Woodside,San Leandro,Apartment,CA,94577,"[{'bedroom_type': '1 Bed', 'price': '$2,025'}, {'bedroom_type': '2 Beds', 'price': '$2,495'}]","235 Haas Ave, San Leandro, CA 94577",https://www.apartments.com/woodside-san-leandro-ca/wz9qj7l/,"$2,025 ","$2,495 ",,,,,,,,,,,,
Canyon Club Apartments,Upland,Apartment,CA,91786,"[{'bedroom_type': 'Studio', 'price': '$1,225'}, {'bedroom_type': '1 Bed', 'price': '$1,475'}, {'bedroom_type': '2 Beds', 'price': '$1,720'}]","1539 W 7th St, Upland, CA 91786",https://www.apartments.com/canyon-club-apartments-upland-ca/dgnvyll/,"$1,475 ","$1,720 ",,"$1,225 ",,,,,,,,,,
Uptown Fullerton,Fullerton,Apartment,CA,92835,"[{'bedroom_type': '1 Bed', 'price': '$1,740'}, {'bedroom_type': '2 Beds', 'price': '$1,930'}]","2656 Associated Rd, Fullerton, CA 92835",https://www.apartments.com/uptown-fullerton-fullerton-ca/gbpxb9y/,"$1,740 ","$1,930 ",,,,,,,,,,,,
Vista Gardens Apartments,Hemet,Apartment,CA,92543,"[{'bedroom_type': '1 Bed', 'price': '$1,050'}, {'bedroom_type': '2 Beds', 'price': '$1,130'}]","555 E Fruitvale Ave, Hemet, CA 92543",https://www.apartments.com/vista-gardens-apartments-hemet-ca/hh7p150/,"$1,050 ","$1,130 ",,,,,,,,,,,,
Bella Park Apartments,Rialto,Apartment,CA,92376,"[{'bedroom_type': '1 Bed', 'price': '$1,250'}, {'bedroom_type': '2 Beds', 'price': '$1,495'}, {'bedroom_type': '3 Beds', 'price': '$1,695'}]","210 N Beechwood Ave, Rialto, CA 92376",https://www.apartments.com/bella-park-apartments-rialto-ca/7jky7hx/,"$1,250 ","$1,495 ","$1,695 ",,,,,,,,,,,
Skycrest,Valencia,Apartment,CA,91354,"[{'bedroom_type': '1 Bed', 'price': '$1,947'}, {'bedroom_type': '2 Beds', 'price': '$2,410'}]","27800 N McBean Pky, Valencia, CA 91354",https://www.apartments.com/skycrest-valencia-ca/2gny0xb/,"$1,947 ","$2,410 ",,,,,,,,,,,,
Northglen,Valencia,Apartment,CA,91355,"[{'bedroom_type': '1 Bed', 'price': '$2,108'}, {'bedroom_type': '2 Beds', 'price': '$2,445'}]","23516 W Magic Mountain Pky, Valencia, CA 91355",https://www.apartments.com/northglen-valencia-ca/n8fyj7n/,"$2,108 ","$2,445 ",,,,,,,,,,,,
425 Broadway,Santa Monica,Apartment,CA,90401,"[{'bedroom_type': 'Studio', 'price': '$2,549'}, {'bedroom_type': '1 Bed', 'price': '$2,573'}]","425 Broadway, Santa Monica, CA 90401",https://www.apartments.com/425-broadway-santa-monica-ca/jbvkj47/,"$2,573 ",,,"$2,549 ",,,,,,,,,,
TIDES AT GRAND TERRACE,Colton,Apartment,CA,92324,"[{'bedroom_type': '1 Bed', 'price': '$1,285'}, {'bedroom_type': '2 Beds', 'price': '$1,462'}]","1699 E Washington St, Colton, CA 92324",https://www.apartments.com/tides-at-grand-terrace-colton-ca/b4f64vb/,"$1,285 ","$1,462 ",,,,,,,,,,,,
Farmstead at Lia Lane,Santa Rosa,Apartment,CA,95404,"[{'bedroom_type': '2 Beds', 'price': '$2,795'}, {'bedroom_type': '3 Beds', 'price': '$2,995'}]","1315 Lia Ln, Santa Rosa, CA 95404",https://www.apartments.com/farmstead-at-lia-lane-santa-rosa-ca/rkr7dh2/,,"$2,795 ","$2,995 ",,,,,,,,,,,
Academy 65,Sacramento,Apartment,CA,95819,"[{'bedroom_type': '\r\nStudio\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n4 Beds\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$595'}, {'bedroom_type': '\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$695'}]","1325 65th St, Sacramento, CA 95819",https://www.apartments.com/academy-65-sacramento-ca/l583zld/,"$1,695 ",$695 ,1175,1395,595,,,,,,,,,
The SLO,San Luis Obispo,Apartment,CA,93405,"[{'bedroom_type': '1 Bed', 'price': '$1,065'}, {'bedroom_type': '2 Beds', 'price': '$960'}, {'bedroom_type': '4+ Beds', 'price': '$519'}]","1050 E Foothill Blvd, San Luis Obispo, CA 93405",https://www.apartments.com/the-slo-san-luis-obispo-ca/03198q1/,"$1,065 ",$960 ,,,,$519 ,,,,,,,,
The Crossing at Montague,Milpitas,Apartment,CA,95035,"[{'bedroom_type': '1 Bed', 'price': '$2,535'}, {'bedroom_type': '2 Beds', 'price': '$3,005'}, {'bedroom_type': '3 Beds', 'price': '$3,725'}]","755 E Capitol Ave, Milpitas, CA 95035",https://www.apartments.com/the-crossing-at-montague-milpitas-ca/843fym2/,"$2,535 ","$3,005 ","$3,725 ",,,,,,,,,,,
Edge at Howarth Park,Santa Rosa,Apartment,CA,95405,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}, {'bedroom_type': '3 Beds', 'price': '$2,725'}]","3731 Sonoma Ave, Santa Rosa, CA 95405",https://www.apartments.com/edge-at-howarth-park-santa-rosa-ca/tp21e2c/,,"$2,000 ","$2,725 ",,,,,,,,,,,
Traverse,Rohnert Park,Apartment,CA,94928,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}, {'bedroom_type': '2 Beds', 'price': '$2,049'}, {'bedroom_type': '3 Beds', 'price': '$2,450'}]","181-187 Avram Ave, Rohnert Park, CA 94928",https://www.apartments.com/traverse-rohnert-park-ca/406cd4h/,"$1,850 ","$2,049 ","$2,450 ",,,,,,,,,,,
Glen Forest Apartments,Anaheim,Apartment,CA,92804,"[{'bedroom_type': '1 Bed', 'price': '$1,535'}, {'bedroom_type': '2 Beds', 'price': '$1,735'}]","145 S Westchester Dr, Anaheim, CA 92804",https://www.apartments.com/glen-forest-apartments-anaheim-ca/p7bd98r/,"$1,535 ","$1,735 ",,,,,,,,,,,,
Venetian Park Apartments,Stockton,Apartment,CA,95207,"[{'bedroom_type': 'Studio', 'price': '$975'}]","1540 Mosaic Way, Stockton, CA 95207",https://www.apartments.com/venetian-park-apartments-stockton-ca/trr0nvb/,,,,$975 ,,,,,,,,,,
Villa Toscana,El Cajon,Apartment,CA,92019,"[{'bedroom_type': '1 Bed', 'price': '$1,770'}, {'bedroom_type': '2 Beds', 'price': '$2,020'}, {'bedroom_type': '3 Beds', 'price': '$2,345'}]","1451 Brabham St, El Cajon, CA 92019",https://www.apartments.com/villa-toscana-el-cajon-ca/km4lg7c/,"$1,770 ","$2,020 ","$2,345 ",,,,,,,,,,,
Common Cottage,Richmond,Apartment,CA,94801,"[{'bedroom_type': 'Studio', 'price': '$1,716'}, {'bedroom_type': '4+ Beds', 'price': '$1,320'}]","19 Cottage Ave, Richmond, CA 94801",https://www.apartments.com/common-cottage-richmond-ca/mcrcdgh/,,,,"$1,716 ",,"$1,320 ",,,,,,,,
Grossmont Bluffs,La Mesa,Apartment,CA,91942,"[{'bedroom_type': '2 Beds', 'price': '$1,745'}, {'bedroom_type': '3 Beds', 'price': '$2,120'}]","5711 Water St, La Mesa, CA 91942",https://www.apartments.com/grossmont-bluffs-la-mesa-ca/ch39w8d/,,"$1,745 ","$2,120 ",,,,,,,,,,,
Andalucia Luxury Townhomes and Flats,Pasadena,Apartment,CA,91101,"[{'bedroom_type': 'Studio', 'price': '$2,150'}, {'bedroom_type': '1 Bed', 'price': '$2,550'}, {'bedroom_type': '2 Beds', 'price': '$3,525'}]","686 E Union St, Pasadena, CA 91101",https://www.apartments.com/andalucia-luxury-townhomes-and-flats-pasadena-ca/388rgpg/,"$2,550 ","$3,525 ",,"$2,150 ",,,,,,,,,,
Windsong Apartments,Chula Vista,Apartment,CA,91910,"[{'bedroom_type': '2 Beds', 'price': '$1,875'}]","601-645 Sea Vale St, Chula Vista, CA 91910",https://www.apartments.com/windsong-apartments-chula-vista-ca/d6s1bll/,,"$1,875 ",,,,,,,,,,,,
Lexington Park,El Cajon,Apartment,CA,92020,"[{'bedroom_type': '2 Beds', 'price': '$1,710'}, {'bedroom_type': '3 Beds', 'price': '$1,955'}]","800 E Lexington Ave, El Cajon, CA 92020",https://www.apartments.com/lexington-park-el-cajon-ca/2jmp15c/,,"$1,710 ","$1,955 ",,,,,,,,,,,
Ramblewood Apartments,Fremont,Apartment,CA,94536,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}, {'bedroom_type': '2 Beds', 'price': '$3,199'}, {'bedroom_type': '3 Beds', 'price': ''}]","38800 Hastings St, Fremont, CA 94536",https://www.apartments.com/ramblewood-apartments-fremont-ca/lgvhhyg/,"$2,250 ","$3,199 ",,,,,,,,,,,,
East Orange Village Apartments,Chula Vista,Apartment,CA,91911,"[{'bedroom_type': '3 Beds', 'price': '$2,020'}]","225-245 E Orange Ave, Chula Vista, CA 91911",https://www.apartments.com/east-orange-village-apartments-chula-vista-ca/h57je82/,,,"$2,020 ",,,,,,,,,,,
ONYX Midtown Apartments,Sacramento,Apartment,CA,95818,"[{'bedroom_type': '1 Bed', 'price': '$1,725'}, {'bedroom_type': '2 Beds', 'price': '$2,500'}]","1818 X St, Sacramento, CA 95818",https://www.apartments.com/onyx-midtown-apartments-sacramento-ca/5b048mm/,"$1,725 ","$2,500 ",,,,,,,,,,,,
Avia La Jolla II,San Diego,Apartment,CA,92122,"[{'bedroom_type': '2 Beds', 'price': '$2,698'}]","6345 Gullstrand St, San Diego, CA 92122",https://www.apartments.com/avia-la-jolla-ii-san-diego-ca/be9tnfc/,,"$2,698 ",,,,,,,,,,,,
The R2 by CLG,Los Angeles,Apartment,CA,90066,"[{'bedroom_type': 'Studio', 'price': '$2,410'}, {'bedroom_type': '1 Bed', 'price': '$2,795'}]","4133 S Redwood Ave, Los Angeles, CA 90066",https://www.apartments.com/the-r2-by-clg-los-angeles-ca/fjy5svt/,"$2,795 ",,,"$2,410 ",,,,,,,,,,
Maple Hill,Fontana,Apartment,CA,92335,"[{'bedroom_type': '1 Bed', 'price': '$1,325'}, {'bedroom_type': '2 Beds', 'price': '$1,475'}]","18215 Foothill Blvd, Fontana, CA 92335",https://www.apartments.com/maple-hill-fontana-ca/47qtc1h/,"$1,325 ","$1,475 ",,,,,,,,,,,,
Highland Orchard Apartments,Placentia,Apartment,CA,92870,"[{'bedroom_type': '2 Beds', 'price': '$1,885'}]","100 S Highland Ave, Placentia, CA 92870",https://www.apartments.com/highland-orchard-apartments-placentia-ca/mtp9s0j/,,"$1,885 ",,,,,,,,,,,,
The Presidio Residences,San Francisco,Apartment,CA,94129,"[{'bedroom_type': '1 Bed', 'price': '$2,990'}, {'bedroom_type': '3 Beds', 'price': '$3,500'}, {'bedroom_type': '4 Beds', 'price': '$5,300'}]","222 Halleck St, San Francisco, CA 94129",https://www.apartments.com/the-presidio-residences-san-francisco-ca/n3sbxgq/,"$2,990 ",,"$3,500 ",,"$5,300 ",,,,,,,,,
Crosswood Park,Citrus Heights,Apartment,CA,95621,"[{'bedroom_type': '1 Bed', 'price': '$1,295'}, {'bedroom_type': '2 Beds', 'price': '$1,425'}, {'bedroom_type': '3 Beds', 'price': '$1,725'}]","6801 San Tomas Dr, Citrus Heights, CA 95621",https://www.apartments.com/crosswood-park-citrus-heights-ca/5qgjq7q/,"$1,295 ","$1,425 ","$1,725 ",,,,,,,,,,,
The Aspens Riverside,Riverside,Apartment,CA,92504,"[{'bedroom_type': '1 Bed', 'price': '$1,555'}, {'bedroom_type': '2 Beds', 'price': '$1,795'}]","7955 Magnolia Ave, Riverside, CA 92504",https://www.apartments.com/the-aspens-riverside-riverside-ca/nq1v8gn/,"$1,555 ","$1,795 ",,,,,,,,,,,,
The Aspens Fairhaven,Santa Ana,Apartment,CA,92705,"[{'bedroom_type': '1 Bed', 'price': '$1,805'}, {'bedroom_type': '2 Beds', 'price': '$2,065'}]","1201 E Fairhaven Ave, Santa Ana, CA 92705",https://www.apartments.com/the-aspens-fairhaven-santa-ana-ca/1hwm7g5/,"$1,805 ","$2,065 ",,,,,,,,,,,,
Avondale Apartments-NO AVAILABILITY,Sacramento,Apartment,CA,95831,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}, {'bedroom_type': '2 Beds', 'price': '$1,600'}]","7134 Gloria Dr, Sacramento, CA 95831",https://www.apartments.com/avondale-apartments-no-availability-sacramento-ca/ytd8f7r/,"$1,400 ","$1,600 ",,,,,,,,,,,,
