1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$2,900",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",116 Del Marino Pl,"San Gabriel, CA 91776",,https://www.apartments.com/116-del-marino-pl-san-gabriel-ca/8lr0dd0/,"1,370","1,370 Sq Ft",San Gabriel,Townhomes,CA
,,"$2,900",,,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]",3478 E Temple Way,"West Covina, CA 91791",,https://www.apartments.com/3478-e-temple-way-west-covina-ca/pjbyszt/,"2,650","2,650 Sq Ft",West Covina,Townhomes,CA
,"$2,650",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]",106 Timberwood,"Irvine, CA 92620",,https://www.apartments.com/106-timberwood-irvine-ca/126zvv5/,"1,276","1,276 Sq Ft",Irvine,Townhomes,CA
,"$1,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,500'}]",3919 Twining St,"Riverside, CA 92509",,https://www.apartments.com/3919-twining-st-riverside-ca/7bms32y/,"1,248","1,248 Sq Ft",Riverside,Townhomes,CA
,,,"$3,500",,Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,500'}]",4325 Blazing Star Way,"Yorba Linda, CA 92886",,https://www.apartments.com/4325-blazing-star-way-yorba-linda-ca/scyf794/,"1,794","1,794 Sq Ft",Yorba Linda,Townhomes,CA
,"$2,000",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",3361 E Andy St,"Long Beach, CA 90805",,https://www.apartments.com/3361-e-andy-st-long-beach-ca/0zhggj0/,950,950 Sq Ft,Long Beach,Townhomes,CA
,,"$3,900",,,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,900'}]",2230 Synergy,"Irvine, CA 92614",,https://www.apartments.com/2230-synergy-irvine-ca/0mtwd63/,"1,900","1,900 Sq Ft",Irvine,Townhomes,CA
,,"$3,150",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,150'}]",1525 S Euclid St,"Anaheim, CA 92804",,https://www.apartments.com/1525-s-euclid-st-anaheim-ca/m8mnwjl/,"1,755","1,755 Sq Ft",Anaheim,Townhomes,CA
,,"$4,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",322 Coral Ave,"Newport Beach, CA 92662",,https://www.apartments.com/322-coral-ave-newport-beach-ca/7yjmb8w/,"2,659","2,659 Sq Ft",Newport Beach,Townhomes,CA
,"$2,650",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]",5461 Bonanza Dr,"Huntington Beach, CA 92649",,https://www.apartments.com/5461-bonanza-dr-huntington-beach-ca/gkjrsdy/,"1,389","1,389 Sq Ft",Huntington Beach,Townhomes,CA
,,"$2,900",,,Available Now,1 BA,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]",1200 N Hazard Ave,"Los Angeles, CA 90063",,https://www.apartments.com/1200-n-hazard-ave-los-angeles-ca/9ljqky6/,"1,120","1,120 Sq Ft",Los Angeles,Townhomes,CA
,"$1,690",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,690'}]",665 N Towne Ave,"Pomona, CA 91767",,https://www.apartments.com/665-n-towne-ave-pomona-ca/dchdqzh/,825,825 Sq Ft,Pomona,Townhomes,CA
,"$2,100",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]",7 Stony Point Pl,"Pomona, CA 91766",,https://www.apartments.com/7-stony-point-pl-pomona-ca/x45bsdm/,"1,332","1,332 Sq Ft",Pomona,Townhomes,CA
,,,"$3,500",,Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,500'}]",18314 Maidenhair Way,"Yorba Linda, CA 92886",,https://www.apartments.com/18314-maidenhair-way-yorba-linda-ca/kny82l9/,"1,794","1,794 Sq Ft",Yorba Linda,Townhomes,CA
,,"$3,100",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]",15158 Orange Ave,"Paramount, CA 90723",,https://www.apartments.com/15158-orange-ave-paramount-ca/rvnw1m1/,"1,350","1,350 Sq Ft",Paramount,Townhomes,CA
