1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$1,595",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,595'}]",La Quinta,"51020 Eisenhower Dr, La Quinta, CA 92253",12 Month Lease,https://www.apartments.com/51020-eisenhower-dr-la-quinta-ca/e4205qm/,"1,000","1,000 Sq Ft",CA,Townhomes,92253
,,"$3,295",,May 15,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,295'}]",Costa Mesa,"2558 Orange Ave, Costa Mesa, CA 92627",12 Month Lease,https://www.apartments.com/2558-orange-ave-costa-mesa-ca/gd292nw/,"1,450","1,450 Sq Ft",CA,Townhomes,92627
,"$1,350",,,Apr 15,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,350'}]",La Quinta,"51020 Eisenhower Dr, La Quinta, CA 92253",12 Month Lease,https://www.apartments.com/51020-eisenhower-dr-la-quinta-ca/mwz43xk/,"1,000","1,000 Sq Ft",CA,Townhomes,92253
,,"$2,450",,Available Now,1 BA,"[{'bedroom_type': '3 Beds', 'price': '$2,450'}]",Vallejo,"Vallejo, CA 94590",12 Month Lease,https://www.apartments.com/16-baldwin-st-vallejo-ca/1p3hzc7/,"1,000","1,000 Sq Ft",CA,Townhomes,94590
,,,"$3,050",Available Now,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,050'}]",Yorba Linda,"Yorba Linda, CA 92886",,https://www.apartments.com/6625-bridle-cir-yorba-linda-ca/llmeswf/,"1,531","1,531 Sq Ft",CA,Townhomes,92886
,,"$4,950",,Apr 6,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,950'}]",San Francisco,"San Francisco, CA 94124",12 Month Lease,https://www.apartments.com/520-hudson-ave-san-francisco-ca/b5n6wrc/,"1,522","1,522 Sq Ft",CA,Townhomes,94124
,,"$2,950",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]",Alhambra,"Alhambra, CA 91801",12 Month Lease,https://www.apartments.com/105-n-almansor-st-alhambra-ca/t0qczc8/,"1,672","1,672 Sq Ft",CA,Townhomes,91801
,,"$1,650",,Available Now,1 BA,"[{'bedroom_type': '3 Beds', 'price': '$1,650'}]",34667 Borchard Rd,"Lake Elsinore, CA 92530",,https://www.apartments.com/34667-borchard-rd-lake-elsinore-ca/0bf7xz2/,880,880 Sq Ft,Lake Elsinore,Townhomes,CA
,$750,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$750'}]",74016 Maricopa Dr,"Twentynine Palms, CA 92277",,https://www.apartments.com/74016-maricopa-dr-twentynine-palms-ca/s2f4nl4/,"1,288","1,288 Sq Ft",Twentynine Palms,Townhomes,CA
,"$2,700",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",29 Alondra,"Rancho Santa Margarita, CA 92688",,https://www.apartments.com/29-alondra-rancho-santa-margarita-ca/hdmqv30/,"1,408","1,408 Sq Ft",Rancho Santa Margarita,Townhomes,CA
,"$2,695",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]",125 El Toro Ct,"Morgan Hill, CA 95037",,https://www.apartments.com/125-el-toro-ct-morgan-hill-ca/1ljpgg4/,850,850 Sq Ft,Morgan Hill,Townhomes,CA
,"$2,695",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]",145 El Toro Ct,"Morgan Hill, CA 95037",,https://www.apartments.com/145-el-toro-ct-morgan-hill-ca/e4dt82p/,850,850 Sq Ft,Morgan Hill,Townhomes,CA
,,"$2,295",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,295'}]",6367 Lyra Rd,"Eastvale, CA 91752",,https://www.apartments.com/6367-lyra-rd-eastvale-ca/kvj1nfc/,"1,668","1,668 Sq Ft",Eastvale,Townhomes,CA
,"$1,250",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,250'}]",33119 Jamieson St,"Lake Elsinore, CA 92530",,https://www.apartments.com/33119-jamieson-st-lake-elsinore-ca/rgf9zk1/,"1,000","1,000 Sq Ft",Lake Elsinore,Townhomes,CA
,"$2,600",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]",942 Washington,"Yorba Linda, CA 92886",,https://www.apartments.com/942-washington-yorba-linda-ca/t5jxbw8/,"1,000","1,000 Sq Ft",Yorba Linda,Townhomes,CA
,,"$2,700",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]",862 East Mountain Way,"Azusa, CA 91702",,https://www.apartments.com/862-east-mountain-way-azusa-ca/27t5869/,"1,550","1,550 Sq Ft",Azusa,Townhomes,CA
,,"$2,740",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,740'}]",177 S Woodlawn Dr,"Orange, CA 92869",,https://www.apartments.com/177-s-woodlawn-dr-orange-ca/s7xlr55/,"1,450","1,450 Sq Ft",Orange,Townhomes,CA
,,"$3,000",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",2905 Yucatan Pl,"Diamond Bar, CA 91765",,https://www.apartments.com/2905-yucatan-pl-diamond-bar-ca/ees1xdp/,"2,170","2,170 Sq Ft",Diamond Bar,Townhomes,CA
,"$2,200",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",777 E Valley Blvd,"Alhambra, CA 91801",,https://www.apartments.com/777-e-valley-blvd-alhambra-ca/v1hkcnf/,"1,123","1,123 Sq Ft",Alhambra,Townhomes,CA
,,,"$2,450",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,450'}]",12738 Torch St,"Baldwin Park, CA 91706",,https://www.apartments.com/12738-torch-st-baldwin-park-ca/lb7xtgd/,"1,368","1,368 Sq Ft",Baldwin Park,Townhomes,CA
,"$3,050",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,050'}]",127 Allison,"Irvine, CA 92618",,https://www.apartments.com/127-allison-irvine-ca/z1cl91x/,"1,500","1,500 Sq Ft",Irvine,Townhomes,CA
,,"$2,800",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]",863 East Mountain Way,"Azusa, CA 91702",,https://www.apartments.com/863-east-mountain-way-azusa-ca/bv2w3rb/,"1,816","1,816 Sq Ft",Azusa,Townhomes,CA
,"$1,600",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,600'}]",915 Stillman Ave,"Redlands, CA 92374",,https://www.apartments.com/915-stillman-ave-redlands-ca/e8vgkrm/,780,780 Sq Ft,Redlands,Townhomes,CA
,"$2,595",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,595'}]",1454 Pacific St,"Redlands, CA 92373",,https://www.apartments.com/1454-pacific-st-redlands-ca/qm0jl6w/,"2,200","2,200 Sq Ft",Redlands,Townhomes,CA
,"$1,995",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,995'}]",1454 Pacific St,"Redlands, CA 92373",,https://www.apartments.com/1454-pacific-st-redlands-ca/nsml6zq/,"1,000","1,000 Sq Ft",Redlands,Townhomes,CA
,"$1,399",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,399'}]",237 Maryknoll Dr,"Colton, CA 92324",,https://www.apartments.com/237-maryknoll-dr-colton-ca/q9v0xjx/,750,750 Sq Ft,Colton,Townhomes,CA
"$2,950",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,950'}]",1105 Buena Vista,"San Clemente, CA 92672",,https://www.apartments.com/1105-buena-vista-san-clemente-ca/9pkh0x6/,750,750 Sq Ft,San Clemente,Townhomes,CA
,,"$3,000",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",131 Avenida De La Grulla,"San Clemente, CA 92672",,https://www.apartments.com/131-avenida-de-la-grulla-san-clemente-ca/rbte9z2/,"1,200","1,200 Sq Ft",San Clemente,Townhomes,CA
,,"$2,600",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]",1119 Loxley Pl,"Walnut, CA 91789",,https://www.apartments.com/1119-loxley-pl-walnut-ca/k0dz9kc/,"1,697","1,697 Sq Ft",Walnut,Townhomes,CA
,"$2,500",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",26375 Waterford Cir,"Lake Forest, CA 92630",,https://www.apartments.com/26375-waterford-cir-lake-forest-ca/relvqs0/,"1,274","1,274 Sq Ft",Lake Forest,Townhomes,CA
,,"$2,150",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,150'}]",35792 Alpental Ln,"Murrieta, CA 92562",,https://www.apartments.com/35792-alpental-ln-murrieta-ca/r2nkpj2/,"1,761","1,761 Sq Ft",Murrieta,Townhomes,CA
,"$3,500",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",401 Arenoso Ln,"San Clemente, CA 92672",,https://www.apartments.com/401-arenoso-ln-san-clemente-ca/ny2rcdp/,"1,039","1,039 Sq Ft",San Clemente,Townhomes,CA
,,"$3,000",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",217 Encantado Cyn,"Rancho Santa Margarita, CA 92688",,https://www.apartments.com/217-encantado-rancho-santa-margarita-ca/4k70kjj/,"1,623","1,623 Sq Ft",Rancho Santa Margarita,Townhomes,CA
,,"$3,195",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,195'}]",28696 Jardineras Dr,"Santa Clarita, CA 91354",,https://www.apartments.com/28696-jardineras-dr-santa-clarita-ca/bpj9rt8/,"1,440","1,440 Sq Ft",Santa Clarita,Townhomes,CA
,"$2,800",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",34465 Via Espinoza,"Dana Point, CA 92624",,https://www.apartments.com/34465-via-espinoza-dana-point-ca/pty50ys/,"1,400","1,400 Sq Ft",Dana Point,Townhomes,CA
,"$2,000",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",1335 S Woods Ave,"East Los Angeles, CA 90022",,https://www.apartments.com/1335-s-woods-ave-east-los-angeles-ca/se0hzm5/,800,800 Sq Ft,East Los Angeles,Townhomes,CA
,"$1,700",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]",18544 Rio Seco Dr,"La Puente, CA 91748",,https://www.apartments.com/18544-rio-seco-dr-la-puente-ca/c0en83f/,935,935 Sq Ft,La Puente,Townhomes,CA
,,"$9,900",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$9,900'}]",77 Blue Lagoon,"Laguna Beach, CA 92651",,https://www.apartments.com/77-blue-lagoon-laguna-beach-ca/ltjr29e/,"1,900","1,900 Sq Ft",Laguna Beach,Townhomes,CA
,,"$2,900",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]",593 S Glenhurst Dr,"Anaheim, CA 92808",,https://www.apartments.com/593-s-glenhurst-dr-anaheim-ca/s58myy6/,"1,615","1,615 Sq Ft",Anaheim,Townhomes,CA
,"$1,450",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,450'}]",512 S Vine Ave,"Ontario, CA 91762",,https://www.apartments.com/512-s-vine-ave-ontario-ca/14qrye6/,900,900 Sq Ft,Ontario,Townhomes,CA
,"$2,500",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",505 W Summerfield Cir,"Anaheim, CA 92802",,https://www.apartments.com/505-w-summerfield-cir-anaheim-ca/eb51t4m/,"1,283","1,283 Sq Ft",Anaheim,Townhomes,CA
,,"$4,300",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,300'}]",632 Cliff Dr,"Laguna Beach, CA 92651",,https://www.apartments.com/632-cliff-dr-laguna-beach-ca/5j3wvpn/,"1,200","1,200 Sq Ft",Laguna Beach,Townhomes,CA
,,"$2,250",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,250'}]",350 E Woodcroft Ave,"Glendora, CA 91740",,https://www.apartments.com/350-e-woodcroft-ave-glendora-ca/3rv80nd/,"1,244","1,244 Sq Ft",Glendora,Townhomes,CA
,,"$3,000",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",2525 Almeria Ln,"Brea, CA 92821",,https://www.apartments.com/2525-almeria-ln-brea-ca/gwppf9y/,"1,561","1,561 Sq Ft",Brea,Townhomes,CA
,,,"$2,695",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,695'}]",11712 S Sugarpine Ln,"Orange, CA 92869",,https://www.apartments.com/11712-s-sugarpine-ln-orange-ca/l5d37xd/,"1,202","1,202 Sq Ft",Orange,Townhomes,CA
,,"$2,500",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]",5561 Cajon Ave,"Buena Park, CA 90621",,https://www.apartments.com/5561-cajon-ave-buena-park-ca/zs06cxx/,"1,318","1,318 Sq Ft",Buena Park,Townhomes,CA
,"$2,900",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",21 Palmera,"Rancho Santa Margarita, CA 92688",,https://www.apartments.com/21-palmera-rancho-santa-margarita-ca/w49thch/,"1,306","1,306 Sq Ft",Rancho Santa Margarita,Townhomes,CA
,,"$3,300",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,300'}]",19 Calle Maria,"Rancho Santa Margarita, CA 92688",,https://www.apartments.com/19-calle-maria-rancho-santa-margarita-ca/k5hnbt8/,"1,810","1,810 Sq Ft",Rancho Santa Margarita,Townhomes,CA
,,,"$3,100",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,100'}]",10403 Cherrylaurel Ct.,"Santa Fe Springs, CA 90670",,https://www.apartments.com/10403-cherrylaurel-ct-santa-fe-springs-ca/5lx3gym/,"1,924","1,924 Sq Ft",Santa Fe Springs,Townhomes,CA
,"$2,250",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]",33782 Robles Dr,"Dana Point, CA 92629",,https://www.apartments.com/33782-robles-dr-dana-point-ca/jxdlq97/,750,750 Sq Ft,Dana Point,Townhomes,CA
,,,"$3,600",Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,600'}]",16877 Airport Cir,"Huntington Beach, CA 92649",,https://www.apartments.com/16877-airport-cir-huntington-beach-ca/6xldhxv/,"1,963","1,963 Sq Ft",Huntington Beach,Townhomes,CA
,,"$3,500",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]",514 Clubhouse Ave,"Newport Beach, CA 92663",,https://www.apartments.com/514-clubhouse-ave-newport-beach-ca/c756twf/,"1,100","1,100 Sq Ft",Newport Beach,Townhomes,CA
