1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$2,400",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",Los Angeles,"1030 S Mansfield Ave, Los Angeles, CA 90019",12 Month Lease,https://www.apartments.com/1030-s-mansfield-ave-los-angeles-ca/3mlebff/,650,650 Sq Ft,CA,Houses,90019
,"$3,500",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",Los Angeles,"12426 Barbara Ave, Los Angeles, CA 90066",12 Month Lease,https://www.apartments.com/12426-barbara-ave-los-angeles-ca/ddm42ph/,868,868 Sq Ft,CA,Houses,90066
,"$6,000",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$6,000'}]",Los Angeles,"Los Angeles, CA 90291",12 Month Lease,https://www.apartments.com/708-indiana-ave-los-angeles-ca/2y8yvr9/,"1,200","1,200 Sq Ft",CA,Houses,90291
,,,,"$4,500",Available Now,2½ BAs,"[{'bedroom_type': '4+ Beds', 'price': '$4,500'}]",Los Angeles,"1725 Westmoreland Blvd, Los Angeles, CA 90006",6 Month Lease,https://www.apartments.com/1725-westmoreland-blvd-los-angeles-ca/r62emm1/,"2,700","2,700 Sq Ft",CA,Houses,90006
,,"$7,995",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$7,995'}]",Los Angeles,"Los Angeles, CA 91423",12 Month Lease,https://www.apartments.com/4079-woodman-canyon-los-angeles-ca/qt6cqtz/,"1,166","1,166 Sq Ft",CA,Houses,91423
,,"$5,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,500'}]",Los Angeles,"Los Angeles, CA 90026",,https://www.apartments.com/1939-echo-park-ave-los-angeles-ca/44rtmth/,"1,800","1,800 Sq Ft",CA,Houses,90026
"$4,400",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$4,400'}]",Los Angeles,"1760 N Fairfax Ave, Los Angeles, CA 90046",12 Month Lease,https://www.apartments.com/1760-n-fairfax-ave-los-angeles-ca/bqrhjd9/,950,950 Sq Ft,CA,Houses,90046
,,,"$4,500",,Available Now,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,500'}]",Huntington Beach,"Huntington Beach, CA 92646",12 Month Lease,https://www.apartments.com/8201-brixham-cir-huntington-beach-ca/565yvtq/,"2,900","2,900 Sq Ft",CA,Houses,92646
,,"$2,995",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,995'}]",Inglewood,"911 S Grevillea Ave, Inglewood, CA 90301",12 Month Lease,https://www.apartments.com/911-s-grevillea-ave-inglewood-ca/seqlvt6/,"2,000","2,000 Sq Ft",CA,Houses,90301
,,,"$4,990",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,990'}]",Topanga,"1579 Old Topanga Canyon Rd, Topanga, CA 90290",12 Month Lease,https://www.apartments.com/1579-old-topanga-canyon-rd-topanga-ca/gcn27wz/,"2,000","2,000 Sq Ft",CA,Houses,90290
,"$3,500",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",Los Angeles,"Los Angeles, CA 90026",12 Month Lease,https://www.apartments.com/2131-echo-park-ave-los-angeles-ca/wf9k5vl/,"1,000","1,000 Sq Ft",CA,Houses,90026
,,"$4,000",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]",Los Angeles,"4105 Division Pl, Los Angeles, CA 90065",12 Month Lease,https://www.apartments.com/4105-division-pl-los-angeles-ca/hcrkdz2/,"1,402","1,402 Sq Ft",CA,Houses,90065
,,"$4,750",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,750'}]",Los Angeles,"Los Angeles, CA 90045",12 Month Lease,https://www.apartments.com/8106-reading-ave-los-angeles-ca/sbwhl84/,"1,116","1,116 Sq Ft",CA,Houses,90045
,,"$5,450",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,450'}]",Los Angeles,"Los Angeles, CA 90064",12 Month Lease,https://www.apartments.com/2753-burkshire-ave-los-angeles-ca/ql6q0bz/,"1,252","1,252 Sq Ft",CA,Houses,90064
"$1,300",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,300'}]",Desert Hot Springs,"Desert Hot Springs, CA 92241",12 Month Lease,https://www.apartments.com/74711-dillon-rd-desert-hot-springs-ca/gn9q2ww/,700,700 Sq Ft,CA,Houses,92241
,,"$5,975",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,975'}]",Hermosa Beach,"411 Hopkins Ave, Hermosa Beach, CA 90254",,https://www.apartments.com/411-hopkins-ave-hermosa-beach-ca/1332mq5/,"1,900","1,900 Sq Ft",CA,Houses,90254
,,"$6,500",,,May 1,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",Manhattan Beach,"3621 Alma Ave, Manhattan Beach, CA 90266",6 Month Lease,https://www.apartments.com/3621-alma-ave-manhattan-beach-ca/xxlh6fp/,"2,080","2,080 Sq Ft",CA,Houses,90266
,,,,"$8,500",Available Now,4 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$8,500'}]",Los Angeles,"6844 Cahuenga Park Trl, Los Angeles, CA 90068",12 Month Lease,https://www.apartments.com/6844-cahuenga-park-trl-los-angeles-ca/98g7cs6/,"4,000","4,000 Sq Ft",CA,Houses,90068
,,"$6,300",,,Available Now,1 BA,"[{'bedroom_type': '3 Beds', 'price': '$6,300'}]",Los Angeles,"Los Angeles, CA 90291",1 Month Lease,https://www.apartments.com/829-superba-ave-los-angeles-ca/nknwekq/,"1,500","1,500 Sq Ft",CA,Houses,90291
"$1,895",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,895'}]",Los Angeles,"Los Angeles, CA 90028",12 Month Lease,https://www.apartments.com/6631-fountain-ave-los-angeles-ca/vee50je/,1,1 Sq Ft,CA,Houses,90028
