"
												1 Bed
														–
3 Beds										",1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
,"$1,680","$2,290","$2,510",,"[{'bedroom_type': '1 Bed', 'price': '$1,680'}, {'bedroom_type': '2 Beds', 'price': '$2,290'}, {'bedroom_type': '3 Beds', 'price': '$2,510'}]",Folsom,"525 Willard Dr, Folsom, CA 95630",HUB APARTMENTS,https://www.apartments.com/hub-apartments-folsom-ca/lt4yh5d/,CA,,Apartment,95630
,"$1,029","$1,500","$1,755",,"[{'bedroom_type': '1 Bed', 'price': '$1,029'}, {'bedroom_type': '2 Beds', 'price': '$1,500'}, {'bedroom_type': '3 Beds', 'price': '$1,755'}]",Merced,"3779 Horizons Ave, Merced, CA 95348",AXIS AT COMPASS POINTE,https://www.apartments.com/axis-at-compass-pointe-merced-ca/426evkj/,CA,,Apartment,95348
,"$1,992","$2,350",,,"[{'bedroom_type': '1 Bed', 'price': '$1,992'}, {'bedroom_type': '2 Beds', 'price': '$2,350'}, {'bedroom_type': '3 Beds', 'price': ''}]",Chula Vista,"1660 Metro Ave, Chula Vista, CA 91915",Boardwalk at Millenia,https://www.apartments.com/boardwalk-at-millenia-chula-vista-ca/bl5h4s9/,CA,,Apartment,91915
,"$1,775","$2,070",,,"[{'bedroom_type': '1 Bed', 'price': '$1,775'}, {'bedroom_type': '2 Beds', 'price': '$2,070'}, {'bedroom_type': '3 Beds', 'price': ''}]",Lemon Grove,"100 Citronica Ln, Lemon Grove, CA 91945",CELSIUS,https://www.apartments.com/celsius-lemon-grove-ca/3klp6xd/,CA,,Apartment,91945
,"$1,625","$2,150",,,"[{'bedroom_type': 'Studio', 'price': '$1,399'}, {'bedroom_type': '1 Bed', 'price': '$1,625'}, {'bedroom_type': '2 Beds', 'price': '$2,150'}]",Rancho Cordova,"3175 Data Dr, Rancho Cordova, CA 95670",BDX AT CAPITAL VILLAGE,https://www.apartments.com/bdx-at-capital-village-rancho-cordova-ca/tjpdbq9/,CA,"$1,399",Apartment,95670
,"$1,625","$2,150",,,"[{'bedroom_type': 'Studio', 'price': '$1,399'}, {'bedroom_type': '1 Bed', 'price': '$1,625'}, {'bedroom_type': '2 Beds', 'price': '$2,150'}]",Rancho Cordova,"3175 Data Dr, Rancho Cordova, CA 95670",BDX AT CAPITAL VILLAGE,https://www.apartments.com/bdx-at-capital-village-rancho-cordova-ca/tjpdbq9/,CA,"$1,399",Apartment,95670
,"$3,825","$4,750",,,"[{'bedroom_type': 'Studio', 'price': '$2,495'}, {'bedroom_type': '1 Bed', 'price': '$3,825'}, {'bedroom_type': '2 Beds', 'price': '$4,750'}, {'bedroom_type': '3 Beds', 'price': ''}]",Los Angeles,"5100 Wilshire Blvd, Los Angeles, CA 90036",The Mansfield at Miracle Mile,https://www.apartments.com/the-mansfield-at-miracle-mile-los-angeles-ca/gsl9khx/,CA,"$2,495",Apartment,90036
,"$1,935","$1,895","$2,250",,"[{'bedroom_type': '1 Bed', 'price': '$1,935'}, {'bedroom_type': '2 Beds', 'price': '$1,895'}, {'bedroom_type': '3 Beds', 'price': '$2,250'}]",Rocklin,"6201 W Oaks Blvd, Rocklin, CA 95765",The James,https://www.apartments.com/the-james-rocklin-ca/20fqev8/,CA,,Apartment,95765
,"$5,320","$6,500",,,"[{'bedroom_type': '1 Bed', 'price': '$5,320'}, {'bedroom_type': '2 Beds', 'price': '$6,500'}]",Los Angeles,"8500 W Sunset Blvd, Los Angeles, CA 90069",The Apartment Residences at AKA,https://www.apartments.com/the-apartment-residences-at-aka-los-angeles-ca/x4brlmm/,CA,,Apartment,90069
,"$1,725","$2,100",,,"[{'bedroom_type': '1 Bed', 'price': '$1,725'}, {'bedroom_type': '2 Beds', 'price': '$2,100'}]",Paramount,"13801 Paramount Blvd, Paramount, CA 90723",The Enclave Apartments,https://www.apartments.com/the-enclave-apartments-paramount-ca/z7n3bwz/,CA,,Apartment,90723
,"$1,924","$2,057",,,"[{'bedroom_type': '1 Bed', 'price': '$1,924'}, {'bedroom_type': '2 Beds', 'price': '$2,057'}]",Petaluma,"200 Greenbriar Cir, Petaluma, CA 94954",Addison Ranch Apartments,https://www.apartments.com/addison-ranch-apartments-petaluma-ca/2mnf5q9/,CA,,Apartment,94954
,,"$1,650","$2,100",,"[{'bedroom_type': '2 Beds', 'price': '$1,650'}, {'bedroom_type': '3 Beds', 'price': '$2,100'}]",Sacramento,"6058 Riverside Blvd, Sacramento, CA 95831",Sixty58 Townhomes,https://www.apartments.com/sixty58-townhomes-sacramento-ca/yntx1mv/,CA,,Apartment,95831
,"$3,785","$6,215","$7,085",,"[{'bedroom_type': 'Studio', 'price': '$3,385'}, {'bedroom_type': '1 Bed', 'price': '$3,785'}, {'bedroom_type': '2 Beds', 'price': '$6,215'}, {'bedroom_type': '3 Beds', 'price': '$7,085'}]",Santa Monica,"800 Colorado Blvd, Santa Monica, CA 90404",Catherine,https://www.apartments.com/catherine-santa-monica-ca/vsrydjg/,CA,"$3,385",Apartment,90404
,"$1,791","$1,875",,,"[{'bedroom_type': '1 Bed', 'price': '$1,791'}, {'bedroom_type': '2 Beds', 'price': '$1,875'}]",Martinez,"142 Fig Tree Ln, Martinez, CA 94553",TERRA MARTINEZ,https://www.apartments.com/terra-martinez-martinez-ca/hbmpw73/,CA,,Apartment,94553
,"$1,245","$1,570","$1,985",,"[{'bedroom_type': 'Studio', 'price': '$1,248'}, {'bedroom_type': '1 Bed', 'price': '$1,245'}, {'bedroom_type': '2 Beds', 'price': '$1,570'}, {'bedroom_type': '3 Beds', 'price': '$1,985'}]",Sacramento,"1761 Heritage Ln, Sacramento, CA 95815",FOUNTAINS AT POINT WEST,https://www.apartments.com/fountains-at-point-west-sacramento-ca/b4rgfkb/,CA,"$1,248",Apartment,95815
,"$1,695","$2,195",,,"[{'bedroom_type': '1 Bed', 'price': '$1,695'}, {'bedroom_type': '2 Beds', 'price': '$2,195'}]",Ventura,"6250 Telegraph Rd, Ventura, CA 93003",Sofi Ventura,https://www.apartments.com/sofi-ventura-ventura-ca/elpn0bq/,CA,,Apartment,93003
,"$1,845","$2,125",,,"[{'bedroom_type': 'Studio', 'price': '$1,814'}, {'bedroom_type': '1 Bed', 'price': '$1,845'}, {'bedroom_type': '2 Beds', 'price': '$2,125'}, {'bedroom_type': '3 Beds', 'price': ''}]",Woodland Hills,"6333 Canoga Ave, Woodland Hills, CA 91367",Alura,https://www.apartments.com/alura-woodland-hills-ca/rlf0931/,CA,"$1,814",Apartment,91367
,"$1,140","$1,340",,,"[{'bedroom_type': '1 Bed', 'price': '$1,140'}, {'bedroom_type': '2 Beds', 'price': '$1,340'}]",Antelope,"7740 Watt Ave, Antelope, CA 95843",INDIGO APARTMENTS,https://www.apartments.com/indigo-apartments-antelope-ca/t0jx7x8/,CA,,Apartment,95843
,"$1,415","$1,830","$2,655",,"[{'bedroom_type': 'Studio', 'price': '$1,340'}, {'bedroom_type': '1 Bed', 'price': '$1,415'}, {'bedroom_type': '2 Beds', 'price': '$1,830'}, {'bedroom_type': '3 Beds', 'price': '$2,655'}]",Sacramento,"1500 7th St, Sacramento, CA 95814",Capitol Towers,https://www.apartments.com/capitol-towers-sacramento-ca/mqfe28k/,CA,"$1,340",Apartment,95814
,"$2,815","$3,226",,,"[{'bedroom_type': 'Studio', 'price': '$2,358'}, {'bedroom_type': '1 Bed', 'price': '$2,815'}, {'bedroom_type': '2 Beds', 'price': '$3,226'}]",Santa Monica,"1519 6th St, Santa Monica, CA 90401",Living at Santa Monica,https://www.apartments.com/living-at-santa-monica-santa-monica-ca/zre61pw/,CA,"$2,358",Apartment,90401
