1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$3,300",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,300'}]",San Ramon,"San Ramon, CA 94583",12 Month Lease,https://www.apartments.com/4740-norris-canyon-rd-san-ramon-ca-unit-101/tlh5j0b/,"1,015","1,015 Sq Ft",CA,,Condos,94583
"$3,650",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,650'}]",Oakland,"Oakland, CA 94612",12 Month Lease,https://www.apartments.com/528-thomas-l-berkley-way-oakland-ca-unit-202/vmqmw3d/,874,874 Sq Ft,CA,,Condos,94612
,,"$2,995",,May 1,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,995'}]",Napa,"Napa, CA 94559",12 Month Lease,https://www.apartments.com/225-walnut-st-napa-ca-unit-1/wqvbfjl/,"2,000","2,000 Sq Ft",CA,,Condos,94559
,"$2,100",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]",Rohnert Park,"Rohnert Park, CA 94928",12 Month Lease,https://www.apartments.com/256-city-center-dr-rohnert-park-ca-unit-n-a/rsssmx3/,858,858 Sq Ft,CA,,Condos,94928
,"$2,395",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]",Sacramento,"Sacramento, CA 95814",12 Month Lease,https://www.apartments.com/500-n-st-sacramento-ca-unit-210/cbx9pqe/,"1,260","1,260 Sq Ft",CA,,Condos,95814
,"$3,325",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,325'}]",Santa Cruz,"Santa Cruz, CA 95062",12 Month Lease,https://www.apartments.com/680-7th-ave-santa-cruz-ca-unit-a/j8z9sy4/,915,915 Sq Ft,CA,,Condos,95062
,"$2,550",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]",San Jose,"San Jose, CA 95123",12 Month Lease,https://www.apartments.com/5699-makati-cir-san-jose-ca-unit-h/5geq2tn/,924,924 Sq Ft,CA,,Condos,95123
,"$2,550",,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]",Pleasant Hill,"Pleasant Hill, CA 94523",12 Month Lease,https://www.apartments.com/100-cleaveland-rd-pleasant-hill-ca-unit-1/hwyyr73/,"1,100","1,100 Sq Ft",CA,,Condos,94523
"$2,000",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]",Antelope,"Antelope, CA 95843",1 Month Lease,https://www.apartments.com/8020-walerga-rd-antelope-ca-unit-1069/rjpeh01/,700,700 Sq Ft,CA,,Condos,95843
,"$1,495",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,495'}]",Desert Hot Springs,"Desert Hot Springs, CA 92240",12 Month Lease,https://www.apartments.com/66735-12th-st-desert-hot-springs-ca-unit-b2/nenvvrp/,"1,048","1,048 Sq Ft",CA,,Condos,92240
,,"$1,000",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,000'}]",Blythe,"Blythe, CA 92225",12 Month Lease,https://www.apartments.com/2450-e-hobsonway-blythe-ca-unit-11/53n4d7q/,"1,344","1,344 Sq Ft",CA,,Condos,92225
"$2,800",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,800'}]",San Francisco,"San Francisco, CA 94103",12 Month Lease,https://www.apartments.com/1075-market-st-san-francisco-ca-unit-607/x3e5q7p/,500,500 Sq Ft,CA,,Condos,94103
"$1,595",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}]",Ojai,"Ojai, CA 93023",12 Month Lease,https://www.apartments.com/614-grand-ave-ojai-ca-unit-a/jxwrrx7/,550,550 Sq Ft,CA,,Condos,93023
,,"$3,500",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]",Pismo Beach,"Pismo Beach, CA 93449",12 Month Lease,https://www.apartments.com/871-visalia-st-pismo-beach-ca-unit-871/sy8h6g7/,"1,500","1,500 Sq Ft",CA,,Condos,93449
,"$2,580",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,580'}]",Walnut Creek,"Walnut Creek, CA 94597",12 Month Lease,https://www.apartments.com/2370-san-juan-ave-walnut-creek-ca-unit-2370/7cx3mrw/,978,978 Sq Ft,CA,,Condos,94597
,"$2,800",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Dublin,"Dublin, CA 94568",12 Month Lease,https://www.apartments.com/3385-dublin-blvd-dublin-ca-unit-438/6q11b4r/,"1,298","1,298 Sq Ft",CA,,Condos,94568
,"$1,750",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]",South Lake Tahoe,"South Lake Tahoe, CA 96150",3 Month Lease,https://www.apartments.com/1223-bonanza-ave-south-lake-tahoe-ca-unit-24/htmtg42/,841,841 Sq Ft,CA,,Condos,96150
,"$2,300",,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",Pittsburg,"Pittsburg, CA 94565",12 Month Lease,https://www.apartments.com/51-meadowbrook-cir-pittsburg-ca-unit-51/dxclbxh/,"1,122","1,122 Sq Ft",CA,,Condos,94565
,,"$3,850",,Apr 15,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,850'}]",Los Angeles,"1112 S Bedford Dr, Los Angeles, CA 90035",12 Month Lease,https://www.apartments.com/1112-s-bedford-dr-los-angeles-ca-unit-101/kq7m7y9/,"1,600","1,600 Sq Ft",CA,,Condos,90035
,"$4,000",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]",Alameda,"Alameda, CA 94502",12 Month Lease,https://www.apartments.com/161-parfait-ln-alameda-ca-unit-0/4g5yc4l/,1,1 Sq Ft,CA,,Condos,94502
,"$5,000",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]",Palm Desert,"Palm Desert, CA 92260",12 Month Lease,https://www.apartments.com/73474-shadow-mountain-dr-palm-desert-ca-unit-0/q2bxc7w/,"1,932","1,932 Sq Ft",CA,,Condos,92260
"$2,575",,,,Apr 13,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,575'}]",Oakland,"Oakland, CA 94611",12 Month Lease,https://www.apartments.com/758-kingston-ave-oakland-ca-unit-201/62pecrr/,850,850 Sq Ft,CA,,Condos,94611
,"$1,800",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,800'}]",La Quinta,"45245 Seeley Dr, La Quinta, CA 92253",6 Month Lease,https://www.apartments.com/45245-seeley-dr-la-quinta-ca-unit-18c/630b43t/,"1,250","1,250 Sq Ft",CA,,Condos,92253
"$1,895",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,895'}]",Walnut Creek,"Walnut Creek, CA 94596",14 Month Lease,https://www.apartments.com/430-n-civic-dr-walnut-creek-ca-unit-403/hcy4qe0/,780,780 Sq Ft,CA,,Condos,94596
"$4,975",,,,Available Now,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$4,975'}]",Laguna Beach,"Laguna Beach, CA 92651",10 Month Lease,https://www.apartments.com/346-n-coast-hwy-laguna-beach-ca-unit-a/32c6ymd/,"2,000","2,000 Sq Ft",CA,,Condos,92651
,"$2,695",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]",Carlsbad,"Carlsbad, CA 92011",12 Month Lease,https://www.apartments.com/900-shore-crest-rd-carlsbad-ca-unit-s/bclq1gb/,"1,084","1,084 Sq Ft",CA,,Condos,92011
,"$2,895",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,895'}]",Carlsbad,"Carlsbad, CA 92011",12 Month Lease,https://www.apartments.com/946-sea-cliff-dr-carlsbad-ca-unit-s/5rx2t5n/,"1,145","1,145 Sq Ft",CA,,Condos,92011
,"$1,295",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,295'}]",Modesto,"Modesto, CA 95350",6 Month Lease,https://www.apartments.com/1732-clayton-ave-modesto-ca-unit-2/rp11tr3/,750,750 Sq Ft,CA,,Condos,95350
,"$2,795",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,795'}]",Santa Cruz,"Santa Cruz, CA 95060",6 Month Lease,https://www.apartments.com/126-cowell-st-santa-cruz-ca-unit-128/qqh9jlw/,700,700 Sq Ft,CA,,Condos,95060
,"$4,500",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",Tiburon,"Tiburon, CA 94920",12 Month Lease,https://www.apartments.com/20-harbor-oak-dr-tiburon-ca-unit-22/e680pkq/,"1,500","1,500 Sq Ft",CA,,Condos,94920
,"$3,850",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,850'}]",Walnut Creek,"Walnut Creek, CA 94596",12 Month Lease,https://www.apartments.com/555-ygnacio-valley-rd-walnut-creek-ca-unit-428/dz5yf2h/,"1,165","1,165 Sq Ft",CA,,Condos,94596
,"$1,195",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,195'}]",Fresno,"Fresno, CA 93727",12 Month Lease,https://www.apartments.com/5541-e-tulare-ave-fresno-ca-unit-19/wehn39l/,"1,248","1,248 Sq Ft",CA,,Condos,93727
,,"$6,500",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",Malibu,"11770 Pacific Coast Hwy, Malibu, CA 90265",12 Month Lease,https://www.apartments.com/11770-pacific-coast-hwy-malibu-ca-unit-t/8cflq53/,"1,854","1,854 Sq Ft",CA,,Condos,90265
,"$4,500",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",San Francisco,"San Francisco, CA 94131",12 Month Lease,https://www.apartments.com/1611-noe-st-san-francisco-ca-unit-0/fncdrks/,750,750 Sq Ft,CA,,Condos,94131
,"$3,295",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,295'}]",Solana Beach,"Solana Beach, CA 92075",12 Month Lease,https://www.apartments.com/640-w-solana-cir-solana-beach-ca-unit-12/y4erf6v/,"1,256","1,256 Sq Ft",CA,,Condos,92075
"$2,895",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,895'}]",San Francisco,"San Francisco, CA 94124",12 Month Lease,https://www.apartments.com/555-innes-ave-san-francisco-ca-unit-308/8gm2p91/,611,611 Sq Ft,CA,,Condos,94124
,,,,Apr 16,1 BA,"[{'bedroom_type': 'Studio', 'price': '$1,250'}]",Vallejo,"Vallejo, CA 94589",12 Month Lease,https://www.apartments.com/1333-n-camino-alto-vallejo-ca-unit-213/rtgdm71/,500,500 Sq Ft,CA,"$1,250",Condos,94589
,"$3,300",,,Jul 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]",San Luis Obispo,"San Luis Obispo, CA 93405",12 Month Lease,https://www.apartments.com/1239-foothill-blvd-san-luis-obispo-ca-unit-112/v3m2wwd/,"1,100","1,100 Sq Ft",CA,,Condos,93405
,"$2,900",,,Apr 15,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",Anaheim,"Anaheim, CA 92805",12 Month Lease,https://www.apartments.com/939-e-mason-ln-anaheim-ca-unit-58/sc0flm6/,"1,554","1,554 Sq Ft",CA,,Condos,92805
"$2,400",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,400'}]",Emeryville,"Emeryville, CA 94608",12 Month Lease,https://www.apartments.com/6363-christie-ave-emeryville-ca-unit-215/rjzp5b1/,768,768 Sq Ft,CA,,Condos,94608
