"
                        1 Bedroom
                            –
2 Bedrooms                    ","
                        1 Bedroom
                            –
3 Bedrooms                    ","
                        Studio
                            –
2 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,,,"$2,853 ","$4,702 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,853 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,702 '}]",Los Angeles,717 Olympic,CA,,Apartment,90015
,,,"$2,275 ","$2,645 ","$3,193 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,275 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,645 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,193 '}]",San Jose,Monterey Grove Apartments,CA,,Apartment,95138
,,,,,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Campbell,Sedona Lane Apartments,CA,,Apartment,95008
,,,,,,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Walnut Creek,Lyric,CA,,Apartment,94596
,,,"$1,895 ","$2,280 ","$3,154 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,895 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,280 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,154 '}]",Calabasas,Malibu Canyon Apartments,CA,,Apartment,91302
,,,"$2,025 ","$2,265 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,825 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,025 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,265 '}]",Los Angeles,The Orsini,CA,"$1,825 ",Apartment,90012
,,,"$2,225 ","$2,730 ","$3,795 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,225 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,730 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,795 '}]",Costa Mesa,Baker Block,CA,,Apartment,92626
,,,,,,,,"[{'bedroom_type': '\r\n                        Studio\r\n                            –\r\n2 Bedrooms                    ', 'price': ''}]",Porter Ranch,Tesoro at Porter Ranch,CA,,Apartment,91326
,,,"$1,743 ","$1,917 ","$2,405 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,743 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,917 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,405 '}]",Rancho Cucamonga,Del Mar/Del Mar II,CA,,Apartment,91730
,,,,"$1,845 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$1,845 '}]",La Palma,Brookside,CA,,Apartment,90623
