1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
"$2,295 ","$2,750 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,295 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,750 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Anaheim,The George,CA,,Apartment,92806
"$2,100 ","$2,750 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,100 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,750 '}]",Los Angeles,Wilshire Valencia,CA,,Apartment,90017
"$2,703 ","$3,041 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,703 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,041 '}]",Los Angeles,Modera West LA,CA,,Apartment,90045
"$2,900 ","$3,950 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,900 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,950 '}]",Marina Del Rey,The Admiralty,CA,,Apartment,90292
,"$2,200 ",,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,200 '}]",San Diego,600 Front Street Apartments,CA,,Apartment,92101
"$1,900 ","$2,300 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$1,900 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,300 '}]",Anaheim,Vivere Flats,CA,,Apartment,92805
"$4,199 ","$5,760 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,252 '}, {'bedroom_type': '1 Bedroom', 'price': '$4,199 '}, {'bedroom_type': '2 Bedrooms', 'price': '$5,760 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Francisco,399 Fremont,CA,"$3,252 ",Apartment,94105
"$2,820 ","$3,895 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,175 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,820 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,895 '}]",Hollywood,The Line Lofts,CA,"$2,175 ",Apartment,90028
,,,,"[{'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,W Marino,CA,,Apartment,90006
"$2,305 ","$3,146 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,110 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,305 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,146 '}]",Coronado,Broadstone Coronado on the Bay,CA,"$2,110 ",Apartment,92118
"$2,915 ","$3,840 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,890 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,915 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,840 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,APEX. The One.,CA,"$2,890 ",Apartment,90015
"$3,362 ","$5,086 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,219 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,362 '}, {'bedroom_type': '2 Bedrooms', 'price': '$5,086 '}]",San Francisco,100 Van Ness,CA,"$3,219 ",Apartment,94102
"$3,727 ","$4,314 ","$5,669 ",,"[{'bedroom_type': 'Studio', 'price': '$2,881 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,727 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,314 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,669 '}, {'bedroom_type': '4 Bedrooms', 'price': ''}]",Marina del Rey,Esprit Apartments,CA,"$2,881 ",Apartment,90292
"$1,935 ","$2,155 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,965 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,935 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,155 '}]",Anaheim,Vivere Lofts,CA,"$1,965 ",Apartment,92805
"$1,800 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,565 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,800 '}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Los Angeles,Duet on Wilcox,CA,"$1,565 ",Apartment,90028
"$3,568 ","$5,205 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,299 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,568 '}, {'bedroom_type': '2 Bedrooms', 'price': '$5,205 '}]",San Francisco,Edgewater,CA,"$3,299 ",Apartment,94158
"$2,110 ","$3,380 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,110 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,380 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,Seven West Apartments,CA,,Apartment,90017
"$2,196 ","$2,727 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,196 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,196 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,727 '}]",Marina Del Rey,The Westerly on Lincoln,CA,"$2,196 ",Apartment,90292
"$2,450 ","$3,104 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,450 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,104 '}]",Los Angeles,The Pines,CA,,Apartment,90028
,,,,"[{'bedroom_type': 'Studio', 'price': '$1,075 '}]",San Diego,Vantaggio Suites at San Diego,CA,"$1,075 ",Apartment,92101
"$2,210 ","$2,295 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,210 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,295 '}]",San Diego,Vantage Pointe,CA,,Apartment,92101
,,,,"[{'bedroom_type': '2 Bedrooms', 'price': ''}]",Los Angeles,R3 Lofts by CLG,CA,,Apartment,90066
"$4,300 ","$5,500 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$4,300 '}, {'bedroom_type': '2 Bedrooms', 'price': '$5,500 '}]",Los Angeles,Hollywood Proper Residences,CA,,Apartment,90028
"$2,057 ","$2,861 ","$5,747 ",,"[{'bedroom_type': 'Studio', 'price': '$2,142 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,057 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,861 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,747 '}]",Los Angeles,8th & Grand,CA,"$2,142 ",Apartment,90014
"$3,150 ","$3,820 ","$6,020 ",,"[{'bedroom_type': 'Studio', 'price': '$2,720 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,150 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,820 '}, {'bedroom_type': '3 Bedrooms', 'price': '$6,020 '}]",San Francisco,150 Van Ness,CA,"$2,720 ",Apartment,94102
