1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
"$2,072 ","$2,625 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,664 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,072 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,625 '}]",Sacramento,Q19 Apartments,CA,"$1,664 ",Apartment,95811
,,,,"[{'bedroom_type': '\r\n                        1 Bedroom\r\n                            –\r\n2 Bedrooms                    ', 'price': ''}]",San Jose,Avana Almaden,CA,,Apartment,95123
"$2,321 ","$2,934 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,321 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,934 '}]",Sunnyvale,The Crossings,CA,,Apartment,94087
"$3,495 ","$4,760 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,495 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,760 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Mountain View,Avalon Towers on the Peninsula,CA,,Apartment,94040
"$1,975 ","$2,272 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,975 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,272 '}]",Union City,eaves Union City,CA,,Apartment,94587
"$2,330 ","$3,430 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,120 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,330 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,430 '}]",Glendale,Next on Lex,CA,"$2,120 ",Apartment,91203
,"$3,425 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$3,425 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Marina Del Rey,The Tides At Marina Harbor,CA,,Apartment,90292
"$2,286 ","$2,895 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,286 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,895 '}]",San Diego,Millennium Mission Valley,CA,,Apartment,92108
,,,,"[{'bedroom_type': '\r\n                        1 Bedroom\r\n                            –\r\n3 Bedrooms                    ', 'price': ''}]",Upland,The Oaks Apartments,CA,,Apartment,91786
"$2,229 ","$2,797 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,045 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,229 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,797 '}]",Los Angeles,Wakaba LA,CA,"$2,045 ",Apartment,90012
$901 ,"$1,699 ","$2,125 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$901 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,699 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,125 '}]",Canyon Country,Riverpark,CA,,Apartment,91387
"$3,415 ","$4,710 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,415 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,710 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,The Glendon,CA,,Apartment,90024
,"$4,000 ",,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$4,000 '}]",Los Angeles,The HW by CLG,CA,,Apartment,90046
"$2,525 ","$3,654 ","$4,973 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,525 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,654 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,973 '}]",San Jose,Centerra,CA,,Apartment,95110
"$2,179 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,179 '}]",San Diego,Broadway Lofts,CA,,Apartment,92101
