"
                        Studio
                            –
2 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,"$1,520 ","$1,770 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,520 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,770 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Vista,Mariposa Apartment Homes,CA,,Apartment,92083
,"$1,525 ","$1,845 ","$2,230 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,525 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,845 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,230 '}]",Anaheim,Villa Serrano,CA,,Apartment,92804
,"$1,830 ","$2,350 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,675 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,830 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,350 '}]",Northridge,Candlewood North,CA,"$1,675 ",Apartment,91324
,"$3,293 ","$4,046 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$3,293 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,046 '}]",San Francisco,Ashton San Francisco Apartments,CA,,Apartment,94134
,"$1,395 ","$1,545 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,395 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,545 '}]",Rocklin,Rocklin Manor,CA,,Apartment,95677
,,,,,,"[{'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Victorville,Andalusia Luxury Apartments,CA,,Apartment,92395
,"$1,325 ","$1,682 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,325 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,682 '}]",Lancaster,Park West Village,CA,,Apartment,93536
,,,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}]",Citrus Heights,Greenback Gardens,CA,,Apartment,95610
,"$1,995 ","$2,250 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,995 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,250 '}]",Long Beach,Avana On Pine,CA,,Apartment,90802
,,,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",La Verne,La Verne Village Luxury Apartment Homes,CA,,Apartment,91750
,,,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Stockton,Sorrento,CA,,Apartment,95207
,"$1,784 ","$2,211 ","$2,864 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,784 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,211 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,864 '}]",Simi Valley,Avalon Simi Valley,CA,,Apartment,93065
,"$1,535 ","$1,840 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,535 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,840 '}]",Rancho Santa Margarita,Villa La Paz Apartment Homes,CA,,Apartment,92688
,,"$1,500 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$1,500 '}]",Sacramento,The Vue,CA,,Apartment,95833
,"$1,587 ","$1,898 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,587 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,898 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Rancho Cucamonga,Barrington Place,CA,,Apartment,91739
,"$1,535 ","$1,825 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,535 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,825 '}]",Riverside,Colonnade,CA,,Apartment,92507
,"$1,690 ","$1,870 ","$2,200 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,690 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,870 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,200 '}]",Lakewood,Vicino,CA,,Apartment,90715
,"$1,935 ","$2,525 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,935 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,525 '}]",Irvine,Los Olivos Apartment Homes,CA,,Apartment,92618
,"$1,750 ","$2,504 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,750 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,504 '}]",Petaluma,Addison Ranch Apartments,CA,,Apartment,94954
,"$3,595 ","$5,470 ",,,,"[{'bedroom_type': 'Studio', 'price': '$3,295 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,595 '}, {'bedroom_type': '2 Bedrooms', 'price': '$5,470 '}]",Mountain View,Carmel The Village,CA,"$3,295 ",Apartment,94040
,"$1,740 ",,,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,740 '}, {'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Redlands,Circa 2020,CA,,Apartment,92374
,,"$2,347 ","$2,932 ",,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,347 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,932 '}]",Downey,Parc @ 5 Apartments,CA,,Apartment,90240
,"$2,333 ","$2,791 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,333 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,791 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Santa Clara,Marina Playa,CA,,Apartment,95051
,,"$1,075 ",,,,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,075 '}]",Fresno,The Enclave Apartment Homes,CA,,Apartment,93722
,"$3,150 ","$4,600 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,150 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,600 '}]",Carlsbad,Bluwater Crossing,CA,,Apartment,92011
,"$1,520 ","$1,750 ","$1,965 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,255 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,520 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,750 '}, {'bedroom_type': '3 Bedrooms', 'price': '$1,965 '}]",Sacramento,Capitol Towers Apartment Homes,CA,"$1,255 ",Apartment,95814
,"$1,915 ","$2,255 ","$3,160 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,915 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,255 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,160 '}]",Glendora,Avalon Glendora,CA,,Apartment,91740
,,"$2,400 ","$3,395 ",,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,400 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,395 '}]",Lafayette,1038 on Second Lafayette,CA,,Apartment,94549
,"$3,349 ","$4,316 ","$5,004 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,349 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,316 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,004 '}]",Campbell,Revere Campbell,CA,,Apartment,95008
,"$3,190 ","$4,050 ","$5,665 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,800 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,190 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,050 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,665 '}]",Menlo Park,Anton Menlo,CA,"$2,800 ",Apartment,94025
,"$2,237 ","$2,805 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,237 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,805 '}]",Pleasanton,Avana Pleasanton,CA,,Apartment,94566
,,"$2,048 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,048 '}]",San Marcos,Prominence Apartments,CA,,Apartment,92078
,"$1,768 ","$2,203 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,768 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,203 '}]",Carson,El Cordova Apartments,CA,,Apartment,90746
,,"$1,605 ",,,,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,605 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Chino,Park West Apartments,CA,,Apartment,91710
,"$3,025 ","$3,950 ","$5,550 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,025 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,950 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,550 '}]",Corte Madera,Tam Ridge,CA,,Apartment,94925
