2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,1 bed,Studio,4 beds
3500.0,San Anselmo,Townhomes,CA,94960,"14 Tamalpais Ave San Anselmo, CA 94960",https://www.apartments.com/14-tamalpais-ave-san-anselmo-ca/mbtgs1k/,1.5 baths,"1,000 sq ft","1,000",,,,
4095.0,Redondo Beach,Townhomes,CA,90277,"120 N Prospect Ave Redondo Beach, CA 90277",https://www.apartments.com/120-n-prospect-ave-redondo-beach-ca/ghpgvzz/,3 baths,"2,100 sq ft","2,100",,,,
,Los Angeles,Townhomes,CA,90068,"5949 Chula Vista Way Los Angeles, CA 90068",https://www.apartments.com/5949-chula-vista-way-los-angeles-ca/1vvtrq4/,1 bath,800 sq ft,800,,2800.0,,
,Hawthorne,Townhomes,CA,90250,"3912 W 116th St Hawthorne, CA 90250",https://www.apartments.com/3912-w-116th-st-hawthorne-ca/nr9jtxm/,2.5 baths,"1,300 sq ft","1,300",3100.0,,,
,Anaheim,Townhomes,CA,92805,"927 E Mason Ln Anaheim, CA 92805",https://www.apartments.com/927-e-mason-ln-anaheim-ca/2sds7c9/,3 baths,"1,650 sq ft","1,650",3749.0,,,
1900.0,Los Angeles,Townhomes,CA,90008,"3003 W 43rd Pl Los Angeles, CA 90008",https://www.apartments.com/3003-w-43rd-pl-los-angeles-ca/kbztmp8/,1 bath,900 sq ft,900,,,,
5950.0,Irvine,Townhomes,CA,92614,"204 Placemark Irvine, CA 92614",https://www.apartments.com/204-placemark-irvine-ca/7g042dz/,4 baths,"1,700 sq ft","1,700",,,,
5500.0,Santa Monica,Townhomes,CA,90405,"422 Pacific St Santa Monica, CA 90405",https://www.apartments.com/422-pacific-st-santa-monica-ca/e2d2rnn/,1.5 baths,"1,100 sq ft","1,100",,,,
,San Diego,Townhomes,CA,92154,"5477 San Roberto San Diego, CA 92154",https://www.apartments.com/5477-san-roberto-san-diego-ca/839y1t1/,2.5 baths,"1,505 sq ft","1,505",3325.0,,,
,Cupertino,Townhomes,CA,95014,"22643 Queens Oak Ct Cupertino, CA 95014",https://www.apartments.com/22643-queens-oak-ct-cupertino-ca/914br34/,2.5 baths,"1,341 sq ft","1,341",4100.0,,,
,Los Angeles,Townhomes,CA,90046,"846 N Alta Vista Blvd Los Angeles, CA 90046",https://www.apartments.com/846-n-alta-vista-blvd-los-angeles-ca/6j2m8rs/,2.5 baths,"1,836 sq ft","1,836",6800.0,,,
,Los Angeles,Townhomes,CA,90018,"1613 Exposition Blvd Los Angeles, CA 90018",https://www.apartments.com/1613-exposition-blvd-los-angeles-ca/jntq9b5/,2 baths,"1,200 sq ft","1,200",,,,3995.0
,Los Angeles,Townhomes,CA,90045,"7119 S La Cienega Blvd Los Angeles, CA 90045",https://www.apartments.com/7119-s-la-cienega-blvd-los-angeles-ca/v3v8n5f/,2 baths,"1,200 sq ft","1,200",3500.0,,,
,San Jose,Townhomes,CA,95116,"2064 Ojo de Agua Ct San Jose, CA 95116",https://www.apartments.com/2064-ojo-de-agua-ct-san-jose-ca/mnx81yl/,2.5 baths,"1,471 sq ft","1,471",,,,3298.0
,Garden Grove,Townhomes,CA,92840,"12842 Palm St Garden Grove, CA 92840",https://www.apartments.com/12842-palm-st-garden-grove-ca/71cq28z/,3 baths,"1,498 sq ft","1,498",5995.0,,,
,Van Nuys,Townhomes,CA,91401,"5674 Hazeltine Ave Van Nuys, CA 91401",https://www.apartments.com/5674-hazeltine-ave-van-nuys-ca/5qn4txp/,2.5 baths,"1,671 sq ft","1,671",3900.0,,,
3799.0,Emeryville,Townhomes,CA,94608,"13 City Limits Cir Emeryville, CA 94608",https://www.apartments.com/13-city-limits-cir-emeryville-ca/ge5g7sw/,2.5 baths,"1,300 sq ft","1,300",,,,
