1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Studio,2 beds,4 beds,3 beds,5 beds,10 beds,8 beds,7 beds,6 beds
,San Mateo,Houses,CA,94403,"3256 Countryside Dr San Mateo, CA 94403",https://www.apartments.com/3256-countryside-dr-san-mateo-ca/8l5vml0/,2 baths,"1,650 sq ft","1,650",,,,3800.0,,,,,
,Half Moon Bay,Houses,CA,94019,"198 Cypress Point Rd Half Moon Bay, CA 94019",https://www.apartments.com/198-cypress-point-rd-half-moon-bay-ca/1xh4en6/,3.5 baths,"4,110 sq ft","4,110",,,15000.0,,,,,,
,Fremont,Houses,CA,94539,"43089 Coit Ave Fremont, CA 94539",https://www.apartments.com/43089-coit-ave-fremont-ca/tewcqk9/,2 baths,"1,246 sq ft","1,246",,,3595.0,,,,,,
,Del Monte Forest,Houses,CA,93953,"3075 Sloat Rd Del Monte Forest, CA 93953",https://www.apartments.com/3075-sloat-rd-del-monte-forest-ca/xhdn9sq/,2 baths,"2,436 sq ft","2,436",,,7757.0,,,,,,
,San Martin,Houses,CA,95046,"14560 Monterey Rd San Martin, CA 95046",https://www.apartments.com/14560-monterey-rd-san-martin-ca/1s2fns7/,1 bath,"1,301 sq ft","1,301",,,,3500.0,,,,,
,Borrego Springs,Houses,CA,92004,"438 De Anza Spur Rd Borrego Springs, CA 92004",https://www.apartments.com/438-de-anza-spur-rd-borrego-springs-ca/2xrnbv8/,5 baths,"4,742 sq ft","4,742",,,,,13500.0,,,,
,Borrego Springs,Houses,CA,92004,"1815 Palm Canyon Dr Borrego Springs, CA 92004",https://www.apartments.com/1815-palm-canyon-dr-borrego-springs-ca/c23z95f/,3 baths,"2,900 sq ft","2,900",,,4500.0,,,,,,
,Lucerne,Houses,CA,95458,"6417 7th Ave Lucerne, CA 95458",https://www.apartments.com/6417-7th-ave-lucerne-ca/zp173qw/,2 baths,"1,023 sq ft","1,023",,1400.0,,,,,,,
,Montecito,Houses,CA,93108,"1960 E Valley Rd Montecito, CA 93108",https://www.apartments.com/1960-e-valley-rd-montecito-ca/feed5pv/,6 baths,"2,900 sq ft","2,900",,,,,21000.0,,,,
,Heber,Houses,CA,92249,"1165 Goldfield Way Heber, CA 92249",https://www.apartments.com/1165-goldfield-way-heber-ca/97wbk34/,2 baths,"1,822 sq ft","1,822",,,1350.0,,,,,,
,La Quinta,Houses,CA,92253,"60515 Living Stone Dr La Quinta, CA 92253",https://www.apartments.com/60515-living-stone-dr-la-quinta-ca/23y89lb/,2 baths,"1,693 sq ft","1,693",,3800.0,,,,,,,
,Palm Desert,Houses,CA,92211,"78642 Purple Sagebrush Ave Palm Desert, CA 92211",https://www.apartments.com/78642-purple-sagebrush-ave-palm-desert-ca/6se6qpt/,2.5 baths,"2,415 sq ft","2,415",,,,4500.0,,,,,
,Kenwood,Houses,CA,95452,"505 Kinnybrook Dr Kenwood, CA 95452",https://www.apartments.com/505-kinnybrook-dr-kenwood-ca/xg0242q/,4.5 baths,"5,008 sq ft","5,008",,,,,35000.0,,,,
,Cloverdale,Houses,CA,95425,"29955 River Rd Cloverdale, CA 95425",https://www.apartments.com/29955-river-rd-cloverdale-ca/98004r4/,3 baths,"1,800 sq ft","1,800",,,,3295.0,,,,,
,St. Helena,Houses,CA,94574,"1752 Vineyard Ave St. Helena, CA 94574",https://www.apartments.com/1752-vineyard-ave-st-helena-ca/xmf9mgm/,2 baths,"1,623 sq ft","1,623",,6800.0,,,,,,,
,Calistoga,Houses,CA,94515,"1607 Foothill Blvd Calistoga, CA 94515",https://www.apartments.com/1607-foothill-blvd-calistoga-ca/jeqr1b7/,2 baths,"1,376 sq ft","1,376",,,,4500.0,,,,,
,Healdsburg,Houses,CA,95448,"314 Grant St Healdsburg, CA 95448",https://www.apartments.com/314-grant-st-healdsburg-ca/51ywkjn/,4 baths,"2,277 sq ft","2,277",,,,,6500.0,,,,
,Calistoga,Houses,CA,94515,"1001 Myrtle St Calistoga, CA 94515",https://www.apartments.com/1001-myrtle-st-calistoga-ca/5knjknp/,1 bath,"1,178 sq ft","1,178",,,,3100.0,,,,,
,Vacaville,Houses,CA,95688,"143 Waterford Dr Vacaville, CA 95688",https://www.apartments.com/143-waterford-dr-vacaville-ca/pt85y6v/,2 baths,"1,268 sq ft","1,268",,,,2500.0,,,,,
,La Quinta,Houses,CA,92253,"60224 Honeysuckle St La Quinta, CA 92253",https://www.apartments.com/60224-honeysuckle-st-la-quinta-ca/nm3ek0q/,2 baths,"1,359 sq ft","1,359",,3500.0,,,,,,,
,Whitewater,Houses,CA,92282,"15968 Snowcreek Canyon Rd Whitewater, CA 92282",https://www.apartments.com/15968-snowcreek-canyon-rd-whitewater-ca/e7bqx6m/,2 baths,870 sq ft,870,,1900.0,,,,,,,
,Palm Desert,Houses,CA,92211,"75260 Vista Corona Palm Desert, CA 92211",https://www.apartments.com/75260-vista-corona-palm-desert-ca/r98twj0/,2 baths,"1,038 sq ft","1,038",,4000.0,,,,,,,
,La Quinta,Houses,CA,92253,"56408 Palms Dr La Quinta, CA 92253",https://www.apartments.com/56408-palms-dr-la-quinta-ca/d5ck94k/,3 baths,"3,078 sq ft","3,078",,,,7000.0,,,,,
,La Quinta,Houses,CA,92253,"61000 Living Stone Dr La Quinta, CA 92253",https://www.apartments.com/61000-living-stone-dr-la-quinta-ca/m16p8vl/,2 baths,"1,386 sq ft","1,386",,3500.0,,,,,,,
,La Quinta,Houses,CA,92253,"60196 Aloe Cir La Quinta, CA 92253",https://www.apartments.com/60196-aloe-cir-la-quinta-ca/hnpkdr0/,2 baths,"1,386 sq ft","1,386",,3500.0,,,,,,,
,Indio,Houses,CA,92201,"49534 Lewis Rd Indio, CA 92201",https://www.apartments.com/49534-lewis-rd-indio-ca/vh0vr8f/,2.5 baths,"2,180 sq ft","2,180",,,,4700.0,,,,,
,La Quinta,Houses,CA,92253,"61037 Fire Barrel Dr La Quinta, CA 92253",https://www.apartments.com/61037-fire-barrel-dr-la-quinta-ca/jve92f4/,3 baths,"2,091 sq ft","2,091",,,,7000.0,,,,,
,Palm Desert,Houses,CA,92211,"35201 Cornet Way Palm Desert, CA 92211",https://www.apartments.com/35201-cornet-way-palm-desert-ca/1sjwr15/,2 baths,"2,032 sq ft","2,032",,3900.0,,,,,,,
,Indio,Houses,CA,92203,"85071 Stazzano Pl Indio, CA 92203",https://www.apartments.com/85071-stazzano-pl-indio-ca/4n49pch/,2 baths,"2,026 sq ft","2,026",,,,4200.0,,,,,
,Rancho Mirage,Houses,CA,92270,"284 Loch Lomond Rd Rancho Mirage, CA 92270",https://www.apartments.com/284-loch-lomond-rd-rancho-mirage-ca/zyjdj5y/,3.5 baths,"3,816 sq ft","3,816",,,13000.0,,,,,,
,Indio,Houses,CA,92203,"81441 Avenida Montura Indio, CA 92203",https://www.apartments.com/81441-avenida-montura-indio-ca/qknj5zz/,2 baths,"1,786 sq ft","1,786",,,,4700.0,,,,,
,La Quinta,Houses,CA,92253,"54052 Avenida Martinez La Quinta, CA 92253",https://www.apartments.com/54052-avenida-martinez-la-quinta-ca/dyxl62j/,1 bath,"1,849 sq ft","1,849",,,,3000.0,,,,,
,Palm Springs,Houses,CA,92262,"2417 Tuscany Heights Dr Palm Springs, CA 92262",https://www.apartments.com/2417-tuscany-heights-dr-palm-springs-ca/6xvz9ft/,3.5 baths,"3,435 sq ft","3,435",,,,16500.0,,,,,
,Palm Desert,Houses,CA,92211,"78836 Stansbury Ct Palm Desert, CA 92211",https://www.apartments.com/78836-stansbury-ct-palm-desert-ca/1mbjf76/,2 baths,"1,616 sq ft","1,616",,1900.0,,,,,,,
,Indio,Houses,CA,92201,"49577 Lewis Rd Indio, CA 92201",https://www.apartments.com/49577-lewis-rd-indio-ca/21p8c3c/,2 baths,"1,853 sq ft","1,853",,3600.0,,,,,,,
,La Quinta,Houses,CA,92253,"81343 Ulrich Dr La Quinta, CA 92253",https://www.apartments.com/81343-ulrich-dr-la-quinta-ca/s893f04/,3 baths,"2,170 sq ft","2,170",,4000.0,,,,,,,
,La Quinta,Houses,CA,92253,"81345 Kingston Heath La Quinta, CA 92253",https://www.apartments.com/81345-kingston-heath-la-quinta-ca/m7qp0ml/,4.5 baths,"4,370 sq ft","4,370",,,13500.0,,,,,,
,Indio,Houses,CA,92203,"42753 Della Pl Indio, CA 92203",https://www.apartments.com/42753-della-pl-indio-ca/7q2fg3w/,3 baths,"2,338 sq ft","2,338",,,4500.0,,,,,,
