1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,2 beds,Studio,5 beds,3 beds,4 beds
,Los Angeles,Condos,CA,90045,"8620 Belford Ave Unit 601 Los Angeles, CA 90045",https://www.apartments.com/8620-belford-ave-los-angeles-ca-unit-601/84ce0n0/,2.5 baths,"1,330 sq ft","1,330",3800.0,,,,
3000.0,West Hollywood,Condos,CA,90069,"8550 Holloway Dr Unit 406 West Hollywood, CA 90069",https://www.apartments.com/8550-holloway-dr-west-hollywood-ca-unit-406/czgh0fg/,1 bath,818 sq ft,818,,,,,
,Los Angeles,Condos,CA,90025,"12120 Ohio Ave 12120 Ohio Ave, Los Angeles, CA 90025",https://www.apartments.com/12120-ohio-ave-los-angeles-ca/h5lrrw2/,1 bath,850 sq ft,850,2495.0,,,,
,Los Angeles,Condos,CA,90025,"1907 Malcolm Ave Los Angeles, CA 90025",https://www.apartments.com/1907-malcolm-ave-los-angeles-ca/xhterhn/,2 baths,"1,450 sq ft","1,450",,,,4950.0,
,Culver City,Condos,CA,90230,"3302 Summertime Ln Unit 3302 3302 Summertime Ln, Culver City, CA 90230",https://www.apartments.com/3302-summertime-ln-culver-city-ca-unit-3302/1t7mrx4/,2 baths,"1,084 sq ft","1,084",3200.0,,,,
,Los Angeles,Condos,CA,90049,"12000 Goshen Ave Unit 106 Los Angeles, CA 90049",https://www.apartments.com/12000-goshen-ave-los-angeles-ca-unit-106/x72lssm/,4 baths,"1,910 sq ft","1,910",,,,,5550.0
3250.0,Santa Monica,Condos,CA,90405,"2216 Main St Santa Monica, CA 90405",https://www.apartments.com/2216-main-st-santa-monica-ca/hrhqpl3/,1 bath,750 sq ft,750,,,,,
2000.0,Playa del Rey,Condos,CA,90293,"8650 Gulana Ave Unit L1181 8650 Gulana Ave, Playa del Rey, CA 90293",https://www.apartments.com/8650-gulana-ave-playa-del-rey-ca-unit-l1181/d77bs7h/,1 bath,616 sq ft,616,,,,,
,Los Angeles,Condos,CA,90035,"8648 W Olympic Blvd Los Angeles, CA 90035",https://www.apartments.com/8648-w-olympic-blvd-los-angeles-ca/bkn2dm8/,2.5 baths,"1,300 sq ft","1,300",3750.0,,,,
,Los Angeles,Condos,CA,90025,"1328 S Bundy Dr Unit #1 Los Angeles, CA 90025",https://www.apartments.com/1328-s-bundy-dr-los-angeles-ca-unit-1/3d0kt5d/,2.5 baths,"1,290 sq ft","1,290",3950.0,,,,
,Santa Monica,Condos,CA,90401,"1431 7th St Santa Monica, CA 90401",https://www.apartments.com/1431-7th-st-santa-monica-ca/cc1zjdf/,2 baths,850 sq ft,850,4485.0,,,,
4000.0,Redondo Beach,Condos,CA,90277,"1920 S Pacific Coast Hwy Unit 308 Redondo Beach, CA 90277",https://www.apartments.com/1920-s-pacific-coast-hwy-redondo-beach-ca-unit-308/qtdc3fz/,1 bath,926 sq ft,926,,,,,
2525.0,Oakland,Condos,CA,94607,"585 9th St Unit 525 Oakland, CA 94607",https://www.apartments.com/585-9th-st-oakland-ca-unit-525/gehk20z/,1 bath,828 sq ft,828,,,,,
,Los Angeles,Condos,CA,90038,"5820 La Mirada Ave Los Angeles, CA 90038",https://www.apartments.com/5820-la-mirada-ave-los-angeles-ca/23n0zp9/,2 baths,"1,640 sq ft","1,640",3150.0,,,3950.0,
2500.0,Santa Monica,Condos,CA,90403,"819 California Ave Santa Monica, CA 90403",https://www.apartments.com/819-california-ave-santa-monica-ca/2160q7b/,1 bath,700 sq ft,700,,,,,
,Sunnyvale,Condos,CA,94086,"747 Calla Dr Sunnyvale, CA 94086",https://www.apartments.com/747-calla-dr-sunnyvale-ca/pww6xev/,1.5 baths,950 sq ft,950,3249.0,,,,
4160.0,Campbell,Condos,CA,95008,"1725 S Bascom Ave Campbell, CA 95008",https://www.apartments.com/1725-s-bascom-ave-campbell-ca/4nl9e5h/,1 bath,839 sq ft,839,,,,,
2730.0,Los Angeles,Condos,CA,90066,"12600 Braddock Dr Los Angeles, CA 90066",https://www.apartments.com/12600-braddock-dr-los-angeles-ca/bhmh4c8/,1 bath,650 sq ft,650,,,,,
,Los Angeles,Condos,CA,90066,"3939 Moore St Los Angeles, CA 90066",https://www.apartments.com/3939-moore-st-los-angeles-ca/5zw6f6n/,3 baths,"1,500 sq ft","1,500",,,,,3900.0
,Los Angeles,Condos,CA,90034,"10507 Woodbine St 10507 Woodbine St, Los Angeles, CA 90034",https://www.apartments.com/10507-woodbine-st-los-angeles-ca/gs231dx/,1 bath,700 sq ft,700,2185.0,,,,
,Campbell,Condos,CA,95008,"215 Union Ave Campbell, CA 95008",https://www.apartments.com/215-union-ave-campbell-ca/h9gpf93/,2 baths,950 sq ft,950,4480.0,,,,
,Santa Clarita,Condos,CA,91351,"26860 Claudette St Unit 154 Santa Clarita, CA 91351",https://www.apartments.com/26860-claudette-st-santa-clarita-ca-unit-154/4b983ch/,2 baths,"1,025 sq ft","1,025",2395.0,,,,
,Toluca Lake,Condos,CA,91602,"4424 Cartwright Ave 4424 Cartwright Ave, Toluca Lake, CA 91602",https://www.apartments.com/4424-cartwright-ave-toluca-lake-ca/rktd0f1/,2 baths,"1,300 sq ft","1,300",2500.0,,,,
,Santa Monica,Condos,CA,90403,"1127 10th St Unit 104 Santa Monica, CA 90403",https://www.apartments.com/1127-10th-st-santa-monica-ca-unit-104/rd2ebl1/,2 baths,"1,307 sq ft","1,307",,,,4850.0,
1925.0,Los Angeles,Condos,CA,90034,"3102 Bagley Ave Los Angeles, CA 90034",https://www.apartments.com/3102-bagley-ave-los-angeles-ca/1k47ck6/,1 bath,650 sq ft,650,,,,,
1950.0,Los Angeles,Condos,CA,90025,"1436 Brockton Ave 1436 Brockton Ave, Los Angeles, CA 90025",https://www.apartments.com/1436-brockton-ave-los-angeles-ca/dljp4xk/,1 bath,750 sq ft,750,,,,,
3230.0,Santa Clara,Condos,CA,95054,"1510 Vista Club Cir Santa Clara, CA 95054",https://www.apartments.com/1510-vista-club-cir-santa-clara-ca/4xhl9zk/,1 bath,735 sq ft,735,,,,,
3490.0,Campbell,Condos,CA,95008,"225 Union Ave Campbell, CA 95008",https://www.apartments.com/225-union-ave-campbell-ca/2gvgzq9/,1 bath,750 sq ft,750,,,,,
3000.0,West Hollywood,Condos,CA,90069,"930 Palm Ave West Hollywood, CA 90069",https://www.apartments.com/930-palm-ave-west-hollywood-ca/ps1vs8v/,1 bath,610 sq ft,610,,,,,
3030.0,Santa Clara,Condos,CA,95050,"2147 Newhall St Santa Clara, CA 95050",https://www.apartments.com/2147-newhall-st-santa-clara-ca/75sqx5x/,1 bath,700 sq ft,700,,,,,
3230.0,Santa Clara,Condos,CA,95054,"1664 Hope Dr Santa Clara, CA 95054",https://www.apartments.com/1664-hope-dr-santa-clara-ca/p2yrnct/,1 bath,790 sq ft,790,,,,,
4860.0,San Francisco,Condos,CA,94103,"30 Dore St San Francisco, CA 94103",https://www.apartments.com/30-dore-st-san-francisco-ca/tmf1qwb/,1 bath,600 sq ft,600,,,,,
,Campbell,Condos,CA,95008,"516 Railway Ave Campbell, CA 95008",https://www.apartments.com/516-railway-ave-campbell-ca/bn7n358/,2 baths,"1,064 sq ft","1,064",4080.0,,,,
,Santa Clara,Condos,CA,95054,"1570 Vista Club Cir Santa Clara, CA 95054",https://www.apartments.com/1570-vista-club-cir-santa-clara-ca/9n3dhv5/,2 baths,"1,012 sq ft","1,012",3820.0,,,,
2530.0,Los Angeles,Condos,CA,90046,"1340 N Poinsettia Pl Los Angeles, CA 90046",https://www.apartments.com/1340-n-poinsettia-pl-los-angeles-ca/dve3jtl/,1 bath,650 sq ft,650,,,,,
3860.0,San Francisco,Condos,CA,94107,"900 Folsom St San Francisco, CA 94107",https://www.apartments.com/900-folsom-st-san-francisco-ca/kdek618/,1 bath,663 sq ft,663,,,,,
3230.0,Santa Clara,Condos,CA,95054,"4503 Carlyle Ct Santa Clara, CA 95054",https://www.apartments.com/4503-carlyle-ct-santa-clara-ca/zcm3fcy/,1 bath,717 sq ft,717,,,,,
,San Francisco,Condos,CA,94103,"400 Clementina St San Francisco, CA 94103",https://www.apartments.com/400-clementina-st-san-francisco-ca/3v3k83f/,2 baths,829 sq ft,829,4720.0,,,,
3840.0,San Francisco,Condos,CA,94103,"400 Clementina St San Francisco, CA 94103",https://www.apartments.com/400-clementina-st-san-francisco-ca/ys53frr/,1 bath,632 sq ft,632,,,,,
,Palo Alto,Condos,CA,94303,"777 San Antonio Rd Unit 77 Palo Alto, CA 94303",https://www.apartments.com/777-san-antonio-rd-palo-alto-ca-unit-77/x0g41cn/,2 baths,"1,212 sq ft","1,212",,,,4600.0,
2100.0,West Hollywood,Condos,CA,90069,"8575 Holloway Dr West Hollywood, CA 90069",https://www.apartments.com/8575-holloway-dr-west-hollywood-ca/kk5fls8/,1 bath,800 sq ft,800,,,,,
,West Hollywood,Condos,CA,90069,"8575 Holloway Dr West Hollywood, CA 90069",https://www.apartments.com/8575-holloway-dr-west-hollywood-ca/v8x0vdd/,2 baths,,,2999.0,,,,
,Los Angeles,Condos,CA,90047,"1562 W 107th St Los Angeles, CA 90047",https://www.apartments.com/1562-w-107th-st-los-angeles-ca/5pzlthq/,1 bath,710 sq ft,710,1875.0,,,,
,Los Angeles,Condos,CA,90042,"6050 La Prada Ln Los Angeles, CA 90042",https://www.apartments.com/6050-la-prada-ln-los-angeles-ca/268c4p9/,1 bath,840 sq ft,840,2050.0,,,,
,Fremont,Condos,CA,94538,"4041 Park Center Ln Fremont, CA 94538",https://www.apartments.com/4041-park-center-ln-fremont-ca/9eh0v65/,1 bath,840 sq ft,840,2050.0,,,,
1595.0,Inglewood,Condos,CA,90301,"231 W Olive St 231 W Olive St, Inglewood, CA 90301",https://www.apartments.com/231-w-olive-st-inglewood-ca/8fznhp0/,1 bath,800 sq ft,800,,,,,
,Los Angeles,Condos,CA,90024,"10630 Wilkins Ave Los Angeles, CA 90024",https://www.apartments.com/10630-wilkins-ave-los-angeles-ca/c8tnfcd/,3 baths,"1,712 sq ft","1,712",3700.0,,,5000.0,
,Marina del Rey,Condos,CA,90292,"29 Lighthouse St Marina del Rey, CA 90292",https://www.apartments.com/29-lighthouse-st-marina-del-rey-ca/f9w7qlv/,2 baths,"2,020 sq ft","2,020",,,,7250.0,
,Inglewood,Condos,CA,90302,"714 N Market St Inglewood, CA 90302",https://www.apartments.com/714-n-market-st-inglewood-ca/mn1q4pk/,1 bath,300 sq ft,300,,1300.0,,,
1850.0,Los Angeles,Condos,CA,91403,"15050 Moorpark St 15050 Moorpark St, Los Angeles, CA 91403",https://www.apartments.com/15050-moorpark-st-los-angeles-ca/y98qczs/,1.5 baths,800 sq ft,800,,,,,
,West Hollywood,Condos,CA,90046,"7763 Romaine St West Hollywood, CA 90046",https://www.apartments.com/7763-romaine-st-west-hollywood-ca/ncfw82n/,1 bath,900 sq ft,900,2195.0,,,,
2300.0,Los Angeles,Condos,CA,90004,"112 N Edgemont St Los Angeles, CA 90004",https://www.apartments.com/112-n-edgemont-st-los-angeles-ca/k5lghk8/,1 bath,"1,000 sq ft","1,000",,,,,
2350.0,Beverly Hills,Condos,CA,90210,"444 N Oakhurst Dr Beverly Hills, CA 90210",https://www.apartments.com/444-n-oakhurst-dr-beverly-hills-ca/mkfcp2l/,1 bath,750 sq ft,750,,,,,
,Los Angeles,Condos,CA,90048,"648 N Hayworth Ave Los Angeles, CA 90048",https://www.apartments.com/648-n-hayworth-ave-los-angeles-ca/0bj55y3/,2 baths,"1,000 sq ft","1,000",2600.0,,,,
3500.0,Los Angeles,Condos,CA,90024,"10960 Ashton Ave Unit 411 10960 Ashton Ave, Los Angeles, CA 90024",https://www.apartments.com/10960-ashton-ave-los-angeles-ca-unit-411/39wex8g/,1.5 baths,800 sq ft,800,,,,,
,Santa Monica,Condos,CA,90404,"2812 Arizona Ave Unit D 2812 Arizona Ave, Santa Monica, CA 90404",https://www.apartments.com/2812-arizona-ave-santa-monica-ca-unit-d/7cbw1yz/,1 bath,850 sq ft,850,2560.0,,,,
2250.0,Santa Monica,Condos,CA,90404,"1317 19th St Santa Monica, CA 90404",https://www.apartments.com/1317-19th-st-santa-monica-ca/l2gmrjd/,1 bath,600 sq ft,600,,,,,
,Santa Monica,Condos,CA,90403,"1134 11th St Santa Monica, CA 90403",https://www.apartments.com/1134-11th-st-santa-monica-ca/e0rfdvm/,2 baths,"1,250 sq ft","1,250",2700.0,,,,
,San Pedro,Condos,CA,90732,"1669 Dalmatia Dr Unit 1669 San Pedro, CA 90732",https://www.apartments.com/1669-dalmatia-dr-san-pedro-ca-unit-1669/3723j9e/,2.5 baths,"1,351 sq ft","1,351",3100.0,,,,
,Los Angeles,Condos,CA,90025,"11515 Rochester Ave 11515 Rochester Ave, Los Angeles, CA 90025",https://www.apartments.com/11515-rochester-ave-los-angeles-ca/j35k594/,2 baths,"1,100 sq ft","1,100",2700.0,,,,
1895.0,Los Angeles,Condos,CA,91406,"15432 Gault St Los Angeles, CA 91406",https://www.apartments.com/15432-gault-st-los-angeles-ca/66qtqpv/,1 bath,550 sq ft,550,,,,,
1950.0,Los Angeles,Condos,CA,91406,"15432 Gault St Los Angeles, CA 91406",https://www.apartments.com/15432-gault-st-los-angeles-ca/3v05tcf/,1 bath,550 sq ft,550,,,,,
1995.0,Los Angeles,Condos,CA,91406,"15432 Gault St Los Angeles, CA 91406",https://www.apartments.com/15432-gault-st-los-angeles-ca/jmyqef4/,1 bath,548 sq ft,548,,,,,
1995.0,Los Angeles,Condos,CA,91406,"15432 Gault St Los Angeles, CA 91406",https://www.apartments.com/15432-gault-st-los-angeles-ca/n0fl9eq/,1 bath,550 sq ft,550,,,,,
,Los Angeles,Condos,CA,90035,"825 S Bedford St Los Angeles, CA 90035",https://www.apartments.com/825-s-bedford-st-los-angeles-ca/mb583vh/,2 baths,"1,200 sq ft","1,200",2199.0,,,,
2600.0,Los Angeles,Condos,CA,90049,"11915 Darlington Ave Los Angeles, CA 90049",https://www.apartments.com/11915-darlington-ave-los-angeles-ca/1bt8g64/,1 bath,750 sq ft,750,,,,,
,Santa Clara,Condos,CA,95051,"131 Saratoga Ave Santa Clara, CA 95051",https://www.apartments.com/131-saratoga-ave-santa-clara-ca/7bce5bz/,2 baths,925 sq ft,925,3320.0,,,,
2710.0,Los Angeles,Condos,CA,90066,"12530 Braddock Dr Los Angeles, CA 90066",https://www.apartments.com/12530-braddock-dr-los-angeles-ca/gkg54vw/,1 bath,650 sq ft,650,,,,,
