2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,3 beds,4 beds,6 beds
3400,Huntington Beach,Townhomes,CA,92649,"4200 Delphi Cir Huntington Beach, CA 92649",https://www.apartments.com/4200-delphi-cir-huntington-beach-ca/f7sh60v/,3 baths,"1,707 sq ft","1,707",,,,
,Aliso Viejo,Townhomes,CA,92656,"11 Empire Dr Aliso Viejo, CA 92656",https://www.apartments.com/11-empire-dr-aliso-viejo-ca/0wmynd2/,3 baths,"1,605 sq ft","1,605",,3400,,
4900,Huntington Beach,Townhomes,CA,92648,"19595 Oakdale Ln Huntington Beach, CA 92648",https://www.apartments.com/19595-oakdale-ln-huntington-beach-ca/0wvhdm0/,3 baths,"2,189 sq ft","2,189",,,,
,Redondo Beach,Townhomes,CA,90277,"620 S Catalina Ave Redondo Beach, CA 90277",https://www.apartments.com/620-s-catalina-ave-redondo-beach-ca/gmgv8cx/,3 baths,"1,900 sq ft","1,900",,4500,,
,Fremont,Townhomes,CA,94555,"5981 Tan Oak Dr Fremont, CA 94555",https://www.apartments.com/5981-tan-oak-dr-fremont-ca/10gw155/,3.5 baths,"1,481 sq ft","1,481",,3500,,
2050,Glendale,Townhomes,CA,91203,"410 Myrtle St Glendale, CA 91203",https://www.apartments.com/410-myrtle-st-glendale-ca/6rb8hjr/,1.5 baths,800 sq ft,800,,,,
3000,Occidental,Townhomes,CA,95465,"14637 Jomark Ln Occidental, CA 95465",https://www.apartments.com/14637-jomark-ln-occidental-ca/1ep2jh4/,2.5 baths,"1,560 sq ft","1,560",,,,
,Novato,Townhomes,CA,94945,"736 Walnut Ct Novato, CA 94945",https://www.apartments.com/736-walnut-ct-novato-ca/z5m6gdy/,2.5 baths,"1,835 sq ft","1,835",,,4000,
,Rohnert Park,Townhomes,CA,94928,"7 Meridian Cir Rohnert Park, CA 94928",https://www.apartments.com/7-meridian-cir-rohnert-park-ca/g6tpd8z/,2.5 baths,"1,289 sq ft","1,289",,2950,,
,Westlake Village,Townhomes,CA,91361,"1241 Landsburn Cir Westlake Village, CA 91361",https://www.apartments.com/1241-landsburn-cir-westlake-village-ca/rdzjne1/,2 baths,"1,020 sq ft","1,020",,3250,,
1850,Guerneville,Townhomes,CA,95446,"15101 Canyon 2 Rd Guerneville, CA 95446",https://www.apartments.com/15101-canyon-2-rd-guerneville-ca/c295qbg/,1 bath,900 sq ft,900,1300,,,
,El Monte,Townhomes,CA,91733,"1831 Fruitvale Ave El Monte, CA 91733",https://www.apartments.com/1831-fruitvale-ave-el-monte-ca/ql21d5y/,3 baths,"1,704 sq ft","1,704",,3000,,
2600,Rancho Cucamonga,Townhomes,CA,91730,"8351 Elm Ave Rancho Cucamonga, CA 91730",https://www.apartments.com/8351-elm-ave-rancho-cucamonga-ca/05vdkx2/,3 baths,"1,561 sq ft","1,561",,,,
2700,Montebello,Townhomes,CA,90640,"323 Mission Rd Montebello, CA 90640",https://www.apartments.com/323-mission-rd-montebello-ca/ghesg7z/,3 baths,"1,360 sq ft","1,360",,,,
