1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Studio,3 beds,2 beds,4 beds,6 beds,5 beds
,Marina Del Rey,Condos,CA,90292,"119 Hurricane St Marina Del Rey, CA 90292",https://www.apartments.com/119-hurricane-st-marina-del-rey-ca/3qlby4e/,2 baths,"1,400 sq ft","1,400",,,4195,,,
2500,San Jose,Condos,CA,95127,"11060 Enchanto Vista Dr San Jose, CA 95127",https://www.apartments.com/11060-enchanto-vista-dr-san-jose-ca/p5wwpzt/,1 bath,700 sq ft,700,,,,,,
,Wilmington,Condos,CA,90744,"507 Broad Ave Wilmington, CA 90744",https://www.apartments.com/507-broad-ave-wilmington-ca/l4cwqbf/,1 bath,550 sq ft,550,1395,,,,,
1975,San Leandro,Condos,CA,94578,"1649 Brockton Way San Leandro, CA 94578",https://www.apartments.com/1649-brockton-way-san-leandro-ca-unit-1649/34m05kf/,1 bath,600 sq ft,600,,,,,,
,Los Angeles,Condos,CA,90025,"1275 Barry Ave Los Angeles, CA 90025",https://www.apartments.com/1275-barry-ave-los-angeles-ca/rbd5wh3/,2 baths,950 sq ft,950,,,2550,,,
1795,Huntington Beach,Condos,CA,92649,"16862 Blanton Ln Huntington Beach, CA 92649",https://www.apartments.com/16862-blanton-ln-huntington-beach-ca/yd42trr/,1 bath,780 sq ft,780,,,,,,
,Duarte,Condos,CA,91010,"415 Shrode Ave Duarte, CA 91010",https://www.apartments.com/415-shrode-ave-duarte-ca/kp2elq8/,1 bath,300 sq ft,300,1500,,,,,
,Mountain View,Condos,CA,94043,"701 N Rengstorff Ave Mountain View, CA 94043",https://www.apartments.com/701-n-rengstorff-ave-mountain-view-ca-unit-2/qgc5klw/,1.5 baths,"1,332 sq ft","1,332",,4000,,,,
,El Cerrito,Condos,CA,94530,"6431 Stockton Ave El Cerrito, CA 94530",https://www.apartments.com/6431-stockton-ave-el-cerrito-ca/84w0n33/,2 baths,"1,500 sq ft","1,500",,3600,,,,
,San Jose,Condos,CA,95136,"4261 Wessex Dr San Jose, CA 95136",https://www.apartments.com/4261-wessex-dr-san-jose-ca/zn7p3cz/,2.5 baths,"1,400 sq ft","1,400",,3300,,,,
1350,Los Angeles,Condos,CA,90033,"501 N St Louis St Los Angeles, CA 90033",https://www.apartments.com/501-n-st-louis-st-los-angeles-ca/qmvcnmy/,1 bath,600 sq ft,600,,,,,,
,Campbell,Condos,CA,95008,"240 Union Ave Campbell, CA 95008",https://www.apartments.com/240-union-ave-campbell-ca/l1qskwg/,2.5 baths,"1,128 sq ft","1,128",,,3195,,,
1995,Castro Valley,Condos,CA,94546,"20954 Cato Ct Castro Valley, CA 94546",https://www.apartments.com/20954-cato-ct-castro-valley-ca/blws4r9/,1 bath,650 sq ft,650,,,,,,
1995,Los Angeles,Condos,CA,90026,"131 N Rampart Blvd Los Angeles, CA 90026",https://www.apartments.com/131-n-rampart-blvd-los-angeles-ca/417083h/,1 bath,800 sq ft,800,,,,,,
1840,Sherman Oaks,Condos,CA,91411,"5435 Kester Ave Sherman Oaks, CA 91411",https://www.apartments.com/5435-kester-ave-sherman-oaks-ca/qrrc2yz/,1 bath,750 sq ft,750,,,,,,
,San Jose,Condos,CA,95148,"2332 Reno Dr San Jose, CA 95148",https://www.apartments.com/2332-reno-dr-san-jose-ca/4cd875k/,1 bath,400 sq ft,400,,,1600,,,
,Landers,Condos,CA,92285,"1050 Alta Ave Landers, CA 92285",https://www.apartments.com/1050-alta-ave-landers-ca/zge5h3w/,1 bath,850 sq ft,850,,,2000,,,
,Lemon Grove,Condos,CA,91945,"7151 Westview Pl Lemon Grove, CA 91945",https://www.apartments.com/7151-westview-pl-lemon-grove-ca/jz5fy15/,2 baths,"1,200 sq ft","1,200",,1800,,,,
,Aptos,Condos,CA,95003,"122 Rio Del Mar Blvd Aptos, CA 95003",https://www.apartments.com/122-rio-del-mar-blvd-aptos-ca-unit-122/g6ns26x/,3 baths,"1,563 sq ft","1,563",,,,29990,,
,Los Angeles,Condos,CA,90048,"432 S Sherbourne Dr Los Angeles, CA 90048",https://www.apartments.com/432-s-sherbourne-dr-los-angeles-ca/k05qgfb/,2 baths,"1,100 sq ft","1,100",,,2650,,,
,San Francisco,Condos,CA,94103,"2725 S Van Ness Ave San Francisco, CA 94103",https://www.apartments.com/2725-s-van-ness-ave-san-francisco-ca/2dngfyb/,1 bath,900 sq ft,900,,,3700,,,
1595,Hayward,Condos,CA,94546,"2494 Grove Way Hayward, CA 94546",https://www.apartments.com/2494-grove-way-hayward-ca/50gt49q/,1 bath,502 sq ft,502,,,,,,
1600,Los Angeles,Condos,CA,91352,"11121 Arminta St Los Angeles, CA 91352",https://www.apartments.com/11121-arminta-st-los-angeles-ca/1zmmyd5/,1 bath,650 sq ft,650,,,,,,
,Burbank,Condos,CA,91505,"548 N Niagara St Burbank, CA 91505",https://www.apartments.com/548-n-niagara-st-burbank-ca/39mnshg/,1 bath,790 sq ft,790,,,3000,,,
1450,Los Angeles,Condos,CA,91042,"10340 Commerce Ave Los Angeles, CA 91042",https://www.apartments.com/10340-commerce-ave-los-angeles-ca/1db8fg4/,2 baths,"1,050 sq ft","1,050",,2275,,,,
,Santa Monica,Condos,CA,90403,"933 6th St Santa Monica, CA 90403",https://www.apartments.com/933-6th-st-santa-monica-ca/jq6n5x6/,1.5 baths,900 sq ft,900,,,3195,,,
,Long Beach,Condos,CA,90805,"6744 Orizaba Ave Long Beach, CA 90805",https://www.apartments.com/6744-orizaba-ave-long-beach-ca/1ven3n6/,1 bath,300 sq ft,300,1300,,,,,
1975,San Mateo,Condos,CA,94401,"1226 2nd Ave San Mateo, CA 94401",https://www.apartments.com/1226-2nd-ave-san-mateo-ca/b61nqr8/,1 bath,530 sq ft,530,,,,,,
1950,Los Angeles,Condos,CA,90005,"686 S Ardmore Ave Los Angeles, CA 90005",https://www.apartments.com/686-s-ardmore-ave-los-angeles-ca/s955xt5/,1 bath,800 sq ft,800,,,,,,
,Berkeley,Condos,CA,94708,"1416 Queens Rd Berkeley, CA 94708",https://www.apartments.com/1416-queens-rd-berkeley-ca/q13c56z/,1 bath,"1,200 sq ft","1,200",,,2450,,,
2175,Santa Clara,Condos,CA,95050,"2174 Royal Dr Santa Clara, CA 95050",https://www.apartments.com/2174-royal-dr-santa-clara-ca/xyk15vq/,1 bath,675 sq ft,675,,,,,,
,Los Angeles,Condos,CA,90003,"9607 Avalon Blvd Los Angeles, CA 90003",https://www.apartments.com/9607-avalon-blvd-los-angeles-ca/c78c79f/,1 bath,"1,000 sq ft","1,000",,2370,,,,
,Los Angeles,Condos,CA,90024,"662 Kelton Ave Los Angeles, CA 90024",https://www.apartments.com/662-kelton-ave-los-angeles-ca/8r1xyq3/,2 baths,"1,125 sq ft","1,125",,6400,,,,
2800,Los Angeles,Condos,CA,90024,"11081 Ophir Dr Los Angeles, CA 90024",https://www.apartments.com/11081-ophir-dr-los-angeles-ca/nkkf8lp/,1 bath,850 sq ft,850,,,,,,
