3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,2 beds,4 beds,6 beds,5 beds
2800.0,Los Angeles,Townhomes,CA,90023,"3553 Percy St Los Angeles, CA 90023",https://www.apartments.com/3553-percy-st-los-angeles-ca/dfcr7dj/,2 baths,"1,250 sq ft","1,250",,,,,
,Dana Point,Townhomes,CA,92629,"33963 Cape Cove Dana Point, CA 92629",https://www.apartments.com/33963-cape-cove-dana-point-ca/s1l8z86/,2 baths,"1,350 sq ft","1,350",,7500.0,,,
,Somis,Townhomes,CA,93066,"6770 Balcom Canyon Rd Somis, CA 93066",https://www.apartments.com/6770-balcom-canyon-rd-somis-ca/l8qkd3e/,1 bath,850 sq ft,850,2000.0,,,,
4950.0,Rancho Santa Fe,Townhomes,CA,92091,"119 Cancha de Golf Rancho Santa Fe, CA 92091",https://www.apartments.com/119-cancha-de-golf-rancho-santa-fe-ca/9184z05/,3 baths,"1,528 sq ft","1,528",,,,,
5900.0,Garden Grove,Townhomes,CA,92840,"12848 Palm St Garden Grove, CA 92840",https://www.apartments.com/12848-palm-st-garden-grove-ca/14c40n5/,3 baths,"1,550 sq ft","1,550",,,,,
3300.0,San Diego,Townhomes,CA,92127,"10470 Hollingsworth Way San Diego, CA 92127",https://www.apartments.com/10470-hollingsworth-way-san-diego-ca/ze8x1cw/,3 baths,"1,428 sq ft","1,428",,,,,
,Maywood,Townhomes,CA,90270,"4206 E 53rd St Maywood, CA 90270",https://www.apartments.com/4206-e-53rd-st-maywood-ca/k6t7b18/,1 bath,600 sq ft,600,1499.0,,,,
4000.0,Mission Viejo,Townhomes,CA,92692,"21721 Alderbrook Mission Viejo, CA 92692",https://www.apartments.com/21721-alderbrook-mission-viejo-ca/1sykgj5/,3 baths,"1,570 sq ft","1,570",,,,,
,Stanton,Townhomes,CA,90680,"7731 Meadowbrook Way Stanton, CA 90680",https://www.apartments.com/7731-meadowbrook-way-stanton-ca/e3tts6m/,3 baths,"1,260 sq ft","1,260",,2600.0,,,
,Pasadena,Townhomes,CA,91104,"1550 E Topeka St Pasadena, CA 91104",https://www.apartments.com/1550-e-topeka-st-pasadena-ca/s1bmzd5/,1 bath,"1,000 sq ft","1,000",,2300.0,,,
,Newport Beach,Townhomes,CA,92662,"224 Amethyst Ave Newport Beach, CA 92662",https://www.apartments.com/224-amethyst-ave-newport-beach-ca/gx0f9ky/,1 bath,"2,805 sq ft","2,805",,5000.0,,,
,Alhambra,Townhomes,CA,91801,"113 N Almansor St Alhambra, CA 91801",https://www.apartments.com/113-n-almansor-st-alhambra-ca/9jtcn57/,3 baths,"1,672 sq ft","1,672",,3100.0,,,
,Newport Beach,Townhomes,CA,92660,"410 Vista Suerte Newport Beach, CA 92660",https://www.apartments.com/410-vista-suerte-newport-beach-ca/rlpj5e2/,3 baths,"1,633 sq ft","1,633",,,4800.0,,
,Irvine,Townhomes,CA,92603,"6 Morning Mist Irvine, CA 92603",https://www.apartments.com/6-morning-mist-irvine-ca/x7g9e3p/,3 baths,"1,800 sq ft","1,800",,3500.0,,,
,Laguna Beach,Townhomes,CA,92677,"25131 Calle Playa Laguna Beach, CA 92677",https://www.apartments.com/25131-calle-playa-laguna-beach-ca/tnq28pc/,2 baths,"1,046 sq ft","1,046",,2695.0,,,
,Los Angeles,Townhomes,CA,90066,"12842 Walsh Ave Los Angeles, CA 90066",https://www.apartments.com/12842-walsh-ave-los-angeles-ca/jmlwdd4/,1 bath,"1,250 sq ft","1,250",,3500.0,,,
,Sausalito,Townhomes,CA,94965,"15 Arana Cir Sausalito, CA 94965",https://www.apartments.com/15-arana-cir-sausalito-ca/x2gjecp/,1.5 baths,"1,300 sq ft","1,300",,5500.0,,,
4200.0,San Jose,Townhomes,CA,95125,"1633 Elderberry Way San Jose, CA 95125",https://www.apartments.com/1633-elderberry-way-san-jose-ca/t2e5de8/,2 baths,"1,743 sq ft","1,743",,,,,
