2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,4 beds,1 bed,Studio,5 beds
,Palo Alto,Condos,CA,94306,"566 Vista Ave Palo Alto, CA 94306",https://www.apartments.com/566-vista-ave-palo-alto-ca-unit-a/70ltedz/,1 bath,528 sq ft,528,,,2300.0,,
,Los Angeles,Condos,CA,90045,"5729 W 76th St Los Angeles, CA 90045",https://www.apartments.com/5729-w-76th-st-los-angeles-ca/rbbqq31/,1 bath,360 sq ft,360,,,,1999.0,
,Montrose,Condos,CA,91020,"3918 Park Pl Montrose, CA 91020",https://www.apartments.com/3918-park-pl-montrose-ca/z5db74x/,1 bath,750 sq ft,750,,,1840.0,,
1800.0,Los Angeles,Condos,CA,90011,"1129 E 52nd St Los Angeles, CA 90011",https://www.apartments.com/1129-e-52nd-st-los-angeles-ca/52qccpm/,1 bath,720 sq ft,720,,,,,
2150.0,Long Beach,Condos,CA,90807,"435 E Freeland St Long Beach, CA 90807",https://www.apartments.com/435-e-freeland-st-long-beach-ca/qg9eeew/,2 baths,"1,000 sq ft","1,000",,,,,
2150.0,Los Angeles,Condos,CA,90012,"757 N Hill Pl Los Angeles, CA 90012",https://www.apartments.com/757-n-hill-pl-los-angeles-ca/ht8snw3/,1 bath,850 sq ft,850,,,,,
,Anaheim,Condos,CA,92806,"2218 E Westport Dr Anaheim, CA 92806",https://www.apartments.com/2218-e-westport-dr-anaheim-ca/9mgx0p5/,1 bath,630 sq ft,630,,,1400.0,,
,San Francisco,Condos,CA,94122,"1215 43rd Ave San Francisco, CA 94122",https://www.apartments.com/1215-43rd-ave-san-francisco-ca/nkmel4q/,1 bath,400 sq ft,400,,,,2000.0,
,Santa Monica,Condos,CA,90402,"133 W Channel Rd Santa Monica, CA 90402",https://www.apartments.com/133-w-channel-rd-santa-monica-ca/efebm1q/,1 bath,700 sq ft,700,,,2400.0,,
,Los Angeles,Condos,CA,90033,"2426 Houston St Los Angeles, CA 90033",https://www.apartments.com/2426-houston-st-los-angeles-ca/1nlrvh6/,2 baths,"1,400 sq ft","1,400",2950.0,,,,
,San Jose,Condos,CA,95112,"368 N 4th St San Jose, CA 95112",https://www.apartments.com/368-n-4th-st-san-jose-ca/hebpbt3/,1 bath,580 sq ft,580,,,1795.0,1550.0,
2900.0,San Luis Obispo,Condos,CA,93405,"258 California Blvd San Luis Obispo, CA 93405",https://www.apartments.com/258-california-blvd-san-luis-obispo-ca/z89mvnz/,1 bath,900 sq ft,900,,,,,
,Livermore,Condos,CA,94550,"220 Wood Street, #601 Livermore, CA 94550",https://www.apartments.com/220-wood-street-601-livermore-ca/x1rm5ep/,2.5 baths,"1,744 sq ft","1,744",3200.0,,,,
2200.0,El Segundo,Condos,CA,90245,"1042 E Imperial Ave El Segundo, CA 90245",https://www.apartments.com/1042-e-imperial-ave-el-segundo-ca/09j6gx2/,1 bath,750 sq ft,750,,,,,
,Sausalito,Condos,CA,94965,"150 Filbert Ave Sausalito, CA 94965",https://www.apartments.com/150-filbert-ave-sausalito-ca/jvydee7/,1 bath,750 sq ft,750,,,2450.0,,
,Sunnyvale,Condos,CA,94089,"1147 La Rochelle Ter Sunnyvale, CA 94089",https://www.apartments.com/1147-la-rochelle-ter-sunnyvale-ca/dxtpvgl/,1.5 baths,"1,300 sq ft","1,300",3300.0,,,,
4000.0,Alamo,Condos,CA,94507,"10 Roxbury Ct Alamo, CA 94507",https://www.apartments.com/10-roxbury-ct-alamo-ca/k50nrnc/,4 baths,"3,300 sq ft","3,300",,9000.0,,,
2600.0,San Jose,Condos,CA,95125,"991 Wren Dr San Jose, CA 95125",https://www.apartments.com/991-wren-dr-san-jose-ca/sj1w9w7/,1 bath,850 sq ft,850,,,,,
