1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,2 beds,4 beds,5 beds,Studio
,Daly City,Townhomes,CA,94014,"1023 San Luis Cir Daly City, CA 94014",https://www.apartments.com/1023-san-luis-cir-daly-city-ca/f5m2m4t/,1.5 baths,"1,055 sq ft","1,055",,3395,,,
,Spring Valley,Townhomes,CA,91977,"2388 Bancroft Dr Spring Valley, CA 91977",https://www.apartments.com/2388-bancroft-dr-spring-valley-ca/hfnrzb1/,3 baths,"1,200 sq ft","1,200",2750,,,,
,San Diego,Townhomes,CA,92110,"4062 Valeta St San Diego, CA 92110",https://www.apartments.com/4062-valeta-st-san-diego-ca/rcx4fx1/,2 baths,987 sq ft,987,,2750,,,
,San Francisco,Townhomes,CA,94112,"23 Cayuga Ave San Francisco, CA 94112",https://www.apartments.com/23-cayuga-ave-san-francisco-ca/fv3n9wr/,1 bath,900 sq ft,900,,3200,,,
,Los Angeles,Townhomes,CA,90037,"1130 Browning Blvd Los Angeles, CA 90037",https://www.apartments.com/1130-browning-blvd-los-angeles-ca/gnqle4z/,3.5 baths,"1,400 sq ft","1,400",3250,,,,
,Los Angeles,Townhomes,CA,90025,"1909 Pelham Ave Los Angeles, CA 90025",https://www.apartments.com/1909-pelham-ave-los-angeles-ca/bqtwhvc/,2.5 baths,"1,597 sq ft","1,597",4750,,,,
,Hermosa Beach,Townhomes,CA,90254,"68 The Strand Hermosa Beach, CA 90254",https://www.apartments.com/68-the-strand-hermosa-beach-ca/1p4nh16/,2 baths,"1,100 sq ft","1,100",,7940,,,
,Los Angeles,Townhomes,CA,90025,"1742 Barry Ave Los Angeles, CA 90025",https://www.apartments.com/1742-barry-ave-los-angeles-ca/nv4bg6m/,1.5 baths,100 sq ft,100,,2425,,,
,Sylmar,Townhomes,CA,91342,"11300 Foothill Blvd Sylmar, CA 91342",https://www.apartments.com/11300-foothill-blvd-sylmar-ca/jmhr5k6/,2.5 baths,"1,375 sq ft","1,375",,2750,,,
,San Bruno,Townhomes,CA,94066,"411 Huntington Ave San Bruno, CA 94066",https://www.apartments.com/411-huntington-ave-san-bruno-ca/t84byv9/,1 bath,"1,053 sq ft","1,053",2888,,,,
,Irvine,Townhomes,CA,92620,"142 Pantheon Irvine, CA 92620",https://www.apartments.com/142-pantheon-irvine-ca/55wh1sp/,2 baths,"1,279 sq ft","1,279",,2800,,,
