3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,4 beds,2 beds,1 bed,Studio,5 beds
,Newport Beach,Townhomes,CA,92661,"209 Cypress St Newport Beach, CA 92661",https://www.apartments.com/209-cypress-st-newport-beach-ca/v6c286e/,2 baths,"1,400 sq ft","1,400",7500,,,,
,Los Angeles,Townhomes,CA,90031,"3853 Duke St Los Angeles, CA 90031",https://www.apartments.com/3853-duke-st-los-angeles-ca/r2ysw02/,2 baths,"1,600 sq ft","1,600",,,,,3000
,Monrovia,Townhomes,CA,91016,"705 W Colorado Blvd Monrovia, CA 91016",https://www.apartments.com/705-w-colorado-blvd-monrovia-ca/dj3txrh/,1 bath,637 sq ft,637,,,1900,,
4200,Tustin,Townhomes,CA,92782,"12696 Homestead Tustin, CA 92782",https://www.apartments.com/12696-homestead-tustin-ca/r1fll92/,3 baths,"1,472 sq ft","1,472",,,,,
4400,Dana Point,Townhomes,CA,92629,"24709 Santa Clara Ave Dana Point, CA 92629",https://www.apartments.com/24709-santa-clara-ave-dana-point-ca/s4lhz06/,3 baths,"1,380 sq ft","1,380",,,,,
2500,El Monte,Townhomes,CA,91732,"2251 Bryce Rd El Monte, CA 91732",https://www.apartments.com/2251-bryce-rd-el-monte-ca/l3meyef/,2 baths,"1,344 sq ft","1,344",,,,,
,Los Angeles,Townhomes,CA,90026,"227 N Park View St Los Angeles, CA 90026",https://www.apartments.com/227-n-park-view-st-los-angeles-ca/m7wn0yh/,4 baths,"1,873 sq ft","1,873",5000,,,,
,Westminster,Townhomes,CA,92683,"10501 Torrington Cir Westminster, CA 92683",https://www.apartments.com/10501-torrington-cir-westminster-ca/wdl0g5k/,2 baths,"1,000 sq ft","1,000",,2200,,,
,Torrance,Townhomes,CA,90501,"1537 W 205th St Torrance, CA 90501",https://www.apartments.com/1537-w-205th-st-torrance-ca/yeg11ds/,1 bath,"1,050 sq ft","1,050",,2500,,,
,Alhambra,Townhomes,CA,91801,"1433 S Garfield Ave Alhambra, CA 91801",https://www.apartments.com/1433-s-garfield-ave-alhambra-ca/pcp97tv/,1 bath,715 sq ft,715,,1995,,,
,Lomita,Townhomes,CA,90717,"2335 Pacific Coast Hwy Lomita, CA 90717",https://www.apartments.com/2335-pacific-coast-hwy-lomita-ca/f1spgss/,1 bath,600 sq ft,600,,,1900,,
,Gardena,Townhomes,CA,90247,"1342 W 164th St Gardena, CA 90247",https://www.apartments.com/1342-w-164th-st-gardena-ca/y829wqt/,1 bath,900 sq ft,900,,1995,,,
7500,Newport Beach,Townhomes,CA,92662,"314 Ruby Ave Newport Beach, CA 92662",https://www.apartments.com/314-ruby-ave-newport-beach-ca/t0n5kbb/,2 baths,"2,955 sq ft","2,955",,,,,
,Aliso Viejo,Townhomes,CA,92656,"99 Matisse Cir Aliso Viejo, CA 92656",https://www.apartments.com/99-matisse-cir-aliso-viejo-ca/w0ge7dk/,3 baths,"1,822 sq ft","1,822",4200,,,,
2375,Los Angeles,Townhomes,CA,90003,"8925 S Broadway Los Angeles, CA 90003",https://www.apartments.com/8925-s-broadway-los-angeles-ca/0psqbg0/,1 bath,801 sq ft,801,,,,,
,Newport Beach,Townhomes,CA,92663,"5404 Seashore Dr Newport Beach, CA 92663",https://www.apartments.com/5404-seashore-dr-newport-beach-ca/ebfc8qm/,3 baths,"1,900 sq ft","1,900",6000,,,,
,Newport Beach,Townhomes,CA,92663,"4923 River Ave Newport Beach, CA 92663",https://www.apartments.com/4923-river-ave-newport-beach-ca/z10svkx/,4 baths,"2,000 sq ft","2,000",,,,,6750
,Arcadia,Townhomes,CA,91007,"9622 E Naomi Ave Arcadia, CA 91007",https://www.apartments.com/9622-e-naomi-ave-arcadia-ca/4586egj/,5 baths,"3,189 sq ft","3,189",,,,,5700
