Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
,"$362,990+","Evia Plan, Trilogy at The Polo Club",Evia Plan,TrilogyatThePoloClub,null,null,2,2,"1,542",No Data,null,Townhouse,2021,No Data,null,null,null,$235,https://www.zillow.com/community/trilogy-at-polo-club/2077389714_zpid/
,"$639,990+","Residence 2 Plan, Santa Rosa - Round Barn",Residence 2 Plan,SantaRosa-RoundBarn,null,null,3,3,"1,812",No Data,null,Townhouse,2021,"Garage - Attached, ",$218 monthly,null,null,$353,https://www.zillow.com/community/santa-rosa-round-barn/2077795277_zpid/
,"$740,000+","Plan 3Y Plan, Marquee",Plan 3Y Plan,Marquee,null,null,3,3,"1,570",No Data,null,Townhouse,2021,No Data,null,null,null,$471,https://www.zillow.com/community/marquee/2073938783_zpid/
,"$1,199,000","1241 Beaulieu Ct, San Jose, CA 95125",1241 Beaulieu Ct,SanJose,CA,95125,3,3,"1,444","2,591 sqft",2591.0,Townhouse,1985,Garage - Attached,$411 monthly,"$1,281,554","$3,300/mo",$830,https://www.zillow.com/homedetails/1241-Beaulieu-Ct-San-Jose-CA-95125/19592112_zpid/
,"$805,990+","Plan 3B Plan, Lookout at Bay37",Plan 3B Plan,LookoutatBay37,null,null,2,2,"1,102",No Data,null,Townhouse,2021,No Data,null,null,null,$731,https://www.zillow.com/community/lookout-at-bay37/2071614814_zpid/
,"$780,990+","Plan 3A Plan, Lookout at Bay37",Plan 3A Plan,LookoutatBay37,null,null,2,2,"1,066",No Data,null,Townhouse,2021,No Data,null,null,null,$733,https://www.zillow.com/community/lookout-at-bay37/2071614816_zpid/
,"$745,900+","Residence 2 Plan, Pacific Village : The Promenade",Residence 2 Plan,PacificVillage:ThePromenade,null,null,3,4,"1,755",No Data,null,Townhouse,2021,No Data,null,null,null,$425,https://www.zillow.com/community/pacific-village-promenade/2082444745_zpid/
,"$450,880+","Residence 2 Plan, Citrus at Canvas Park at New Haven",Residence 2 Plan,CitrusatCanvasParkatNewHaven,null,null,2,2,"1,110",No Data,null,Townhouse,2021,No Data,null,null,null,$406,https://www.zillow.com/community/citrus-at-canvas-park-at-new-haven/2080441893_zpid/
,"$1,210,000+","Plan A1 Plan, The San Francisco Shipyard : Palisades",Plan A1 Plan,TheSanFranciscoShipyard:Palisades,null,null,3,3,"1,522",No Data,null,Townhouse,2021,No Data,null,null,null,$795,https://www.zillow.com/community/san-francisco-shipyard-palisades/2079496587_zpid/
,"$800,900+","Residence 3X Plan, DEL SUR : Avante",Residence 3X Plan,DELSUR:Avante,null,null,3,3,"1,787",No Data,null,Townhouse,2021,No Data,null,null,null,$448,https://www.zillow.com/community/del-sur-avante/2080124176_zpid/
