Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
RE/MAX ONE,"$500,000","414 W Center St #2, Pomona, CA 91768",414 W Center St #2,Pomona,CA,91768,--,--,"1,417",null,null,MultiFamily,1885,Carport,null,"$552,672",null,$353,https://www.zillow.com/homedetails/414-W-Center-St-2-Pomona-CA-91768/2077301949_zpid/
,"$499,000","3332 Douglas St, Sacramento, CA 95838",3332 Douglas St,Sacramento,CA,95838,6,3,"2,145",null,null,MultiFamily,1945,"Off-street, , Garage",null,"$529,485","$1,995/mo",$233,https://www.zillow.com/homedetails/3332-Douglas-St-Sacramento-CA-95838/26060316_zpid/
,"$469,000","621 Grant Ave, Lodi, CA 95240",621 Grant Ave,Lodi,CA,95240,2,3,"1,679",null,null,MultiFamily,1964,No Data,null,"$488,523","$1,900/mo",$279,https://www.zillow.com/homedetails/621-Grant-Ave-Lodi-CA-95240/15265260_zpid/
KELLER WILLIAMS REALTY,"$1,189,000","529 W 16th St, San Pedro, CA 90731",529 W 16th St,SanPedro,CA,90731,--,--,"4,216",null,null,MultiFamily,1980,Garage,null,"$1,148,645","$2,100/mo",$282,https://www.zillow.com/homedetails/529-W-16th-St-San-Pedro-CA-90731/21308304_zpid/
,"$699,900","10944 W Larch Rd, Tracy, CA 95304",10944 W Larch Rd,Tracy,CA,95304,3,2,"1,200",null,null,MultiFamily,1952,"Carport, ",null,"$759,975","$1,950/mo",$583,https://www.zillow.com/homedetails/10944-W-Larch-Rd-Tracy-CA-95304/15352173_zpid/
EXP REALTY OF CALIFORNIA INC,"$899,000","2950 W 14th St, Los Angeles, CA 90006",2950 W 14th St,LosAngeles,CA,90006,5,3,"2,168",null,null,MultiFamily,1905,Detached Carport,null,"$905,827","$3,500/mo",$415,https://www.zillow.com/homedetails/2950-W-14th-St-Los-Angeles-CA-90006/20603068_zpid/
REALTY MASTERS & ASSOCIATES,"$999,000","504 E Harvard Pl, Ontario, CA 91764",504 E Harvard Pl,Ontario,CA,91764,6,5,"2,713",null,null,MultiFamily,1939,"Driveway, Garage Faces Side, Garage - Single Door",null,"$1,024,880","$2,600/mo",$368,https://www.zillow.com/homedetails/504-E-Harvard-Pl-Ontario-CA-91764/17575300_zpid/
ATLANTIC REALTY,"$250,000","6840 California St, Winton, CA 95388",6840 California St,Winton,CA,95388,2,1,920,null,null,MultiFamily,1942,On Street,null,"$228,192","$1,150/mo",$272,https://www.zillow.com/homedetails/6840-California-St-Winton-CA-95388/299948616_zpid/
KELLER WILLIAMS ENCINO-SHERMAN OAKS,"$550,000","3100 Division St, Los Angeles, CA 90065",3100 Division St,LosAngeles,CA,90065,--,--,784,null,null,MultiFamily,1924,"Driveway, Garage, Garage - Two Door",null,"$778,617","$2,200/mo",$702,https://www.zillow.com/homedetails/3100-Division-St-Los-Angeles-CA-90065/20757031_zpid/
,"$400,000","3780 Kos Island Ave, Sacramento, CA 95834",3780 Kos Island Ave,Sacramento,CA,95834,2,2,"1,470",null,null,MultiFamily,2007,"Garage - Attached, ",$37 monthly,"$428,969","$2,100/mo",$272,https://www.zillow.com/homedetails/3780-Kos-Island-Ave-Sacramento-CA-95834/79562761_zpid/
"COMPASS SF, Paula Y. Rose","$798,000","3005 West St #3007, Emeryville, CA 94608",3005 West St #3007,Emeryville,CA,94608,6,2,"2,444",null,null,MultiFamily,1901,"Carport, Detached, Garage, Uncovered",null,"$906,573",null,$327,https://www.zillow.com/homedetails/3005-West-St-3007-Emeryville-CA-94608/2073143897_zpid/
,"$500,000","9212 Corinthian Cir, Sacramento, CA 95826",9212 Corinthian Cir,Sacramento,CA,95826,2,--,"2,230",null,null,MultiFamily,1976,"Garage - Attached, ",null,"$525,751","$1,695/mo",$224,https://www.zillow.com/homedetails/9212-Corinthian-Cir-Sacramento-CA-95826/25892209_zpid/
KELLER WILLIAMS PACIFIC ESTATES CERRITOS,"$799,999","1140 E 71st Way, Long Beach, CA 90805",1140 E 71st Way,LongBeach,CA,90805,--,--,"1,980",null,null,MultiFamily,1959,"Driveway, Paved, Garage, Gated, Oversized",null,"$830,909","$2,265/mo",$404,https://www.zillow.com/homedetails/1140-E-71st-Way-Long-Beach-CA-90805/21142268_zpid/
AVIDA & ASSOCIATES,"$835,000","412 S Mcbride Ave, Los Angeles, CA 90022",412 S Mcbride Ave,LosAngeles,CA,90022,--,--,--,null,null,MultiFamily,1929,"Driveway Level, Gated",null,"$868,335","$2,400/mo",null,https://www.zillow.com/homedetails/412-S-Mcbride-Ave-Los-Angeles-CA-90022/20655997_zpid/
BERKSHIRE HATHAWAY HOME SERVICES,"$1,080,000","20600 Broadview Dr, Perris, CA 92570",20600 Broadview Dr,Perris,CA,92570,4,3,"3,005",null,null,MultiFamily,1979,"Direct Access, Driveway - Combination, Concrete, Garage",null,null,null,$359,https://www.zillow.com/homedetails/20600-Broadview-Dr-Perris-CA-92570/2071625545_zpid/
BAHA & ASSOCIATES INC,"$1,195,000","4445 39th St, San Diego, CA 92116",4445 39th St,SanDiego,CA,92116,--,--,--,null,null,MultiFamily,1925,0 spaces,null,"$710,133","$2,695/mo",null,https://www.zillow.com/homedetails/4445-39th-St-San-Diego-CA-92116/295352235_zpid/
,"$1,850,000","264 Grandview Rd, Sebastopol, CA 95472",264 Grandview Rd,Sebastopol,CA,95472,4,4,"3,473",null,null,MultiFamily,1961,"Attached, Boat, Covered, Enclosed, Garage Door Opener, Guest, Inside Entrance, RV Possible, Paved Driveway",null,"$1,892,755","$7,000/mo",$533,https://www.zillow.com/homedetails/264-Grandview-Rd-Sebastopol-CA-95472/15814232_zpid/
COLDWELL BANKER REALTY,"$987,785","1525 Redondo Ave, Long Beach, CA 90804",1525 Redondo Ave,LongBeach,CA,90804,--,--,"2,264",null,null,MultiFamily,1930,"Boat, Driveway, Concrete, RV Access/Parking, RV Gated",null,"$1,005,765","$2,345/mo",$436,https://www.zillow.com/homedetails/1525-Redondo-Ave-Long-Beach-CA-90804/21226512_zpid/
SPRAGUE REALTY,"$439,000","1280 Canyon Rd, Julian, CA 92036",1280 Canyon Rd,Julian,CA,92036,--,--,--,null,null,MultiFamily,1940,No Data,null,"$453,677",null,null,https://www.zillow.com/homedetails/1280-Canyon-Rd-Julian-CA-92036/99506478_zpid/
,"$560,000","5145 Golf Rd, Merced, CA 95340",5145 Golf Rd,Merced,CA,95340,3,3,"2,170",null,null,MultiFamily,1973,No Data,null,"$560,103",null,$258,https://www.zillow.com/homedetails/5145-Golf-Rd-Merced-CA-95340/2073214711_zpid/
,"$187,500","703 E D St, Alturas, CA 96101",703 E D St,Alturas,CA,96101,3,3,"1,680",null,null,MultiFamily,1930,0 spaces,null,null,null,$112,https://www.zillow.com/homedetails/703-E-D-St-Alturas-CA-96101/2073539688_zpid/
MAX MEGA GROUP,"$320,000","300 S Garfield Ave, Monterey Park, CA 91754",300 S Garfield Ave,MontereyPark,CA,91754,--,--,--,null,null,MultiFamily,1984,"Converted Garage, Parking Space",null,"$335,240",null,null,https://www.zillow.com/homedetails/300-S-Garfield-Ave-Monterey-Park-CA-91754/2071974593_zpid/
,"$2,494,949","4701 Ewing Rd, Castro Valley, CA 94546",4701 Ewing Rd,CastroValley,CA,94546,7,5,"5,752",null,null,MultiFamily,1967,"Garage - Attached, Garage - Detached, ",null,"$2,746,065","$4,766/mo",$434,https://www.zillow.com/homedetails/4701-Ewing-Rd-Castro-Valley-CA-94546/82841365_zpid/
,"$239,999","3710 E Laurite Ave, Fresno, CA 93725",3710 E Laurite Ave,Fresno,CA,93725,7,3,"2,501",null,null,MultiFamily,1940,0 spaces,null,"$251,088","$1,125/mo",$96,https://www.zillow.com/homedetails/3710-E-Laurite-Ave-Fresno-CA-93725/82783750_zpid/
EXCELLENCE SOCAL REAL ESTATE,"$750,000","2739 Chico Ave, South El Monte, CA 91733",2739 Chico Ave,SouthElMonte,CA,91733,--,--,"1,792",null,null,MultiFamily,1940,"Driveway, Paved",null,"$750,004","$2,500/mo",$419,https://www.zillow.com/homedetails/2739-Chico-Ave-South-El-Monte-CA-91733/21410270_zpid/
,"$359,000","1532 Daphne Dr, Willits, CA 95490",1532 Daphne Dr,Willits,CA,95490,4,2,"2,048",null,null,MultiFamily,1982,"Off Street, Uncovered",null,"$356,751","$2,450/mo",$175,https://www.zillow.com/homedetails/1532-Daphne-Dr-Willits-CA-95490/19212397_zpid/
