City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,2 – 3 Beds,4 Beds,Studio,6 Beds,5 Beds,1 – 2 Beds,1 – 4 Beds
Cottonwood,Houses,CA,96022,"[{'bedroom_type': '1 Bed', 'price': '$75'}]","19662 White Horse Pl, Cottonwood, CA 96022",https://www.apartments.com/19662-white-horse-pl-cottonwood-ca/ypdpmht/,1 BA,300 Sq Ft,300,12 Month Lease,Available Now,,$75,,,,,,,,
Plumas Lake,Houses,CA,95961,"[{'bedroom_type': '3 Beds', 'price': '$2,00'}]","2168 Golden Gate Dr, Plumas Lake, CA 95961",https://www.apartments.com/2168-golden-gate-dr-plumas-lake-ca/lqjw9cf/,2 BAs,"1,675 Sq Ft","1,675",12 Month Lease,Feb 1,,,"$2,00",,,,,,,
Winnetka,Houses,CA,91306,"[{'bedroom_type': 'Studio', 'price': '$1,50'}]","7009 Jumilla Ave, Winnetka, CA 91306",https://www.apartments.com/7009-jumilla-ave-winnetka-ca/bvpets8/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,,,"$1,50",,,,
San Jose,Houses,CA,95128,"[{'bedroom_type': '1 Bed', 'price': '$1,87'}]","155 Bellerose Dr, San Jose, CA 95128",https://www.apartments.com/155-bellerose-dr-san-jose-ca/9nfw585/,1 BA,850 Sq Ft,850,6 Month Lease,Available Now,,"$1,87",,,,,,,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '1 Bed', 'price': '$2,69'}]","1235 S Muirfield Rd, Los Angeles, CA 90019",https://www.apartments.com/1235-s-muirfield-rd-los-angeles-ca/vzch6ce/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$2,69",,,,,,,,
Santa Rosa,Houses,CA,95409,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","433 Oak Lake Ave, Santa Rosa, CA 95409",https://www.apartments.com/433-oak-lake-ave-santa-rosa-ca/dgj445k/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,"$3,40",,,,,,,
Coronado,Houses,CA,92118,"[{'bedroom_type': '4 Beds', 'price': '$7,25'}]","829 San Luis Rey Ave, Coronado, CA 92118",https://www.apartments.com/829-san-luis-rey-ave-coronado-ca/96n05z6/,2½ BAs,"2,350 Sq Ft","2,350",12 Month Lease,Feb 1,,,,,"$7,25",,,,,
Piedmont,Houses,CA,94611,"[{'bedroom_type': '5 Beds', 'price': '$11,00'}]","22 Littlewood Dr, Piedmont, CA 94611",https://www.apartments.com/22-littlewood-dr-piedmont-ca/r7rwzx2/,4 BAs,"4,069 Sq Ft","4,069",12 Month Lease,Available Now,,,,,,,,"$11,00",,
Lake Arrowhead,Houses,CA,92352,"[{'bedroom_type': '3 Beds', 'price': '$2,60'}]","1345 Manzanita Way, Lake Arrowhead, CA 92352",https://www.apartments.com/1345-manzanita-way-lake-arrowhead-ca/l6nvg7g/,2½ BAs,"2,150 Sq Ft","2,150",6 Month Lease,Jan 4,,,"$2,60",,,,,,,
Rosemead,Houses,CA,91770,"[{'bedroom_type': '5 Beds', 'price': '$3,10'}]","7504 Emerson Pl, Rosemead, CA 91770",https://www.apartments.com/7504-emerson-pl-rosemead-ca/1rh7wh7/,3 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,,,,,,"$3,10",,
Burlingame,Houses,CA,94010,"[{'bedroom_type': '2 Beds', 'price': '$3,49'}]","547 Rollins Rd, Burlingame, CA 94010",https://www.apartments.com/547-rollins-rd-burlingame-ca/mdg9lzl/,1 BA,925 Sq Ft,925,12 Month Lease,Available Now,"$3,49",,,,,,,,,
Sacramento,Houses,CA,95818,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","821 Tomato Aly, Sacramento, CA 95818",https://www.apartments.com/821-tomato-aly-sacramento-ca/e8s1t5q/,1 BA,750 Sq Ft,750,1 Month Lease,Available Now,"$3,50",,,,,,,,,
Los Angeles,Houses,CA,90035,"[{'bedroom_type': 'Studio', 'price': '$2,30'}]","1140 S Alfred St, Los Angeles, CA 90035",https://www.apartments.com/1140-s-alfred-st-los-angeles-ca/sq0wh84/,1 BA,400 Sq Ft,400,1 Month Lease,Available Now,,,,,,"$2,30",,,,
Inglewood,Houses,CA,90301,"[{'bedroom_type': '4 Beds', 'price': '$6,85'}]","577 Daniel Freeman Cir, Inglewood, CA 90301",https://www.apartments.com/577-daniel-freeman-cir-inglewood-ca/xe9046q/,4 BAs,"2,700 Sq Ft","2,700",3 Month Lease,Jan 9,,,,,"$6,85",,,,,
Los Angeles,Houses,CA,91406,"[{'bedroom_type': '1 Bed', 'price': '$1,37'}]","15339 Vose St, Los Angeles, CA 91406",https://www.apartments.com/15339-vose-st-los-angeles-ca/18cm6p7/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,"$1,37",,,,,,,,
Anaheim,Houses,CA,92804,"[{'bedroom_type': '5 Beds', 'price': '$6,50'}]","1411 S Scarborough Ln, Anaheim, CA 92804",https://www.apartments.com/1411-s-scarborough-ln-anaheim-ca/5jghq7n/,3 BAs,"2,400 Sq Ft","2,400",1 Month Lease,Available Now,,,,,,,,"$6,50",,
Hawthorne,Houses,CA,90250,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","13015 Florwood Ave, Hawthorne, CA 90250",https://www.apartments.com/13015-florwood-ave-hawthorne-ca/bjkl36b/,2½ BAs,"2,600 Sq Ft","2,600",12 Month Lease,Available Now,"$2,10",,,,,,,,,
Guerneville,Houses,CA,95446,"[{'bedroom_type': '3 Beds', 'price': '$4,75'}]","14025 Solaridge Rd, Guerneville, CA 95446",https://www.apartments.com/14025-solaridge-rd-guerneville-ca/5ntvz4q/,2½ BAs,"1,894 Sq Ft","1,894",12 Month Lease,Available Now,,,"$4,75",,,,,,,
Yorba Linda,Houses,CA,92886,"[{'bedroom_type': '4 Beds', 'price': '$3,30'}]","4972 Ohio St, Yorba Linda, CA 92886",https://www.apartments.com/4972-ohio-st-yorba-linda-ca/cj4rlzf/,2½ BAs,"2,368 Sq Ft","2,368",12 Month Lease,Available Now,,,,,"$3,30",,,,,
Van Nuys,Houses,CA,91411,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","5909 Cedros Ave, Van Nuys, CA 91411",https://www.apartments.com/5909-cedros-ave-van-nuys-ca/rkh03d2/,1 BA,900 Sq Ft,900,24 Month Lease,Available Now,"$2,00",,,,,,,,,
San Diego,Houses,CA,92114,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","6357 Wunderlin Ave, San Diego, CA 92114",https://www.apartments.com/6357-wunderlin-ave-san-diego-ca/wqvfmrk/,1 BA,750 Sq Ft,750,12 Month Lease,Feb 5,"$1,99",,,,,,,,,
Napa,Houses,CA,94559,"[{'bedroom_type': '2 Beds', 'price': '$1,96'}]","551 Webber St, Napa, CA 94559",https://www.apartments.com/551-webber-st-napa-ca/z0vlb8z/,1 BA,750 Sq Ft,750,1 Month Lease,Available Now,"$1,96",,,,,,,,,
Richmond,Houses,CA,94805,"[{'bedroom_type': '1 Bed', 'price': '$2,70'}]","6357 Arlington Blvd, Richmond, CA 94805",https://www.apartments.com/6357-arlington-blvd-richmond-ca/znteh0w/,1 BA,"1,135 Sq Ft","1,135",12 Month Lease,Available Now,,"$2,70",,,,,,,,
South San Francisco,Houses,CA,94080,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","314 Northwood Dr, South San Francisco, CA 94080",https://www.apartments.com/314-northwood-dr-south-san-francisco-ca/0nxjm12/,2 BAs,"1,270 Sq Ft","1,270",12 Month Lease,Available Now,,,"$4,00",,,,,,,
Los Angeles,Houses,CA,90044,"[{'bedroom_type': '4 Beds', 'price': '$3,45'}]","600 W Imperial Hwy, Los Angeles, CA 90044",https://www.apartments.com/600-w-imperial-hwy-los-angeles-ca/qp928kw/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,,,"$3,45",,,,,
Woodland Hills,Houses,CA,91367,"[{'bedroom_type': '1 Bed', 'price': '$1,40'}]","22545 Califa St, Woodland Hills, CA 91367",https://www.apartments.com/22545-califa-st-woodland-hills-ca/qc9rw3y/,1 BA,600 Sq Ft,600,3 Month Lease,Available Now,,"$1,40",,,,,,,,
Richmond,Houses,CA,94805,"[{'bedroom_type': '4 Beds', 'price': '$3,65'}]","6116 Bernhard Ave, Richmond, CA 94805",https://www.apartments.com/6116-bernhard-ave-richmond-ca/z259qgy/,2½ BAs,"2,152 Sq Ft","2,152",12 Month Lease,Jan 15,,,,,"$3,65",,,,,
Garden Grove,Houses,CA,92841,"[{'bedroom_type': '3 Beds', 'price': '$3,09'}]","12341 Loraleen St, Garden Grove, CA 92841",https://www.apartments.com/12341-loraleen-st-garden-grove-ca/tbytyv9/,2 BAs,"1,597 Sq Ft","1,597",12 Month Lease,Available Now,,,"$3,09",,,,,,,
Northridge,Houses,CA,91325,"[{'bedroom_type': '1 Bed', 'price': '$1,97'}]","10141 Babbitt Ave, Northridge, CA 91325",https://www.apartments.com/10141-babbitt-ave-northridge-ca/dwl16ej/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,97",,,,,,,,
Sacramento,Houses,CA,95815,"[{'bedroom_type': '2 Beds', 'price': '$2,84'}]","154 Baxter Ave, Sacramento, CA 95815",https://www.apartments.com/154-baxter-ave-sacramento-ca/m87d9fl/,2 BAs,"1,206 Sq Ft","1,206",6 Month Lease,Available Now,"$2,84",,,,,,,,,
Van Nuys,Houses,CA,91406,"[{'bedroom_type': 'Studio', 'price': '$1,60'}]","8153 Genesta Ave, Van Nuys, CA 91406",https://www.apartments.com/8153-genesta-ave-van-nuys-ca/flecc6t/,1 BA,350 Sq Ft,350,12 Month Lease,Available Now,,,,,,"$1,60",,,,
Simi Valley,Houses,CA,93065,"[{'bedroom_type': '1 Bed', 'price': '$1,80'}]","1890 Moore St, Simi Valley, CA 93065",https://www.apartments.com/1890-moore-st-simi-valley-ca/y6kfe1v/,1 BA,320 Sq Ft,320,12 Month Lease,Available Now,,"$1,80",,,,,,,,
Burbank,Houses,CA,91501,"[{'bedroom_type': '2 Beds', 'price': '$4,00'}]","923 E Verdugo Ave, Burbank, CA 91501",https://www.apartments.com/923-e-verdugo-ave-burbank-ca/n006b6m/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$4,00",,,,,,,,,
La Quinta,Houses,CA,92253,"[{'bedroom_type': '3 Beds', 'price': '$4,95'}]","51795 Avenida Diaz, La Quinta, CA 92253",https://www.apartments.com/51795-avenida-diaz-la-quinta-ca/gdyhltw/,2 BAs,"1,650 Sq Ft","1,650",4 Month Lease,Jan 15,,,"$4,95",,,,,,,
Sylmar,Houses,CA,91342,"[{'bedroom_type': '4 Beds', 'price': '$4,00'}]","14521 Birchwood Ct, Sylmar, CA 91342",https://www.apartments.com/14521-birchwood-ct-sylmar-ca/x8563cp/,2½ BAs,"2,600 Sq Ft","2,600",12 Month Lease,Available Now,,,,,"$4,00",,,,,
North Hollywood,Houses,CA,91605,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","7701 Gentry Ave, North Hollywood, CA 91605",https://www.apartments.com/7701-gentry-ave-north-hollywood-ca/zdj265y/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$3,50",,,,,,,
San Leandro,Houses,CA,94578,"[{'bedroom_type': '3 Beds', 'price': '$2,98'}]","1500 Thrush Ave, San Leandro, CA 94578",https://www.apartments.com/1500-thrush-ave-san-leandro-ca/6ckm0nt/,2 BAs,"1,143 Sq Ft","1,143",12 Month Lease,Available Now,,,"$2,98",,,,,,,
South Gate,Houses,CA,90280,"[{'bedroom_type': 'Studio', 'price': '$1,29'}]","10531 California Ave, South Gate, CA 90280",https://www.apartments.com/10531-california-ave-south-gate-ca/hgp36y3/,0½ BAs,850 Sq Ft,850,12 Month Lease,Available Now,,,,,,"$1,29",,,,
La Mesa,Houses,CA,91942,"[{'bedroom_type': '1 Bed', 'price': '$1,90'}]","4566 Judson Way, La Mesa, CA 91942",https://www.apartments.com/4566-judson-way-la-mesa-ca/r8zxsr2/,1 BA,520 Sq Ft,520,12 Month Lease,Available Now,,"$1,90",,,,,,,,
Santa Clara,Houses,CA,95050,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","230 Tyler Ave, Santa Clara, CA 95050",https://www.apartments.com/230-tyler-ave-santa-clara-ca/w5b440l/,2 BAs,"1,084 Sq Ft","1,084",12 Month Lease,Available Now,,,"$3,50",,,,,,,
San Francisco,Houses,CA,94122,"[{'bedroom_type': '4 Beds', 'price': '$6,50'}]","1443 15th Ave, San Francisco, CA 94122",https://www.apartments.com/1443-15th-ave-san-francisco-ca/snpgvv4/,3 BAs,"2,200 Sq Ft","2,200",12 Month Lease,Available Now,,,,,"$6,50",,,,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","2326 Hauser Blvd, Los Angeles, CA 90016",https://www.apartments.com/2326-hauser-blvd-los-angeles-ca/g2bzwsy/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$2,90",,,,,,,
Gilroy,Houses,CA,95020,"[{'bedroom_type': '4 Beds', 'price': '$3,50'}]","9391 Durango Ln, Gilroy, CA 95020",https://www.apartments.com/9391-durango-ln-gilroy-ca/cskhmkg/,3 BAs,"2,400 Sq Ft","2,400",9 Month Lease,Available Now,,,,,"$3,50",,,,,
Rancho Cucamonga,Houses,CA,91730,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","7522 Alta Cuesta Dr, Rancho Cucamonga, CA 91730",https://www.apartments.com/7522-alta-cuesta-dr-rancho-cucamonga-ca/cp7b80d/,2 BAs,"1,040 Sq Ft","1,040",15 Month Lease,Available Now,"$2,80",,,,,,,,,
Oakland,Houses,CA,94608,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","1162 53rd St, Oakland, CA 94608",https://www.apartments.com/1162-53rd-st-oakland-ca/edpgp6n/,1 BA,"1,075 Sq Ft","1,075",12 Month Lease,Jan 3,"$3,20",,,,,,,,,
North Hollywood,Houses,CA,91601,"[{'bedroom_type': '3 Beds', 'price': '$4,25'}]","11075 Emelita St, North Hollywood, CA 91601",https://www.apartments.com/11075-emelita-st-north-hollywood-ca/emktspm/,2½ BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,,"$4,25",,,,,,,
Saratoga,Houses,CA,95070,"[{'bedroom_type': '4 Beds', 'price': '$6,50'}]","19536 Eric Dr, Saratoga, CA 95070",https://www.apartments.com/19536-eric-dr-saratoga-ca/e6gmcmq/,3 BAs,"2,600 Sq Ft","2,600",12 Month Lease,Available Now,,,,,"$6,50",,,,,
Encino,Houses,CA,91436,"[{'bedroom_type': '3 Beds', 'price': '$4,60'}]","16666 McCormick St, Encino, CA 91436",https://www.apartments.com/16666-mccormick-st-encino-ca/4m823sl/,2 BAs,"1,523 Sq Ft","1,523",12 Month Lease,Available Now,,,"$4,60",,,,,,,
Oakland,Houses,CA,94607,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","1661 14th St, Oakland, CA 94607",https://www.apartments.com/1661-14th-st-oakland-ca/x9ks3vn/,1 BA,850 Sq Ft,850,3 Month Lease,Available Now,"$2,95",,,,,,,,,
North Hollywood,Houses,CA,91606,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","6233 Clybourn Ave, North Hollywood, CA 91606",https://www.apartments.com/6233-clybourn-ave-north-hollywood-ca/7s36byx/,1 BA,999 Sq Ft,999,12 Month Lease,Available Now,"$2,59",,,,,,,,,
North Hollywood,Houses,CA,91606,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","6233 Clybourn Ave, North Hollywood, CA 91606",https://www.apartments.com/6233-clybourn-ave-north-hollywood-ca/7s36byx/,1 BA,999 Sq Ft,999,12 Month Lease,Available Now,"$2,59",,,,,,,,,
Redding,Houses,CA,96001,"[{'bedroom_type': '3 Beds', 'price': '$2,20'}]","2278 Park Marina Dr, Redding, CA 96001",https://www.apartments.com/2278-park-marina-dr-redding-ca/67bzfer/,2 BAs,"1,219 Sq Ft","1,219",12 Month Lease,Available Now,,,"$2,20",,,,,,,
Laguna Niguel,Houses,CA,92677,"[{'bedroom_type': '2 Beds', 'price': '$3,69'}]","11 Saint Thomas, Laguna Niguel, CA 92677",https://www.apartments.com/11-saint-thomas-laguna-niguel-ca/8vyy033/,2½ BAs,"1,605 Sq Ft","1,605",12 Month Lease,Available Now,"$3,69",,,,,,,,,
Los Angeles,Houses,CA,90044,"[{'bedroom_type': '2 Beds', 'price': '$1,87'}]","1235 W 107th St, Los Angeles, CA 90044",https://www.apartments.com/1235-w-107th-st-los-angeles-ca/wrqmy2l/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,87",,,,,,,,,
Redding,Houses,CA,96002,"[{'bedroom_type': '4 Beds', 'price': '$5,45'}]","4488 Pike Ct, Redding, CA 96002",https://www.apartments.com/4488-pike-ct-redding-ca/gydydmy/,2½ BAs,"2,665 Sq Ft","2,665",2 Month Lease,Jan 3,,,,,"$5,45",,,,,
Van Nuys,Houses,CA,91406,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","17523 Gilmore St, Van Nuys, CA 91406",https://www.apartments.com/17523-gilmore-st-van-nuys-ca/evtt99n/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,99",,,,,,,,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '2 Beds', 'price': '$3,55'}]","1046 S Citrus Ave, Los Angeles, CA 90019",https://www.apartments.com/1046-s-citrus-ave-los-angeles-ca/48skt6h/,1 BA,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,"$3,55",,,,,,,,,
Belmont,Houses,CA,94002,"[{'bedroom_type': '2 Beds', 'price': '$3,30'}]","413 Wessex Way, Belmont, CA 94002",https://www.apartments.com/413-wessex-way-belmont-ca/r5myf10/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$3,30",,,,,,,,,
Santa Clarita,Houses,CA,91350,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","19901 Christopher Ln, Santa Clarita, CA 91350",https://www.apartments.com/19901-christopher-ln-santa-clarita-ca/x7dvrdm/,2½ BAs,"2,300 Sq Ft","2,300",12 Month Lease,Available Now,,,"$3,20",,,,,,,
San Diego,Houses,CA,92114,"[{'bedroom_type': '2 Beds', 'price': '$1,90'}]","6982 Lisbon St, San Diego, CA 92114",https://www.apartments.com/6982-lisbon-st-san-diego-ca/zhpg08w/,1 BA,720 Sq Ft,720,12 Month Lease,Feb 1,"$1,90",,,,,,,,,
Los Angeles,Houses,CA,90026,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","1426 Cerro Gordo St, Los Angeles, CA 90026",https://www.apartments.com/1426-cerro-gordo-st-los-angeles-ca/7x2t2qw/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$3,50",,,,,,,,,
Huntington Beach,Houses,CA,92648,"[{'bedroom_type': '5 Beds', 'price': '$6,50'}]","18551 Amalia Ln, Huntington Beach, CA 92648",https://www.apartments.com/18551-amalia-ln-huntington-beach-ca/58pz2rp/,4½ BAs,"3,193 Sq Ft","3,193",12 Month Lease,May 8,,,,,,,,"$6,50",,
Redondo Beach,Houses,CA,90277,"[{'bedroom_type': '2 Beds', 'price': '$3,85'}]","568 S Helberta Ave, Redondo Beach, CA 90277",https://www.apartments.com/568-s-helberta-ave-redondo-beach-ca/j7kdk27/,1 BA,950 Sq Ft,950,1 Month Lease,Available Now,"$3,85",,,,,,,,,
San Jose,Houses,CA,95125,"[{'bedroom_type': '3 Beds', 'price': '$4,25'}]","904 Chabrant Way, San Jose, CA 95125",https://www.apartments.com/904-chabrant-way-san-jose-ca/8h4km73/,2 BAs,"1,325 Sq Ft","1,325",12 Month Lease,Available Now,,,"$4,25",,,,,,,
San Francisco,Houses,CA,94132,"[{'bedroom_type': '4 Beds', 'price': '$6,00'}]","191 Morningside Dr, San Francisco, CA 94132",https://www.apartments.com/191-morningside-dr-san-francisco-ca/8kf9ll0/,2½ BAs,"2,723 Sq Ft","2,723",12 Month Lease,Available Now,,,,,"$6,00",,,,,
La Quinta,Houses,CA,92253,"[{'bedroom_type': '5 Beds', 'price': '$15,00'}]","79953 Rancho La Quinta Dr, La Quinta, CA 92253",https://www.apartments.com/79953-rancho-la-quinta-dr-la-quinta-ca/cdm6grd/,4 BAs,"3,052 Sq Ft","3,052",1 Month Lease,Available Now,,,,,,,,"$15,00",,
Long Beach,Houses,CA,90803,"[{'bedroom_type': '5 Beds', 'price': '$7,50'}]","2817 E 2nd St, Long Beach, CA 90803",https://www.apartments.com/2817-e-2nd-st-long-beach-ca/veb52mg/,3 BAs,"2,350 Sq Ft","2,350",1 Month Lease,Available Now,,,,,,,,"$7,50",,
Twentynine Palms,Houses,CA,92277,"[{'bedroom_type': '1 – 2 Beds', 'price': '$650'}]","5476 Adobe Rd, Twentynine Palms, CA 92277",https://www.apartments.com/5476-adobe-rd-twentynine-palms-ca/w9kh4hk/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,,,,,,,$650,
Winnetka,Houses,CA,91306,"[{'bedroom_type': '3 Beds', 'price': '$2,95'}]","20324 Hartland St, Winnetka, CA 91306",https://www.apartments.com/20324-hartland-st-winnetka-ca/g0p961w/,2 BAs,"1,327 Sq Ft","1,327",12 Month Lease,Available Now,,,"$2,95",,,,,,,
San Mateo,Houses,CA,94403,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","165 W 38th Ave, San Mateo, CA 94403",https://www.apartments.com/165-w-38th-ave-san-mateo-ca/00exjh1/,1 BA,"1,040 Sq Ft","1,040",12 Month Lease,Available Now,"$3,60",,,,,,,,,
Sherman Oaks,Houses,CA,91403,"[{'bedroom_type': '3 Beds', 'price': '$5,99'}]","15376 Valley Vista Blvd, Sherman Oaks, CA 91403",https://www.apartments.com/15376-valley-vista-blvd-sherman-oaks-ca/0bl8hv3/,3 BAs,"2,233 Sq Ft","2,233",12 Month Lease,Available Now,,,"$5,99",,,,,,,
North Hollywood,Houses,CA,91601,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","11218 Tiara St, North Hollywood, CA 91601",https://www.apartments.com/11218-tiara-st-north-hollywood-ca/lq9ggcf/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$3,60",,,,,,,,,
Los Altos Hills,Houses,CA,94022,"[{'bedroom_type': '3 Beds', 'price': '$6,50'}]","25383 La Rena Ln, Los Altos Hills, CA 94022",https://www.apartments.com/25383-la-rena-ln-los-altos-hills-ca/q4nt6cw/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$6,50",,,,,,,
Berkeley,Houses,CA,94709,"[{'bedroom_type': '2 Beds', 'price': '$3,55'}]","1521 Milvia St, Berkeley, CA 94709",https://www.apartments.com/1521-milvia-st-berkeley-ca/2kznkm9/,1 BA,900 Sq Ft,900,6 Month Lease,Available Now,"$3,55",,,,,,,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$3,50'}]","2704 Pacific Ave, Venice, CA 90291",https://www.apartments.com/2704-pacific-ave-venice-ca/4v6lgnh/,1 BA,792 Sq Ft,792,12 Month Lease,Available Now,,"$3,50",,,,,,,,
Huntington Beach,Houses,CA,92648,"[{'bedroom_type': '4 Beds', 'price': '$6,00'}]","19352 Beckonridge Ln, Huntington Beach, CA 92648",https://www.apartments.com/19352-beckonridge-ln-huntington-beach-ca/cd0346f/,3 BAs,"2,800 Sq Ft","2,800",12 Month Lease,Available Now,,,,,"$6,00",,,,,
Los Angeles,Houses,CA,90049,"[{'bedroom_type': '4 Beds', 'price': '$10,00'}]","343 N Skyewiay Rd, Los Angeles, CA 90049",https://www.apartments.com/343-n-skyewiay-rd-los-angeles-ca/hvy1jl3/,3 BAs,"2,600 Sq Ft","2,600",12 Month Lease,Available Now,,,,,"$10,00",,,,,
Van Nuys,Houses,CA,91405,"[{'bedroom_type': '3 Beds', 'price': '$3,49'}]","6836 Bevis Ave, Van Nuys, CA 91405",https://www.apartments.com/6836-bevis-ave-van-nuys-ca/p5tpw5r/,3 BAs,"1,120 Sq Ft","1,120",12 Month Lease,Available Now,,,"$3,49",,,,,,,
