City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,4 Beds,1 Bed,5 Beds,2 Beds,Studio,6 Beds,Studio – 5 Beds,2 – 3 Beds,Studio – 3 Beds
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '2 Beds', 'price': '$3,95'}]","708 S Redondo Ave, Manhattan Beach, CA 90266",https://www.apartments.com/708-s-redondo-ave-manhattan-beach-ca/536wc2m/,1 BA,812 Sq Ft,812,,Available Now,,,,,"$3,95",,,,,
Campbell,Houses,CA,95008,"[{'bedroom_type': '3 Beds', 'price': '$5,50'}]","1057 Shamrock Dr, Campbell, CA 95008",https://www.apartments.com/1057-shamrock-dr-campbell-ca/wrsb2bl/,3 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,"$5,50",,,,,,,,,
La Mesa,Houses,CA,91941,"[{'bedroom_type': '4 Beds', 'price': '$3,85'}]","4345 Lomo Del Sur, La Mesa, CA 91941",https://www.apartments.com/4345-lomo-del-sur-la-mesa-ca/vqyd9kf/,2½ BAs,"2,380 Sq Ft","2,380",12 Month Lease,Available Now,,"$3,85",,,,,,,,
La Mesa,Houses,CA,91941,"[{'bedroom_type': '4 Beds', 'price': '$3,85'}]","4345 Lomo Del Sur, La Mesa, CA 91941",https://www.apartments.com/4345-lomo-del-sur-la-mesa-ca/vqyd9kf/,2½ BAs,"2,380 Sq Ft","2,380",12 Month Lease,Available Now,,"$3,85",,,,,,,,
Mountain View,Houses,CA,94043,"[{'bedroom_type': '3 Beds', 'price': '$4,99'}]","1716 Morgan St, Mountain View, CA 94043",https://www.apartments.com/1716-morgan-st-mountain-view-ca/md0x9hl/,2 BAs,"1,460 Sq Ft","1,460",,Available Now,"$4,99",,,,,,,,,
Santa Clara,Houses,CA,95054,"[{'bedroom_type': '4 Beds', 'price': '$3,75'}]","4684 Wilcox Ave, Santa Clara, CA 95054",https://www.apartments.com/4684-wilcox-ave-santa-clara-ca/qy2ctzx/,2½ BAs,"1,685 Sq Ft","1,685",12 Month Lease,Available Now,,"$3,75",,,,,,,,
Daly City,Houses,CA,94015,"[{'bedroom_type': 'Studio – 3 Beds', 'price': '$1,700'}]","85 Longview Dr, Daly City, CA 94015",https://www.apartments.com/85-longview-dr-daly-city-ca/slrx2z6/,1 BA,350 Sq Ft,350,12 Month Lease,Available Now,,,,,,,,,,"$1,700"
Los Angeles,Houses,CA,91335,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","7800 Rhea Ave, Los Angeles, CA 91335",https://www.apartments.com/7800-rhea-ave-los-angeles-ca/gq6vnzw/,2½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Feb 1,"$3,00",,,,,,,,,
Woodland Hills,Houses,CA,91364,"[{'bedroom_type': '1 Bed', 'price': '$1,30'}]","5115 Canoga Ave, Woodland Hills, CA 91364",https://www.apartments.com/5115-canoga-ave-woodland-hills-ca/59fk74n/,1 BA,435 Sq Ft,435,6 Month Lease,Available Now,,,"$1,30",,,,,,,
Calabasas,Houses,CA,91302,"[{'bedroom_type': '1 Bed', 'price': '$1,40'}]","23777 Mulholland Hwy, Calabasas, CA 91302",https://www.apartments.com/23777-mulholland-hwy-calabasas-ca/wj7de4l/,1 BA,500 Sq Ft,500,6 Month Lease,Available Now,,,"$1,40",,,,,,,
San Francisco,Houses,CA,94112,"[{'bedroom_type': '4 Beds', 'price': '$3,80'}]","5034 Mission St, San Francisco, CA 94112",https://www.apartments.com/5034-mission-st-san-francisco-ca/8xswyk0/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$3,80",,,,,,,,
Fremont,Houses,CA,94555,"[{'bedroom_type': '3 Beds', 'price': '$3,85'}]","3637 Beard Rd, Fremont, CA 94555",https://www.apartments.com/3637-beard-rd-fremont-ca/6vrcnrt/,2½ BAs,"1,972 Sq Ft","1,972",12 Month Lease,Available Now,"$3,85",,,,,,,,,
San Francisco,Houses,CA,94132,"[{'bedroom_type': '2 Beds', 'price': '$4,15'}]","3090 25th Ave, San Francisco, CA 94132",https://www.apartments.com/3090-25th-ave-san-francisco-ca/tt9qfm8/,1½ BAs,"1,407 Sq Ft","1,407",12 Month Lease,Available Now,,,,,"$4,15",,,,,
Reseda,Houses,CA,91335,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","18539 Strathern St, Reseda, CA 91335",https://www.apartments.com/18539-strathern-st-reseda-ca/rgmdq23/,2½ BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,"$3,20",,,,,,,,,
Davis,Houses,CA,95616,"[{'bedroom_type': '3 Beds', 'price': '$2,50'}]","621 Villanova Dr, Davis, CA 95616",https://www.apartments.com/621-villanova-dr-davis-ca/4853ctk/,1½ BAs,"1,311 Sq Ft","1,311",12 Month Lease,Jan 4,"$2,50",,,,,,,,,
Malibu,Houses,CA,90265,"[{'bedroom_type': '1 Bed', 'price': '$3,50'}]","9515 Seabreeze Ter, Malibu, CA 90265",https://www.apartments.com/9515-seabreeze-ter-malibu-ca/n03k8bn/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,,"$3,50",,,,,,,
Bell,Houses,CA,90201,"[{'bedroom_type': '2 Beds', 'price': '$2,47'}]","6815 Vinevale Ave, Bell, CA 90201",https://www.apartments.com/6815-vinevale-ave-bell-ca/e4zt1bq/,1½ BAs,842 Sq Ft,842,12 Month Lease,Available Now,,,,,"$2,47",,,,,
Alhambra,Houses,CA,91801,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","1615 S Sierra Vista Ave, Alhambra, CA 91801",https://www.apartments.com/1615-s-sierra-vista-ave-alhambra-ca/8tdb5w2/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,,"$2,25",,,,,
View Park-Windsor Hills,Houses,CA,90043,"[{'bedroom_type': '3 Beds', 'price': '$3,39'}]","5715 S Rimpau Blvd, View Park-Windsor Hills, CA 90043",https://www.apartments.com/5715-s-rimpau-blvd-view-park-windsor-hills-ca/nl16ryn/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$3,39",,,,,,,,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '4 Beds', 'price': '$4,30'}]","1336 S Mansfield Ave, Los Angeles, CA 90019",https://www.apartments.com/1336-s-mansfield-ave-los-angeles-ca/qlwhe0y/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$4,30",,,,,,,,
Pasadena,Houses,CA,91104,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","1634 Brigden Rd, Pasadena, CA 91104",https://www.apartments.com/1634-brigden-rd-pasadena-ca/xg4hy4q/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,,"$2,00",,,,,,,
Alameda,Houses,CA,94501,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","2208 Santa Clara Ave, Alameda, CA 94501",https://www.apartments.com/2208-santa-clara-ave-alameda-ca/6z3m56v/,1 BA,"2,141 Sq Ft","2,141",12 Month Lease,Jan 15,"$3,50",,,,,,,,,
La Jolla,Houses,CA,92037,"[{'bedroom_type': '3 Beds', 'price': '$5,90'}]","6535 Caminito Northland, La Jolla, CA 92037",https://www.apartments.com/6535-caminito-northland-la-jolla-ca/33fg5zg/,3 BAs,"2,800 Sq Ft","2,800",12 Month Lease,Feb 1,"$5,90",,,,,,,,,
Concord,Houses,CA,94520,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","3031 Gratton Way, Concord, CA 94520",https://www.apartments.com/3031-gratton-way-concord-ca/ly0z66d/,2 BAs,"1,685 Sq Ft","1,685",12 Month Lease,Available Now,"$3,20",,,,,,,,,
Gardena,Houses,CA,90248,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","1663 W 186th St, Gardena, CA 90248",https://www.apartments.com/1663-w-186th-st-gardena-ca/63nhcqs/,1 BA,784 Sq Ft,784,12 Month Lease,Available Now,,,,,"$2,60",,,,,
San Jose,Houses,CA,95112,"[{'bedroom_type': '1 Bed', 'price': '$2,48'}]","904 Washington St, San Jose, CA 95112",https://www.apartments.com/904-washington-st-san-jose-ca/h6h4e81/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,"$2,48",,,,,,,
