City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,4 Beds,1 Bed,5 Beds,2 Beds,Studio,6 Beds,Studio – 5 Beds,2 – 3 Beds,Studio – 3 Beds
San Francisco,Houses,CA,94131,"[{'bedroom_type': '3 Beds', 'price': '$4,85'}]","124 Dellbrook Ave, San Francisco, CA 94131",https://www.apartments.com/124-dellbrook-ave-san-francisco-ca/ew6q95n/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Feb 1,"$4,85",,,,,,,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '4 Beds', 'price': '$6,99'}]","53 Dudley Ave, Venice, CA 90291",https://www.apartments.com/53-dudley-ave-venice-ca/lrwm27d/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$6,99",,,,,,,,
Los Angeles,Houses,CA,91307,"[{'bedroom_type': '4 Beds', 'price': '$4,49'}]","6629 Melba Ave, Los Angeles, CA 91307",https://www.apartments.com/6629-melba-ave-los-angeles-ca/m43x2ej/,2 BAs,"1,500 Sq Ft","1,500",,Feb 15,,"$4,49",,,,,,,,
Pasadena,Houses,CA,91106,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","53 N Meridith Ave, Pasadena, CA 91106",https://www.apartments.com/53-n-meridith-ave-pasadena-ca/rbdydj2/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,"$1,65",,,,,,,
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","6725 St Clair Ave, Los Angeles, CA 91606",https://www.apartments.com/6725-st-clair-ave-los-angeles-ca/zth6cnx/,1 BA,700 Sq Ft,700,6 Month Lease,Available Now,,,"$2,50",,,,,,,
Sacramento,Houses,CA,95831,"[{'bedroom_type': '3 Beds', 'price': '$2,10'}]","7669 Windbridge Dr, Sacramento, CA 95831",https://www.apartments.com/7669-windbridge-dr-sacramento-ca/7gnqrnw/,2½ BAs,"1,798 Sq Ft","1,798",12 Month Lease,Available Now,"$2,10",,,,,,,,,
San Jose,Houses,CA,95148,"[{'bedroom_type': '4 Beds', 'price': '$4,00'}]","2670 Tagart Dr, San Jose, CA 95148",https://www.apartments.com/2670-tagart-dr-san-jose-ca/57phwmq/,3 BAs,"1,840 Sq Ft","1,840",12 Month Lease,Available Now,,"$4,00",,,,,,,,
Corona,Houses,CA,92881,"[{'bedroom_type': '5 Beds', 'price': '$3,60'}]","2729 Via Razmin, Corona, CA 92881",https://www.apartments.com/2729-via-razmin-corona-ca/ng8x80m/,3 BAs,"2,700 Sq Ft","2,700",12 Month Lease,Feb 1,,,,"$3,60",,,,,,
Topanga,Houses,CA,90290,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","156 S Topanga Canyon Blvd, Topanga, CA 90290",https://www.apartments.com/156-s-topanga-canyon-blvd-topanga-ca/vy81wfe/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,,"$3,50",,,,,
Aptos,Houses,CA,95003,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","515 Middlefield Dr, Aptos, CA 95003",https://www.apartments.com/515-middlefield-dr-aptos-ca/94zy1w6/,2 BAs,"1,800 Sq Ft","1,800",,Available Now,"$5,00",,,,,,,,,
Belmont,Houses,CA,94002,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","427 Wessex Way, Belmont, CA 94002",https://www.apartments.com/427-wessex-way-belmont-ca/67z4kzt/,1 BA,900 Sq Ft,900,6 Month Lease,Available Now,,,,,"$3,00",,,,,
Los Angeles,Houses,CA,90006,"[{'bedroom_type': '3 Beds', 'price': '$3,60'}]","1132 S Hoover St, Los Angeles, CA 90006",https://www.apartments.com/1132-s-hoover-st-los-angeles-ca/0t3r3c1/,1½ BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,"$3,60",,,,,,,,,
Los Angeles,Houses,CA,90006,"[{'bedroom_type': '1 Bed', 'price': '$1,20'}]","1130 S Hoover St, Los Angeles, CA 90006",https://www.apartments.com/1130-s-hoover-st-los-angeles-ca/6pygpxs/,0½ BAs,250 Sq Ft,250,1 Month Lease,Available Now,,,"$1,20",,,,,,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","3819 W Avenue 41, Los Angeles, CA 90065",https://www.apartments.com/3819-w-avenue-41-los-angeles-ca/emkew9m/,1½ BAs,"1,275 Sq Ft","1,275",12 Month Lease,Available Now,"$2,90",,,,,,,,,
Encino,Houses,CA,91316,"[{'bedroom_type': '2 Beds', 'price': '$3,09'}]","5726 Encino Ave, Encino, CA 91316",https://www.apartments.com/5726-encino-ave-encino-ca/pqb8t8s/,1 BA,"1,090 Sq Ft","1,090",12 Month Lease,Feb 1,,,,,"$3,09",,,,,
La Puente,Houses,CA,91744,"[{'bedroom_type': '3 Beds', 'price': '$2,50'}]","15823 Francisquito Ave, La Puente, CA 91744",https://www.apartments.com/15823-francisquito-ave-la-puente-ca/kxfmpbc/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,50",,,,,,,,,
San Jose,Houses,CA,95136,"[{'bedroom_type': '1 Bed', 'price': '$925'}]","4430 Heppner Ln, San Jose, CA 95136",https://www.apartments.com/4430-heppner-ln-san-jose-ca/vqpqxye/,1 BA,120 Sq Ft,120,3 Month Lease,Feb 1,,,$925,,,,,,,
Lawndale,Houses,CA,90260,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","4714 W 153rd St, Lawndale, CA 90260",https://www.apartments.com/4714-w-153rd-st-lawndale-ca/dbw3hml/,1 BA,703 Sq Ft,703,12 Month Lease,Available Now,,,,,"$1,85",,,,,
San Diego,Houses,CA,92102,"[{'bedroom_type': '3 Beds', 'price': '$2,50'}]","2409 E St, San Diego, CA 92102",https://www.apartments.com/2409-e-st-san-diego-ca/enkz1zn/,1 BA,900 Sq Ft,900,6 Month Lease,Available Now,"$2,50",,,,,,,,,
Marysville,Houses,CA,95901,"[{'bedroom_type': '4 Beds', 'price': '$2,60'}]","1583 Pond View Dr, Marysville, CA 95901",https://www.apartments.com/1583-pond-view-dr-marysville-ca/7hsexyy/,3 BAs,"2,325 Sq Ft","2,325",24 Month Lease,Feb 8,,"$2,60",,,,,,,,
Van Nuys,Houses,CA,91406,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","17355 Cohasset St, Van Nuys, CA 91406",https://www.apartments.com/17355-cohasset-st-van-nuys-ca/fwcyjyv/,1 BA,955 Sq Ft,955,12 Month Lease,Available Now,"$2,80",,,,,,,,,
South San Francisco,Houses,CA,94080,"[{'bedroom_type': '3 Beds', 'price': '$3,90'}]","521 Poplar Ave, South San Francisco, CA 94080",https://www.apartments.com/521-poplar-ave-south-san-francisco-ca/j5p7py4/,2 BAs,"1,520 Sq Ft","1,520",12 Month Lease,Available Now,"$3,90",,,,,,,,,
South San Francisco,Houses,CA,94080,"[{'bedroom_type': '3 Beds', 'price': '$4,20'}]","80 Idlewood Dr, South San Francisco, CA 94080",https://www.apartments.com/80-idlewood-dr-south-san-francisco-ca/79ysf5y/,2½ BAs,"1,850 Sq Ft","1,850",12 Month Lease,Available Now,"$4,20",,,,,,,,,
Fairfield,Houses,CA,94533,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","1601 San Bruno St, Fairfield, CA 94533",https://www.apartments.com/1601-san-bruno-st-fairfield-ca/wr43q9l/,2 BAs,"1,885 Sq Ft","1,885",12 Month Lease,Available Now,"$2,40",,,,,,,,,
Pasadena,Houses,CA,91107,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","1049 Rose Ave, Pasadena, CA 91107",https://www.apartments.com/1049-rose-ave-pasadena-ca/t9gfg28/,1 BA,850 Sq Ft,850,12 Month Lease,Jan 10,,,,,"$2,59",,,,,
San Jose,Houses,CA,95124,"[{'bedroom_type': '4 Beds', 'price': '$4,49'}]","2189 Westmoreland Dr, San Jose, CA 95124",https://www.apartments.com/2189-westmoreland-dr-san-jose-ca/x7excnn/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$4,49",,,,,,,,
Los Angeles,Houses,CA,90049,"[{'bedroom_type': '3 Beds', 'price': '$10,50'}]","603 N Bonhill Rd, Los Angeles, CA 90049",https://www.apartments.com/603-n-bonhill-rd-los-angeles-ca/epzkdnp/,3 BAs,"2,808 Sq Ft","2,808",12 Month Lease,Available Now,"$10,50",,,,,,,,,
Los Angeles,Houses,CA,91345,"[{'bedroom_type': '4 Beds', 'price': '$3,90'}]","14956 Lassen St, Los Angeles, CA 91345",https://www.apartments.com/14956-lassen-st-los-angeles-ca/mywq91l/,3½ BAs,"2,432 Sq Ft","2,432",12 Month Lease,Feb 1,,"$3,90",,,,,,,,
North Hollywood,Houses,CA,91605,"[{'bedroom_type': '3 Beds', 'price': '$2,99'}]","7918 Vanscoy Ave, North Hollywood, CA 91605",https://www.apartments.com/7918-vanscoy-ave-north-hollywood-ca/9013dd5/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,99",,,,,,,,,
Riverside,Houses,CA,92507,"[{'bedroom_type': '4 Beds', 'price': '$2,89'}]","1402 Abernathy Dr, Riverside, CA 92507",https://www.apartments.com/1402-abernathy-dr-riverside-ca/mpwl3kk/,2½ BAs,"2,207 Sq Ft","2,207",12 Month Lease,Available Now,,"$2,89",,,,,,,,
Los Angeles,Houses,CA,91344,"[{'bedroom_type': '1 Bed', 'price': '$1,69'}]","12360 Jolette Ave, Los Angeles, CA 91344",https://www.apartments.com/12360-jolette-ave-los-angeles-ca/rftdc20/,1 BA,420 Sq Ft,420,,Available Now,,,"$1,69",,,,,,,
Northridge,Houses,CA,91325,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","18154 Chase St, Northridge, CA 91325",https://www.apartments.com/18154-chase-st-northridge-ca/tky7gyc/,1 BA,880 Sq Ft,880,12 Month Lease,Feb 1,,,,,"$2,50",,,,,
North Hollywood,Houses,CA,91605,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","12734 Hart St, North Hollywood, CA 91605",https://www.apartments.com/12734-hart-st-north-hollywood-ca/drrs15l/,1 BA,403 Sq Ft,403,12 Month Lease,Available Now,,,"$1,50",,,,,,,
San Diego,Houses,CA,92109,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","717 Portsmouth Ct, San Diego, CA 92109",https://www.apartments.com/717-portsmouth-ct-san-diego-ca/vqn9kvf/,2 BAs,"1,400 Sq Ft","1,400",1 Month Lease,Apr 1,,,,,"$3,60",,,,,
San Jose,Houses,CA,95126,"[{'bedroom_type': 'Studio', 'price': '$2,10'}]","1142 Sherwood Ave, San Jose, CA 95126",https://www.apartments.com/1142-sherwood-ave-san-jose-ca/8beh6m2/,1 BA,500 Sq Ft,500,6 Month Lease,Available Now,,,,,,"$2,10",,,,
Los Angeles,Houses,CA,90043,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","3416 W 59th St, Los Angeles, CA 90043",https://www.apartments.com/3416-w-59th-st-los-angeles-ca/nwqvspp/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,,,"$2,20",,,,,
San Jose,Houses,CA,95120,"[{'bedroom_type': '4 Beds', 'price': '$4,30'}]","784 Spicewood Ct, San Jose, CA 95120",https://www.apartments.com/784-spicewood-ct-san-jose-ca/w01fyyh/,2 BAs,"1,685 Sq Ft","1,685",12 Month Lease,Available Now,,"$4,30",,,,,,,,
San Diego,Houses,CA,92102,"[{'bedroom_type': '2 Beds', 'price': '$2,69'}]","3268 Cedar St, San Diego, CA 92102",https://www.apartments.com/3268-cedar-st-san-diego-ca/zzpy1kz/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,,,"$2,69",,,,,
Santa Monica,Houses,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$4,00'}]","1915 Arizona Ave, Santa Monica, CA 90404",https://www.apartments.com/1915-arizona-ave-santa-monica-ca/ygwxtxr/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,,,"$4,00",,,,,
Van Nuys,Houses,CA,91406,"[{'bedroom_type': '2 Beds', 'price': '$3,17'}]","6601 Louise Ave, Van Nuys, CA 91406",https://www.apartments.com/6601-louise-ave-van-nuys-ca/pv1jvhs/,2 BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,,,,"$3,17",,,,,
La Mesa,Houses,CA,91942,"[{'bedroom_type': '4 Beds', 'price': '$3,50'}]","8420 Dallas St, La Mesa, CA 91942",https://www.apartments.com/8420-dallas-st-la-mesa-ca/c1r65me/,2 BAs,"1,279 Sq Ft","1,279",6 Month Lease,Jan 15,,"$3,50",,,,,,,,
West Hills,Houses,CA,91307,"[{'bedroom_type': '4 Beds', 'price': '$3,95'}]","24112 Mobile St, West Hills, CA 91307",https://www.apartments.com/24112-mobile-st-west-hills-ca/71tjepz/,2 BAs,"1,604 Sq Ft","1,604",12 Month Lease,Available Now,,"$3,95",,,,,,,,
Woodland Hills,Houses,CA,91367,"[{'bedroom_type': 'Studio', 'price': '$1,75'}]","6156 Elba Pl, Woodland Hills, CA 91367",https://www.apartments.com/6156-elba-pl-woodland-hills-ca/8lh4q40/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,,,,,"$1,75",,,,
Encino,Houses,CA,91316,"[{'bedroom_type': 'Studio', 'price': '$1,90'}]","18035 Boris Dr, Encino, CA 91316",https://www.apartments.com/18035-boris-dr-encino-ca/69jmpvr/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,,,"$1,90",,,,
Fullerton,Houses,CA,92833,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","4118 Carol Dr, Fullerton, CA 92833",https://www.apartments.com/4118-carol-dr-fullerton-ca/gy672zy/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$2,80",,,,,,,,,
Folsom,Houses,CA,95630,"[{'bedroom_type': '4 Beds', 'price': '$3,09'}]","1125 Veranda Ct, Folsom, CA 95630",https://www.apartments.com/1125-veranda-ct-folsom-ca/pjdt1st/,3 BAs,"1,918 Sq Ft","1,918",13 Month Lease,Mar 1,,"$3,09",,,,,,,,
Davis,Houses,CA,95618,"[{'bedroom_type': '5 Beds', 'price': '$3,90'}]","2809 Mallorca Ln, Davis, CA 95618",https://www.apartments.com/2809-mallorca-ln-davis-ca/yb18h3r/,3 BAs,"2,082 Sq Ft","2,082",12 Month Lease,Feb 1,,,,"$3,90",,,,,,
Redondo Beach,Houses,CA,90278,"[{'bedroom_type': '6 Beds', 'price': '$8,55'}]","1901 Voorhees Ave, Redondo Beach, CA 90278",https://www.apartments.com/1901-voorhees-ave-redondo-beach-ca/mnnkf4h/,6 BAs,"3,080 Sq Ft","3,080",12 Month Lease,Available Now,,,,,,,"$8,55",,,
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '3 Beds', 'price': '$3,65'}]","6511 Clybourn Ave, Los Angeles, CA 91606",https://www.apartments.com/6511-clybourn-ave-los-angeles-ca/v1w64nf/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,"$3,65",,,,,,,,,
Burbank,Houses,CA,91504,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","2000 N 6th St, Burbank, CA 91504",https://www.apartments.com/2000-n-6th-st-burbank-ca/0191g83/,2 BAs,"1,527 Sq Ft","1,527",12 Month Lease,Available Now,"$4,50",,,,,,,,,
Rancho Mirage,Houses,CA,92270,"[{'bedroom_type': '3 Beds', 'price': '$4,99'}]","192 N Kavenish Dr, Rancho Mirage, CA 92270",https://www.apartments.com/192-n-kavenish-dr-rancho-mirage-ca/965fgm4/,3 BAs,"2,456 Sq Ft","2,456",6 Month Lease,Apr 12,"$4,99",,,,,,,,,
San Diego,Houses,CA,92104,"[{'bedroom_type': '1 Bed', 'price': '$2,095'}]","3745 Boundary St, San Diego, CA 92104",https://www.apartments.com/3745-boundary-st-san-diego-ca/68dvdjs/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,"$2,095",,,,,,,
South San Francisco,Houses,CA,94080,"[{'bedroom_type': '2 Beds', 'price': '$4,00'}]","201 Camaritas Ave, South San Francisco, CA 94080",https://www.apartments.com/201-camaritas-ave-south-san-francisco-ca/y7x1y9r/,1 BA,"1,043 Sq Ft","1,043",12 Month Lease,May 1,,,,,"$4,00",,,,,
Sun Valley,Houses,CA,91352,"[{'bedroom_type': '1 Bed', 'price': '$2,49'}]","9040 Wildwood Ave, Sun Valley, CA 91352",https://www.apartments.com/9040-wildwood-ave-sun-valley-ca/p880hes/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,"$2,49",,,,,,,
San Jose,Houses,CA,95124,"[{'bedroom_type': '4 Beds', 'price': '$3,60'}]","2266 Stratford Dr, San Jose, CA 95124",https://www.apartments.com/2266-stratford-dr-san-jose-ca/sj0nsq7/,2 BAs,"1,370 Sq Ft","1,370",12 Month Lease,Available Now,,"$3,60",,,,,,,,
San Francisco,Houses,CA,94116,"[{'bedroom_type': '2 Beds', 'price': '$4,25'}]","2030 22nd Ave, San Francisco, CA 94116",https://www.apartments.com/2030-22nd-ave-san-francisco-ca/x1m4pwm/,2 BAs,822 Sq Ft,822,12 Month Lease,Available Now,,,,,"$4,25",,,,,
Santa Clarita,Houses,CA,91355,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","26986 Colonial Ln, Santa Clarita, CA 91355",https://www.apartments.com/26986-colonial-ln-santa-clarita-ca/vcq7zkd/,2½ BAs,"2,069 Sq Ft","2,069",12 Month Lease,Jan 31,"$3,50",,,,,,,,,
Watsonville,Houses,CA,95076,"[{'bedroom_type': '2 Beds', 'price': '$1,95'}]","668 Bronte Ave, Watsonville, CA 95076",https://www.apartments.com/668-bronte-ave-watsonville-ca/qczpwqw/,1 BA,850 Sq Ft,850,30 Month Lease,Available Now,,,,,"$1,95",,,,,
Yucca Valley,Houses,CA,92284,"[{'bedroom_type': '1 Bed', 'price': '$90'}]","6420 Yucca Mesa Rd, Yucca Valley, CA 92284",https://www.apartments.com/6420-yucca-mesa-rd-yucca-valley-ca/d2hxelj/,1 BA,605 Sq Ft,605,12 Month Lease,Available Now,,,$90,,,,,,,
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '3 Beds', 'price': '$3,90'}]","6534 Camellia Ave, Los Angeles, CA 91606",https://www.apartments.com/6534-camellia-ave-los-angeles-ca/ehjkwxn/,2 BAs,"1,141 Sq Ft","1,141",12 Month Lease,Available Now,"$3,90",,,,,,,,,
Burlingame,Houses,CA,94010,"[{'bedroom_type': '2 Beds', 'price': '$3,70'}]","1443 Capuchino Ave, Burlingame, CA 94010",https://www.apartments.com/1443-capuchino-ave-burlingame-ca/bs1b978/,1 BA,"1,070 Sq Ft","1,070",12 Month Lease,Available Now,,,,,"$3,70",,,,,
Oroville,Houses,CA,95966,"[{'bedroom_type': '3 Beds', 'price': '$1,10'}]","2185 Ithaca St, Oroville, CA 95966",https://www.apartments.com/2185-ithaca-st-oroville-ca/c6121xe/,2 BAs,922 Sq Ft,922,24 Month Lease,Available Now,"$1,10",,,,,,,,,
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","8523 Nash Dr, Los Angeles, CA 90046",https://www.apartments.com/8523-nash-dr-los-angeles-ca/qfrcwjz/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,,,"$3,20",,,,,
San Mateo,Houses,CA,94402,"[{'bedroom_type': '3 Beds', 'price': '$4,65'}]","1658 Eleanor Dr, San Mateo, CA 94402",https://www.apartments.com/1658-eleanor-dr-san-mateo-ca/dvgtr8j/,2 BAs,"1,540 Sq Ft","1,540",12 Month Lease,Available Now,"$4,65",,,,,,,,,
Agua Dulce,Houses,CA,91390,"[{'bedroom_type': '1 Bed', 'price': '$1,57'}]","33037 Agua Dulce Canyon Rd, Agua Dulce, CA 91390",https://www.apartments.com/33037-agua-dulce-canyon-rd-agua-dulce-ca/v71e4yf/,1 BA,451 Sq Ft,451,12 Month Lease,Available Now,,,"$1,57",,,,,,,
Belmont,Houses,CA,94002,"[{'bedroom_type': '1 Bed', 'price': '$1,80'}]","1930 Alden St, Belmont, CA 94002",https://www.apartments.com/1930-alden-st-belmont-ca/k14ddv9/,1 BA,544 Sq Ft,544,12 Month Lease,Available Now,,,"$1,80",,,,,,,
Los Angeles,Houses,CA,90047,"[{'bedroom_type': '3 Beds', 'price': '$2,55'}]","9638 S Hobart Blvd, Los Angeles, CA 90047",https://www.apartments.com/9638-s-hobart-blvd-los-angeles-ca/qsv60zw/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Jan 15,"$2,55",,,,,,,,,
Canoga Park,Houses,CA,91303,"[{'bedroom_type': 'Studio – 5 Beds', 'price': '$1,850'}]","6929 De Soto Ave, Canoga Park, CA 91303",https://www.apartments.com/6929-de-soto-ave-canoga-park-ca/r8fly51/,1 BA,400 Sq Ft,400,1 Month Lease,Available Now,,,,,,,,"$1,850",,
San Jose,Houses,CA,95126,"[{'bedroom_type': '1 Bed', 'price': '$2,37'}]","128 Cleaves Ave, San Jose, CA 95126",https://www.apartments.com/128-cleaves-ave-san-jose-ca/bynjwc8/,1 BA,500 Sq Ft,500,6 Month Lease,Feb 15,,,"$2,37",,,,,,,
Quartz Hill,Houses,CA,93551,"[{'bedroom_type': '4 Beds', 'price': '$3,60'}]","41840 30th St W, Quartz Hill, CA 93551",https://www.apartments.com/41840-30th-st-w-quartz-hill-ca/v277f9d/,3 BAs,"2,100 Sq Ft","2,100",12 Month Lease,Available Now,,"$3,60",,,,,,,,
Malibu,Houses,CA,90265,"[{'bedroom_type': '3 Beds', 'price': '$7,95'}]","3440 Shoreheights Dr, Malibu, CA 90265",https://www.apartments.com/3440-shoreheights-dr-malibu-ca/t2j5d9c/,3 BAs,"3,000 Sq Ft","3,000",1 Month Lease,Available Now,"$7,95",,,,,,,,,
San Diego,Houses,CA,92122,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","5708 Stresemann St, San Diego, CA 92122",https://www.apartments.com/5708-stresemann-st-san-diego-ca/n4evebp/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,,"$2,00",,,,,
Sunnyvale,Houses,CA,94087,"[{'bedroom_type': '3 Beds', 'price': '$4,20'}]","502 Cottage Grove Ter, Sunnyvale, CA 94087",https://www.apartments.com/502-cottage-grove-ter-sunnyvale-ca/vfsyebe/,2½ BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,"$4,20",,,,,,,,,
Cupertino,Houses,CA,95014,"[{'bedroom_type': '5 Beds', 'price': '$5,50'}]","10840 Vía San Marino, Cupertino, CA 95014",https://www.apartments.com/10840-via-san-marino-cupertino-ca/1zedg56/,3 BAs,"2,356 Sq Ft","2,356",12 Month Lease,Available Now,,,,"$5,50",,,,,,
Alhambra,Houses,CA,91801,"[{'bedroom_type': '1 Bed', 'price': '$1,75'}]","102 La Paloma Ave, Alhambra, CA 91801",https://www.apartments.com/102-la-paloma-ave-alhambra-ca/ydz16nt/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,"$1,75",,,,,,,
Long Beach,Houses,CA,90806,"[{'bedroom_type': '3 Beds', 'price': '$2,50'}]","530 W 37th St, Long Beach, CA 90806",https://www.apartments.com/530-w-37th-st-long-beach-ca/b6gd3nb/,1 BA,"1,065 Sq Ft","1,065",12 Month Lease,Jan 4,"$2,50",,,,,,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","1331 19th St, Manhattan Beach, CA 90266",https://www.apartments.com/1331-19th-st-manhattan-beach-ca/wl2bctk/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$1,50",,,,,,,
Healdsburg,Houses,CA,95448,"[{'bedroom_type': '2 Beds', 'price': '$6,50'}]","3491 W Dry Creek Rd, Healdsburg, CA 95448",https://www.apartments.com/3491-w-dry-creek-rd-healdsburg-ca/hxmz2l3/,2 BAs,"1,550 Sq Ft","1,550",6 Month Lease,Available Now,,,,,"$6,50",,,,,
Big Bear Lake,Houses,CA,92315,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","542 Highland Rd, Big Bear Lake, CA 92315",https://www.apartments.com/542-highland-rd-big-bear-lake-ca/fw4pjer/,1 BA,400 Sq Ft,400,12 Month Lease,Feb 1,,,"$2,50",,,,,,,
Millbrae,Houses,CA,94030,"[{'bedroom_type': '1 Bed', 'price': '$1,20'}]","930 Hillcrest Blvd, Millbrae, CA 94030",https://www.apartments.com/930-hillcrest-blvd-millbrae-ca/zw8p3cx/,2 BAs,144 Sq Ft,144,12 Month Lease,Available Now,,,"$1,20",,,,,,,
Martinez,Houses,CA,94553,"[{'bedroom_type': '1 Bed', 'price': '$1,80'}]","504 D St, Martinez, CA 94553",https://www.apartments.com/504-d-st-martinez-ca/bvw52yb/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,"$1,80",,,,,,,
El Cerrito,Houses,CA,94530,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","6815 Moeser Ln, El Cerrito, CA 94530",https://www.apartments.com/6815-moeser-ln-el-cerrito-ca/2tcyw88/,1 BA,350 Sq Ft,350,12 Month Lease,Available Now,,,"$1,70",,,,,,,
San Diego,Houses,CA,92117,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","3224 Clairemont Mesa Blvd, San Diego, CA 92117",https://www.apartments.com/3224-clairemont-mesa-blvd-san-diego-ca/14n9n44/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,"$1,65",,,,,,,
Los Angeles,Houses,CA,90037,"[{'bedroom_type': '4 Beds', 'price': '$3,10'}]","3906 Walton Ave, Los Angeles, CA 90037",https://www.apartments.com/3906-walton-ave-los-angeles-ca/jtfy906/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$3,10",,,,,,,,
Santa Clara,Houses,CA,95050,"[{'bedroom_type': '3 Beds', 'price': '$3,45'}]","2322 Bohannon Dr, Santa Clara, CA 95050",https://www.apartments.com/2322-bohannon-dr-santa-clara-ca/tfktv3c/,1 BA,"1,075 Sq Ft","1,075",12 Month Lease,Jan 31,"$3,45",,,,,,,,,
Oroville,Houses,CA,95966,"[{'bedroom_type': '1 Bed', 'price': '$89'}]","2108 Fort Wayne St, Oroville, CA 95966",https://www.apartments.com/2108-fort-wayne-st-oroville-ca/rdc01h1/,1 BA,525 Sq Ft,525,1 Month Lease,Available Now,,,$89,,,,,,,
San Jose,Houses,CA,95136,"[{'bedroom_type': '3 Beds', 'price': '$3,39'}]","4231 Funston Dr, San Jose, CA 95136",https://www.apartments.com/4231-funston-dr-san-jose-ca/qehv6ew/,2 BAs,"1,685 Sq Ft","1,685",12 Month Lease,Available Now,"$3,39",,,,,,,,,
Morro Bay,Houses,CA,93442,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","1881 Sunset Ave, Morro Bay, CA 93442",https://www.apartments.com/1881-sunset-ave-morro-bay-ca/ez818em/,2 BAs,"1,575 Sq Ft","1,575",3 Month Lease,Available Now,"$2,90",,,,,,,,,
Santa Cruz,Houses,CA,95060,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","1645 River St, Santa Cruz, CA 95060",https://www.apartments.com/1645-river-st-santa-cruz-ca/y3jz3lv/,1½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Jan 10,"$3,30",,,,,,,,,
