City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,Studio,3 Beds,6 Beds,1 – 2 Beds,Studio – 2 Beds,4 Beds
Pico Rivera,Condos,CA,90660,"[{'bedroom_type': 'Studio', 'price': '$1,37'}]","6539 Guild Dr, Pico Rivera, CA 90660",https://www.apartments.com/6539-guild-dr-pico-rivera-ca/240ekjc/,1 BA,550 Sq Ft,550,1 Month Lease,Jan 18,,,"$1,37",,,,,
Oakland,Condos,CA,94607,"[{'bedroom_type': 'Studio', 'price': '$2,10'}]","585 9th St, Oakland, CA 94607",https://www.apartments.com/585-9th-st-oakland-ca-unit-438/kpdjdeb/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,"$2,10",,,,,
Oceanside,Condos,CA,92058,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","320 Fireside St, Oceanside, CA 92058",https://www.apartments.com/320-fireside-st-oceanside-ca-unit-320/n5lyefq/,1 BA,"1,017 Sq Ft","1,017",12 Month Lease,Available Now,"$2,50",,,,,,,
Santa Clarita,Condos,CA,91321,"[{'bedroom_type': '3 Beds', 'price': '$2,50'}]","24353 Walnut St, Santa Clarita, CA 91321",https://www.apartments.com/24353-walnut-st-santa-clarita-ca-unit-201/pk1hdpr/,1 BA,"1,200 Sq Ft","1,200",11 Month Lease,Available Now,,,,"$2,50",,,,
Long Beach,Condos,CA,90805,"[{'bedroom_type': '1 Bed', 'price': '$1,45'}]","Long Beach, CA 90805",https://www.apartments.com/5493-atlantic-ave-long-beach-ca/yw23frr/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,45",,,,,,
Paso Robles,Condos,CA,93446,"[{'bedroom_type': '1 Bed', 'price': '$2,20'}]","Paso Robles, CA 93446",https://www.apartments.com/830-19th-st-paso-robles-ca/7jrgchz/,1 BA,650 Sq Ft,650,1 Month Lease,Available Now,,"$2,20",,,,,,
Walnut Creek,Condos,CA,94596,"[{'bedroom_type': '1 – 2 Beds', 'price': '$1,750'}]","Walnut Creek, CA 94596",https://www.apartments.com/1730-lacassie-ave-walnut-creek-ca/k5qz8bb/,1 BA,641 Sq Ft,641,12 Month Lease,Available Now,,,,,,"$1,750",,
Lawndale,Condos,CA,90260,"[{'bedroom_type': '2 Beds', 'price': '$1,75'}]","Lawndale, CA 90260",https://www.apartments.com/4558-w-173rd-st-lawndale-ca/730kvwz/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$1,75",,,,,,,
Imperial Beach,Condos,CA,91932,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","Imperial Beach, CA 91932",https://www.apartments.com/481-palm-ave-imperial-beach-ca/z3nhfsw/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$1,80",,,,,,,
El Cajon,Condos,CA,92019,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","12191 Cuyamaca College Dr E, El Cajon, CA 92019",https://www.apartments.com/12191-cuyamaca-college-dr-e-el-cajon-ca-unit-604/wms9zgj/,1 BA,664 Sq Ft,664,12 Month Lease,Available Now,,"$1,70",,,,,,
Oceanside,Condos,CA,92054,"[{'bedroom_type': 'Studio', 'price': '$2,17'}]","Oceanside, CA 92054",https://www.apartments.com/412-s-the-strand-oceanside-ca/f86cq8r/,1 BA,300 Sq Ft,300,1 Month Lease,Available Now,,,"$2,17",,,,,
Newport Beach,Condos,CA,92662,"[{'bedroom_type': '4 Beds', 'price': '$6,50'}]","Newport Beach, CA 92662",https://www.apartments.com/119-ruby-ave-newport-beach-ca/4nyk0jk/,2 BAs,"1,608 Sq Ft","1,608",6 Month Lease,Available Now,,,,,,,,"$6,50"
Los Angeles,Condos,CA,90731,"[{'bedroom_type': '1 Bed', 'price': '$1,55'}]","Los Angeles, CA 90731",https://www.apartments.com/572-w-1st-st-los-angeles-ca/wkddgxh/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,55",,,,,,
La Quinta,Condos,CA,92253,"[{'bedroom_type': '1 Bed', 'price': '$1,07'}]","La Quinta, CA 92253",https://www.apartments.com/78665-via-corrido-la-quinta-ca/yhtb3kr/,1 BA,480 Sq Ft,480,6 Month Lease,Available Now,,"$1,07",,,,,,
Redding,Condos,CA,96003,"[{'bedroom_type': '1 Bed', 'price': '$2,15'}]","Redding, CA 96003",https://www.apartments.com/466-woodcliff-dr-redding-ca/qcjwvdz/,1 BA,680 Sq Ft,680,1 Month Lease,Jan 30,,"$2,15",,,,,,
Antioch,Condos,CA,94509,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","Antioch, CA 94509",https://www.apartments.com/2504-cathy-ct-antioch-ca/qhhb6cy/,2 BAs,980 Sq Ft,980,12 Month Lease,Available Now,"$2,70",,,,,,,
Dublin,Condos,CA,94568,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","5501 De Marcus Blvd, Dublin, CA 94568",https://www.apartments.com/5501-de-marcus-blvd-dublin-ca-unit-217/9jyzvm4/,2 BAs,"1,399 Sq Ft","1,399",12 Month Lease,Available Now,"$3,20",,,,,,,
Los Angeles,Condos,CA,90066,"[{'bedroom_type': '1 Bed', 'price': '$1,89'}]","11365 Washington Pl, Los Angeles, CA 90066",https://www.apartments.com/11365-washington-pl-los-angeles-ca/7y6q26z/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$1,89",,,,,,
Torrance,Condos,CA,90501,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","Torrance, CA 90501",https://www.apartments.com/2503-arlington-ave-torrance-ca/bstvrpb/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$2,40",,,,,,,
Santa Clarita,Condos,CA,91355,"[{'bedroom_type': '1 Bed', 'price': '$1,80'}]","23515 Lyons Ave, Santa Clarita, CA 91355",https://www.apartments.com/23515-lyons-ave-santa-clarita-ca-unit-s5/xmrfgym/,1 BA,480 Sq Ft,480,12 Month Lease,Jan 3,,"$1,80",,,,,,
Santa Maria,Condos,CA,93458,"[{'bedroom_type': '1 Bed', 'price': '$1,20'}]","Santa Maria, CA 93458",https://www.apartments.com/1106-s-russell-ave-santa-maria-ca/j42r5s4/,1 BA,500 Sq Ft,500,1 Month Lease,Available Now,,"$1,20",,,,,,
