Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													Studio
															–
3 Beds											","
													2 Beds
											","
													1 Bed
											","
													1 Bed
															–
3 Beds											","
													Studio
															–
2 Beds											","
2 																	–
4 Beds													"
Fountain Grove Apartments,Sacramento,Apartment,CA,95842,"[{'bedroom_type': '1 Bed', 'price': '$1,200'}, {'bedroom_type': '2 Beds', 'price': '$1,325'}]","5101 Andrea Blvd, Sacramento, CA 95842",https://www.apartments.com/fountain-grove-apartments-sacramento-ca/l7rvfre/,,"$1,200 ","$1,325 ",,,,,,,,
Windemere Apartments,Sunnyvale,Apartment,CA,94085,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}, {'bedroom_type': '2 Beds', 'price': '$2,300'}]","395-396 Ano Nuevo Ave, Sunnyvale, CA 94085",https://www.apartments.com/windemere-apartments-sunnyvale-ca/s6ze4m4/,,"$1,700 ","$2,300 ",,,,,,,,
Riverstone Apartments,Sacramento,Apartment,CA,95831,"[{'bedroom_type': '1 Bed', 'price': '$1,425'}, {'bedroom_type': '2 Beds', 'price': '$1,500'}]","7459 Rush River Dr, Sacramento, CA 95831",https://www.apartments.com/riverstone-apartments-sacramento-ca/45zbdch/,,"$1,425 ","$1,500 ",,,,,,,,
10757 Palms Blvd,Los Angeles,Apartment,CA,90034,"[{'bedroom_type': 'Studio', 'price': '$2,013'}, {'bedroom_type': '1 Bed', 'price': '$2,654'}]","10757 Palms Blvd, Los Angeles, CA 90034",https://www.apartments.com/10757-palms-blvd-los-angeles-ca/kfsmxf9/,"$2,013 ","$2,654 ",,,,,,,,,
The Artisan Residences at Bella Terra,Huntington Beach,Apartment,CA,92647,"[{'bedroom_type': '1 Bed', 'price': '$1,751'}, {'bedroom_type': '2 Beds', 'price': '$2,188'}]","15555 Huntington Village Ln, Huntington Beach, CA 92647",https://www.apartments.com/the-artisan-residences-at-bella-terra-huntington-beach-ca/661yv7v/,,"$1,751 ","$2,188 ",,,,,,,,
Monterey Pines Apartments,Loma Linda,Apartment,CA,92354,"[{'bedroom_type': '1 Bed', 'price': '$1,479'}, {'bedroom_type': '2 Beds', 'price': '$1,689'}]","25701 Van Leuven Ave, Loma Linda, CA 92354",https://www.apartments.com/monterey-pines-apartments-loma-linda-ca/yfgsxpt/,,"$1,479 ","$1,689 ",,,,,,,,
Highlander Pointe Apartments,Riverside,Apartment,CA,92507,"[{'bedroom_type': '1 Bed', 'price': '$1,435'}]","1055 W Blaine St, Riverside, CA 92507",https://www.apartments.com/highlander-pointe-apartments-riverside-ca/vhqqnwe/,,"$1,435 ",,,,,,,,,
Crosswood Park,Citrus Heights,Apartment,CA,95621,"[{'bedroom_type': '1 Bed', 'price': '$1,395'}, {'bedroom_type': '2 Beds', 'price': '$1,675'}]","6801 San Tomas Dr, Citrus Heights, CA 95621",https://www.apartments.com/crosswood-park-citrus-heights-ca/5qgjq7q/,,"$1,395 ","$1,675 ",,,,,,,,
Via Ventura,Ventura,Apartment,CA,93003,"[{'bedroom_type': '1 Bed', 'price': '$2,038'}, {'bedroom_type': '2 Beds', 'price': '$2,392'}]","930 Pacific Strand Ct, Ventura, CA 93003",https://www.apartments.com/via-ventura-ventura-ca/33m4jcg/,,"$2,038 ","$2,392 ",,,,,,,,
The Villas at Camino Bernardo,San Diego,Apartment,CA,92127,"[{'bedroom_type': '1 Bed', 'price': '$1,810'}, {'bedroom_type': '2 Beds', 'price': '$2,114'}]","11203 Paseo Montanoso, San Diego, CA 92127",https://www.apartments.com/the-villas-at-camino-bernardo-san-diego-ca/l3rfxfg/,,"$1,810 ","$2,114 ",,,,,,,,
TIDES AT GRAND TERRACE,Colton,Apartment,CA,92324,"[{'bedroom_type': '1 Bed', 'price': '$1,625'}, {'bedroom_type': '2 Beds', 'price': '$1,775'}]","1699 E Washington St, Colton, CA 92324",https://www.apartments.com/tides-at-grand-terrace-colton-ca/b4f64vb/,,"$1,625 ","$1,775 ",,,,,,,,
Atlantic Times Square,Monterey Park,Apartment,CA,91754,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}, {'bedroom_type': '3 Beds', 'price': '$3,500'}]","580 N Atlantic Blvd, Monterey Park, CA 91754",https://www.apartments.com/atlantic-times-square-monterey-park-ca/2s5f8c8/,,,"$3,000 ","$3,500 ",,,,,,,
Coral Gardens Apartments,Hayward,Apartment,CA,94544,"[{'bedroom_type': '1 Bed', 'price': '$1,799'}, {'bedroom_type': '2 Beds', 'price': '$2,100'}]","601-605 Sorenson Rd, Hayward, CA 94544",https://www.apartments.com/coral-gardens-apartments-hayward-ca/7jg14ty/,,"$1,799 ","$2,100 ",,,,,,,,
The Vue Apartments,Sacramento,Apartment,CA,95833,"[{'bedroom_type': '1 Bed', 'price': '$1,287'}, {'bedroom_type': '2 Beds', 'price': '$1,482'}]","2450 Seamist Dr, Sacramento, CA 95833",https://www.apartments.com/the-vue-apartments-sacramento-ca/8wb0sd0/,,"$1,287 ","$1,482 ",,,,,,,,
