City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,1 – 2 Beds,Studio,3 Beds,4 Beds
Anaheim,Condos,CA,92802,"[{'bedroom_type': '2 Beds', 'price': '$1,70'}]","Anaheim, CA 92802",https://www.apartments.com/2110-s-broden-st-anaheim-ca/8fchrw2/,1½ BAs,860 Sq Ft,860,6 Month Lease,Feb 1,"$1,70",,,,,
Oceano,Condos,CA,93445,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","Oceano, CA 93445",https://www.apartments.com/1627-front-st-oceano-ca/gq783gx/,1½ BAs,900 Sq Ft,900,12 Month Lease,Available Now,"$1,85",,,,,
San Mateo,Condos,CA,94404,"[{'bedroom_type': '1 Bed', 'price': '$2,59'}]","688 Mariners Island Blvd, San Mateo, CA 94404",https://www.apartments.com/688-mariners-island-blvd-san-mateo-ca-unit-201/jsvqd16/,1 BA,750 Sq Ft,750,12 Month Lease,Feb 1,,"$2,59",,,,
Campbell,Condos,CA,95008,"[{'bedroom_type': '1 Bed', 'price': '$2,35'}]","374 Union Ave, Campbell, CA 95008",https://www.apartments.com/374-union-ave-campbell-ca-unit-e/63wrc3s/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,35",,,,
Garden Grove,Condos,CA,92841,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","Garden Grove, CA 92841",https://www.apartments.com/7722-chapman-ave-garden-grove-ca/qfdx7ew/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,85",,,,,
Westchester,Condos,CA,90045,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","7025 Flight Ave, Westchester, CA 90045",https://www.apartments.com/7025-flight-ave-westchester-ca/1fee4w4/,2 BAs,900 Sq Ft,900,12 Month Lease,Available Now,"$2,70",,,,,
Los Angeles,Condos,CA,90042,"[{'bedroom_type': '1 Bed', 'price': '$2,40'}]","Los Angeles, CA 90042",https://www.apartments.com/141-san-pascual-ave-los-angeles-ca/5cyl4hq/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,40",,,,
Laguna Hills,Condos,CA,92653,"[{'bedroom_type': '3 Beds', 'price': '$2,69'}]","22102 Caminito Amor, Laguna Hills, CA 92653",https://www.apartments.com/22102-caminito-amor-laguna-hills-ca-unit-main/sxvzrt5/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,,,"$2,69",
Lakeside,Condos,CA,92040,"[{'bedroom_type': '3 Beds', 'price': '$2,25'}]","Lakeside, CA 92040",https://www.apartments.com/9911-channel-rd-lakeside-ca/04ftmx1/,2 BAs,"1,175 Sq Ft","1,175",12 Month Lease,Available Now,,,,,"$2,25",
Loma Linda,Condos,CA,92354,"[{'bedroom_type': '2 Beds', 'price': '$1,62'}]","Loma Linda, CA 92354",https://www.apartments.com/25452-cole-st-loma-linda-ca/5nfjrdp/,1 BA,850 Sq Ft,850,12 Month Lease,Jan 15,"$1,62",,,,,
San Jose,Condos,CA,95125,"[{'bedroom_type': '2 Beds', 'price': '$2,29'}]","San Jose, CA 95125",https://www.apartments.com/75-glen-eyrie-ave-san-jose-ca/h7n3273/,1½ BAs,900 Sq Ft,900,1 Month Lease,Available Now,"$2,29",,,,,
Los Angeles,Condos,CA,90069,"[{'bedroom_type': '1 – 2 Beds', 'price': '$1,700'}]","Los Angeles, CA 90069",https://www.apartments.com/935-n-alfred-st-los-angeles-ca/6me8kss/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,"$1,700",,,
San Rafael,Condos,CA,94903,"[{'bedroom_type': '1 Bed', 'price': '$2,30'}]","San Rafael, CA 94903",https://www.apartments.com/251-channing-way-san-rafael-ca/ktyp9q8/,1 BA,740 Sq Ft,740,12 Month Lease,Available Now,,"$2,30",,,,
Placentia,Condos,CA,92870,"[{'bedroom_type': '3 Beds', 'price': '$2,69'}]","1507 Prospect Ave, Placentia, CA 92870",https://www.apartments.com/1507-prospect-ave-placentia-ca-unit-c/6774css/,2½ BAs,"1,585 Sq Ft","1,585",12 Month Lease,Available Now,,,,,"$2,69",
Walnut Creek,Condos,CA,94596,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","155 Sharene Ln, Walnut Creek, CA 94596",https://www.apartments.com/155-sharene-ln-walnut-creek-ca-unit-204/w2ys5ck/,2 BAs,"1,005 Sq Ft","1,005",12 Month Lease,Available Now,"$2,60",,,,,
Redwood City,Condos,CA,94062,"[{'bedroom_type': '1 Bed', 'price': '$2,69'}]","Redwood City, CA 94062",https://www.apartments.com/22-duane-st-redwood-city-ca/hz4rv82/,1 BA,"1,033 Sq Ft","1,033",12 Month Lease,Available Now,,"$2,69",,,,
Danville,Condos,CA,94526,"[{'bedroom_type': '2 Beds', 'price': '$5,49'}]","200 Railroad Ave, Danville, CA 94526",https://www.apartments.com/200-railroad-ave-danville-ca-unit-204/pp8zm0v/,2 BAs,"1,291 Sq Ft","1,291",12 Month Lease,Jan 7,"$5,49",,,,,
Dana Point,Condos,CA,92629,"[{'bedroom_type': '1 Bed', 'price': '$1,85'}]","25611 Quail Run, Dana Point, CA 92629",https://www.apartments.com/25611-quail-run-dana-point-ca-unit-12/v90tbqe/,1 BA,680 Sq Ft,680,12 Month Lease,Available Now,,"$1,85",,,,
San Leandro,Condos,CA,94577,"[{'bedroom_type': '1 Bed', 'price': '$1,99'}]","San Leandro, CA 94577",https://www.apartments.com/281-juana-ave-san-leandro-ca/srlnrg4/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$1,99",,,,
Sacramento,Condos,CA,95815,"[{'bedroom_type': '2 Beds', 'price': '$1,34'}]","Sacramento, CA 95815",https://www.apartments.com/717-lampasas-ave-sacramento-ca/cv1d33f/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$1,34",,,,,
San Jose,Condos,CA,95132,"[{'bedroom_type': '2 Beds', 'price': '$2,38'}]","2708 Somerset Park Cir, San Jose, CA 95132",https://www.apartments.com/2708-somerset-park-cir-san-jose-ca-unit-b-upper/rp63hc2/,2 BAs,850 Sq Ft,850,12 Month Lease,Jan 8,"$2,38",,,,,
Inglewood,Condos,CA,90303,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","Inglewood, CA 90303",https://www.apartments.com/10519-s-van-ness-ave-inglewood-ca/1qvklx6/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$2,40",,,,,
Monrovia,Condos,CA,91016,"[{'bedroom_type': '2 Beds', 'price': '$2,05'}]","Monrovia, CA 91016",https://www.apartments.com/131-may-ave-monrovia-ca/0c84vy0/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,05",,,,,
